@relation Starcraft_PvZ_Zerg_openings

@attribute ZergPool numeric
@attribute ZergOverlord numeric
@attribute ZergZergling numeric
@attribute ZergZerglingSpeed numeric
@attribute ZergCrackling numeric
@attribute ZergBurrow numeric
@attribute ZergGas numeric
@attribute ZergSecondGas numeric
@attribute ZergSecondHatch numeric
@attribute ZergThirdHatch numeric
@attribute ZergFourthHatch numeric
@attribute ZergFifthHatch numeric
@attribute ZergSixthHatch numeric
@attribute ZergSeventhHatch numeric
@attribute ZergHydraDen numeric
@attribute ZergHydra numeric
@attribute ZergHydraRange numeric
@attribute ZergHydraSpeed numeric
@attribute ZergLurker numeric
@attribute ZergLair numeric
@attribute ZergSpire numeric
@attribute ZergMutalisk numeric
@attribute ZergScourge numeric
@attribute ZergAirAttack numeric
@attribute ZergAirArmor numeric
@attribute ZergQueenNest numeric
@attribute ZergQueen numeric
@attribute ZergHive numeric
@attribute ZergGreaterSpire numeric
@attribute ZergGardian numeric
@attribute ZergDevour numeric
@attribute ZergUltraliskCavern numeric
@attribute ZergUltralisk numeric
@attribute ZergUltraliskArmor numeric
@attribute ZergUltraliskSpeed numeric
@attribute ZergDefilerMound numeric
@attribute ZergDefiler numeric
@attribute ZergConsume numeric
@attribute ZergevoDen numeric
@attribute ZergMeleeWeapons1 numeric
@attribute ZergRangeWeapons1 numeric
@attribute ZergGroundArmor1 numeric
@attribute ZergMeleeWeapons2 numeric
@attribute ZergRangeWeapons2 numeric
@attribute ZergGroundArmor2 numeric
@attribute ZergCreep numeric
@attribute ZergSunken numeric
@attribute ZergSpore numeric
@attribute midBuild {speedlings,fast_mutas,mutas,lurkers,hydras}

@data
3012,1430,4308,-1,-1,-1,5598,-1,2354,4704,11448,-1,-1,-1,6688,7368,11200,7840,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
2990,1334,4280,8826,-1,-1,3738,11616,2536,8096,19896,23718,-1,-1,5586,6436,11938,9888,9220,5264,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11142,-1,11974,-1,-1,20474,-1,20804,21690,-1,unknown
2755,3560,4210,23715,27435,-1,3260,6765,2155,10455,11555,13515,14040,23180,42620,46440,98610,96405,48685,8435,10000,11875,14995,29280,13155,14295,66725,16200,18605,21340,21110,64030,68695,65355,68215,88405,91700,93075,12505,41305,96365,13235,64860,-1,23675,4525,4900,17110,fast_mutas
1646,2482,3128,3426,-1,3940,2086,-1,5696,7056,18420,-1,-1,-1,13334,14120,19010,16148,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,speedlings
1646,2482,3128,3426,-1,3940,2086,-1,5696,7056,18420,-1,-1,-1,13334,14120,19010,16148,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,speedlings
3142,1400,4408,5254,-1,7088,3596,14968,2708,9928,17670,23794,-1,-1,7160,7934,-1,15136,12352,8108,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18172,22702,-1,20812,-1,-1,-1,12412,12832,-1,speedlings
3060,1410,4330,12310,16870,-1,1590,4625,2595,4160,10930,14035,19125,20185,8480,9795,13515,11175,11150,7330,25190,-1,27705,-1,-1,12810,-1,14855,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10680,11795,27485,11805,16300,-1,16310,5650,6540,-1,unknown
2172,1352,3436,9020,-1,-1,6744,8834,3198,4434,12824,-1,-1,-1,8748,9882,12426,9760,-1,8100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5366,5766,-1,speedlings
2522,1444,-1,-1,-1,-1,2244,18008,4572,12676,14460,15324,-1,-1,5384,6238,8764,6064,-1,3808,10486,15820,12764,-1,14572,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,unknown
1616,2178,2870,3428,-1,8282,2002,-1,4960,5928,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7350,-1,-1,-1,-1,-1,-1,8300,8768,9972,speedlings
2218,1454,3514,9620,-1,-1,7126,7864,3268,4664,9746,10522,14614,-1,16534,17344,-1,17442,-1,9374,10944,13064,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5132,5810,-1,speedlings
2695,3330,3980,9990,-1,-1,1350,2990,2190,6220,7235,9650,17685,23825,13365,15695,20430,18895,17650,11535,20975,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15950,16810,16815,16785,22000,21000,20990,4625,5025,-1,speedlings
2960,1210,4265,8165,27050,-1,5595,11815,2430,5100,10970,12195,18995,-1,13335,14965,19300,14060,17465,13525,-1,-1,-1,-1,-1,21740,-1,24415,-1,-1,-1,29870,31795,-1,-1,28140,30245,30210,19035,20360,20340,20350,27070,-1,24575,9850,10305,-1,speedlings
3025,1455,4460,19880,25875,11730,5415,6290,2575,5055,19270,21870,25815,27255,9505,12330,14835,13010,20090,7220,8770,-1,10720,-1,-1,16790,37230,17935,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6440,23840,8025,16705,28595,13750,23860,4445,4840,7705,hydras
2950,1355,4210,5220,22300,24380,3395,9910,2605,4650,8405,11315,15020,17700,7170,8505,11390,8465,-1,9800,-1,-1,-1,-1,-1,18625,-1,20400,-1,-1,-1,28745,32235,32340,-1,43795,46300,46345,12280,18550,13215,13255,24085,17350,17395,-1,-1,-1,speedlings
3724,1446,-1,-1,-1,-1,2224,14430,3032,11138,16048,20378,23716,24860,5632,6504,8982,7474,12936,4974,15534,17394,17388,17434,17502,22770,26384,23778,25748,28244,27688,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15290,15678,-1,hydras
2432,1170,3772,4100,-1,-1,2632,-1,4200,16724,18760,27410,27754,-1,12834,14718,-1,-1,16102,6064,8048,10810,28348,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4560,5068,-1,speedlings
2568,3914,4582,11934,18284,-1,3616,8326,1928,8708,14330,16684,17162,18158,14766,15988,-1,-1,18348,9722,12498,14456,25598,-1,-1,14854,-1,16144,18040,20082,20904,19178,21596,20696,24646,-1,-1,-1,14812,23270,-1,15608,30242,-1,16890,4132,5904,-1,fast_mutas
2554,3148,3820,18618,18590,-1,2858,5104,1866,8430,9494,12228,13014,13342,10016,12094,-1,23670,13056,6566,8102,9972,16190,-1,-1,15658,-1,16760,18578,20394,21598,22232,24172,24100,-1,-1,-1,-1,12190,16822,-1,14916,22166,-1,21530,4574,5058,-1,unknown
2330,1400,3590,4120,-1,6180,1550,2590,3320,5370,12790,13650,-1,-1,10235,15835,-1,-1,-1,7845,9580,11595,11550,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13345,15755,-1,15770,-1,-1,-1,9190,9875,-1,speedlings
1650,2205,2925,6170,-1,16570,1985,-1,4365,5355,16505,-1,-1,-1,13170,15520,16750,13905,-1,13110,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8380,10240,-1,speedlings
2555,1495,3825,4810,28025,-1,1635,3525,3435,5620,6565,8965,12735,21125,7220,8270,11055,7950,20780,12790,28450,-1,31995,-1,-1,24540,-1,26130,-1,-1,-1,29215,31130,32965,30640,-1,-1,-1,12100,27210,12800,17980,34155,23575,28480,8175,8580,58855,speedlings
3110,1425,4370,8160,17950,-1,3930,10370,2625,5250,14280,16020,-1,-1,7385,8515,11575,9140,-1,6130,10560,-1,12700,-1,-1,14510,-1,15990,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10030,10785,-1,10825,14800,-1,-1,7550,8200,13375,speedlings
3050,1365,4305,15265,20580,-1,6105,8330,2685,4080,13205,20410,21110,25885,8310,9200,13340,9180,12660,8765,14095,-1,16125,-1,-1,17655,-1,18710,-1,-1,-1,20615,22085,22075,24215,-1,-1,-1,13250,19340,28075,14305,24630,-1,18365,4735,5115,-1,speedlings
3195,1665,6305,-1,-1,2635,1400,4355,2690,4930,7345,13900,19670,21660,7560,9315,23285,15160,10540,6100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23355,-1,37120,-1,-1,-1,-1,10470,11310,-1,lurkers
3120,1420,4370,4995,-1,-1,3610,16245,2660,5380,9835,10900,11755,12825,9365,10590,12130,10130,18155,13835,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17245,18635,18645,18670,22725,22735,22745,7595,8575,-1,speedlings
3105,1400,4400,-1,-1,-1,3675,13350,2635,11275,12275,-1,-1,-1,4955,6130,7585,5785,-1,12230,14205,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,hydras
3210,1490,4495,5310,-1,-1,3985,15655,2730,9280,-1,-1,-1,-1,9540,10960,13915,10380,-1,13120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13770,-1,-1,15100,-1,-1,-1,4405,4815,-1,speedlings
3265,1500,4560,11735,21420,12545,4035,10325,2730,12595,13760,14400,-1,-1,7885,9935,-1,15505,10870,6635,-1,-1,-1,-1,-1,17570,-1,19575,-1,-1,-1,25195,26660,30735,28140,-1,-1,-1,9615,22130,11055,22140,27020,-1,30510,4735,5325,-1,speedlings
3114,1422,4402,5146,-1,-1,3712,11496,2624,7508,18002,23144,25082,-1,8342,12038,16718,15148,13022,9584,13726,-1,15682,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14038,-1,20508,15136,-1,-1,22318,9894,10312,-1,speedlings
3100,1265,4420,12950,-1,-1,6040,-1,2595,5545,8000,-1,-1,-1,13370,-1,-1,14180,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12870,13730,-1,speedlings
3065,1400,4505,5825,17835,-1,1560,3655,2770,4855,15395,16740,21840,22405,11600,13510,-1,-1,14850,7320,9400,11340,-1,19925,-1,12550,-1,13570,15465,17310,-1,21760,23380,-1,23360,-1,-1,-1,14980,22640,16625,-1,-1,-1,-1,6385,7120,-1,mutas
3100,1405,4370,5355,19440,28800,3765,10510,2585,4930,8340,12675,16625,17830,15770,16560,18790,16535,-1,8500,10095,12045,25380,12065,-1,15820,-1,17285,25350,-1,29150,19470,22485,25460,22240,-1,-1,-1,22270,23170,27240,23900,27275,33615,28780,7780,8250,-1,speedlings
3020,1340,4305,5000,24800,-1,3650,4715,2580,5965,9620,10570,12300,15870,9020,11155,17335,15755,11970,8255,15745,-1,19645,-1,-1,20960,-1,22515,36870,-1,-1,25440,27555,30740,28395,-1,-1,-1,16450,23135,17345,20985,28340,36185,25780,7425,8075,43160,speedlings
3205,1200,4480,4960,28445,15490,3625,19945,2615,5955,8705,14265,19305,26430,8800,11600,11225,9585,22750,7680,-1,-1,-1,-1,-1,25245,-1,26275,-1,-1,-1,31305,36315,46625,37770,-1,-1,-1,15505,16315,16260,16270,20430,20420,20425,8025,8590,-1,speedlings
3045,1365,4315,-1,-1,-1,7480,8365,2560,5850,10300,13890,20640,22030,10365,11215,12690,11175,16300,9035,21115,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14000,21140,15215,15225,-1,-1,21145,4860,5255,-1,hydras
3005,1430,4335,32100,33500,-1,1585,6565,2420,5980,7570,15210,23765,24965,8035,9715,10935,8730,19920,16165,22835,34975,24725,-1,-1,29290,-1,30940,33855,-1,-1,-1,-1,-1,-1,-1,-1,-1,21550,31460,22335,22345,-1,26830,26820,4385,4860,-1,hydras
3060,1410,4330,12310,16870,-1,1590,4625,2595,4160,10930,14035,19125,20185,8480,9795,13515,11175,11150,7330,25190,-1,27705,-1,-1,12810,-1,14855,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10680,11795,27485,11805,16300,-1,16310,5650,6540,-1,unknown
3230,1485,4535,4925,24345,-1,3335,14110,2745,9390,10125,17985,18540,19550,15920,17080,32830,30970,18680,14600,16440,-1,19840,-1,-1,16740,-1,19925,-1,-1,-1,37455,-1,-1,-1,-1,-1,-1,11815,16480,-1,15495,22505,-1,22495,12015,13260,12580,speedlings
1685,2285,3000,3425,27330,34345,2030,12035,4770,6040,7045,12410,12830,16275,10995,13120,22775,14435,14360,10930,17150,-1,19150,-1,-1,22740,-1,25120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12545,26835,13400,13660,37435,21715,21720,7170,9385,-1,speedlings
3170,1270,4445,25595,42955,36690,7350,10965,2665,7245,8830,15375,15735,16595,9555,12645,15880,14365,13245,9710,17120,43640,20195,-1,-1,39745,-1,40785,44935,-1,-1,-1,-1,-1,-1,-1,-1,-1,32085,44295,33420,33410,-1,38865,38865,4680,5085,-1,hydras
2932,1296,4224,4580,-1,-1,1502,3232,2540,5774,9836,17198,18084,-1,8606,9618,11588,9352,17328,8326,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17262,-1,-1,18520,-1,-1,-1,10234,10632,-1,speedlings
3104,1376,4402,8060,-1,-1,1620,5220,2618,4342,17470,-1,-1,-1,7176,8304,9560,8046,13800,7044,17932,19812,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,speedlings
3056,1470,-1,-1,-1,-1,1740,-1,4042,11360,14366,20028,-1,-1,5578,6514,9216,7378,16196,4404,5980,8012,8038,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,hydras
3050,1390,4325,4425,-1,-1,3120,13910,2575,8415,15470,16915,22255,-1,11080,13930,13705,11780,17795,10040,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7135,-1,-1,16035,-1,-1,22555,6585,11700,7810,speedlings
2410,1415,3660,5295,23825,-1,3730,8735,3195,4720,7565,13675,18255,22320,8505,9635,18625,9185,19370,8750,11485,13405,24435,-1,-1,19610,-1,21705,23840,32990,-1,27555,-1,-1,28875,-1,-1,-1,15965,30545,16740,16705,-1,21055,21040,9745,14605,-1,speedlings
3015,1380,4455,6235,21455,17845,3295,13335,2585,9465,10890,22845,25415,33050,5620,7820,30225,27955,9385,4530,16680,32020,20410,-1,30355,17400,31990,18505,28055,40730,33665,22435,33210,24695,27555,36465,39065,39040,14415,15490,35475,15500,19665,-1,19830,13510,14155,48830,speedlings
2745,3080,4050,7850,-1,4380,1400,3400,2270,5325,12015,15580,18865,19160,11595,12730,16840,15045,16035,9840,-1,-1,-1,-1,-1,28480,-1,32880,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6700,-1,10570,21315,-1,15380,25555,4500,8855,7570,speedlings
2940,1365,4210,12935,20605,8880,6910,9625,2280,5800,11920,12695,15145,17310,9570,10540,15505,13685,12185,8300,17430,-1,20560,20595,-1,16550,-1,17750,20595,-1,-1,30100,-1,-1,-1,-1,-1,-1,10925,15540,15520,12395,22295,22265,16485,4790,5195,-1,unknown
1710,2380,3030,7890,27830,-1,2000,6205,3755,4730,7010,8325,10175,14170,8785,10415,13030,9760,17425,13010,29590,32945,32995,-1,-1,23815,-1,25530,31470,34340,-1,31175,33040,40605,32915,-1,-1,-1,15280,17490,16055,16080,25490,21070,21045,13230,13685,-1,speedlings
2970,1325,4255,4645,31955,-1,3335,7995,2585,5530,15520,19635,33275,-1,12675,13680,18475,16920,15650,6925,8795,29560,10900,-1,-1,26070,-1,27360,29535,31485,-1,-1,-1,-1,-1,-1,-1,-1,17175,33185,17875,27280,-1,22705,-1,9150,9625,-1,speedlings
2685,3145,3955,30350,32255,48290,3325,7685,2015,6945,14735,18160,18480,25750,9145,10145,16620,9940,15455,9155,15535,34995,18690,-1,-1,26180,-1,27220,-1,-1,-1,29895,34160,38420,32830,60995,-1,-1,25625,27420,42255,27435,31480,48225,31500,4195,4615,36820,lurkers
3035,1395,4320,4715,-1,-1,3410,9825,2580,7640,12360,12895,-1,-1,12550,-1,-1,-1,-1,8570,10190,12050,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5020,5465,-1,speedlings
3035,1380,4305,10055,35130,-1,4110,7820,2585,4185,4665,10430,14015,14990,7990,8745,13995,12370,11210,6510,8400,13370,10340,-1,-1,30255,-1,31370,-1,-1,-1,38335,39625,41745,39635,-1,-1,-1,15640,28355,16505,18595,37765,20540,22640,7530,8595,-1,speedlings
3080,1450,4345,7595,20765,-1,3370,12025,2620,5215,14290,20665,21620,23665,5650,6515,10175,7300,15225,10065,28510,-1,30470,-1,-1,16625,-1,18545,-1,-1,-1,20420,21725,33360,21710,-1,-1,-1,13910,15665,14730,16600,20135,32410,20730,11045,11455,-1,speedlings
3010,1375,4275,4835,19775,-1,3385,11745,2550,6320,12890,13620,15430,18000,8550,9490,-1,-1,12510,7510,14930,17900,19425,-1,-1,16100,-1,17915,-1,-1,-1,20390,23435,27190,23575,-1,-1,-1,14265,15080,-1,14995,19095,-1,19050,9705,10090,-1,speedlings
3060,1390,4315,5790,-1,-1,3800,-1,2260,12230,14445,21050,-1,-1,13925,15465,-1,-1,16675,9760,11285,13150,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4740,5175,-1,speedlings
3000,1370,4255,7955,28110,-1,3380,12625,2550,5085,6020,6795,10570,22170,8805,11200,12505,10965,16815,11665,17155,19520,21095,-1,-1,25080,-1,26185,36575,39015,-1,28215,29550,34085,29510,28315,36095,29530,16210,18205,26930,18190,22220,34755,22205,8565,9350,42660,speedlings
3030,1375,4295,4910,-1,-1,3480,-1,2600,6430,8360,-1,-1,-1,8835,9785,11320,9630,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,speedlings
2890,1450,4165,7430,-1,-1,6250,12705,2210,5735,13090,14990,-1,-1,9710,10445,12485,10415,-1,10980,12670,14555,-1,-1,-1,16185,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,speedlings
3155,1390,4440,8870,-1,-1,7490,-1,2690,4835,6020,9415,18435,-1,-1,-1,-1,-1,-1,12325,13855,15730,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4940,5535,-1,speedlings
1595,2180,2880,3275,-1,-1,1895,12525,4480,5585,7845,14375,16165,17245,10320,11055,12425,14005,22965,12660,14970,17415,-1,-1,-1,23445,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9110,-1,17855,17860,-1,22435,22440,9235,11640,9825,speedlings
1645,2245,2965,3395,-1,17815,1965,12215,4725,6105,7150,13535,14930,16275,10510,11825,12040,13750,-1,15050,17795,21305,-1,20900,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20575,-1,21325,21330,-1,-1,-1,9955,10325,-1,speedlings
3045,1380,4335,6885,-1,-1,1570,5305,2595,5125,9845,-1,-1,-1,-1,-1,-1,-1,-1,11230,13245,15145,18340,17305,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11555,12430,-1,speedlings
3105,1265,4375,6875,20155,29140,4780,9220,2660,4610,15565,15960,16520,19160,7345,8120,-1,9035,12815,6445,22680,26700,25400,27350,-1,16455,-1,17685,25480,27530,-1,-1,-1,-1,-1,-1,-1,-1,12650,13475,30160,13460,17705,-1,13650,7080,7615,-1,speedlings
3200,1430,4470,5065,22260,-1,3745,11895,2690,8740,12760,15560,19665,21510,5715,6560,15110,13445,-1,10105,11680,-1,14025,-1,-1,18380,-1,20105,-1,-1,-1,23980,25430,25245,27340,-1,-1,-1,13520,14895,14265,14325,20160,16175,20140,12060,-1,-1,speedlings
2335,1375,3585,4535,23040,-1,1565,3255,3160,10585,14635,25760,29480,30950,7110,8815,-1,-1,9760,6005,11180,13065,13410,-1,-1,19045,-1,21130,23020,25365,-1,24975,26455,27330,31355,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4485,4850,-1,speedlings
3005,1390,4260,20575,22390,-1,6380,8355,2600,5370,7015,10260,12295,17700,10615,12325,13980,11805,-1,7890,9545,11415,16775,-1,-1,18295,-1,20510,-1,-1,-1,23715,25120,27275,25140,-1,-1,-1,13930,18260,15065,16350,22400,19095,21440,8690,9410,-1,mutas
2995,1365,4280,9940,18435,-1,7240,9180,2535,4025,5645,6315,11375,12880,9340,13115,-1,-1,14535,8845,14125,-1,16235,-1,-1,13825,16855,15740,-1,-1,-1,20930,22470,22505,-1,-1,-1,-1,7505,13380,-1,14740,17510,-1,19055,7650,9020,8255,speedlings
2990,1365,4255,15755,22160,18290,1565,3385,2570,8655,16705,18195,-1,-1,9660,11615,-1,-1,12530,4690,6380,8280,8250,-1,-1,18270,-1,19390,-1,-1,-1,22775,24160,24185,-1,-1,-1,-1,18330,19370,-1,19380,23570,-1,23580,11945,21450,21655,unknown
3070,1420,4345,4715,21690,19610,1640,3530,2675,5485,9570,14010,24020,-1,6145,6855,12135,9775,16805,13260,16460,-1,18390,-1,-1,18865,-1,19825,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14565,15300,15785,15655,15650,20680,20285,16105,16500,-1,speedlings
2925,1375,4275,8765,15800,-1,1590,3385,2450,4775,6005,11935,13235,16125,8390,10430,20310,12250,11640,7610,10195,17295,12135,-1,-1,12955,-1,13950,15785,18835,-1,18670,22615,-1,20250,-1,-1,-1,12995,13840,20560,13850,18030,-1,18050,8495,9530,-1,speedlings
