@relation Starcraft_PvT_Terran_openings

@attribute TerranDepot numeric
@attribute TerranGas numeric
@attribute TerranSecondGas numeric
@attribute TerranExpansion numeric
@attribute TerranSecondExpansion numeric
@attribute TerranThirdExpansion numeric
@attribute TerranFourthExpansion numeric
@attribute TerranBarracks numeric
@attribute TerranSecondBarracks numeric
@attribute TerranThirdBarracks numeric
@attribute TerranMarine numeric
@attribute TerranMedic numeric
@attribute TerranFirebat numeric
@attribute TerranBunker numeric
@attribute TerranAcademy numeric
@attribute TerranStem numeric
@attribute TerranComsat numeric
@attribute TerranEbay numeric
@attribute TerranTurret numeric
@attribute TerranInfantryAttack1 numeric
@attribute TerranInfantryArmor1 numeric
@attribute TerranInfantryAttack2 numeric
@attribute TerranInfantryArmor2 numeric
@attribute TerranFactory numeric
@attribute TerranSecondFactory numeric
@attribute TerranThirdFactory numeric
@attribute TerranMachineShop numeric
@attribute TerranSiege numeric
@attribute TerranMines numeric
@attribute TerranVulture numeric
@attribute TerranTank numeric
@attribute TerranGoliath numeric
@attribute TerranArmory numeric
@attribute TerranSecondArmory numeric
@attribute TerranMetalAttack1 numeric
@attribute TerranMetalArmor1 numeric
@attribute TerranMetalAttack2 numeric
@attribute TerranMetalArmor2 numeric
@attribute TerranStarport numeric
@attribute TerranControlTower numeric
@attribute TerranWraith numeric
@attribute TerranCloak numeric
@attribute TerranDropship numeric
@attribute TerranValkyrie numeric
@attribute TerranScienceFacility numeric
@attribute TerranVessel numeric
@attribute TerranGhost numeric
@attribute TerranNuke numeric
@attribute TerranBattlecruiser numeric
@attribute TerranAirAttack numeric
@attribute TerranAirArmor numeric
@attribute midBuild {bio,early}

@data
1455,2140,12855,7910,10465,16285,21190,2685,3985,-1,4290,-1,-1,-1,8920,-1,10315,13860,23795,-1,-1,-1,-1,4015,8250,9455,5365,6665,15305,15400,6005,6690,5340,29370,13030,23590,13845,30670,5390,6555,-1,-1,7180,-1,27030,-1,-1,-1,-1,-1,-1,siege_exp
1465,2610,29795,20250,20365,25915,34950,2215,14415,23055,3620,28990,-1,4390,23675,-1,25630,11845,12895,-1,-1,-1,-1,4215,9295,9755,9565,13165,11365,5520,10240,20300,18730,30460,35980,-1,-1,-1,23730,24915,26965,26970,26080,-1,54795,-1,-1,-1,-1,-1,-1,
1475,2470,10455,8565,14950,15650,19340,2195,8795,18880,20425,21605,26695,25410,13725,22480,15425,6695,8630,20060,20560,29335,29335,3760,12590,13700,5020,6810,-1,33035,5695,36905,34125,-1,37620,37630,-1,-1,4995,6125,-1,-1,6860,-1,25760,29400,41535,-1,-1,-1,-1,rax_fe
1475,2470,10455,8565,14950,15650,19340,2195,8795,18880,20425,21605,26695,25410,13725,22480,15425,6695,8630,20060,20560,29335,29335,3760,12590,13700,5020,6810,-1,33035,5695,36905,34125,-1,37620,37630,-1,-1,4995,6125,-1,-1,6860,-1,25760,29400,41535,-1,-1,-1,-1,rax_fe
1525,7150,16180,4560,11960,15115,19290,2365,2810,6595,3605,9145,9175,13745,7375,12450,9015,16565,18235,-1,-1,-1,-1,8795,15010,16305,10180,11045,-1,18045,11040,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,rax_fe
1402,2534,15144,6590,10124,13214,15960,2128,4568,19398,3790,-1,-1,-1,16824,-1,20452,7540,8502,-1,-1,-1,-1,3772,7302,9544,5052,5760,14086,15324,5750,25302,23116,-1,-1,-1,-1,-1,19506,24038,-1,-1,24780,-1,-1,-1,-1,-1,-1,-1,-1,unknown
1435,2505,11580,9115,11685,17700,-1,2150,7545,8760,4005,-1,-1,-1,13155,-1,14495,9250,10240,-1,-1,-1,-1,3820,4735,11910,5095,7915,6645,6295,5715,-1,19265,-1,22580,22590,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,two_facto
1475,2545,13255,10815,13450,14765,18345,2015,-1,-1,3260,-1,-1,7480,12635,-1,14625,6770,7875,-1,-1,-1,-1,4060,4800,13350,5430,11780,6145,6045,6160,-1,16635,18545,21940,-1,-1,-1,11320,12555,-1,-1,13370,-1,-1,-1,-1,-1,-1,-1,-1,two_facto
1605,2535,14630,10985,13675,17375,23100,2265,8505,14545,3565,-1,-1,-1,18365,-1,19805,13785,14810,-1,-1,-1,-1,3735,8895,13035,5045,7440,12780,10760,5940,-1,17530,-1,-1,-1,-1,-1,5235,6585,-1,-1,7250,-1,-1,-1,-1,-1,-1,-1,-1,rax_fe
1495,2570,13635,5965,7885,12610,16915,2145,6275,7220,5100,-1,-1,-1,22640,-1,29480,6280,7390,-1,-1,-1,-1,3735,7850,11330,4995,6860,10245,9300,5705,-1,-1,-1,-1,-1,-1,-1,13265,15370,-1,-1,20065,-1,-1,-1,-1,-1,-1,-1,-1,rax_fe
1440,2430,15195,10015,10945,13095,14415,2160,8725,13300,-1,-1,-1,-1,15290,-1,18145,8175,9330,-1,-1,-1,-1,3655,10985,13640,4930,6660,13650,12295,5590,-1,15965,-1,-1,-1,-1,-1,5140,6315,-1,-1,6930,-1,-1,-1,-1,-1,-1,-1,-1,rax_fe
1465,2610,29795,20250,20365,25915,34950,2215,14415,23055,3620,28990,-1,4390,23675,-1,25630,11845,12895,-1,-1,-1,-1,4215,9295,9755,9565,13165,11365,5520,10240,20300,18730,30460,35980,-1,-1,-1,23730,24915,26965,26970,26080,-1,54795,-1,-1,-1,-1,-1,-1,
1504,2536,17678,14808,-1,-1,-1,2156,11636,-1,4822,-1,-1,12862,14114,-1,16010,6832,7958,-1,-1,-1,-1,3746,9132,15100,5000,8388,13146,15022,5780,10450,8950,-1,-1,-1,-1,-1,5028,6184,-1,-1,6796,-1,-1,-1,-1,-1,-1,-1,-1,air
1440,2430,15195,10015,10945,13095,14415,2160,8725,13300,-1,-1,-1,-1,15290,-1,18145,8175,9330,-1,-1,-1,-1,3655,10985,13640,4930,6660,13650,12295,5590,-1,15965,-1,-1,-1,-1,-1,5140,6315,-1,-1,6930,-1,-1,-1,-1,-1,-1,-1,-1,rax_fe
1440,2392,10208,5638,8500,16710,19336,2476,-1,-1,-1,-1,-1,-1,7004,-1,8562,7828,9046,-1,-1,-1,-1,3878,9520,10612,5166,6540,13908,14230,5780,15414,11984,13598,21328,-1,-1,-1,7910,9564,-1,-1,11088,-1,-1,-1,-1,-1,-1,-1,-1,rax_fe
1330,2675,-1,11000,15185,18750,-1,2090,-1,-1,-1,-1,-1,-1,-1,-1,-1,6200,7490,-1,-1,-1,-1,4000,11205,-1,5325,8360,-1,-1,5980,-1,-1,-1,-1,-1,-1,-1,5290,6580,-1,-1,8055,-1,-1,-1,-1,-1,-1,-1,-1,rax_fe
1405,2570,14785,9440,11770,15165,20385,2150,4605,5815,4085,-1,-1,18820,11170,-1,12630,7295,8510,-1,-1,-1,-1,3940,7925,11810,5745,8025,12850,5250,6455,23980,15500,-1,17540,40640,21815,-1,6020,8385,7220,-1,9585,-1,19535,-1,-1,-1,-1,-1,-1,unknown
1490,2625,12285,8810,11225,13815,15470,2180,3510,-1,4460,-1,-1,-1,12210,-1,15605,6680,7660,-1,-1,-1,-1,3845,9380,10530,5100,5815,14380,15810,5730,-1,-1,-1,-1,-1,-1,-1,5135,6275,-1,-1,6960,-1,-1,-1,-1,-1,-1,-1,-1,rax_fe
1445,2570,10955,8600,16150,20545,26050,2160,9485,34275,3425,-1,-1,8740,12125,-1,13500,7580,9350,-1,-1,-1,-1,3765,9990,11015,5085,7275,12650,12850,5920,-1,16470,-1,19190,-1,20250,-1,5120,6290,-1,-1,6975,-1,-1,-1,-1,-1,-1,-1,-1,rax_fe
1460,3445,14660,12455,15950,21150,-1,2205,2785,5805,3470,-1,-1,15870,17025,-1,18780,9015,10300,-1,-1,-1,-1,5215,6130,10225,6525,7710,11790,22930,7260,-1,-1,-1,-1,-1,-1,-1,6515,7910,-1,-1,8545,-1,22435,23400,-1,-1,-1,-1,-1,bio
1475,2470,10455,8565,14950,15650,19340,2195,8795,18880,20425,21605,26695,25410,13725,22480,15425,6695,8630,20060,20560,29335,29335,3760,12590,13700,5020,6810,-1,33035,5695,36905,34125,-1,37620,37630,-1,-1,4995,6125,-1,-1,6860,-1,25760,29400,41535,-1,-1,-1,-1,rax_fe
1558,2418,10566,8606,13682,16754,18166,2184,3582,7784,4386,-1,-1,10428,14306,-1,16902,9842,10864,-1,-1,-1,-1,3712,10210,12410,4972,5624,14614,16652,5668,22924,20552,-1,-1,-1,-1,-1,5334,6466,23536,23554,7078,-1,-1,-1,-1,-1,-1,-1,-1,rax_fe
1355,2630,-1,15395,-1,-1,-1,2240,8730,-1,-1,-1,-1,-1,9395,-1,11280,7040,8090,-1,-1,-1,-1,3875,4865,11180,5220,6030,7280,6195,5905,17340,14410,-1,-1,-1,-1,-1,9300,11155,-1,-1,11805,-1,-1,-1,-1,-1,-1,-1,-1,two_facto
1470,2650,11560,8295,10785,17745,20255,2230,-1,-1,-1,-1,-1,-1,12910,-1,14235,8720,9795,-1,-1,-1,-1,3855,9400,10190,5130,6785,15035,14515,5785,-1,25425,28315,28285,-1,34565,-1,5145,6250,26375,-1,6880,-1,32185,-1,-1,-1,36190,39110,51665,rax_fe
1435,2505,11580,9115,11685,17700,-1,2150,7545,8760,4005,-1,-1,-1,13155,-1,14495,9250,10240,-1,-1,-1,-1,3820,4735,11910,5095,7915,6645,6295,5715,-1,19265,-1,22580,22590,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,two_facto
1435,2575,-1,-1,-1,-1,-1,2030,-1,-1,3310,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4085,4785,-1,5345,-1,6000,6075,5970,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,two_facto
1535,2500,13405,8225,19470,27850,-1,2180,7410,-1,3440,-1,-1,8610,10235,-1,13230,6120,7510,-1,-1,-1,-1,3720,4705,4890,5135,7565,13105,10845,5785,28000,25625,-1,-1,-1,-1,-1,7905,9785,13765,-1,13130,32220,-1,-1,-1,-1,-1,-1,-1,two_facto
1410,2410,11045,7165,9400,19120,24540,2145,7320,7900,3375,-1,-1,-1,11505,-1,13160,9080,10110,-1,-1,-1,-1,3720,7610,13185,4990,8925,16180,14990,5625,-1,16295,-1,21925,-1,-1,-1,8845,16720,10040,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,rax_fe
1445,2570,10955,8600,16150,20545,26050,2160,9485,34275,3425,-1,-1,8740,12125,-1,13500,7580,9350,-1,-1,-1,-1,3765,9990,11015,5085,7275,12650,12850,5920,-1,16470,-1,19190,-1,20250,-1,5120,6290,-1,-1,6975,-1,-1,-1,-1,-1,-1,-1,-1,rax_fe
1385,2490,16540,13495,20480,21370,22585,1990,17165,-1,3240,-1,-1,-1,17130,-1,20055,20435,22850,-1,-1,-1,-1,3730,4495,13815,5225,10740,6620,5995,9690,32840,20625,21800,25600,-1,-1,-1,10200,11365,-1,-1,12505,-1,-1,-1,-1,-1,-1,-1,-1,unknown
1402,2534,15144,6590,10124,13214,15960,2128,4568,19398,3790,-1,-1,-1,16824,-1,20452,7540,8502,-1,-1,-1,-1,3772,7302,9544,5052,5760,14086,15324,5750,25302,23116,-1,-1,-1,-1,-1,19506,24038,-1,-1,24780,-1,-1,-1,-1,-1,-1,-1,-1,unknown
1510,2550,-1,8760,-1,-1,-1,2165,-1,-1,3440,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3785,4520,-1,5030,-1,6435,5660,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,rax_fe
1445,2450,15415,5735,9260,9305,11405,2165,4640,7045,3395,-1,-1,10840,16410,-1,18280,7555,8675,-1,-1,-1,-1,3635,11450,12785,4870,7800,14410,14415,5500,-1,-1,-1,-1,-1,-1,-1,4900,6295,-1,-1,7085,-1,-1,-1,-1,-1,-1,-1,-1,bio
1455,2480,-1,14935,18550,23090,-1,2405,19975,-1,-1,-1,-1,-1,21225,-1,22530,7250,12225,-1,-1,-1,-1,3815,4825,14965,7515,10660,8885,5265,8535,-1,21160,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,two_facto
1365,3640,9465,2790,5390,16200,24565,3340,4705,5545,4960,13060,-1,7680,4855,7400,6220,8750,9780,-1,-1,-1,-1,4815,8650,11885,6125,7070,11010,10070,7065,-1,16260,-1,19000,19030,24860,24885,8230,9310,-1,-1,10155,-1,21230,-1,-1,-1,-1,-1,-1,air
1440,2430,15195,10015,10945,13095,14415,2160,8725,13300,-1,-1,-1,-1,15290,-1,18145,8175,9330,-1,-1,-1,-1,3655,10985,13640,4930,6660,13650,12295,5590,-1,15965,-1,-1,-1,-1,-1,5140,6315,-1,-1,6930,-1,-1,-1,-1,-1,-1,-1,-1,rax_fe
1425,2760,11170,5785,15725,-1,-1,2385,-1,-1,3675,-1,-1,8745,10510,-1,12025,11580,13235,-1,-1,-1,-1,4205,7300,9435,5545,7535,9600,9580,6160,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,rax_fe
1385,2490,16540,13495,20480,21370,22585,1990,17165,-1,3240,-1,-1,-1,17130,-1,20055,20435,22850,-1,-1,-1,-1,3730,4495,13815,5225,10740,6620,5995,9690,32840,20625,21800,25600,-1,-1,-1,10200,11365,-1,-1,12505,-1,-1,-1,-1,-1,-1,-1,-1,unknown
1430,2530,-1,8725,-1,-1,-1,2045,-1,-1,3325,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3880,4795,-1,5140,-1,6245,6160,5800,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,two_facto
1985,3780,-1,-1,-1,-1,-1,1510,2600,-1,2755,5100,-1,-1,3845,5210,6320,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1540,2680,10660,6815,21300,23125,28335,2195,3955,9640,3495,-1,-1,9130,11260,-1,12705,8320,12360,-1,-1,-1,-1,3870,7710,8100,5205,7215,11545,11730,5825,-1,-1,-1,-1,-1,-1,-1,29245,30865,-1,-1,31980,-1,-1,-1,-1,-1,-1,-1,-1,rax_fe
1465,2475,13460,10790,13435,13495,19065,2185,3450,9355,4860,-1,-1,-1,14795,-1,17580,8285,9450,-1,-1,-1,-1,3820,8160,10860,5085,7860,11115,9615,5720,-1,21255,-1,23370,-1,-1,-1,6145,7435,-1,-1,8440,-1,26560,-1,-1,-1,28480,-1,-1,rax_fe
1374,2326,-1,-1,-1,-1,-1,1980,7310,-1,3228,-1,-1,8118,-1,-1,-1,6348,7410,-1,-1,-1,-1,3596,9664,10796,4840,6732,-1,10738,5452,-1,-1,-1,-1,-1,-1,-1,4858,5974,-1,-1,6724,-1,-1,-1,-1,-1,-1,-1,-1,air
1374,2326,-1,-1,-1,-1,-1,1980,7310,-1,3228,-1,-1,8118,-1,-1,-1,6348,7410,-1,-1,-1,-1,3596,9664,10796,4840,6732,-1,10738,5452,-1,-1,-1,-1,-1,-1,-1,4858,5974,-1,-1,6724,-1,-1,-1,-1,-1,-1,-1,-1,air
1488,2474,-1,-1,-1,-1,-1,2164,3442,7484,3786,-1,-1,-1,-1,-1,-1,9154,11192,-1,-1,-1,-1,3650,4310,12438,4882,9084,6238,5494,7376,-1,-1,-1,-1,-1,-1,-1,7014,8826,11784,-1,9450,-1,-1,-1,-1,-1,-1,-1,-1,bio
1366,2476,11836,8944,11892,16700,24178,2106,3386,7566,4616,-1,-1,8598,13148,-1,14886,6606,9170,-1,-1,-1,-1,3664,9526,10032,4946,7166,12336,10804,5562,-1,18212,-1,23990,24002,34898,34922,4930,6492,-1,-1,7148,-1,32300,-1,-1,-1,-1,-1,-1,rax_fe
1434,2518,13724,10044,16382,17506,19480,2150,3424,11648,4588,13196,16176,20228,11794,13608,13134,6978,8004,16418,-1,-1,-1,3772,10420,20386,5030,7182,21826,21796,5696,-1,-1,-1,-1,-1,-1,-1,5044,6196,-1,-1,6814,-1,-1,-1,-1,-1,-1,-1,-1,rax_fe
1465,2610,29795,20250,20365,25915,34950,2215,14415,23055,3620,28990,-1,4390,23675,-1,25630,11845,12895,-1,-1,-1,-1,4215,9295,9755,9565,13165,11365,5520,10240,20300,18730,30460,35980,-1,-1,-1,23730,24915,26965,26970,26080,-1,54795,-1,-1,-1,-1,-1,-1,
1386,2516,16036,11890,14036,23610,28400,2136,6862,11884,4570,-1,-1,-1,19846,-1,21540,8404,9486,-1,-1,-1,-1,3710,4432,14424,4970,8342,6464,5594,5634,14952,13652,-1,17272,-1,17306,-1,11620,13954,13018,-1,14936,-1,29562,33192,-1,-1,-1,-1,-1,unknown
1475,2450,-1,14445,-1,-1,-1,2160,11455,15245,5025,-1,-1,-1,-1,-1,-1,13780,14750,-1,-1,-1,-1,3730,4540,16980,5010,9075,6270,6490,5640,11590,7890,-1,-1,-1,-1,-1,7475,-1,8600,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,unknown
1475,2545,13255,10815,13450,14765,18345,2015,-1,-1,3260,-1,-1,7480,12635,-1,14625,6770,7875,-1,-1,-1,-1,4060,4800,13350,5430,11780,6145,6045,6160,-1,16635,18545,21940,-1,-1,-1,11320,12555,-1,-1,13370,-1,-1,-1,-1,-1,-1,-1,-1,two_facto
1465,2610,29795,20250,20365,25915,34950,2215,14415,23055,3620,28990,-1,4390,23675,-1,25630,11845,12895,-1,-1,-1,-1,4215,9295,9755,9565,13165,11365,5520,10240,20300,18730,30460,35980,-1,-1,-1,23730,24915,26965,26970,26080,-1,54795,-1,-1,-1,-1,-1,-1,
1465,2610,29795,20250,20365,25915,34950,2215,14415,23055,3620,28990,-1,4390,23675,-1,25630,11845,12895,-1,-1,-1,-1,4215,9295,9755,9565,13165,11365,5520,10240,20300,18730,30460,35980,-1,-1,-1,23730,24915,26965,26970,26080,-1,54795,-1,-1,-1,-1,-1,-1,
1450,2470,13435,9650,11680,14390,18045,2140,7940,-1,-1,-1,-1,-1,14180,-1,15615,8185,10445,-1,-1,-1,-1,3705,9970,14220,4990,6865,13380,11555,5630,-1,14535,-1,18420,-1,-1,-1,5015,6130,-1,-1,6880,-1,-1,-1,-1,-1,-1,-1,-1,rax_fe
1488,2474,-1,-1,-1,-1,-1,2164,3442,7484,3786,-1,-1,-1,-1,-1,-1,9154,11192,-1,-1,-1,-1,3650,4310,12438,4882,9084,6238,5494,7376,-1,-1,-1,-1,-1,-1,-1,7014,8826,11784,-1,9450,-1,-1,-1,-1,-1,-1,-1,-1,bio
1528,2420,11106,7496,10274,15676,19468,2210,4234,13926,-1,-1,-1,-1,12642,-1,21768,9168,10684,-1,-1,-1,-1,3812,8964,9926,5216,6004,11858,11892,5968,-1,14500,-1,17864,-1,20130,-1,5194,6302,-1,-1,6920,-1,24382,-1,-1,-1,-1,-1,-1,rax_fe
1450,2470,13435,9650,11680,14390,18045,2140,7940,-1,-1,-1,-1,-1,14180,-1,15615,8185,10445,-1,-1,-1,-1,3705,9970,14220,4990,6865,13380,11555,5630,-1,14535,-1,18420,-1,-1,-1,5015,6130,-1,-1,6880,-1,-1,-1,-1,-1,-1,-1,-1,rax_fe
1660,2885,13755,9200,12530,17845,21360,2160,3545,21465,5905,-1,-1,-1,11385,-1,13075,6660,7720,-1,-1,-1,-1,4185,10880,11310,5520,6755,17105,17070,6150,32490,16225,-1,18005,-1,27245,-1,5475,6635,9700,-1,7300,-1,20685,24460,-1,-1,-1,-1,-1,rax_fe
1235,2455,11875,8465,10655,-1,-1,2195,3530,3780,3630,-1,-1,11340,-1,-1,-1,14445,15485,-1,-1,-1,-1,4085,9395,10035,5520,6605,14610,14625,6590,-1,12825,-1,14150,-1,-1,-1,5900,7060,-1,-1,7690,-1,-1,-1,-1,-1,-1,-1,-1,unknown
1426,2402,-1,14274,-1,-1,-1,2130,7272,-1,-1,-1,-1,-1,11382,-1,-1,7286,8814,-1,-1,-1,-1,3598,7642,8108,4902,6662,10930,8618,5514,-1,-1,-1,-1,-1,-1,-1,4862,6032,-1,-1,6644,-1,-1,-1,-1,-1,-1,-1,-1,air
1445,2470,10290,6615,8935,16885,22550,2085,35290,-1,5140,-1,-1,-1,10620,-1,11890,7770,9015,-1,-1,-1,-1,3655,9765,10175,4925,7605,12445,12530,5540,22690,16985,-1,18410,18420,24185,24195,7870,9200,25140,25540,19890,-1,17950,32600,-1,-1,-1,29595,34665,rax_fe
1415,2590,14920,11180,15525,15955,23025,2240,4845,17240,-1,-1,-1,-1,17350,-1,19540,8475,9555,-1,-1,-1,-1,3800,4760,5375,5060,5790,7170,7295,5690,33240,20315,26640,23365,29310,29290,35725,20400,23390,-1,-1,25135,-1,26675,29330,45555,49555,-1,-1,-1,two_facto
1290,2670,14680,7185,9570,10030,10880,2260,-1,-1,3570,-1,-1,8230,14735,-1,16245,7890,8990,-1,-1,-1,-1,4115,12080,14510,5405,8675,12515,12480,6075,24520,23240,25190,24560,27035,30285,-1,23150,25080,-1,-1,26180,-1,25170,-1,-1,-1,-1,-1,-1,rax_fe
1430,2645,-1,-1,-1,-1,-1,2125,3565,4965,3790,-1,-1,4325,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,bio
1455,2490,11755,7920,14530,16215,23210,2205,16695,-1,3460,-1,-1,4690,12690,-1,14310,5325,6670,-1,-1,-1,-1,3750,8875,9295,5200,5885,10915,10950,5875,18750,14365,22265,16095,-1,-1,-1,16480,18595,20145,20160,24555,-1,18635,-1,-1,-1,-1,22230,24490,unknown
1550,2610,14030,8570,10895,13980,32300,2230,3530,7895,4245,-1,-1,8230,13425,-1,14760,7695,9165,-1,-1,-1,-1,3840,10460,10640,5110,6590,15410,14475,5730,26075,20820,29650,22425,26440,32995,33015,5135,6280,-1,-1,6900,-1,30760,-1,-1,-1,-1,-1,-1,rax_fe
1500,1935,2695,9420,11630,22410,-1,2295,8600,9775,4690,-1,-1,-1,15570,-1,16935,8460,9540,-1,-1,-1,-1,4140,5195,11210,5410,10600,7090,7070,6035,-1,18565,-1,20245,24650,-1,-1,23310,24625,-1,-1,26010,-1,-1,-1,-1,-1,-1,-1,-1,two_facto
1515,2435,-1,6340,8990,-1,-1,2270,2695,4200,4285,-1,-1,8530,-1,-1,-1,7330,8270,-1,-1,-1,-1,4160,11665,-1,5435,6795,-1,-1,6105,-1,-1,-1,-1,-1,-1,-1,14140,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,unknown
