Protoss_Pylon2 141; Protoss_Pylon 47; Protoss_Opening reaver_drop; Protoss_Assimilator 99; Protoss_Gateway 85; Protoss_Robotics_Support_Bay 286; Protoss_Expansion 650; Protoss_Arbiter_Tribunal 937; Protoss_Robotics_Facility 191; Protoss_Fleet_Beacon -1; Protoss_Stargate 846; Protoss_Citadel_of_Adun 302; Protoss_Gateway2 451; Protoss_Forge 737; Protoss_Templar_Archives 345; Protoss_Photon_Cannon 770; Protoss_Cybernetics_Core 133; 
Protoss_Pylon2 154; Protoss_Pylon 53; Protoss_Opening ; Protoss_Assimilator 106; Protoss_Gateway 86; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 274; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 356; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 313; Protoss_Forge -1; Protoss_Templar_Archives -1; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core 131; 
Protoss_Pylon2 195; Protoss_Pylon 53; Protoss_Opening nony; Protoss_Assimilator 107; Protoss_Gateway 85; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 373; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 275; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 422; Protoss_Gateway2 181; Protoss_Forge 551; Protoss_Templar_Archives 557; Protoss_Photon_Cannon 613; Protoss_Cybernetics_Core 143; 
Protoss_Pylon2 152; Protoss_Pylon 59; Protoss_Opening nony; Protoss_Assimilator 92; Protoss_Gateway 83; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 293; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility -1; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 307; Protoss_Forge 440; Protoss_Templar_Archives -1; Protoss_Photon_Cannon 539; Protoss_Cybernetics_Core 135; 
Protoss_Pylon2 154; Protoss_Pylon 53; Protoss_Opening ; Protoss_Assimilator 112; Protoss_Gateway 98; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 472; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 277; Protoss_Fleet_Beacon 744; Protoss_Stargate 695; Protoss_Citadel_of_Adun 245; Protoss_Gateway2 287; Protoss_Forge -1; Protoss_Templar_Archives 576; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core 147; 
Protoss_Pylon2 204; Protoss_Pylon 54; Protoss_Opening ; Protoss_Assimilator 154; Protoss_Gateway 141; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 117; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility -1; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 285; Protoss_Gateway2 247; Protoss_Forge 515; Protoss_Templar_Archives 338; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core 182; 
Protoss_Pylon2 149; Protoss_Pylon 53; Protoss_Opening nony; Protoss_Assimilator 95; Protoss_Gateway 78; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 406; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 249; Protoss_Fleet_Beacon 1019; Protoss_Stargate 969; Protoss_Citadel_of_Adun 539; Protoss_Gateway2 283; Protoss_Forge 526; Protoss_Templar_Archives 598; Protoss_Photon_Cannon 568; Protoss_Cybernetics_Core 128; 
Protoss_Pylon2 151; Protoss_Pylon 54; Protoss_Opening fast_dt; Protoss_Assimilator 187; Protoss_Gateway 78; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 375; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 507; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 252; Protoss_Gateway2 423; Protoss_Forge 115; Protoss_Templar_Archives 301; Protoss_Photon_Cannon 488; Protoss_Cybernetics_Core 209; 
Protoss_Pylon2 162; Protoss_Pylon 57; Protoss_Opening fast_dt; Protoss_Assimilator 109; Protoss_Gateway 95; Protoss_Robotics_Support_Bay 718; Protoss_Expansion 378; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 326; Protoss_Fleet_Beacon 0; Protoss_Stargate 1073; Protoss_Citadel_of_Adun 206; Protoss_Gateway2 269; Protoss_Forge 402; Protoss_Templar_Archives 248; Protoss_Photon_Cannon 513; Protoss_Cybernetics_Core 145; 
Protoss_Pylon2 148; Protoss_Pylon 50; Protoss_Opening nony; Protoss_Assimilator 103; Protoss_Gateway 81; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 355; Protoss_Arbiter_Tribunal 889; Protoss_Robotics_Facility 239; Protoss_Fleet_Beacon -1; Protoss_Stargate 741; Protoss_Citadel_of_Adun 431; Protoss_Gateway2 256; Protoss_Forge 489; Protoss_Templar_Archives 812; Protoss_Photon_Cannon 519; Protoss_Cybernetics_Core 126; 
Protoss_Pylon2 145; Protoss_Pylon 50; Protoss_Opening ; Protoss_Assimilator 93; Protoss_Gateway 88; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 755; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 193; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 369; Protoss_Gateway2 212; Protoss_Forge -1; Protoss_Templar_Archives 493; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core 140; 
Protoss_Pylon2 144; Protoss_Pylon 51; Protoss_Opening nony; Protoss_Assimilator 102; Protoss_Gateway 81; Protoss_Robotics_Support_Bay -1; Protoss_Expansion -1; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 259; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 230; Protoss_Forge -1; Protoss_Templar_Archives -1; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core 131; 
Protoss_Pylon2 159; Protoss_Pylon 53; Protoss_Opening corsair; Protoss_Assimilator 78; Protoss_Gateway 100; Protoss_Robotics_Support_Bay 270; Protoss_Expansion 431; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 183; Protoss_Fleet_Beacon 0; Protoss_Stargate 197; Protoss_Citadel_of_Adun 577; Protoss_Gateway2 666; Protoss_Forge 358; Protoss_Templar_Archives 672; Protoss_Photon_Cannon 423; Protoss_Cybernetics_Core 141; 
Protoss_Pylon2 152; Protoss_Pylon 49; Protoss_Opening ; Protoss_Assimilator 75; Protoss_Gateway 94; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 425; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 178; Protoss_Fleet_Beacon 547; Protoss_Stargate 476; Protoss_Citadel_of_Adun 636; Protoss_Gateway2 212; Protoss_Forge -1; Protoss_Templar_Archives -1; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core 136; 
Protoss_Pylon2 231; Protoss_Pylon 53; Protoss_Opening two_gates; Protoss_Assimilator 146; Protoss_Gateway 155; Protoss_Robotics_Support_Bay 345; Protoss_Expansion 122; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 278; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 353; Protoss_Gateway2 206; Protoss_Forge 252; Protoss_Templar_Archives 658; Protoss_Photon_Cannon 305; Protoss_Cybernetics_Core 213; 
Protoss_Pylon2 148; Protoss_Pylon 52; Protoss_Opening nony; Protoss_Assimilator 103; Protoss_Gateway 88; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 352; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 242; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 379; Protoss_Gateway2 407; Protoss_Forge -1; Protoss_Templar_Archives 429; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core 132; 
Protoss_Pylon2 140; Protoss_Pylon 48; Protoss_Opening fast_dt; Protoss_Assimilator 100; Protoss_Gateway 79; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 278; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 187; Protoss_Fleet_Beacon 690; Protoss_Stargate 619; Protoss_Citadel_of_Adun 297; Protoss_Gateway2 227; Protoss_Forge 379; Protoss_Templar_Archives 339; Protoss_Photon_Cannon 425; Protoss_Cybernetics_Core 126; 
Protoss_Pylon2 153; Protoss_Pylon 53; Protoss_Opening speedzeal; Protoss_Assimilator 113; Protoss_Gateway 86; Protoss_Robotics_Support_Bay 418; Protoss_Expansion 457; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 295; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 583; Protoss_Gateway2 184; Protoss_Forge 575; Protoss_Templar_Archives -1; Protoss_Photon_Cannon 627; Protoss_Cybernetics_Core 142; 
Protoss_Pylon2 150; Protoss_Pylon 50; Protoss_Opening reaver_drop; Protoss_Assimilator 103; Protoss_Gateway 80; Protoss_Robotics_Support_Bay 253; Protoss_Expansion 622; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 191; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 565; Protoss_Gateway2 393; Protoss_Forge 736; Protoss_Templar_Archives 973; Protoss_Photon_Cannon 789; Protoss_Cybernetics_Core 131; 
Protoss_Pylon2 148; Protoss_Pylon 49; Protoss_Opening nony; Protoss_Assimilator 106; Protoss_Gateway 81; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 358; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 248; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 449; Protoss_Gateway2 421; Protoss_Forge -1; Protoss_Templar_Archives 491; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core 131; 
Protoss_Pylon2 150; Protoss_Pylon 49; Protoss_Opening nony; Protoss_Assimilator 100; Protoss_Gateway 79; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 418; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 277; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 493; Protoss_Gateway2 232; Protoss_Forge 659; Protoss_Templar_Archives 779; Protoss_Photon_Cannon 704; Protoss_Cybernetics_Core 125; 
Protoss_Pylon2 153; Protoss_Pylon 51; Protoss_Opening speedzeal; Protoss_Assimilator 107; Protoss_Gateway 84; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 300; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 200; Protoss_Fleet_Beacon 679; Protoss_Stargate 629; Protoss_Citadel_of_Adun 396; Protoss_Gateway2 320; Protoss_Forge 553; Protoss_Templar_Archives -1; Protoss_Photon_Cannon 592; Protoss_Cybernetics_Core 132; 
Protoss_Pylon2 124; Protoss_Pylon 48; Protoss_Opening two_gates; Protoss_Assimilator 105; Protoss_Gateway 78; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 365; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 329; Protoss_Fleet_Beacon 1048; Protoss_Stargate 976; Protoss_Citadel_of_Adun 204; Protoss_Gateway2 220; Protoss_Forge 429; Protoss_Templar_Archives 264; Protoss_Photon_Cannon 458; Protoss_Cybernetics_Core 150; 
Protoss_Pylon2 155; Protoss_Pylon 52; Protoss_Opening nony; Protoss_Assimilator 108; Protoss_Gateway 85; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 398; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 373; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 527; Protoss_Gateway2 252; Protoss_Forge 615; Protoss_Templar_Archives 602; Protoss_Photon_Cannon 652; Protoss_Cybernetics_Core 136; 
Protoss_Pylon2 150; Protoss_Pylon 50; Protoss_Opening reaver_drop; Protoss_Assimilator 104; Protoss_Gateway 80; Protoss_Robotics_Support_Bay 264; Protoss_Expansion 406; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 192; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 543; Protoss_Gateway2 437; Protoss_Forge 660; Protoss_Templar_Archives -1; Protoss_Photon_Cannon 692; Protoss_Cybernetics_Core 126; 
Protoss_Pylon2 176; Protoss_Pylon 52; Protoss_Opening nony; Protoss_Assimilator 106; Protoss_Gateway 87; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 369; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 420; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 565; Protoss_Gateway2 155; Protoss_Forge -1; Protoss_Templar_Archives -1; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core 130; 
Protoss_Pylon2 144; Protoss_Pylon 54; Protoss_Opening nony; Protoss_Assimilator 119; Protoss_Gateway 90; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 181; Protoss_Arbiter_Tribunal 597; Protoss_Robotics_Facility 422; Protoss_Fleet_Beacon -1; Protoss_Stargate 541; Protoss_Citadel_of_Adun 263; Protoss_Gateway2 229; Protoss_Forge 587; Protoss_Templar_Archives 320; Protoss_Photon_Cannon 639; Protoss_Cybernetics_Core 141; 
Protoss_Pylon2 183; Protoss_Pylon 48; Protoss_Opening unknown; Protoss_Assimilator 95; Protoss_Gateway 74; Protoss_Robotics_Support_Bay 408; Protoss_Expansion 506; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 353; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 589; Protoss_Gateway2 143; Protoss_Forge -1; Protoss_Templar_Archives -1; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core 128; 
Protoss_Pylon2 130; Protoss_Pylon 50; Protoss_Opening two_gates; Protoss_Assimilator 92; Protoss_Gateway 80; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 399; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 237; Protoss_Fleet_Beacon 740; Protoss_Stargate 686; Protoss_Citadel_of_Adun 206; Protoss_Gateway2 286; Protoss_Forge 470; Protoss_Templar_Archives 262; Protoss_Photon_Cannon 500; Protoss_Cybernetics_Core 161; 
Protoss_Pylon2 149; Protoss_Pylon 49; Protoss_Opening two_gates; Protoss_Assimilator 137; Protoss_Gateway 125; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 109; Protoss_Arbiter_Tribunal 579; Protoss_Robotics_Facility 291; Protoss_Fleet_Beacon -1; Protoss_Stargate 530; Protoss_Citadel_of_Adun 371; Protoss_Gateway2 205; Protoss_Forge 445; Protoss_Templar_Archives 526; Protoss_Photon_Cannon 553; Protoss_Cybernetics_Core 169; 
Protoss_Pylon2 142; Protoss_Pylon 50; Protoss_Opening speedzeal; Protoss_Assimilator 100; Protoss_Gateway 79; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 318; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 189; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 447; Protoss_Gateway2 330; Protoss_Forge 576; Protoss_Templar_Archives 490; Protoss_Photon_Cannon 777; Protoss_Cybernetics_Core 128; 
Protoss_Pylon2 142; Protoss_Pylon 47; Protoss_Opening nony; Protoss_Assimilator 94; Protoss_Gateway 77; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 346; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 285; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 464; Protoss_Gateway2 206; Protoss_Forge 411; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 451; Protoss_Cybernetics_Core 123; 
Protoss_Pylon2 147; Protoss_Pylon 50; Protoss_Opening nony; Protoss_Assimilator 99; Protoss_Gateway 78; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 459; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 327; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 222; Protoss_Gateway2 274; Protoss_Forge 630; Protoss_Templar_Archives 272; Protoss_Photon_Cannon 663; Protoss_Cybernetics_Core 122; 
Protoss_Pylon2 139; Protoss_Pylon 47; Protoss_Opening reaver_drop; Protoss_Assimilator 94; Protoss_Gateway 80; Protoss_Robotics_Support_Bay 232; Protoss_Expansion 362; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 171; Protoss_Fleet_Beacon 593; Protoss_Stargate 541; Protoss_Citadel_of_Adun 1010; Protoss_Gateway2 526; Protoss_Forge 726; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 764; Protoss_Cybernetics_Core 124; 
Protoss_Pylon2 155; Protoss_Pylon 54; Protoss_Opening nony; Protoss_Assimilator 108; Protoss_Gateway 88; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 307; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 735; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 480; Protoss_Gateway2 250; Protoss_Forge 371; Protoss_Templar_Archives 569; Protoss_Photon_Cannon 440; Protoss_Cybernetics_Core 132; 
Protoss_Pylon2 170; Protoss_Pylon 52; Protoss_Opening speedzeal; Protoss_Assimilator 108; Protoss_Gateway 85; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 367; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 246; Protoss_Fleet_Beacon 0; Protoss_Stargate 1077; Protoss_Citadel_of_Adun 476; Protoss_Gateway2 160; Protoss_Forge 330; Protoss_Templar_Archives 568; Protoss_Photon_Cannon 409; Protoss_Cybernetics_Core 134; 
Protoss_Pylon2 149; Protoss_Pylon 49; Protoss_Opening fast_dt; Protoss_Assimilator 81; Protoss_Gateway 101; Protoss_Robotics_Support_Bay 677; Protoss_Expansion 327; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 199; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 252; Protoss_Gateway2 335; Protoss_Forge 682; Protoss_Templar_Archives 342; Protoss_Photon_Cannon 729; Protoss_Cybernetics_Core 144; 
Protoss_Pylon2 157; Protoss_Pylon 50; Protoss_Opening speedzeal; Protoss_Assimilator 70; Protoss_Gateway 98; Protoss_Robotics_Support_Bay 551; Protoss_Expansion 318; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 193; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 183; Protoss_Gateway2 206; Protoss_Forge 469; Protoss_Templar_Archives 562; Protoss_Photon_Cannon 512; Protoss_Cybernetics_Core 142; 
Protoss_Pylon2 149; Protoss_Pylon 50; Protoss_Opening nony; Protoss_Assimilator 100; Protoss_Gateway 81; Protoss_Robotics_Support_Bay -1; Protoss_Expansion -1; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 280; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 188; Protoss_Forge -1; Protoss_Templar_Archives -1; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core 128; 
Protoss_Pylon2 144; Protoss_Pylon 49; Protoss_Opening nony; Protoss_Assimilator 99; Protoss_Gateway 79; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 328; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 223; Protoss_Fleet_Beacon 891; Protoss_Stargate 839; Protoss_Citadel_of_Adun 506; Protoss_Gateway2 248; Protoss_Forge 664; Protoss_Templar_Archives 996; Protoss_Photon_Cannon 698; Protoss_Cybernetics_Core 123; 
Protoss_Pylon2 142; Protoss_Pylon 47; Protoss_Opening nony; Protoss_Assimilator 95; Protoss_Gateway 79; Protoss_Robotics_Support_Bay 300; Protoss_Expansion -1; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 222; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 252; Protoss_Forge -1; Protoss_Templar_Archives -1; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core 121; 
Protoss_Pylon2 -1; Protoss_Pylon 0; Protoss_Opening ; Protoss_Assimilator -1; Protoss_Gateway -1; Protoss_Robotics_Support_Bay -1; Protoss_Expansion -1; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility -1; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 -1; Protoss_Forge -1; Protoss_Templar_Archives -1; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core -1; 
Protoss_Pylon2 140; Protoss_Pylon 49; Protoss_Opening nony; Protoss_Assimilator 99; Protoss_Gateway 77; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 251; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 277; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 301; Protoss_Forge -1; Protoss_Templar_Archives -1; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core 121; 
Protoss_Pylon2 -1; Protoss_Pylon 47; Protoss_Opening ; Protoss_Assimilator -1; Protoss_Gateway -1; Protoss_Robotics_Support_Bay -1; Protoss_Expansion -1; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility -1; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 -1; Protoss_Forge -1; Protoss_Templar_Archives -1; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core -1; 
Protoss_Pylon2 142; Protoss_Pylon 50; Protoss_Opening reaver_drop; Protoss_Assimilator 94; Protoss_Gateway 78; Protoss_Robotics_Support_Bay 349; Protoss_Expansion 305; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 183; Protoss_Fleet_Beacon 559; Protoss_Stargate 500; Protoss_Citadel_of_Adun 793; Protoss_Gateway2 328; Protoss_Forge 1056; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 121; 
