Zerg_Hive 1074; Zerg_Opening unknown; Zerg_Spawning_Pool 125; Zerg_Extractor 263; Zerg_Creep_Colony 180; Zerg_Evolution_Chamber 526; Zerg_Queens_Nest 872; Zerg_Sunken_Colony 221; Zerg_Spore_Colony -1; Zerg_Expansion 99; Zerg_Hydralisk_Den 308; Zerg_Greater_Spire -1; Zerg_Expansion2 251; Zerg_Lair 597; Zerg_Ultralisk_Cavern -1; Zerg_Spire 662; Zerg_Building_Overlord 50; Zerg_Defiler_Mound -1; 
Zerg_Hive 618; Zerg_Opening unknown; Zerg_Spawning_Pool 127; Zerg_Extractor 66; Zerg_Creep_Colony 235; Zerg_Evolution_Chamber 445; Zerg_Queens_Nest 533; Zerg_Sunken_Colony 272; Zerg_Spore_Colony -1; Zerg_Expansion 108; Zerg_Hydralisk_Den 353; Zerg_Greater_Spire -1; Zerg_Expansion2 173; Zerg_Lair 305; Zerg_Ultralisk_Cavern -1; Zerg_Spire 1049; Zerg_Building_Overlord 58; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening speedlings; Zerg_Spawning_Pool 90; Zerg_Extractor 281; Zerg_Creep_Colony 223; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 240; Zerg_Spore_Colony -1; Zerg_Expansion 133; Zerg_Hydralisk_Den 364; Zerg_Greater_Spire -1; Zerg_Expansion2 184; Zerg_Lair 337; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 56; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening unknown; Zerg_Spawning_Pool 105; Zerg_Extractor 93; Zerg_Creep_Colony -1; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony -1; Zerg_Spore_Colony -1; Zerg_Expansion 190; Zerg_Hydralisk_Den 224; Zerg_Greater_Spire -1; Zerg_Expansion2 528; Zerg_Lair 158; Zerg_Ultralisk_Cavern -1; Zerg_Spire 436; Zerg_Building_Overlord 60; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening speedlings; Zerg_Spawning_Pool 67; Zerg_Extractor 83; Zerg_Creep_Colony 345; Zerg_Evolution_Chamber 306; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 365; Zerg_Spore_Colony 415; Zerg_Expansion 206; Zerg_Hydralisk_Den -1; Zerg_Greater_Spire -1; Zerg_Expansion2 247; Zerg_Lair -1; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 90; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening speedlings; Zerg_Spawning_Pool 92; Zerg_Extractor 296; Zerg_Creep_Colony 213; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 242; Zerg_Spore_Colony -1; Zerg_Expansion 136; Zerg_Hydralisk_Den 688; Zerg_Greater_Spire -1; Zerg_Expansion2 194; Zerg_Lair 390; Zerg_Ultralisk_Cavern -1; Zerg_Spire 456; Zerg_Building_Overlord 60; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening speedlings; Zerg_Spawning_Pool 112; Zerg_Extractor 56; Zerg_Creep_Colony 192; Zerg_Evolution_Chamber 664; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 209; Zerg_Spore_Colony -1; Zerg_Expansion 91; Zerg_Hydralisk_Den 556; Zerg_Greater_Spire -1; Zerg_Expansion2 259; Zerg_Lair 480; Zerg_Ultralisk_Cavern -1; Zerg_Spire 873; Zerg_Building_Overlord 138; Zerg_Defiler_Mound -1; 
Zerg_Hive 1017; Zerg_Opening speedlings; Zerg_Spawning_Pool 123; Zerg_Extractor 233; Zerg_Creep_Colony 410; Zerg_Evolution_Chamber 793; Zerg_Queens_Nest 905; Zerg_Sunken_Colony 429; Zerg_Spore_Colony -1; Zerg_Expansion 101; Zerg_Hydralisk_Den 555; Zerg_Greater_Spire -1; Zerg_Expansion2 212; Zerg_Lair 563; Zerg_Ultralisk_Cavern 0; Zerg_Spire -1; Zerg_Building_Overlord 50; Zerg_Defiler_Mound 0; 
Zerg_Hive 747; Zerg_Opening hydras; Zerg_Spawning_Pool 126; Zerg_Extractor 225; Zerg_Creep_Colony 185; Zerg_Evolution_Chamber 268; Zerg_Queens_Nest 699; Zerg_Sunken_Colony 201; Zerg_Spore_Colony 321; Zerg_Expansion 107; Zerg_Hydralisk_Den 396; Zerg_Greater_Spire -1; Zerg_Expansion2 210; Zerg_Lair 300; Zerg_Ultralisk_Cavern -1; Zerg_Spire 365; Zerg_Building_Overlord 60; Zerg_Defiler_Mound -1; 
Zerg_Hive 850; Zerg_Opening speedlings; Zerg_Spawning_Pool 122; Zerg_Extractor 141; Zerg_Creep_Colony -1; Zerg_Evolution_Chamber 511; Zerg_Queens_Nest 776; Zerg_Sunken_Colony -1; Zerg_Spore_Colony -1; Zerg_Expansion 108; Zerg_Hydralisk_Den 298; Zerg_Greater_Spire -1; Zerg_Expansion2 193; Zerg_Lair 408; Zerg_Ultralisk_Cavern 0; Zerg_Spire -1; Zerg_Building_Overlord 56; Zerg_Defiler_Mound 0; 
Zerg_Hive 990; Zerg_Opening hydras; Zerg_Spawning_Pool 155; Zerg_Extractor 92; Zerg_Creep_Colony 637; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest 948; Zerg_Sunken_Colony 653; Zerg_Spore_Colony -1; Zerg_Expansion 126; Zerg_Hydralisk_Den 234; Zerg_Greater_Spire 1072; Zerg_Expansion2 464; Zerg_Lair 207; Zerg_Ultralisk_Cavern -1; Zerg_Spire 647; Zerg_Building_Overlord 60; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening speedlings; Zerg_Spawning_Pool 101; Zerg_Extractor 109; Zerg_Creep_Colony 190; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 211; Zerg_Spore_Colony -1; Zerg_Expansion 175; Zerg_Hydralisk_Den 534; Zerg_Greater_Spire -1; Zerg_Expansion2 696; Zerg_Lair 252; Zerg_Ultralisk_Cavern -1; Zerg_Spire 335; Zerg_Building_Overlord 48; Zerg_Defiler_Mound -1; 
Zerg_Hive 672; Zerg_Opening fast_mutas; Zerg_Spawning_Pool 107; Zerg_Extractor 150; Zerg_Creep_Colony 172; Zerg_Evolution_Chamber 617; Zerg_Queens_Nest 618; Zerg_Sunken_Colony 246; Zerg_Spore_Colony -1; Zerg_Expansion 80; Zerg_Hydralisk_Den 615; Zerg_Greater_Spire 751; Zerg_Expansion2 362; Zerg_Lair 405; Zerg_Ultralisk_Cavern 799; Zerg_Spire 520; Zerg_Building_Overlord 163; Zerg_Defiler_Mound -1; 
Zerg_Hive 698; Zerg_Opening unknown; Zerg_Spawning_Pool 106; Zerg_Extractor 119; Zerg_Creep_Colony 190; Zerg_Evolution_Chamber 507; Zerg_Queens_Nest 652; Zerg_Sunken_Colony 210; Zerg_Spore_Colony -1; Zerg_Expansion 77; Zerg_Hydralisk_Den 417; Zerg_Greater_Spire 774; Zerg_Expansion2 351; Zerg_Lair 273; Zerg_Ultralisk_Cavern 926; Zerg_Spire 337; Zerg_Building_Overlord 131; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening speedlings; Zerg_Spawning_Pool 97; Zerg_Extractor 64; Zerg_Creep_Colony 382; Zerg_Evolution_Chamber 556; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 411; Zerg_Spore_Colony -1; Zerg_Expansion 138; Zerg_Hydralisk_Den 426; Zerg_Greater_Spire -1; Zerg_Expansion2 223; Zerg_Lair 326; Zerg_Ultralisk_Cavern -1; Zerg_Spire 399; Zerg_Building_Overlord 58; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening speedlings; Zerg_Spawning_Pool 68; Zerg_Extractor 82; Zerg_Creep_Colony 349; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 426; Zerg_Spore_Colony -1; Zerg_Expansion 181; Zerg_Hydralisk_Den 548; Zerg_Greater_Spire -1; Zerg_Expansion2 223; Zerg_Lair 546; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 91; Zerg_Defiler_Mound -1; 
Zerg_Hive 0; Zerg_Opening speedlings; Zerg_Spawning_Pool 106; Zerg_Extractor 68; Zerg_Creep_Colony 340; Zerg_Evolution_Chamber 504; Zerg_Queens_Nest 1022; Zerg_Sunken_Colony 357; Zerg_Spore_Colony 0; Zerg_Expansion 143; Zerg_Hydralisk_Den 300; Zerg_Greater_Spire -1; Zerg_Expansion2 234; Zerg_Lair 532; Zerg_Ultralisk_Cavern 0; Zerg_Spire 0; Zerg_Building_Overlord 62; Zerg_Defiler_Mound -1; 
Zerg_Hive 666; Zerg_Opening speedlings; Zerg_Spawning_Pool 129; Zerg_Extractor 163; Zerg_Creep_Colony 314; Zerg_Evolution_Chamber 417; Zerg_Queens_Nest 604; Zerg_Sunken_Colony 341; Zerg_Spore_Colony 557; Zerg_Expansion 109; Zerg_Hydralisk_Den 307; Zerg_Greater_Spire -1; Zerg_Expansion2 218; Zerg_Lair 255; Zerg_Ultralisk_Cavern -1; Zerg_Spire 440; Zerg_Building_Overlord 59; Zerg_Defiler_Mound -1; 
Zerg_Hive 779; Zerg_Opening speedlings; Zerg_Spawning_Pool 127; Zerg_Extractor 254; Zerg_Creep_Colony 197; Zerg_Evolution_Chamber 552; Zerg_Queens_Nest 735; Zerg_Sunken_Colony 213; Zerg_Spore_Colony -1; Zerg_Expansion 111; Zerg_Hydralisk_Den 346; Zerg_Greater_Spire -1; Zerg_Expansion2 170; Zerg_Lair 365; Zerg_Ultralisk_Cavern 858; Zerg_Spire 587; Zerg_Building_Overlord 56; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening lurkers; Zerg_Spawning_Pool 133; Zerg_Extractor 58; Zerg_Creep_Colony 436; Zerg_Evolution_Chamber 973; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 471; Zerg_Spore_Colony -1; Zerg_Expansion 112; Zerg_Hydralisk_Den 315; Zerg_Greater_Spire -1; Zerg_Expansion2 205; Zerg_Lair 254; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 69; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening speedlings; Zerg_Spawning_Pool 130; Zerg_Extractor 150; Zerg_Creep_Colony 316; Zerg_Evolution_Chamber 718; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 357; Zerg_Spore_Colony -1; Zerg_Expansion 110; Zerg_Hydralisk_Den 390; Zerg_Greater_Spire -1; Zerg_Expansion2 224; Zerg_Lair 576; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 59; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening hydras; Zerg_Spawning_Pool 129; Zerg_Extractor 153; Zerg_Creep_Colony -1; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony -1; Zerg_Spore_Colony -1; Zerg_Expansion 109; Zerg_Hydralisk_Den 206; Zerg_Greater_Spire -1; Zerg_Expansion2 469; Zerg_Lair 509; Zerg_Ultralisk_Cavern -1; Zerg_Spire 591; Zerg_Building_Overlord 58; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening speedlings; Zerg_Spawning_Pool 133; Zerg_Extractor 166; Zerg_Creep_Colony 183; Zerg_Evolution_Chamber 573; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 200; Zerg_Spore_Colony -1; Zerg_Expansion 113; Zerg_Hydralisk_Den 397; Zerg_Greater_Spire -1; Zerg_Expansion2 386; Zerg_Lair 546; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 62; Zerg_Defiler_Mound -1; 
Zerg_Hive 815; Zerg_Opening speedlings; Zerg_Spawning_Pool 136; Zerg_Extractor 168; Zerg_Creep_Colony 197; Zerg_Evolution_Chamber 400; Zerg_Queens_Nest 732; Zerg_Sunken_Colony 221; Zerg_Spore_Colony -1; Zerg_Expansion 113; Zerg_Hydralisk_Den 328; Zerg_Greater_Spire -1; Zerg_Expansion2 524; Zerg_Lair 276; Zerg_Ultralisk_Cavern 1049; Zerg_Spire -1; Zerg_Building_Overlord 62; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening speedlings; Zerg_Spawning_Pool 129; Zerg_Extractor 154; Zerg_Creep_Colony 412; Zerg_Evolution_Chamber 584; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 429; Zerg_Spore_Colony -1; Zerg_Expansion 109; Zerg_Hydralisk_Den 347; Zerg_Greater_Spire -1; Zerg_Expansion2 312; Zerg_Lair 399; Zerg_Ultralisk_Cavern -1; Zerg_Spire 571; Zerg_Building_Overlord 59; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening speedlings; Zerg_Spawning_Pool 129; Zerg_Extractor 251; Zerg_Creep_Colony 536; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 572; Zerg_Spore_Colony -1; Zerg_Expansion 108; Zerg_Hydralisk_Den 557; Zerg_Greater_Spire -1; Zerg_Expansion2 231; Zerg_Lair -1; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 52; Zerg_Defiler_Mound -1; 
Zerg_Hive 565; Zerg_Opening mutas; Zerg_Spawning_Pool 127; Zerg_Extractor 65; Zerg_Creep_Colony 266; Zerg_Evolution_Chamber 624; Zerg_Queens_Nest 522; Zerg_Sunken_Colony 296; Zerg_Spore_Colony -1; Zerg_Expansion 115; Zerg_Hydralisk_Den 483; Zerg_Greater_Spire 644; Zerg_Expansion2 202; Zerg_Lair 305; Zerg_Ultralisk_Cavern 906; Zerg_Spire 391; Zerg_Building_Overlord 58; Zerg_Defiler_Mound -1; 
Zerg_Hive 720; Zerg_Opening speedlings; Zerg_Spawning_Pool 129; Zerg_Extractor 156; Zerg_Creep_Colony 324; Zerg_Evolution_Chamber 927; Zerg_Queens_Nest 659; Zerg_Sunken_Colony 343; Zerg_Spore_Colony -1; Zerg_Expansion 107; Zerg_Hydralisk_Den 657; Zerg_Greater_Spire 1056; Zerg_Expansion2 205; Zerg_Lair 354; Zerg_Ultralisk_Cavern 811; Zerg_Spire 420; Zerg_Building_Overlord 58; Zerg_Defiler_Mound -1; 
Zerg_Hive 938; Zerg_Opening speedlings; Zerg_Spawning_Pool 125; Zerg_Extractor 152; Zerg_Creep_Colony 309; Zerg_Evolution_Chamber 685; Zerg_Queens_Nest 873; Zerg_Sunken_Colony 336; Zerg_Spore_Colony 0; Zerg_Expansion 107; Zerg_Hydralisk_Den 375; Zerg_Greater_Spire 0; Zerg_Expansion2 248; Zerg_Lair 343; Zerg_Ultralisk_Cavern 1060; Zerg_Spire 656; Zerg_Building_Overlord 55; Zerg_Defiler_Mound -1; 
Zerg_Hive 0; Zerg_Opening speedlings; Zerg_Spawning_Pool 133; Zerg_Extractor 151; Zerg_Creep_Colony 334; Zerg_Evolution_Chamber 646; Zerg_Queens_Nest 1051; Zerg_Sunken_Colony 357; Zerg_Spore_Colony -1; Zerg_Expansion 108; Zerg_Hydralisk_Den 366; Zerg_Greater_Spire -1; Zerg_Expansion2 248; Zerg_Lair 320; Zerg_Ultralisk_Cavern 0; Zerg_Spire -1; Zerg_Building_Overlord 50; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening hydras; Zerg_Spawning_Pool 126; Zerg_Extractor 311; Zerg_Creep_Colony 202; Zerg_Evolution_Chamber 583; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 218; Zerg_Spore_Colony -1; Zerg_Expansion 106; Zerg_Hydralisk_Den 431; Zerg_Greater_Spire -1; Zerg_Expansion2 243; Zerg_Lair 376; Zerg_Ultralisk_Cavern -1; Zerg_Spire 879; Zerg_Building_Overlord 56; Zerg_Defiler_Mound -1; 
Zerg_Hive 0; Zerg_Opening hydras; Zerg_Spawning_Pool 125; Zerg_Extractor 66; Zerg_Creep_Colony 182; Zerg_Evolution_Chamber 897; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 202; Zerg_Spore_Colony -1; Zerg_Expansion 100; Zerg_Hydralisk_Den 334; Zerg_Greater_Spire 0; Zerg_Expansion2 249; Zerg_Lair 673; Zerg_Ultralisk_Cavern -1; Zerg_Spire 951; Zerg_Building_Overlord 59; Zerg_Defiler_Mound -1; 
Zerg_Hive 618; Zerg_Opening unknown; Zerg_Spawning_Pool 127; Zerg_Extractor 66; Zerg_Creep_Colony 235; Zerg_Evolution_Chamber 445; Zerg_Queens_Nest 533; Zerg_Sunken_Colony 272; Zerg_Spore_Colony -1; Zerg_Expansion 108; Zerg_Hydralisk_Den 353; Zerg_Greater_Spire -1; Zerg_Expansion2 173; Zerg_Lair 305; Zerg_Ultralisk_Cavern -1; Zerg_Spire 1049; Zerg_Building_Overlord 58; Zerg_Defiler_Mound -1; 
Zerg_Hive 830; Zerg_Opening speedlings; Zerg_Spawning_Pool 134; Zerg_Extractor 138; Zerg_Creep_Colony 500; Zerg_Evolution_Chamber 492; Zerg_Queens_Nest 697; Zerg_Sunken_Colony 552; Zerg_Spore_Colony 524; Zerg_Expansion 114; Zerg_Hydralisk_Den 663; Zerg_Greater_Spire -1; Zerg_Expansion2 391; Zerg_Lair 608; Zerg_Ultralisk_Cavern 0; Zerg_Spire 685; Zerg_Building_Overlord 61; Zerg_Defiler_Mound -1; 
Zerg_Hive 1046; Zerg_Opening speedlings; Zerg_Spawning_Pool 70; Zerg_Extractor 84; Zerg_Creep_Colony 298; Zerg_Evolution_Chamber 522; Zerg_Queens_Nest 947; Zerg_Sunken_Colony 391; Zerg_Spore_Colony -1; Zerg_Expansion 198; Zerg_Hydralisk_Den 458; Zerg_Greater_Spire -1; Zerg_Expansion2 251; Zerg_Lair 455; Zerg_Ultralisk_Cavern -1; Zerg_Spire 714; Zerg_Building_Overlord 95; Zerg_Defiler_Mound -1; 
Zerg_Hive 0; Zerg_Opening hydras; Zerg_Spawning_Pool 132; Zerg_Extractor 306; Zerg_Creep_Colony 195; Zerg_Evolution_Chamber 0; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 211; Zerg_Spore_Colony -1; Zerg_Expansion 111; Zerg_Hydralisk_Den 398; Zerg_Greater_Spire 0; Zerg_Expansion2 301; Zerg_Lair 404; Zerg_Ultralisk_Cavern -1; Zerg_Spire 713; Zerg_Building_Overlord 52; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening speedlings; Zerg_Spawning_Pool 122; Zerg_Extractor 62; Zerg_Creep_Colony 426; Zerg_Evolution_Chamber 719; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 443; Zerg_Spore_Colony -1; Zerg_Expansion 105; Zerg_Hydralisk_Den 358; Zerg_Greater_Spire -1; Zerg_Expansion2 240; Zerg_Lair 346; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 54; Zerg_Defiler_Mound -1; 
