Terran_Control_Tower 0; Terran_Comsat_Station 303; Terran_Barracks 78; Terran_Expansion 0; Terran_Refinery 229; Terran_Barracks2 560; Terran_Missile_Turret 504; Terran_Supply_Depot 101; Terran_Engineering_Bay 449; Terran_Science_Facility 0; Terran_Machine_Shop 354; Terran_Armory 0; Terran_Starport 0; Terran_Opening Standard; Terran_Academy 249; Terran_Bunker 551; Terran_Factory 299; 
Terran_Control_Tower 264; Terran_Comsat_Station 293; Terran_Barracks 91; Terran_Expansion 0; Terran_Refinery 107; Terran_Barracks2 259; Terran_Missile_Turret 0; Terran_Supply_Depot 61; Terran_Engineering_Bay 0; Terran_Science_Facility 0; Terran_Machine_Shop 319; Terran_Armory 0; Terran_Starport 217; Terran_Opening TwoFactory; Terran_Academy 231; Terran_Bunker 0; Terran_Factory 163; 
Terran_Control_Tower 600; Terran_Comsat_Station 258; Terran_Barracks 82; Terran_Expansion 337; Terran_Refinery 177; Terran_Barracks2 116; Terran_Missile_Turret 542; Terran_Supply_Depot 59; Terran_Engineering_Bay 499; Terran_Science_Facility 688; Terran_Machine_Shop 541; Terran_Armory 0; Terran_Starport 541; Terran_Opening Bio; Terran_Academy 198; Terran_Bunker 379; Terran_Factory 462; 
Terran_Control_Tower 614; Terran_Comsat_Station 222; Terran_Barracks 61; Terran_Expansion 606; Terran_Refinery 136; Terran_Barracks2 208; Terran_Missile_Turret 0; Terran_Supply_Depot 76; Terran_Engineering_Bay 563; Terran_Science_Facility 639; Terran_Machine_Shop 378; Terran_Armory 0; Terran_Starport 562; Terran_Opening Bio; Terran_Academy 161; Terran_Bunker 462; Terran_Factory 321; 
Terran_Control_Tower 463; Terran_Comsat_Station 279; Terran_Barracks 87; Terran_Expansion 662; Terran_Refinery 188; Terran_Barracks2 120; Terran_Missile_Turret 483; Terran_Supply_Depot 60; Terran_Engineering_Bay 432; Terran_Science_Facility 431; Terran_Machine_Shop 525; Terran_Armory 0; Terran_Starport 378; Terran_Opening Bio; Terran_Academy 179; Terran_Bunker 583; Terran_Factory 321; 
Terran_Control_Tower 410; Terran_Comsat_Station 279; Terran_Barracks 91; Terran_Expansion 521; Terran_Refinery 176; Terran_Barracks2 118; Terran_Missile_Turret 436; Terran_Supply_Depot 52; Terran_Engineering_Bay 386; Terran_Science_Facility 424; Terran_Machine_Shop 449; Terran_Armory 0; Terran_Starport 363; Terran_Opening Bio; Terran_Academy 224; Terran_Bunker 676; Terran_Factory 308; 
Terran_Control_Tower 501; Terran_Comsat_Station 257; Terran_Barracks 85; Terran_Expansion 544; Terran_Refinery 136; Terran_Barracks2 119; Terran_Missile_Turret 484; Terran_Supply_Depot 59; Terran_Engineering_Bay 371; Terran_Science_Facility 503; Terran_Machine_Shop 548; Terran_Armory 0; Terran_Starport 408; Terran_Opening Bio; Terran_Academy 193; Terran_Bunker 470; Terran_Factory 348; 
Terran_Control_Tower 268; Terran_Comsat_Station 285; Terran_Barracks 91; Terran_Expansion 543; Terran_Refinery 114; Terran_Barracks2 209; Terran_Missile_Turret 425; Terran_Supply_Depot 59; Terran_Engineering_Bay 381; Terran_Science_Facility 278; Terran_Machine_Shop 587; Terran_Armory 0; Terran_Starport 220; Terran_Opening FastDropship; Terran_Academy 227; Terran_Bunker 580; Terran_Factory 167; 
Terran_Control_Tower 667; Terran_Comsat_Station 325; Terran_Barracks 88; Terran_Expansion 199; Terran_Refinery 234; Terran_Barracks2 116; Terran_Missile_Turret 839; Terran_Supply_Depot 58; Terran_Engineering_Bay 244; Terran_Science_Facility 635; Terran_Machine_Shop 479; Terran_Armory 0; Terran_Starport 465; Terran_Opening Bio; Terran_Academy 261; Terran_Bunker 490; Terran_Factory 402; 
Terran_Control_Tower 507; Terran_Comsat_Station 308; Terran_Barracks 89; Terran_Expansion 194; Terran_Refinery 229; Terran_Barracks2 117; Terran_Missile_Turret 416; Terran_Supply_Depot 59; Terran_Engineering_Bay 368; Terran_Science_Facility 507; Terran_Machine_Shop 448; Terran_Armory 0; Terran_Starport 458; Terran_Opening Bio; Terran_Academy 254; Terran_Bunker 407; Terran_Factory 364; 
Terran_Control_Tower 0; Terran_Comsat_Station 232; Terran_Barracks 81; Terran_Expansion 301; Terran_Refinery 156; Terran_Barracks2 117; Terran_Missile_Turret 0; Terran_Supply_Depot 58; Terran_Engineering_Bay 320; Terran_Science_Facility 0; Terran_Machine_Shop 416; Terran_Armory 0; Terran_Starport 0; Terran_Opening Bio; Terran_Academy 172; Terran_Bunker 383; Terran_Factory 346; 
Terran_Control_Tower 577; Terran_Comsat_Station 326; Terran_Barracks 91; Terran_Expansion 832; Terran_Refinery 212; Terran_Barracks2 120; Terran_Missile_Turret 566; Terran_Supply_Depot 59; Terran_Engineering_Bay 502; Terran_Science_Facility 542; Terran_Machine_Shop 554; Terran_Armory 0; Terran_Starport 487; Terran_Opening Bio; Terran_Academy 267; Terran_Bunker 394; Terran_Factory 337; 
Terran_Control_Tower 425; Terran_Comsat_Station 379; Terran_Barracks 91; Terran_Expansion 0; Terran_Refinery 142; Terran_Barracks2 119; Terran_Missile_Turret 0; Terran_Supply_Depot 60; Terran_Engineering_Bay 665; Terran_Science_Facility 427; Terran_Machine_Shop 413; Terran_Armory 0; Terran_Starport 374; Terran_Opening Bio; Terran_Academy 322; Terran_Bunker 656; Terran_Factory 303; 
Terran_Control_Tower 509; Terran_Comsat_Station 347; Terran_Barracks 88; Terran_Expansion 640; Terran_Refinery 248; Terran_Barracks2 117; Terran_Missile_Turret 554; Terran_Supply_Depot 60; Terran_Engineering_Bay 476; Terran_Science_Facility 552; Terran_Machine_Shop 549; Terran_Armory 0; Terran_Starport 459; Terran_Opening Bio; Terran_Academy 286; Terran_Bunker 168; Terran_Factory 371; 
Terran_Control_Tower 651; Terran_Comsat_Station 461; Terran_Barracks 73; Terran_Expansion 524; Terran_Refinery 355; Terran_Barracks2 359; Terran_Missile_Turret 750; Terran_Supply_Depot 103; Terran_Engineering_Bay 654; Terran_Science_Facility 742; Terran_Machine_Shop 562; Terran_Armory 0; Terran_Starport 582; Terran_Opening Bio; Terran_Academy 397; Terran_Bunker 178; Terran_Factory 500; 
Terran_Control_Tower 0; Terran_Comsat_Station 0; Terran_Barracks 85; Terran_Expansion 0; Terran_Refinery 0; Terran_Barracks2 123; Terran_Missile_Turret 0; Terran_Supply_Depot 60; Terran_Engineering_Bay 0; Terran_Science_Facility 0; Terran_Machine_Shop 0; Terran_Armory 0; Terran_Starport 0; Terran_Opening Bio; Terran_Academy 0; Terran_Bunker 194; Terran_Factory 0; 
Terran_Control_Tower 269; Terran_Comsat_Station 1019; Terran_Barracks 108; Terran_Expansion 578; Terran_Refinery 77; Terran_Barracks2 468; Terran_Missile_Turret 510; Terran_Supply_Depot 57; Terran_Engineering_Bay 464; Terran_Science_Facility 967; Terran_Machine_Shop 603; Terran_Armory 223; Terran_Starport 221; Terran_Opening TwoFactory; Terran_Academy 955; Terran_Bunker 757; Terran_Factory 163; 
Terran_Control_Tower 368; Terran_Comsat_Station 429; Terran_Barracks 93; Terran_Expansion 863; Terran_Refinery 201; Terran_Barracks2 123; Terran_Missile_Turret 548; Terran_Supply_Depot 61; Terran_Engineering_Bay 453; Terran_Science_Facility 578; Terran_Machine_Shop 321; Terran_Armory 0; Terran_Starport 321; Terran_Opening Bio; Terran_Academy 374; Terran_Bunker 776; Terran_Factory 260; 
Terran_Control_Tower 868; Terran_Comsat_Station 403; Terran_Barracks 85; Terran_Expansion 284; Terran_Refinery 303; Terran_Barracks2 114; Terran_Missile_Turret 519; Terran_Supply_Depot 58; Terran_Engineering_Bay 430; Terran_Science_Facility 825; Terran_Machine_Shop 507; Terran_Armory 872; Terran_Starport 613; Terran_Opening Bio; Terran_Academy 341; Terran_Bunker 208; Terran_Factory 422; 
Terran_Control_Tower 341; Terran_Comsat_Station 359; Terran_Barracks 52; Terran_Expansion 0; Terran_Refinery 184; Terran_Barracks2 310; Terran_Missile_Turret 552; Terran_Supply_Depot 74; Terran_Engineering_Bay 511; Terran_Science_Facility 467; Terran_Machine_Shop 487; Terran_Armory 0; Terran_Starport 295; Terran_Opening FastDropship; Terran_Academy 291; Terran_Bunker 197; Terran_Factory 241; 
Terran_Control_Tower 385; Terran_Comsat_Station 330; Terran_Barracks 89; Terran_Expansion 0; Terran_Refinery 137; Terran_Barracks2 118; Terran_Missile_Turret 397; Terran_Supply_Depot 59; Terran_Engineering_Bay 354; Terran_Science_Facility 511; Terran_Machine_Shop 587; Terran_Armory 0; Terran_Starport 249; Terran_Opening Bio; Terran_Academy 274; Terran_Bunker 399; Terran_Factory 193; 
Terran_Control_Tower 373; Terran_Comsat_Station 300; Terran_Barracks 85; Terran_Expansion 446; Terran_Refinery 215; Terran_Barracks2 120; Terran_Missile_Turret 0; Terran_Supply_Depot 60; Terran_Engineering_Bay 641; Terran_Science_Facility 491; Terran_Machine_Shop 492; Terran_Armory 0; Terran_Starport 323; Terran_Opening Bio; Terran_Academy 248; Terran_Bunker 602; Terran_Factory 265; 
Terran_Control_Tower 668; Terran_Comsat_Station 315; Terran_Barracks 85; Terran_Expansion 208; Terran_Refinery 246; Terran_Barracks2 122; Terran_Missile_Turret 448; Terran_Supply_Depot 59; Terran_Engineering_Bay 385; Terran_Science_Facility 649; Terran_Machine_Shop 595; Terran_Armory 0; Terran_Starport 595; Terran_Opening Bio; Terran_Academy 256; Terran_Bunker 427; Terran_Factory 540; 
Terran_Control_Tower 608; Terran_Comsat_Station 244; Terran_Barracks 88; Terran_Expansion 629; Terran_Refinery 141; Terran_Barracks2 109; Terran_Missile_Turret 419; Terran_Supply_Depot 57; Terran_Engineering_Bay 334; Terran_Science_Facility 610; Terran_Machine_Shop 551; Terran_Armory 0; Terran_Starport 551; Terran_Opening Bio; Terran_Academy 188; Terran_Bunker 581; Terran_Factory 493; 
Terran_Control_Tower 542; Terran_Comsat_Station 297; Terran_Barracks 90; Terran_Expansion 334; Terran_Refinery 211; Terran_Barracks2 120; Terran_Missile_Turret 491; Terran_Supply_Depot 59; Terran_Engineering_Bay 388; Terran_Science_Facility 529; Terran_Machine_Shop 413; Terran_Armory 0; Terran_Starport 479; Terran_Opening Bio; Terran_Academy 244; Terran_Bunker 428; Terran_Factory 358; 
Terran_Control_Tower 397; Terran_Comsat_Station 472; Terran_Barracks 64; Terran_Expansion 565; Terran_Refinery 110; Terran_Barracks2 343; Terran_Missile_Turret 571; Terran_Supply_Depot 84; Terran_Engineering_Bay 520; Terran_Science_Facility 433; Terran_Machine_Shop 351; Terran_Armory 0; Terran_Starport 260; Terran_Opening VultureHarass; Terran_Academy 419; Terran_Bunker 156; Terran_Factory 197; 
Terran_Control_Tower 662; Terran_Comsat_Station 352; Terran_Barracks 81; Terran_Expansion 246; Terran_Refinery 269; Terran_Barracks2 113; Terran_Missile_Turret 376; Terran_Supply_Depot 56; Terran_Engineering_Bay 308; Terran_Science_Facility 663; Terran_Machine_Shop 492; Terran_Armory 0; Terran_Starport 577; Terran_Opening Bio; Terran_Academy 258; Terran_Bunker 594; Terran_Factory 424; 
Terran_Control_Tower 0; Terran_Comsat_Station 0; Terran_Barracks 81; Terran_Expansion 0; Terran_Refinery 170; Terran_Barracks2 113; Terran_Missile_Turret 0; Terran_Supply_Depot 56; Terran_Engineering_Bay 0; Terran_Science_Facility 0; Terran_Machine_Shop 0; Terran_Armory 0; Terran_Starport 0; Terran_Opening Bio; Terran_Academy 187; Terran_Bunker 0; Terran_Factory 0; 
Terran_Control_Tower 509; Terran_Comsat_Station 292; Terran_Barracks 89; Terran_Expansion 173; Terran_Refinery 190; Terran_Barracks2 171; Terran_Missile_Turret 458; Terran_Supply_Depot 59; Terran_Engineering_Bay 301; Terran_Science_Facility 510; Terran_Machine_Shop 455; Terran_Armory 0; Terran_Starport 456; Terran_Opening Bio; Terran_Academy 211; Terran_Bunker 429; Terran_Factory 396; 
Terran_Control_Tower 601; Terran_Comsat_Station 355; Terran_Barracks 88; Terran_Expansion 237; Terran_Refinery 266; Terran_Barracks2 127; Terran_Missile_Turret 548; Terran_Supply_Depot 59; Terran_Engineering_Bay 505; Terran_Science_Facility 602; Terran_Machine_Shop 427; Terran_Armory 0; Terran_Starport 535; Terran_Opening Bio; Terran_Academy 276; Terran_Bunker 324; Terran_Factory 372; 
Terran_Control_Tower 0; Terran_Comsat_Station 0; Terran_Barracks 71; Terran_Expansion 0; Terran_Refinery 0; Terran_Barracks2 0; Terran_Missile_Turret 0; Terran_Supply_Depot 104; Terran_Engineering_Bay 0; Terran_Science_Facility 0; Terran_Machine_Shop 0; Terran_Armory 0; Terran_Starport 0; Terran_Opening Unknown; Terran_Academy 0; Terran_Bunker 175; Terran_Factory 0; 
Terran_Control_Tower 625; Terran_Comsat_Station 371; Terran_Barracks 92; Terran_Expansion 668; Terran_Refinery 150; Terran_Barracks2 110; Terran_Missile_Turret 499; Terran_Supply_Depot 60; Terran_Engineering_Bay 199; Terran_Science_Facility 0; Terran_Machine_Shop 450; Terran_Armory 0; Terran_Starport 578; Terran_Opening Bio; Terran_Academy 282; Terran_Bunker 385; Terran_Factory 392; 
Terran_Control_Tower 592; Terran_Comsat_Station 366; Terran_Barracks 92; Terran_Expansion 404; Terran_Refinery 116; Terran_Barracks2 545; Terran_Missile_Turret 0; Terran_Supply_Depot 57; Terran_Engineering_Bay 0; Terran_Science_Facility 0; Terran_Machine_Shop 277; Terran_Armory 264; Terran_Starport 242; Terran_Opening FastDropship; Terran_Academy 230; Terran_Bunker 558; Terran_Factory 185; 
Terran_Control_Tower 500; Terran_Comsat_Station 287; Terran_Barracks 88; Terran_Expansion 166; Terran_Refinery 194; Terran_Barracks2 209; Terran_Missile_Turret 0; Terran_Supply_Depot 56; Terran_Engineering_Bay 304; Terran_Science_Facility 483; Terran_Machine_Shop 433; Terran_Armory 0; Terran_Starport 432; Terran_Opening Bio; Terran_Academy 183; Terran_Bunker 569; Terran_Factory 369; 
Terran_Control_Tower 556; Terran_Comsat_Station 315; Terran_Barracks 87; Terran_Expansion 186; Terran_Refinery 223; Terran_Barracks2 259; Terran_Missile_Turret 351; Terran_Supply_Depot 61; Terran_Engineering_Bay 300; Terran_Science_Facility 556; Terran_Machine_Shop 714; Terran_Armory 0; Terran_Starport 499; Terran_Opening Bio; Terran_Academy 241; Terran_Bunker 214; Terran_Factory 445; 
Terran_Control_Tower 0; Terran_Comsat_Station 378; Terran_Barracks 85; Terran_Expansion 148; Terran_Refinery 209; Terran_Barracks2 181; Terran_Missile_Turret 0; Terran_Supply_Depot 54; Terran_Engineering_Bay 301; Terran_Science_Facility 0; Terran_Machine_Shop 0; Terran_Armory 0; Terran_Starport 0; Terran_Opening Bio; Terran_Academy 218; Terran_Bunker 0; Terran_Factory 375; 
Terran_Control_Tower 294; Terran_Comsat_Station 343; Terran_Barracks 91; Terran_Expansion 539; Terran_Refinery 101; Terran_Barracks2 147; Terran_Missile_Turret 620; Terran_Supply_Depot 62; Terran_Engineering_Bay 544; Terran_Science_Facility 287; Terran_Machine_Shop 326; Terran_Armory 0; Terran_Starport 206; Terran_Opening Bio; Terran_Academy 276; Terran_Bunker 0; Terran_Factory 153; 
Terran_Control_Tower 393; Terran_Comsat_Station 286; Terran_Barracks 91; Terran_Expansion 542; Terran_Refinery 218; Terran_Barracks2 113; Terran_Missile_Turret 435; Terran_Supply_Depot 58; Terran_Engineering_Bay 318; Terran_Science_Facility 431; Terran_Machine_Shop 392; Terran_Armory 0; Terran_Starport 340; Terran_Opening Bio; Terran_Academy 229; Terran_Bunker 465; Terran_Factory 281; 
Terran_Control_Tower 0; Terran_Comsat_Station 305; Terran_Barracks 88; Terran_Expansion 0; Terran_Refinery 190; Terran_Barracks2 124; Terran_Missile_Turret 0; Terran_Supply_Depot 60; Terran_Engineering_Bay 202; Terran_Science_Facility 0; Terran_Machine_Shop 472; Terran_Armory 0; Terran_Starport 464; Terran_Opening Bio; Terran_Academy 252; Terran_Bunker 0; Terran_Factory 408; 
Terran_Control_Tower 519; Terran_Comsat_Station 343; Terran_Barracks 87; Terran_Expansion 643; Terran_Refinery 163; Terran_Barracks2 121; Terran_Missile_Turret 389; Terran_Supply_Depot 56; Terran_Engineering_Bay 316; Terran_Science_Facility 529; Terran_Machine_Shop 274; Terran_Armory 0; Terran_Starport 456; Terran_Opening Bio; Terran_Academy 229; Terran_Bunker 359; Terran_Factory 220; 
Terran_Control_Tower 378; Terran_Comsat_Station 375; Terran_Barracks 86; Terran_Expansion 743; Terran_Refinery 122; Terran_Barracks2 316; Terran_Missile_Turret 429; Terran_Supply_Depot 58; Terran_Engineering_Bay 349; Terran_Science_Facility 351; Terran_Machine_Shop 232; Terran_Armory 0; Terran_Starport 231; Terran_Opening FastDropship; Terran_Academy 300; Terran_Bunker 519; Terran_Factory 175; 
Terran_Control_Tower 319; Terran_Comsat_Station 287; Terran_Barracks 87; Terran_Expansion 500; Terran_Refinery 163; Terran_Barracks2 112; Terran_Missile_Turret 676; Terran_Supply_Depot 58; Terran_Engineering_Bay 436; Terran_Science_Facility 594; Terran_Machine_Shop 884; Terran_Armory 0; Terran_Starport 270; Terran_Opening Bio; Terran_Academy 230; Terran_Bunker 889; Terran_Factory 218; 
Terran_Control_Tower 501; Terran_Comsat_Station 302; Terran_Barracks 85; Terran_Expansion 175; Terran_Refinery 189; Terran_Barracks2 309; Terran_Missile_Turret 413; Terran_Supply_Depot 55; Terran_Engineering_Bay 228; Terran_Science_Facility 500; Terran_Machine_Shop 0; Terran_Armory 0; Terran_Starport 438; Terran_Opening Bio; Terran_Academy 241; Terran_Bunker 1037; Terran_Factory 374; 
Terran_Control_Tower 0; Terran_Comsat_Station 307; Terran_Barracks 86; Terran_Expansion 168; Terran_Refinery 195; Terran_Barracks2 301; Terran_Missile_Turret 418; Terran_Supply_Depot 58; Terran_Engineering_Bay 235; Terran_Science_Facility 497; Terran_Machine_Shop 0; Terran_Armory 0; Terran_Starport 442; Terran_Opening Bio; Terran_Academy 248; Terran_Bunker 208; Terran_Factory 352; 
Terran_Control_Tower 473; Terran_Comsat_Station 309; Terran_Barracks 87; Terran_Expansion 172; Terran_Refinery 202; Terran_Barracks2 269; Terran_Missile_Turret 389; Terran_Supply_Depot 57; Terran_Engineering_Bay 308; Terran_Science_Facility 473; Terran_Machine_Shop 417; Terran_Armory 987; Terran_Starport 419; Terran_Opening Bio; Terran_Academy 233; Terran_Bunker 193; Terran_Factory 359; 
Terran_Control_Tower 699; Terran_Comsat_Station 291; Terran_Barracks 89; Terran_Expansion 165; Terran_Refinery 205; Terran_Barracks2 185; Terran_Missile_Turret 360; Terran_Supply_Depot 58; Terran_Engineering_Bay 314; Terran_Science_Facility 700; Terran_Machine_Shop 0; Terran_Armory 0; Terran_Starport 622; Terran_Opening Bio; Terran_Academy 234; Terran_Bunker 541; Terran_Factory 549; 
Terran_Control_Tower 0; Terran_Comsat_Station 0; Terran_Barracks 90; Terran_Expansion 0; Terran_Refinery 0; Terran_Barracks2 0; Terran_Missile_Turret 0; Terran_Supply_Depot 57; Terran_Engineering_Bay 0; Terran_Science_Facility 0; Terran_Machine_Shop 0; Terran_Armory 0; Terran_Starport 0; Terran_Opening Unknown; Terran_Academy 0; Terran_Bunker 0; Terran_Factory 0; 
Terran_Control_Tower 563; Terran_Comsat_Station 269; Terran_Barracks 82; Terran_Expansion 159; Terran_Refinery 187; Terran_Barracks2 212; Terran_Missile_Turret 348; Terran_Supply_Depot 54; Terran_Engineering_Bay 307; Terran_Science_Facility 594; Terran_Machine_Shop 504; Terran_Armory 0; Terran_Starport 504; Terran_Opening Bio; Terran_Academy 199; Terran_Bunker 557; Terran_Factory 434; 
