Protoss_Pylon 1192; Protoss_Opening FastObs; Protoss_Assimilator 2404; Protoss_Gateway 1884; Protoss_Robotics_Support_Bay 19100; Protoss_Arbiter_Tribunal 18508; Protoss_Robotics_Facility 6594; Protoss_Fleet_Beacon 0; Protoss_Stargate 16668; Protoss_Citadel_of_Adun 10340; Protoss_Forge 17324; Protoss_Templar_Archives 13714; Protoss_Photon_Cannon 18612; Protoss_Cybernetics_Core 2938; 
Protoss_Pylon 1290; Protoss_Opening FastDT; Protoss_Assimilator 2570; Protoss_Gateway 2030; Protoss_Robotics_Support_Bay 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 11590; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 5840; Protoss_Forge 15240; Protoss_Templar_Archives 6895; Protoss_Photon_Cannon 19015; Protoss_Cybernetics_Core 3210; 
Protoss_Pylon 1228; Protoss_Opening FastLegs; Protoss_Assimilator 2344; Protoss_Gateway 1870; Protoss_Robotics_Support_Bay 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 6992; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 6602; Protoss_Forge 9372; Protoss_Templar_Archives 13230; Protoss_Photon_Cannon 11102; Protoss_Cybernetics_Core 3586; 
Protoss_Pylon 1300; Protoss_Opening FastDT; Protoss_Assimilator 2720; Protoss_Gateway 2315; Protoss_Robotics_Support_Bay 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 12810; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 4935; Protoss_Forge 0; Protoss_Templar_Archives 6320; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 3670; 
Protoss_Pylon 1275; Protoss_Opening FastDT; Protoss_Assimilator 2390; Protoss_Gateway 2010; Protoss_Robotics_Support_Bay 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 12765; Protoss_Fleet_Beacon 18965; Protoss_Stargate 17470; Protoss_Citadel_of_Adun 5370; Protoss_Forge 13470; Protoss_Templar_Archives 6580; Protoss_Photon_Cannon 14550; Protoss_Cybernetics_Core 3125; 
Protoss_Pylon 1260; Protoss_Opening ReaverDrop; Protoss_Assimilator 2500; Protoss_Gateway 1960; Protoss_Robotics_Support_Bay 7885; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 6505; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 14860; Protoss_Forge 15455; Protoss_Templar_Archives 20275; Protoss_Photon_Cannon 17590; Protoss_Cybernetics_Core 3150; 
Protoss_Pylon 1330; Protoss_Opening FastObs; Protoss_Assimilator 2440; Protoss_Gateway 1985; Protoss_Robotics_Support_Bay 29350; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 6020; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 12245; Protoss_Forge 0; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 3140; 
Protoss_Pylon 1370; Protoss_Opening FastDT; Protoss_Assimilator 2540; Protoss_Gateway 5155; Protoss_Robotics_Support_Bay 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 7295; Protoss_Fleet_Beacon 24820; Protoss_Stargate 20930; Protoss_Citadel_of_Adun 7170; Protoss_Forge 3200; Protoss_Templar_Archives 8190; Protoss_Photon_Cannon 4545; Protoss_Cybernetics_Core 6175; 
Protoss_Pylon 1250; Protoss_Opening FastLegs; Protoss_Assimilator 2365; Protoss_Gateway 2195; Protoss_Robotics_Support_Bay 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 5750; Protoss_Fleet_Beacon 27905; Protoss_Stargate 26655; Protoss_Citadel_of_Adun 5260; Protoss_Forge 8775; Protoss_Templar_Archives 19995; Protoss_Photon_Cannon 10560; Protoss_Cybernetics_Core 3285; 
Protoss_Pylon 1202; Protoss_Opening FastObs; Protoss_Assimilator 2582; Protoss_Gateway 2166; Protoss_Robotics_Support_Bay 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 5758; Protoss_Fleet_Beacon 15648; Protoss_Stargate 13992; Protoss_Citadel_of_Adun 10764; Protoss_Forge 11592; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 12832; Protoss_Cybernetics_Core 3582; 
Protoss_Pylon 1285; Protoss_Opening FastExpand; Protoss_Assimilator 2745; Protoss_Gateway 2105; Protoss_Robotics_Support_Bay 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 6715; Protoss_Fleet_Beacon 0; Protoss_Stargate 14630; Protoss_Citadel_of_Adun 11735; Protoss_Forge 0; Protoss_Templar_Archives 14140; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 3865; 
Protoss_Pylon 1300; Protoss_Opening FastObs; Protoss_Assimilator 2655; Protoss_Gateway 2040; Protoss_Robotics_Support_Bay 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 5960; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 10450; Protoss_Forge 10515; Protoss_Templar_Archives 12340; Protoss_Photon_Cannon 21490; Protoss_Cybernetics_Core 3295; 
Protoss_Pylon 1260; Protoss_Opening FastObs; Protoss_Assimilator 2470; Protoss_Gateway 2010; Protoss_Robotics_Support_Bay 15785; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 5940; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 12080; Protoss_Forge 10665; Protoss_Templar_Archives 13480; Protoss_Photon_Cannon 12940; Protoss_Cybernetics_Core 3175; 
Protoss_Pylon 1255; Protoss_Opening ReaverDrop; Protoss_Assimilator 2415; Protoss_Gateway 1965; Protoss_Robotics_Support_Bay 7895; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 6035; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 0; Protoss_Forge 0; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 3265; 
Protoss_Pylon 1175; Protoss_Opening FastObs; Protoss_Assimilator 2410; Protoss_Gateway 1955; Protoss_Robotics_Support_Bay 14640; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 4610; Protoss_Fleet_Beacon 30135; Protoss_Stargate 28405; Protoss_Citadel_of_Adun 9370; Protoss_Forge 12415; Protoss_Templar_Archives 11140; Protoss_Photon_Cannon 13270; Protoss_Cybernetics_Core 3175; 
Protoss_Pylon 1170; Protoss_Opening FastObs; Protoss_Assimilator 2180; Protoss_Gateway 1815; Protoss_Robotics_Support_Bay 7430; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 4775; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 9685; Protoss_Forge 13130; Protoss_Templar_Archives 10980; Protoss_Photon_Cannon 15990; Protoss_Cybernetics_Core 3595; 
Protoss_Pylon 1330; Protoss_Opening FastObs; Protoss_Assimilator 2440; Protoss_Gateway 1985; Protoss_Robotics_Support_Bay 29350; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 6020; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 12245; Protoss_Forge 0; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 3140; 
Protoss_Pylon 1240; Protoss_Opening FastObs; Protoss_Assimilator 2285; Protoss_Gateway 2030; Protoss_Robotics_Support_Bay 28410; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 5435; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 11235; Protoss_Forge 13565; Protoss_Templar_Archives 20130; Protoss_Photon_Cannon 16360; Protoss_Cybernetics_Core 3030; 
Protoss_Pylon 1250; Protoss_Opening FastObs; Protoss_Assimilator 2302; Protoss_Gateway 1880; Protoss_Robotics_Support_Bay 6828; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 4144; Protoss_Fleet_Beacon 23808; Protoss_Stargate 21920; Protoss_Citadel_of_Adun 11278; Protoss_Forge 12748; Protoss_Templar_Archives 28032; Protoss_Photon_Cannon 13848; Protoss_Cybernetics_Core 2964; 
Protoss_Pylon 1245; Protoss_Opening FastObs; Protoss_Assimilator 2515; Protoss_Gateway 2140; Protoss_Robotics_Support_Bay 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 4765; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 0; Protoss_Forge 0; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 3200; 
Protoss_Pylon 1215; Protoss_Opening FastDT; Protoss_Assimilator 2445; Protoss_Gateway 1940; Protoss_Robotics_Support_Bay 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 9925; Protoss_Fleet_Beacon 23090; Protoss_Stargate 21560; Protoss_Citadel_of_Adun 6105; Protoss_Forge 17420; Protoss_Templar_Archives 7285; Protoss_Photon_Cannon 18885; Protoss_Cybernetics_Core 3010; 
Protoss_Pylon 1290; Protoss_Opening FastDT; Protoss_Assimilator 2480; Protoss_Gateway 2045; Protoss_Robotics_Support_Bay 0; Protoss_Arbiter_Tribunal 7460; Protoss_Robotics_Facility 0; Protoss_Fleet_Beacon 0; Protoss_Stargate 6205; Protoss_Citadel_of_Adun 4375; Protoss_Forge 23160; Protoss_Templar_Archives 5525; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 3225; 
Protoss_Pylon 1225; Protoss_Opening FastObs; Protoss_Assimilator 2295; Protoss_Gateway 1860; Protoss_Robotics_Support_Bay 8250; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 4145; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 7430; Protoss_Forge 10285; Protoss_Templar_Archives 8615; Protoss_Photon_Cannon 11080; Protoss_Cybernetics_Core 3070; 
Protoss_Pylon 1290; Protoss_Opening FastDT; Protoss_Assimilator 2570; Protoss_Gateway 2030; Protoss_Robotics_Support_Bay 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 11590; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 5840; Protoss_Forge 15240; Protoss_Templar_Archives 6895; Protoss_Photon_Cannon 19015; Protoss_Cybernetics_Core 3210; 
Protoss_Pylon 1220; Protoss_Opening FastObs; Protoss_Assimilator 2320; Protoss_Gateway 1930; Protoss_Robotics_Support_Bay 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 5020; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 8930; Protoss_Forge 12945; Protoss_Templar_Archives 10170; Protoss_Photon_Cannon 13905; Protoss_Cybernetics_Core 2960; 
Protoss_Pylon 1240; Protoss_Opening FastObs; Protoss_Assimilator 2285; Protoss_Gateway 2030; Protoss_Robotics_Support_Bay 28410; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 5435; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 11235; Protoss_Forge 13565; Protoss_Templar_Archives 20130; Protoss_Photon_Cannon 16360; Protoss_Cybernetics_Core 3030; 
Protoss_Pylon 1415; Protoss_Opening FastObs; Protoss_Assimilator 2340; Protoss_Gateway 2030; Protoss_Robotics_Support_Bay 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 4870; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 8970; Protoss_Forge 0; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 3090; 
Protoss_Pylon 1250; Protoss_Opening ReaverDrop; Protoss_Assimilator 2495; Protoss_Gateway 2085; Protoss_Robotics_Support_Bay 6080; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 4595; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 0; Protoss_Forge 0; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 3145; 
Protoss_Pylon 1220; Protoss_Opening FastObs; Protoss_Assimilator 2330; Protoss_Gateway 1955; Protoss_Robotics_Support_Bay 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 4680; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 9670; Protoss_Forge 16970; Protoss_Templar_Archives 18735; Protoss_Photon_Cannon 18160; Protoss_Cybernetics_Core 3005; 
Protoss_Pylon 1300; Protoss_Opening FastExpand; Protoss_Assimilator 2600; Protoss_Gateway 2215; Protoss_Robotics_Support_Bay 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 7680; Protoss_Fleet_Beacon 0; Protoss_Stargate 26580; Protoss_Citadel_of_Adun 13885; Protoss_Forge 13495; Protoss_Templar_Archives 17700; Protoss_Photon_Cannon 15140; Protoss_Cybernetics_Core 3945; 
Protoss_Pylon 1212; Protoss_Opening FastObs; Protoss_Assimilator 2476; Protoss_Gateway 2062; Protoss_Robotics_Support_Bay 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 4674; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 0; Protoss_Forge 0; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 3110; 
Protoss_Pylon 1212; Protoss_Opening FastObs; Protoss_Assimilator 2476; Protoss_Gateway 2062; Protoss_Robotics_Support_Bay 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 4674; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 0; Protoss_Forge 0; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 3110; 
Protoss_Pylon 1268; Protoss_Opening FastObs; Protoss_Assimilator 1632; Protoss_Gateway 2254; Protoss_Robotics_Support_Bay 7588; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 4262; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 9050; Protoss_Forge 0; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 3270; 
Protoss_Pylon 1252; Protoss_Opening FastObs; Protoss_Assimilator 2540; Protoss_Gateway 1980; Protoss_Robotics_Support_Bay 23854; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 5132; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 11744; Protoss_Forge 17660; Protoss_Templar_Archives 17538; Protoss_Photon_Cannon 19542; Protoss_Cybernetics_Core 3226; 
Protoss_Pylon 1190; Protoss_Opening FastObs; Protoss_Assimilator 2430; Protoss_Gateway 1870; Protoss_Robotics_Support_Bay 23112; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 4590; Protoss_Fleet_Beacon 0; Protoss_Stargate 26640; Protoss_Citadel_of_Adun 10902; Protoss_Forge 14256; Protoss_Templar_Archives 14772; Protoss_Photon_Cannon 15738; Protoss_Cybernetics_Core 3024; 
Protoss_Pylon 1265; Protoss_Opening Carrier; Protoss_Assimilator 7005; Protoss_Gateway 2025; Protoss_Robotics_Support_Bay 38915; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 17345; Protoss_Fleet_Beacon 13100; Protoss_Stargate 11795; Protoss_Citadel_of_Adun 16590; Protoss_Forge 4765; Protoss_Templar_Archives 27275; Protoss_Photon_Cannon 5575; Protoss_Cybernetics_Core 9235; 
Protoss_Pylon 1140; Protoss_Opening FastObs; Protoss_Assimilator 2442; Protoss_Gateway 1912; Protoss_Robotics_Support_Bay 9370; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 5632; Protoss_Fleet_Beacon 35276; Protoss_Stargate 32660; Protoss_Citadel_of_Adun 16910; Protoss_Forge 15740; Protoss_Templar_Archives 29556; Protoss_Photon_Cannon 19576; Protoss_Cybernetics_Core 3022; 
Protoss_Pylon 1210; Protoss_Opening ReaverDrop; Protoss_Assimilator 2455; Protoss_Gateway 1945; Protoss_Robotics_Support_Bay 6820; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 4820; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 0; Protoss_Forge 0; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 3075; 
Protoss_Pylon 1150; Protoss_Opening FastDT; Protoss_Assimilator 2425; Protoss_Gateway 2040; Protoss_Robotics_Support_Bay 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 9580; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 4405; Protoss_Forge 9825; Protoss_Templar_Archives 5435; Protoss_Photon_Cannon 10570; Protoss_Cybernetics_Core 3085; 
