Protoss_Pylon2 52; Protoss_Pylon 14; Protoss_Opening ; Protoss_Assimilator 32; Protoss_Gateway 42; Protoss_Robotics_Support_Bay 606; Protoss_Expansion 299; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 545; Protoss_Fleet_Beacon 678; Protoss_Stargate 617; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 55; Protoss_Forge 91; Protoss_Templar_Archives -1; Protoss_Photon_Cannon 121; Protoss_Cybernetics_Core 90; 
Protoss_Pylon2 133; Protoss_Pylon 56; Protoss_Opening ; Protoss_Assimilator 214; Protoss_Gateway 82; Protoss_Robotics_Support_Bay -1; Protoss_Expansion -1; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 396; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 -1; Protoss_Forge 319; Protoss_Templar_Archives -1; Protoss_Photon_Cannon 356; Protoss_Cybernetics_Core 273; 
Protoss_Pylon2 126; Protoss_Pylon 50; Protoss_Opening two_gates; Protoss_Assimilator 165; Protoss_Gateway 79; Protoss_Robotics_Support_Bay 469; Protoss_Expansion 458; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 413; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 510; Protoss_Gateway2 105; Protoss_Forge -1; Protoss_Templar_Archives 678; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core 198; 
Protoss_Pylon2 127; Protoss_Pylon 47; Protoss_Opening two_gates; Protoss_Assimilator 159; Protoss_Gateway 76; Protoss_Robotics_Support_Bay 425; Protoss_Expansion 391; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 292; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 604; Protoss_Gateway2 100; Protoss_Forge 640; Protoss_Templar_Archives -1; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core 190; 
Protoss_Pylon2 115; Protoss_Pylon 49; Protoss_Opening two_gates; Protoss_Assimilator 99; Protoss_Gateway 79; Protoss_Robotics_Support_Bay 486; Protoss_Expansion 714; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 285; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 400; Protoss_Gateway2 191; Protoss_Forge -1; Protoss_Templar_Archives -1; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core 153; 
Protoss_Pylon2 123; Protoss_Pylon 51; Protoss_Opening two_gates; Protoss_Assimilator 326; Protoss_Gateway 80; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 286; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 444; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 525; Protoss_Gateway2 100; Protoss_Forge 299; Protoss_Templar_Archives 606; Protoss_Photon_Cannon 332; Protoss_Cybernetics_Core 395; 
Protoss_Pylon2 128; Protoss_Pylon 51; Protoss_Opening two_gates; Protoss_Assimilator 240; Protoss_Gateway 79; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 207; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 505; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 530; Protoss_Gateway2 105; Protoss_Forge 407; Protoss_Templar_Archives 766; Protoss_Photon_Cannon 460; Protoss_Cybernetics_Core 280; 
Protoss_Pylon2 103; Protoss_Pylon 48; Protoss_Opening two_gates; Protoss_Assimilator 127; Protoss_Gateway 79; Protoss_Robotics_Support_Bay 280; Protoss_Expansion 0; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 207; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 376; Protoss_Forge -1; Protoss_Templar_Archives -1; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core 162; 
Protoss_Pylon2 133; Protoss_Pylon 52; Protoss_Opening two_gates; Protoss_Assimilator 229; Protoss_Gateway 82; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 207; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 334; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 457; Protoss_Gateway2 106; Protoss_Forge -1; Protoss_Templar_Archives 581; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core 252; 
Protoss_Pylon2 161; Protoss_Pylon 51; Protoss_Opening nony; Protoss_Assimilator 195; Protoss_Gateway 136; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 118; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 695; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 406; Protoss_Gateway2 147; Protoss_Forge 347; Protoss_Templar_Archives -1; Protoss_Photon_Cannon 379; Protoss_Cybernetics_Core 245; 
Protoss_Pylon2 127; Protoss_Pylon 52; Protoss_Opening two_gates; Protoss_Assimilator 223; Protoss_Gateway 78; Protoss_Robotics_Support_Bay 453; Protoss_Expansion -1; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 393; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 98; Protoss_Forge 326; Protoss_Templar_Archives -1; Protoss_Photon_Cannon 368; Protoss_Cybernetics_Core 275; 
Protoss_Pylon2 130; Protoss_Pylon 52; Protoss_Opening two_gates; Protoss_Assimilator 453; Protoss_Gateway 77; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 416; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 644; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 575; Protoss_Gateway2 103; Protoss_Forge 566; Protoss_Templar_Archives 713; Protoss_Photon_Cannon 605; Protoss_Cybernetics_Core 471; 
Protoss_Pylon2 125; Protoss_Pylon 53; Protoss_Opening two_gates; Protoss_Assimilator 237; Protoss_Gateway 78; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 211; Protoss_Arbiter_Tribunal 986; Protoss_Robotics_Facility 372; Protoss_Fleet_Beacon -1; Protoss_Stargate 866; Protoss_Citadel_of_Adun 524; Protoss_Gateway2 104; Protoss_Forge 677; Protoss_Templar_Archives 648; Protoss_Photon_Cannon 728; Protoss_Cybernetics_Core 261; 
Protoss_Pylon2 -1; Protoss_Pylon 0; Protoss_Opening ; Protoss_Assimilator -1; Protoss_Gateway -1; Protoss_Robotics_Support_Bay -1; Protoss_Expansion -1; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility -1; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 -1; Protoss_Forge -1; Protoss_Templar_Archives -1; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core -1; 
Protoss_Pylon2 129; Protoss_Pylon 48; Protoss_Opening two_gates; Protoss_Assimilator 103; Protoss_Gateway 77; Protoss_Robotics_Support_Bay -1; Protoss_Expansion -1; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 538; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 164; Protoss_Forge 525; Protoss_Templar_Archives -1; Protoss_Photon_Cannon 556; Protoss_Cybernetics_Core 203; 
Protoss_Pylon2 104; Protoss_Pylon 48; Protoss_Opening two_gates; Protoss_Assimilator 230; Protoss_Gateway 78; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 392; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility -1; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 129; Protoss_Forge 404; Protoss_Templar_Archives -1; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core 247; 
Protoss_Pylon2 133; Protoss_Pylon 51; Protoss_Opening two_gates; Protoss_Assimilator 188; Protoss_Gateway 79; Protoss_Robotics_Support_Bay 530; Protoss_Expansion 347; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 372; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 494; Protoss_Gateway2 109; Protoss_Forge 329; Protoss_Templar_Archives 705; Protoss_Photon_Cannon 568; Protoss_Cybernetics_Core 221; 
Protoss_Pylon2 -1; Protoss_Pylon 0; Protoss_Opening ; Protoss_Assimilator -1; Protoss_Gateway -1; Protoss_Robotics_Support_Bay -1; Protoss_Expansion -1; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility -1; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 -1; Protoss_Forge -1; Protoss_Templar_Archives -1; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core -1; 
Protoss_Pylon2 128; Protoss_Pylon 48; Protoss_Opening two_gates; Protoss_Assimilator 183; Protoss_Gateway 77; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 393; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 519; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 277; Protoss_Gateway2 102; Protoss_Forge 329; Protoss_Templar_Archives 321; Protoss_Photon_Cannon 373; Protoss_Cybernetics_Core 231; 
Protoss_Pylon2 -1; Protoss_Pylon 0; Protoss_Opening ; Protoss_Assimilator -1; Protoss_Gateway -1; Protoss_Robotics_Support_Bay -1; Protoss_Expansion -1; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility -1; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 -1; Protoss_Forge -1; Protoss_Templar_Archives -1; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core -1; 
Protoss_Pylon2 128; Protoss_Pylon 48; Protoss_Opening unknown; Protoss_Assimilator 103; Protoss_Gateway 86; Protoss_Robotics_Support_Bay 646; Protoss_Expansion 452; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 232; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 772; Protoss_Gateway2 282; Protoss_Forge 931; Protoss_Templar_Archives 868; Protoss_Photon_Cannon 1016; Protoss_Cybernetics_Core 155; 
Protoss_Pylon2 -1; Protoss_Pylon 49; Protoss_Opening ; Protoss_Assimilator -1; Protoss_Gateway 79; Protoss_Robotics_Support_Bay -1; Protoss_Expansion -1; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility -1; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 -1; Protoss_Forge -1; Protoss_Templar_Archives -1; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core -1; 
Protoss_Pylon2 122; Protoss_Pylon 47; Protoss_Opening two_gates; Protoss_Assimilator 98; Protoss_Gateway 76; Protoss_Robotics_Support_Bay 438; Protoss_Expansion 414; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 250; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 270; Protoss_Forge -1; Protoss_Templar_Archives -1; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core 164; 
Protoss_Pylon2 131; Protoss_Pylon 47; Protoss_Opening two_gates; Protoss_Assimilator 99; Protoss_Gateway 77; Protoss_Robotics_Support_Bay -1; Protoss_Expansion -1; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility -1; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 115; Protoss_Forge -1; Protoss_Templar_Archives -1; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core -1; 
Protoss_Pylon2 -1; Protoss_Pylon 0; Protoss_Opening ; Protoss_Assimilator -1; Protoss_Gateway -1; Protoss_Robotics_Support_Bay -1; Protoss_Expansion -1; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility -1; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 -1; Protoss_Forge -1; Protoss_Templar_Archives -1; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core -1; 
Protoss_Pylon2 116; Protoss_Pylon 53; Protoss_Opening two_gates; Protoss_Assimilator -1; Protoss_Gateway 80; Protoss_Robotics_Support_Bay -1; Protoss_Expansion -1; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility -1; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 240; Protoss_Forge 303; Protoss_Templar_Archives -1; Protoss_Photon_Cannon 335; Protoss_Cybernetics_Core -1; 
Protoss_Pylon2 118; Protoss_Pylon 49; Protoss_Opening nony; Protoss_Assimilator 107; Protoss_Gateway 81; Protoss_Robotics_Support_Bay 315; Protoss_Expansion 490; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 243; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 230; Protoss_Gateway2 304; Protoss_Forge -1; Protoss_Templar_Archives -1; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core 177; 
Protoss_Pylon2 125; Protoss_Pylon 47; Protoss_Opening two_gates; Protoss_Assimilator 97; Protoss_Gateway 75; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 293; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 397; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 200; Protoss_Gateway2 256; Protoss_Forge 244; Protoss_Templar_Archives 243; Protoss_Photon_Cannon 311; Protoss_Cybernetics_Core 153; 
Protoss_Pylon2 132; Protoss_Pylon 48; Protoss_Opening two_gates; Protoss_Assimilator 100; Protoss_Gateway 79; Protoss_Robotics_Support_Bay 1019; Protoss_Expansion 414; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 269; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 386; Protoss_Gateway2 210; Protoss_Forge 501; Protoss_Templar_Archives 453; Protoss_Photon_Cannon 538; Protoss_Cybernetics_Core 169; 
Protoss_Pylon2 124; Protoss_Pylon 50; Protoss_Opening unknown; Protoss_Assimilator 99; Protoss_Gateway 77; Protoss_Robotics_Support_Bay 301; Protoss_Expansion 320; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 243; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 344; Protoss_Forge 483; Protoss_Templar_Archives -1; Protoss_Photon_Cannon 517; Protoss_Cybernetics_Core 148; 
Protoss_Pylon2 131; Protoss_Pylon 49; Protoss_Opening two_gates; Protoss_Assimilator 266; Protoss_Gateway 76; Protoss_Robotics_Support_Bay 625; Protoss_Expansion 229; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 571; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 823; Protoss_Gateway2 103; Protoss_Forge 253; Protoss_Templar_Archives 963; Protoss_Photon_Cannon 301; Protoss_Cybernetics_Core 280; 
Protoss_Pylon2 118; Protoss_Pylon 48; Protoss_Opening two_gates; Protoss_Assimilator 261; Protoss_Gateway 77; Protoss_Robotics_Support_Bay -1; Protoss_Expansion -1; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility -1; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 103; Protoss_Forge 296; Protoss_Templar_Archives -1; Protoss_Photon_Cannon 327; Protoss_Cybernetics_Core 286; 
Protoss_Pylon2 122; Protoss_Pylon 47; Protoss_Opening two_gates; Protoss_Assimilator 97; Protoss_Gateway 76; Protoss_Robotics_Support_Bay 415; Protoss_Expansion 466; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 324; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 195; Protoss_Forge -1; Protoss_Templar_Archives -1; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core 163; 
Protoss_Pylon2 126; Protoss_Pylon 49; Protoss_Opening two_gates; Protoss_Assimilator 213; Protoss_Gateway 78; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 485; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 383; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 374; Protoss_Gateway2 103; Protoss_Forge 268; Protoss_Templar_Archives 426; Protoss_Photon_Cannon 299; Protoss_Cybernetics_Core 328; 
Protoss_Pylon2 -1; Protoss_Pylon 0; Protoss_Opening ; Protoss_Assimilator -1; Protoss_Gateway -1; Protoss_Robotics_Support_Bay -1; Protoss_Expansion -1; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility -1; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 -1; Protoss_Forge -1; Protoss_Templar_Archives -1; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core -1; 
Protoss_Pylon2 131; Protoss_Pylon 49; Protoss_Opening two_gates; Protoss_Assimilator 165; Protoss_Gateway 77; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 394; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 262; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 411; Protoss_Gateway2 103; Protoss_Forge 309; Protoss_Templar_Archives 459; Protoss_Photon_Cannon 344; Protoss_Cybernetics_Core 195; 
Protoss_Pylon2 124; Protoss_Pylon 49; Protoss_Opening two_gates; Protoss_Assimilator 189; Protoss_Gateway 78; Protoss_Robotics_Support_Bay -1; Protoss_Expansion -1; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility -1; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 103; Protoss_Forge -1; Protoss_Templar_Archives -1; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core 289; 
Protoss_Pylon2 134; Protoss_Pylon 48; Protoss_Opening two_gates; Protoss_Assimilator 188; Protoss_Gateway 78; Protoss_Robotics_Support_Bay 367; Protoss_Expansion 394; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 278; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 566; Protoss_Gateway2 105; Protoss_Forge 458; Protoss_Templar_Archives -1; Protoss_Photon_Cannon 537; Protoss_Cybernetics_Core 225; 
Protoss_Pylon2 127; Protoss_Pylon 49; Protoss_Opening two_gates; Protoss_Assimilator 300; Protoss_Gateway 78; Protoss_Robotics_Support_Bay -1; Protoss_Expansion -1; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility -1; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 103; Protoss_Forge 345; Protoss_Templar_Archives -1; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core 329; 
Protoss_Pylon2 121; Protoss_Pylon 48; Protoss_Opening two_gates; Protoss_Assimilator 206; Protoss_Gateway 76; Protoss_Robotics_Support_Bay -1; Protoss_Expansion -1; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 393; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 100; Protoss_Forge 323; Protoss_Templar_Archives -1; Protoss_Photon_Cannon 372; Protoss_Cybernetics_Core 225; 
Protoss_Pylon2 128; Protoss_Pylon 47; Protoss_Opening two_gates; Protoss_Assimilator 101; Protoss_Gateway 79; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 356; Protoss_Arbiter_Tribunal 788; Protoss_Robotics_Facility 297; Protoss_Fleet_Beacon -1; Protoss_Stargate 737; Protoss_Citadel_of_Adun 435; Protoss_Gateway2 148; Protoss_Forge 711; Protoss_Templar_Archives 561; Protoss_Photon_Cannon 841; Protoss_Cybernetics_Core 202; 
Protoss_Pylon2 109; Protoss_Pylon 48; Protoss_Opening two_gates; Protoss_Assimilator 127; Protoss_Gateway 77; Protoss_Robotics_Support_Bay -1; Protoss_Expansion -1; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 433; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 174; Protoss_Forge 386; Protoss_Templar_Archives -1; Protoss_Photon_Cannon 419; Protoss_Cybernetics_Core 150; 
Protoss_Pylon2 125; Protoss_Pylon 49; Protoss_Opening two_gates; Protoss_Assimilator 138; Protoss_Gateway 78; Protoss_Robotics_Support_Bay -1; Protoss_Expansion -1; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility -1; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 235; Protoss_Gateway2 102; Protoss_Forge 373; Protoss_Templar_Archives 278; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core 175; 
Protoss_Pylon2 132; Protoss_Pylon 52; Protoss_Opening two_gates; Protoss_Assimilator 177; Protoss_Gateway 80; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 518; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 338; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 649; Protoss_Gateway2 109; Protoss_Forge 719; Protoss_Templar_Archives 736; Protoss_Photon_Cannon 781; Protoss_Cybernetics_Core 203; 
Protoss_Pylon2 157; Protoss_Pylon 52; Protoss_Opening two_gates; Protoss_Assimilator 139; Protoss_Gateway 84; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 586; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility -1; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 273; Protoss_Gateway2 112; Protoss_Forge 385; Protoss_Templar_Archives 317; Protoss_Photon_Cannon 421; Protoss_Cybernetics_Core 175; 
