Terran_Control_Tower 622; Terran_Comsat_Station 666; Terran_Barracks 83; Terran_Expansion 376; Terran_Refinery 116; Terran_Barracks2 510; Terran_Missile_Turret 436; Terran_Supply_Depot 58; Terran_Engineering_Bay 300; Terran_Science_Facility -1; Terran_Machine_Shop 228; Terran_Armory -1; Terran_Starport 548; Terran_Opening rax_fe; Terran_Academy 590; Terran_Bunker 258; Terran_Factory 168; 
Terran_Control_Tower 1038; Terran_Comsat_Station 1067; Terran_Barracks 92; Terran_Expansion 843; Terran_Refinery 108; Terran_Barracks2 600; Terran_Missile_Turret 537; Terran_Supply_Depot 61; Terran_Engineering_Bay 493; Terran_Science_Facility 0; Terran_Machine_Shop 398; Terran_Armory 780; Terran_Starport 988; Terran_Opening ; Terran_Academy 986; Terran_Bunker 182; Terran_Factory 175; 
Terran_Control_Tower 255; Terran_Comsat_Station 642; Terran_Barracks 91; Terran_Expansion 356; Terran_Refinery 102; Terran_Barracks2 366; Terran_Missile_Turret 359; Terran_Supply_Depot 61; Terran_Engineering_Bay 278; Terran_Science_Facility 1073; Terran_Machine_Shop 209; Terran_Armory 0; Terran_Starport 208; Terran_Opening rax_fe; Terran_Academy 571; Terran_Bunker 1058; Terran_Factory 156; 
Terran_Control_Tower 255; Terran_Comsat_Station 642; Terran_Barracks 91; Terran_Expansion 356; Terran_Refinery 102; Terran_Barracks2 366; Terran_Missile_Turret 359; Terran_Supply_Depot 61; Terran_Engineering_Bay 278; Terran_Science_Facility 1073; Terran_Machine_Shop 209; Terran_Armory 0; Terran_Starport 208; Terran_Opening rax_fe; Terran_Academy 571; Terran_Bunker 1058; Terran_Factory 156; 
Terran_Control_Tower -1; Terran_Comsat_Station 375; Terran_Barracks 98; Terran_Expansion 190; Terran_Refinery 297; Terran_Barracks2 117; Terran_Missile_Turret 759; Terran_Supply_Depot 63; Terran_Engineering_Bay 690; Terran_Science_Facility -1; Terran_Machine_Shop 424; Terran_Armory -1; Terran_Starport -1; Terran_Opening rax_fe; Terran_Academy 307; Terran_Bunker 572; Terran_Factory 366; 
Terran_Control_Tower 1001; Terran_Comsat_Station 852; Terran_Barracks 88; Terran_Expansion 274; Terran_Refinery 105; Terran_Barracks2 190; Terran_Missile_Turret 354; Terran_Supply_Depot 58; Terran_Engineering_Bay 314; Terran_Science_Facility -1; Terran_Machine_Shop 210; Terran_Armory 963; Terran_Starport 812; Terran_Opening rax_fe; Terran_Academy 701; Terran_Bunker -1; Terran_Factory 157; 
Terran_Control_Tower -1; Terran_Comsat_Station 603; Terran_Barracks 89; Terran_Expansion 379; Terran_Refinery 104; Terran_Barracks2 314; Terran_Missile_Turret 426; Terran_Supply_Depot 59; Terran_Engineering_Bay 385; Terran_Science_Facility -1; Terran_Machine_Shop 212; Terran_Armory 802; Terran_Starport -1; Terran_Opening two_facto; Terran_Academy 548; Terran_Bunker -1; Terran_Factory 159; 
Terran_Control_Tower 523; Terran_Comsat_Station 609; Terran_Barracks 83; Terran_Expansion 450; Terran_Refinery 106; Terran_Barracks2 -1; Terran_Missile_Turret 328; Terran_Supply_Depot 61; Terran_Engineering_Bay 282; Terran_Science_Facility -1; Terran_Machine_Shop 226; Terran_Armory 693; Terran_Starport 471; Terran_Opening two_facto; Terran_Academy 526; Terran_Bunker 311; Terran_Factory 169; 
Terran_Control_Tower 274; Terran_Comsat_Station 825; Terran_Barracks 94; Terran_Expansion 457; Terran_Refinery 105; Terran_Barracks2 354; Terran_Missile_Turret 617; Terran_Supply_Depot 66; Terran_Engineering_Bay 574; Terran_Science_Facility -1; Terran_Machine_Shop 210; Terran_Armory 730; Terran_Starport 218; Terran_Opening drop; Terran_Academy 765; Terran_Bunker -1; Terran_Factory 155; 
Terran_Control_Tower 640; Terran_Comsat_Station 0; Terran_Barracks 89; Terran_Expansion 248; Terran_Refinery 107; Terran_Barracks2 261; Terran_Missile_Turret 307; Terran_Supply_Depot 62; Terran_Engineering_Bay 261; Terran_Science_Facility -1; Terran_Machine_Shop 208; Terran_Armory -1; Terran_Starport 552; Terran_Opening rax_fe; Terran_Academy 943; Terran_Bunker -1; Terran_Factory 155; 
Terran_Control_Tower 263; Terran_Comsat_Station 756; Terran_Barracks 90; Terran_Expansion 417; Terran_Refinery 101; Terran_Barracks2 363; Terran_Missile_Turret 388; Terran_Supply_Depot 60; Terran_Engineering_Bay 340; Terran_Science_Facility -1; Terran_Machine_Shop 205; Terran_Armory 665; Terran_Starport 214; Terran_Opening drop; Terran_Academy 637; Terran_Bunker -1; Terran_Factory 152; 
Terran_Control_Tower 1038; Terran_Comsat_Station 1067; Terran_Barracks 92; Terran_Expansion 843; Terran_Refinery 108; Terran_Barracks2 600; Terran_Missile_Turret 537; Terran_Supply_Depot 61; Terran_Engineering_Bay 493; Terran_Science_Facility 0; Terran_Machine_Shop 398; Terran_Armory 780; Terran_Starport 988; Terran_Opening ; Terran_Academy 986; Terran_Bunker 182; Terran_Factory 175; 
Terran_Control_Tower 257; Terran_Comsat_Station 667; Terran_Barracks 89; Terran_Expansion 617; Terran_Refinery 105; Terran_Barracks2 484; Terran_Missile_Turret 331; Terran_Supply_Depot 62; Terran_Engineering_Bay 284; Terran_Science_Facility -1; Terran_Machine_Shop 208; Terran_Armory 372; Terran_Starport 209; Terran_Opening drop; Terran_Academy 588; Terran_Bunker 535; Terran_Factory 156; 
Terran_Control_Tower 263; Terran_Comsat_Station 756; Terran_Barracks 90; Terran_Expansion 417; Terran_Refinery 101; Terran_Barracks2 363; Terran_Missile_Turret 388; Terran_Supply_Depot 60; Terran_Engineering_Bay 340; Terran_Science_Facility -1; Terran_Machine_Shop 205; Terran_Armory 665; Terran_Starport 214; Terran_Opening drop; Terran_Academy 637; Terran_Bunker -1; Terran_Factory 152; 
Terran_Control_Tower 398; Terran_Comsat_Station 356; Terran_Barracks 103; Terran_Expansion 234; Terran_Refinery 99; Terran_Barracks2 -1; Terran_Missile_Turret 376; Terran_Supply_Depot 60; Terran_Engineering_Bay 326; Terran_Science_Facility -1; Terran_Machine_Shop 215; Terran_Armory 499; Terran_Starport 329; Terran_Opening rax_fe; Terran_Academy 291; Terran_Bunker -1; Terran_Factory 161; 
Terran_Control_Tower 274; Terran_Comsat_Station -1; Terran_Barracks 87; Terran_Expansion 458; Terran_Refinery 111; Terran_Barracks2 -1; Terran_Missile_Turret 312; Terran_Supply_Depot 55; Terran_Engineering_Bay 258; Terran_Science_Facility -1; Terran_Machine_Shop 221; Terran_Armory -1; Terran_Starport 220; Terran_Opening rax_fe; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 166; 
Terran_Control_Tower 349; Terran_Comsat_Station 526; Terran_Barracks 89; Terran_Expansion 393; Terran_Refinery 107; Terran_Barracks2 191; Terran_Missile_Turret 354; Terran_Supply_Depot 58; Terran_Engineering_Bay 303; Terran_Science_Facility 813; Terran_Machine_Shop 239; Terran_Armory 645; Terran_Starport 250; Terran_Opening unknown; Terran_Academy 465; Terran_Bunker 784; Terran_Factory 164; 
Terran_Control_Tower 261; Terran_Comsat_Station 650; Terran_Barracks 90; Terran_Expansion 367; Terran_Refinery 109; Terran_Barracks2 146; Terran_Missile_Turret 319; Terran_Supply_Depot 62; Terran_Engineering_Bay 278; Terran_Science_Facility -1; Terran_Machine_Shop 212; Terran_Armory -1; Terran_Starport 213; Terran_Opening drop; Terran_Academy 508; Terran_Bunker -1; Terran_Factory 160; 
Terran_Control_Tower 262; Terran_Comsat_Station 562; Terran_Barracks 90; Terran_Expansion 358; Terran_Refinery 107; Terran_Barracks2 395; Terran_Missile_Turret 389; Terran_Supply_Depot 60; Terran_Engineering_Bay 315; Terran_Science_Facility -1; Terran_Machine_Shop 211; Terran_Armory 686; Terran_Starport 213; Terran_Opening drop; Terran_Academy 505; Terran_Bunker 364; Terran_Factory 156; 
Terran_Control_Tower 329; Terran_Comsat_Station 782; Terran_Barracks 91; Terran_Expansion 518; Terran_Refinery 143; Terran_Barracks2 116; Terran_Missile_Turret 429; Terran_Supply_Depot 60; Terran_Engineering_Bay 375; Terran_Science_Facility 934; Terran_Machine_Shop 271; Terran_Armory -1; Terran_Starport 271; Terran_Opening bio; Terran_Academy 709; Terran_Bunker 661; Terran_Factory 217; 
Terran_Control_Tower 255; Terran_Comsat_Station 642; Terran_Barracks 91; Terran_Expansion 356; Terran_Refinery 102; Terran_Barracks2 366; Terran_Missile_Turret 359; Terran_Supply_Depot 61; Terran_Engineering_Bay 278; Terran_Science_Facility 1073; Terran_Machine_Shop 209; Terran_Armory 0; Terran_Starport 208; Terran_Opening rax_fe; Terran_Academy 571; Terran_Bunker 1058; Terran_Factory 156; 
Terran_Control_Tower 269; Terran_Comsat_Station 704; Terran_Barracks 91; Terran_Expansion 358; Terran_Refinery 100; Terran_Barracks2 149; Terran_Missile_Turret 452; Terran_Supply_Depot 64; Terran_Engineering_Bay 410; Terran_Science_Facility -1; Terran_Machine_Shop 207; Terran_Armory 856; Terran_Starport 222; Terran_Opening drop; Terran_Academy 596; Terran_Bunker 434; Terran_Factory 154; 
Terran_Control_Tower 464; Terran_Comsat_Station 470; Terran_Barracks 93; Terran_Expansion 641; Terran_Refinery 109; Terran_Barracks2 363; Terran_Missile_Turret 337; Terran_Supply_Depot 56; Terran_Engineering_Bay 293; Terran_Science_Facility -1; Terran_Machine_Shop 217; Terran_Armory 600; Terran_Starport 387; Terran_Opening two_facto; Terran_Academy 391; Terran_Bunker -1; Terran_Factory 161; 
Terran_Control_Tower 260; Terran_Comsat_Station 593; Terran_Barracks 92; Terran_Expansion 345; Terran_Refinery 110; Terran_Barracks2 -1; Terran_Missile_Turret 408; Terran_Supply_Depot 61; Terran_Engineering_Bay 363; Terran_Science_Facility 0; Terran_Machine_Shop 213; Terran_Armory 1059; Terran_Starport 214; Terran_Opening rax_fe; Terran_Academy 537; Terran_Bunker -1; Terran_Factory 160; 
Terran_Control_Tower -1; Terran_Comsat_Station 603; Terran_Barracks 89; Terran_Expansion 379; Terran_Refinery 104; Terran_Barracks2 314; Terran_Missile_Turret 426; Terran_Supply_Depot 59; Terran_Engineering_Bay 385; Terran_Science_Facility -1; Terran_Machine_Shop 212; Terran_Armory 802; Terran_Starport -1; Terran_Opening two_facto; Terran_Academy 548; Terran_Bunker -1; Terran_Factory 159; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 84; Terran_Expansion -1; Terran_Refinery 107; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 59; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop 222; Terran_Armory -1; Terran_Starport -1; Terran_Opening two_facto; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 170; 
Terran_Control_Tower 407; Terran_Comsat_Station 551; Terran_Barracks 90; Terran_Expansion 342; Terran_Refinery 104; Terran_Barracks2 308; Terran_Missile_Turret 312; Terran_Supply_Depot 63; Terran_Engineering_Bay 255; Terran_Science_Facility -1; Terran_Machine_Shop 213; Terran_Armory 1067; Terran_Starport 329; Terran_Opening two_facto; Terran_Academy 426; Terran_Bunker 358; Terran_Factory 155; 
Terran_Control_Tower 696; Terran_Comsat_Station 548; Terran_Barracks 89; Terran_Expansion 298; Terran_Refinery 100; Terran_Barracks2 305; Terran_Missile_Turret 421; Terran_Supply_Depot 58; Terran_Engineering_Bay 378; Terran_Science_Facility -1; Terran_Machine_Shop 207; Terran_Armory 678; Terran_Starport 368; Terran_Opening rax_fe; Terran_Academy 479; Terran_Bunker -1; Terran_Factory 155; 
Terran_Control_Tower 262; Terran_Comsat_Station 562; Terran_Barracks 90; Terran_Expansion 358; Terran_Refinery 107; Terran_Barracks2 395; Terran_Missile_Turret 389; Terran_Supply_Depot 60; Terran_Engineering_Bay 315; Terran_Science_Facility -1; Terran_Machine_Shop 211; Terran_Armory 686; Terran_Starport 213; Terran_Opening drop; Terran_Academy 505; Terran_Bunker 364; Terran_Factory 156; 
Terran_Control_Tower 473; Terran_Comsat_Station 835; Terran_Barracks 82; Terran_Expansion 562; Terran_Refinery 103; Terran_Barracks2 715; Terran_Missile_Turret 952; Terran_Supply_Depot 57; Terran_Engineering_Bay 851; Terran_Science_Facility -1; Terran_Machine_Shop 217; Terran_Armory 859; Terran_Starport 425; Terran_Opening unknown; Terran_Academy 713; Terran_Bunker -1; Terran_Factory 155; 
Terran_Control_Tower 1001; Terran_Comsat_Station 852; Terran_Barracks 88; Terran_Expansion 274; Terran_Refinery 105; Terran_Barracks2 190; Terran_Missile_Turret 354; Terran_Supply_Depot 58; Terran_Engineering_Bay 314; Terran_Science_Facility -1; Terran_Machine_Shop 210; Terran_Armory 963; Terran_Starport 812; Terran_Opening rax_fe; Terran_Academy 701; Terran_Bunker -1; Terran_Factory 157; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 90; Terran_Expansion 365; Terran_Refinery 106; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 62; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop 209; Terran_Armory -1; Terran_Starport -1; Terran_Opening rax_fe; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 157; 
Terran_Control_Tower 262; Terran_Comsat_Station 761; Terran_Barracks 90; Terran_Expansion 238; Terran_Refinery 102; Terran_Barracks2 193; Terran_Missile_Turret 361; Terran_Supply_Depot 60; Terran_Engineering_Bay 314; Terran_Science_Facility -1; Terran_Machine_Shop 202; Terran_Armory -1; Terran_Starport 204; Terran_Opening rax_fe; Terran_Academy 683; Terran_Bunker 451; Terran_Factory 151; 
Terran_Control_Tower -1; Terran_Comsat_Station 938; Terran_Barracks 100; Terran_Expansion 622; Terran_Refinery 103; Terran_Barracks2 832; Terran_Missile_Turret 509; Terran_Supply_Depot 60; Terran_Engineering_Bay 302; Terran_Science_Facility -1; Terran_Machine_Shop 313; Terran_Armory 881; Terran_Starport -1; Terran_Opening two_facto; Terran_Academy 884; Terran_Bunker -1; Terran_Factory 158; 
Terran_Control_Tower 387; Terran_Comsat_Station 259; Terran_Barracks 139; Terran_Expansion 116; Terran_Refinery 151; Terran_Barracks2 196; Terran_Missile_Turret 407; Terran_Supply_Depot 56; Terran_Engineering_Bay 364; Terran_Science_Facility 884; Terran_Machine_Shop 255; Terran_Armory 677; Terran_Starport 342; Terran_Opening ; Terran_Academy 202; Terran_Bunker 320; Terran_Factory 200; 
Terran_Control_Tower 263; Terran_Comsat_Station 756; Terran_Barracks 90; Terran_Expansion 417; Terran_Refinery 101; Terran_Barracks2 363; Terran_Missile_Turret 388; Terran_Supply_Depot 60; Terran_Engineering_Bay 340; Terran_Science_Facility -1; Terran_Machine_Shop 205; Terran_Armory 665; Terran_Starport 214; Terran_Opening drop; Terran_Academy 637; Terran_Bunker -1; Terran_Factory 152; 
Terran_Control_Tower -1; Terran_Comsat_Station 501; Terran_Barracks 99; Terran_Expansion 241; Terran_Refinery 115; Terran_Barracks2 -1; Terran_Missile_Turret 551; Terran_Supply_Depot 59; Terran_Engineering_Bay 482; Terran_Science_Facility -1; Terran_Machine_Shop 231; Terran_Armory -1; Terran_Starport -1; Terran_Opening rax_fe; Terran_Academy 437; Terran_Bunker 364; Terran_Factory 175; 
Terran_Control_Tower 473; Terran_Comsat_Station 835; Terran_Barracks 82; Terran_Expansion 562; Terran_Refinery 103; Terran_Barracks2 715; Terran_Missile_Turret 952; Terran_Supply_Depot 57; Terran_Engineering_Bay 851; Terran_Science_Facility -1; Terran_Machine_Shop 217; Terran_Armory 859; Terran_Starport 425; Terran_Opening unknown; Terran_Academy 713; Terran_Bunker -1; Terran_Factory 155; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 85; Terran_Expansion 363; Terran_Refinery 105; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 59; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop 214; Terran_Armory -1; Terran_Starport -1; Terran_Opening two_facto; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 161; 
Terran_Control_Tower -1; Terran_Comsat_Station 263; Terran_Barracks 62; Terran_Expansion -1; Terran_Refinery 157; Terran_Barracks2 108; Terran_Missile_Turret -1; Terran_Supply_Depot 82; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop -1; Terran_Armory -1; Terran_Starport -1; Terran_Opening ; Terran_Academy 160; Terran_Bunker -1; Terran_Factory -1; 
Terran_Control_Tower 0; Terran_Comsat_Station 529; Terran_Barracks 91; Terran_Expansion 283; Terran_Refinery 111; Terran_Barracks2 164; Terran_Missile_Turret 515; Terran_Supply_Depot 64; Terran_Engineering_Bay 346; Terran_Science_Facility -1; Terran_Machine_Shop 216; Terran_Armory -1; Terran_Starport 0; Terran_Opening rax_fe; Terran_Academy 469; Terran_Bunker 380; Terran_Factory 161; 
Terran_Control_Tower 309; Terran_Comsat_Station 732; Terran_Barracks 91; Terran_Expansion 449; Terran_Refinery 103; Terran_Barracks2 143; Terran_Missile_Turret 393; Terran_Supply_Depot 61; Terran_Engineering_Bay 345; Terran_Science_Facility 0; Terran_Machine_Shop 211; Terran_Armory 885; Terran_Starport 256; Terran_Opening bio; Terran_Academy 616; Terran_Bunker -1; Terran_Factory 159; 
Terran_Control_Tower 248; Terran_Comsat_Station -1; Terran_Barracks 82; Terran_Expansion -1; Terran_Refinery 96; Terran_Barracks2 304; Terran_Missile_Turret 308; Terran_Supply_Depot 57; Terran_Engineering_Bay 264; Terran_Science_Facility -1; Terran_Machine_Shop 201; Terran_Armory -1; Terran_Starport 202; Terran_Opening drop; Terran_Academy -1; Terran_Bunker 338; Terran_Factory 149; 
Terran_Control_Tower 248; Terran_Comsat_Station -1; Terran_Barracks 82; Terran_Expansion -1; Terran_Refinery 96; Terran_Barracks2 304; Terran_Missile_Turret 308; Terran_Supply_Depot 57; Terran_Engineering_Bay 264; Terran_Science_Facility -1; Terran_Machine_Shop 201; Terran_Armory -1; Terran_Starport 202; Terran_Opening drop; Terran_Academy -1; Terran_Bunker 338; Terran_Factory 149; 
Terran_Control_Tower 367; Terran_Comsat_Station -1; Terran_Barracks 90; Terran_Expansion -1; Terran_Refinery 103; Terran_Barracks2 143; Terran_Missile_Turret 466; Terran_Supply_Depot 62; Terran_Engineering_Bay 381; Terran_Science_Facility -1; Terran_Machine_Shop 203; Terran_Armory -1; Terran_Starport 292; Terran_Opening bio; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 152; 
Terran_Control_Tower 270; Terran_Comsat_Station 620; Terran_Barracks 87; Terran_Expansion 372; Terran_Refinery 103; Terran_Barracks2 141; Terran_Missile_Turret 382; Terran_Supply_Depot 56; Terran_Engineering_Bay 275; Terran_Science_Facility 0; Terran_Machine_Shop 206; Terran_Armory 758; Terran_Starport 205; Terran_Opening drop; Terran_Academy 547; Terran_Bunker 358; Terran_Factory 152; 
Terran_Control_Tower 258; Terran_Comsat_Station 547; Terran_Barracks 89; Terran_Expansion 418; Terran_Refinery 104; Terran_Barracks2 142; Terran_Missile_Turret 333; Terran_Supply_Depot 59; Terran_Engineering_Bay 290; Terran_Science_Facility -1; Terran_Machine_Shop 209; Terran_Armory -1; Terran_Starport 210; Terran_Opening drop; Terran_Academy 491; Terran_Bunker 842; Terran_Factory 157; 
Terran_Control_Tower 1038; Terran_Comsat_Station 1067; Terran_Barracks 92; Terran_Expansion 843; Terran_Refinery 108; Terran_Barracks2 600; Terran_Missile_Turret 537; Terran_Supply_Depot 61; Terran_Engineering_Bay 493; Terran_Science_Facility 0; Terran_Machine_Shop 398; Terran_Armory 780; Terran_Starport 988; Terran_Opening ; Terran_Academy 986; Terran_Bunker 182; Terran_Factory 175; 
Terran_Control_Tower 581; Terran_Comsat_Station 897; Terran_Barracks 89; Terran_Expansion 495; Terran_Refinery 104; Terran_Barracks2 285; Terran_Missile_Turret 395; Terran_Supply_Depot 57; Terran_Engineering_Bay 350; Terran_Science_Facility 0; Terran_Machine_Shop 207; Terran_Armory 568; Terran_Starport 484; Terran_Opening unknown; Terran_Academy 826; Terran_Bunker -1; Terran_Factory 154; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 90; Terran_Expansion 601; Terran_Refinery 102; Terran_Barracks2 477; Terran_Missile_Turret 614; Terran_Supply_Depot 61; Terran_Engineering_Bay 574; Terran_Science_Facility -1; Terran_Machine_Shop 208; Terran_Armory 328; Terran_Starport 311; Terran_Opening unknown; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 155; 
Terran_Control_Tower 523; Terran_Comsat_Station 609; Terran_Barracks 83; Terran_Expansion 450; Terran_Refinery 106; Terran_Barracks2 -1; Terran_Missile_Turret 328; Terran_Supply_Depot 61; Terran_Engineering_Bay 282; Terran_Science_Facility -1; Terran_Machine_Shop 226; Terran_Armory 693; Terran_Starport 471; Terran_Opening two_facto; Terran_Academy 526; Terran_Bunker 311; Terran_Factory 169; 
Terran_Control_Tower 1038; Terran_Comsat_Station 1067; Terran_Barracks 92; Terran_Expansion 843; Terran_Refinery 108; Terran_Barracks2 600; Terran_Missile_Turret 537; Terran_Supply_Depot 61; Terran_Engineering_Bay 493; Terran_Science_Facility 0; Terran_Machine_Shop 398; Terran_Armory 780; Terran_Starport 988; Terran_Opening ; Terran_Academy 986; Terran_Bunker 182; Terran_Factory 175; 
Terran_Control_Tower 1038; Terran_Comsat_Station 1067; Terran_Barracks 92; Terran_Expansion 843; Terran_Refinery 108; Terran_Barracks2 600; Terran_Missile_Turret 537; Terran_Supply_Depot 61; Terran_Engineering_Bay 493; Terran_Science_Facility 0; Terran_Machine_Shop 398; Terran_Armory 780; Terran_Starport 988; Terran_Opening ; Terran_Academy 986; Terran_Bunker 182; Terran_Factory 175; 
Terran_Control_Tower 255; Terran_Comsat_Station 650; Terran_Barracks 89; Terran_Expansion 402; Terran_Refinery 102; Terran_Barracks2 330; Terran_Missile_Turret 435; Terran_Supply_Depot 60; Terran_Engineering_Bay 341; Terran_Science_Facility -1; Terran_Machine_Shop 207; Terran_Armory 605; Terran_Starport 208; Terran_Opening drop; Terran_Academy 590; Terran_Bunker -1; Terran_Factory 154; 
Terran_Control_Tower 367; Terran_Comsat_Station -1; Terran_Barracks 90; Terran_Expansion -1; Terran_Refinery 103; Terran_Barracks2 143; Terran_Missile_Turret 466; Terran_Supply_Depot 62; Terran_Engineering_Bay 381; Terran_Science_Facility -1; Terran_Machine_Shop 203; Terran_Armory -1; Terran_Starport 292; Terran_Opening bio; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 152; 
Terran_Control_Tower 262; Terran_Comsat_Station 907; Terran_Barracks 92; Terran_Expansion 312; Terran_Refinery 100; Terran_Barracks2 176; Terran_Missile_Turret 445; Terran_Supply_Depot 63; Terran_Engineering_Bay 382; Terran_Science_Facility 1015; Terran_Machine_Shop 217; Terran_Armory 604; Terran_Starport 216; Terran_Opening drop; Terran_Academy 526; Terran_Bunker -1; Terran_Factory 158; 
