Zerg_Hive 802; Zerg_Opening Standard; Zerg_Spawning_Pool 129; Zerg_Extractor 104; Zerg_Creep_Colony 182; Zerg_Evolution_Chamber 755; Zerg_Queens_Nest 758; Zerg_Sunken_Colony 203; Zerg_Spore_Colony 0; Zerg_Expansion 102; Zerg_Hydralisk_Den 232; Zerg_Greater_Spire 0; Zerg_Expansion2 407; Zerg_Lair 185; Zerg_Ultralisk_Cavern 0; Zerg_Spire 252; Zerg_Building_Overlord 56; Zerg_Defiler_Mound 894; 
Zerg_Hive 0; Zerg_Opening ThreeHatchMuta; Zerg_Spawning_Pool 136; Zerg_Extractor 67; Zerg_Creep_Colony 271; Zerg_Evolution_Chamber 0; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 329; Zerg_Spore_Colony 0; Zerg_Expansion 108; Zerg_Hydralisk_Den 466; Zerg_Greater_Spire 0; Zerg_Expansion2 189; Zerg_Lair 262; Zerg_Ultralisk_Cavern 0; Zerg_Spire 326; Zerg_Building_Overlord 58; Zerg_Defiler_Mound 0; 
Zerg_Hive 834; Zerg_Opening ThreeHatchMuta; Zerg_Spawning_Pool 134; Zerg_Extractor 203; Zerg_Creep_Colony 352; Zerg_Evolution_Chamber 447; Zerg_Queens_Nest 756; Zerg_Sunken_Colony 488; Zerg_Spore_Colony 0; Zerg_Expansion 117; Zerg_Hydralisk_Den 338; Zerg_Greater_Spire 0; Zerg_Expansion2 220; Zerg_Lair 260; Zerg_Ultralisk_Cavern 936; Zerg_Spire 323; Zerg_Building_Overlord 57; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening HydraRush; Zerg_Spawning_Pool 120; Zerg_Extractor 63; Zerg_Creep_Colony 199; Zerg_Evolution_Chamber 0; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 216; Zerg_Spore_Colony 0; Zerg_Expansion 98; Zerg_Hydralisk_Den 396; Zerg_Greater_Spire 0; Zerg_Expansion2 0; Zerg_Lair 255; Zerg_Ultralisk_Cavern 0; Zerg_Spire 0; Zerg_Building_Overlord 56; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening Standard; Zerg_Spawning_Pool 126; Zerg_Extractor 203; Zerg_Creep_Colony 236; Zerg_Evolution_Chamber 495; Zerg_Queens_Nest 998; Zerg_Sunken_Colony 254; Zerg_Spore_Colony 0; Zerg_Expansion 103; Zerg_Hydralisk_Den 295; Zerg_Greater_Spire 0; Zerg_Expansion2 335; Zerg_Lair 261; Zerg_Ultralisk_Cavern 0; Zerg_Spire 363; Zerg_Building_Overlord 58; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening TwoHatchMuta; Zerg_Spawning_Pool 115; Zerg_Extractor 126; Zerg_Creep_Colony 294; Zerg_Evolution_Chamber 0; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 0; Zerg_Spore_Colony 0; Zerg_Expansion 179; Zerg_Hydralisk_Den 0; Zerg_Greater_Spire 0; Zerg_Expansion2 0; Zerg_Lair 193; Zerg_Ultralisk_Cavern 0; Zerg_Spire 261; Zerg_Building_Overlord 58; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening Lurker; Zerg_Spawning_Pool 133; Zerg_Extractor 248; Zerg_Creep_Colony 274; Zerg_Evolution_Chamber 599; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 374; Zerg_Spore_Colony 0; Zerg_Expansion 112; Zerg_Hydralisk_Den 336; Zerg_Greater_Spire 0; Zerg_Expansion2 501; Zerg_Lair 303; Zerg_Ultralisk_Cavern 0; Zerg_Spire 0; Zerg_Building_Overlord 59; Zerg_Defiler_Mound 0; 
Zerg_Hive 521; Zerg_Opening ThreeHatchMuta; Zerg_Spawning_Pool 133; Zerg_Extractor 145; Zerg_Creep_Colony 367; Zerg_Evolution_Chamber 676; Zerg_Queens_Nest 461; Zerg_Sunken_Colony 393; Zerg_Spore_Colony 0; Zerg_Expansion 114; Zerg_Hydralisk_Den 673; Zerg_Greater_Spire 598; Zerg_Expansion2 243; Zerg_Lair 303; Zerg_Ultralisk_Cavern 765; Zerg_Spire 459; Zerg_Building_Overlord 59; Zerg_Defiler_Mound 0; 
Zerg_Hive 859; Zerg_Opening HydraMass; Zerg_Spawning_Pool 127; Zerg_Extractor 226; Zerg_Creep_Colony 200; Zerg_Evolution_Chamber 481; Zerg_Queens_Nest 790; Zerg_Sunken_Colony 232; Zerg_Spore_Colony 670; Zerg_Expansion 107; Zerg_Hydralisk_Den 317; Zerg_Greater_Spire 0; Zerg_Expansion2 191; Zerg_Lair 279; Zerg_Ultralisk_Cavern 988; Zerg_Spire 0; Zerg_Building_Overlord 58; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening HydraMass; Zerg_Spawning_Pool 116; Zerg_Extractor 154; Zerg_Creep_Colony 239; Zerg_Evolution_Chamber 457; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 263; Zerg_Spore_Colony 0; Zerg_Expansion 110; Zerg_Hydralisk_Den 295; Zerg_Greater_Spire 0; Zerg_Expansion2 145; Zerg_Lair 232; Zerg_Ultralisk_Cavern 0; Zerg_Spire 0; Zerg_Building_Overlord 57; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening Lurker; Zerg_Spawning_Pool 84; Zerg_Extractor 114; Zerg_Creep_Colony 279; Zerg_Evolution_Chamber 0; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 298; Zerg_Spore_Colony 0; Zerg_Expansion 161; Zerg_Hydralisk_Den 323; Zerg_Greater_Spire 0; Zerg_Expansion2 747; Zerg_Lair 236; Zerg_Ultralisk_Cavern 0; Zerg_Spire 867; Zerg_Building_Overlord 60; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening TwoHatchMuta; Zerg_Spawning_Pool 123; Zerg_Extractor 169; Zerg_Creep_Colony 195; Zerg_Evolution_Chamber 0; Zerg_Queens_Nest 836; Zerg_Sunken_Colony 213; Zerg_Spore_Colony 0; Zerg_Expansion 107; Zerg_Hydralisk_Den 371; Zerg_Greater_Spire 0; Zerg_Expansion2 261; Zerg_Lair 222; Zerg_Ultralisk_Cavern 0; Zerg_Spire 287; Zerg_Building_Overlord 58; Zerg_Defiler_Mound 0; 
Zerg_Hive 972; Zerg_Opening Lurker; Zerg_Spawning_Pool 124; Zerg_Extractor 219; Zerg_Creep_Colony 267; Zerg_Evolution_Chamber 678; Zerg_Queens_Nest 917; Zerg_Sunken_Colony 283; Zerg_Spore_Colony 0; Zerg_Expansion 101; Zerg_Hydralisk_Den 296; Zerg_Greater_Spire 1053; Zerg_Expansion2 492; Zerg_Lair 275; Zerg_Ultralisk_Cavern 0; Zerg_Spire 554; Zerg_Building_Overlord 55; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening HydraMass; Zerg_Spawning_Pool 67; Zerg_Extractor 93; Zerg_Creep_Colony 266; Zerg_Evolution_Chamber 0; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 362; Zerg_Spore_Colony 0; Zerg_Expansion 146; Zerg_Hydralisk_Den 318; Zerg_Greater_Spire 0; Zerg_Expansion2 242; Zerg_Lair 281; Zerg_Ultralisk_Cavern 0; Zerg_Spire 480; Zerg_Building_Overlord 84; Zerg_Defiler_Mound 0; 
Zerg_Hive 736; Zerg_Opening Lurker; Zerg_Spawning_Pool 68; Zerg_Extractor 98; Zerg_Creep_Colony 250; Zerg_Evolution_Chamber 0; Zerg_Queens_Nest 657; Zerg_Sunken_Colony 278; Zerg_Spore_Colony 0; Zerg_Expansion 147; Zerg_Hydralisk_Den 236; Zerg_Greater_Spire 815; Zerg_Expansion2 399; Zerg_Lair 204; Zerg_Ultralisk_Cavern 0; Zerg_Spire 656; Zerg_Building_Overlord 85; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening TwoHatchMuta; Zerg_Spawning_Pool 136; Zerg_Extractor 224; Zerg_Creep_Colony 284; Zerg_Evolution_Chamber 0; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 304; Zerg_Spore_Colony 0; Zerg_Expansion 113; Zerg_Hydralisk_Den 385; Zerg_Greater_Spire 0; Zerg_Expansion2 318; Zerg_Lair 278; Zerg_Ultralisk_Cavern 0; Zerg_Spire 354; Zerg_Building_Overlord 61; Zerg_Defiler_Mound 0; 
Zerg_Hive 652; Zerg_Opening Standard; Zerg_Spawning_Pool 128; Zerg_Extractor 138; Zerg_Creep_Colony 292; Zerg_Evolution_Chamber 558; Zerg_Queens_Nest 599; Zerg_Sunken_Colony 316; Zerg_Spore_Colony 0; Zerg_Expansion 110; Zerg_Hydralisk_Den 232; Zerg_Greater_Spire 731; Zerg_Expansion2 341; Zerg_Lair 200; Zerg_Ultralisk_Cavern 861; Zerg_Spire 414; Zerg_Building_Overlord 57; Zerg_Defiler_Mound 0; 
Zerg_Hive 818; Zerg_Opening Lurker; Zerg_Spawning_Pool 136; Zerg_Extractor 126; Zerg_Creep_Colony 208; Zerg_Evolution_Chamber 775; Zerg_Queens_Nest 763; Zerg_Sunken_Colony 226; Zerg_Spore_Colony 0; Zerg_Expansion 118; Zerg_Hydralisk_Den 295; Zerg_Greater_Spire 0; Zerg_Expansion2 576; Zerg_Lair 257; Zerg_Ultralisk_Cavern 0; Zerg_Spire 597; Zerg_Building_Overlord 56; Zerg_Defiler_Mound 942; 
Zerg_Hive 919; Zerg_Opening TwoHatchMuta; Zerg_Spawning_Pool 128; Zerg_Extractor 155; Zerg_Creep_Colony 183; Zerg_Evolution_Chamber 845; Zerg_Queens_Nest 848; Zerg_Sunken_Colony 221; Zerg_Spore_Colony 0; Zerg_Expansion 94; Zerg_Hydralisk_Den 476; Zerg_Greater_Spire 1033; Zerg_Expansion2 350; Zerg_Lair 219; Zerg_Ultralisk_Cavern 0; Zerg_Spire 283; Zerg_Building_Overlord 59; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening Lurker; Zerg_Spawning_Pool 130; Zerg_Extractor 139; Zerg_Creep_Colony 0; Zerg_Evolution_Chamber 792; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 0; Zerg_Spore_Colony 0; Zerg_Expansion 110; Zerg_Hydralisk_Den 331; Zerg_Greater_Spire 0; Zerg_Expansion2 662; Zerg_Lair 191; Zerg_Ultralisk_Cavern 0; Zerg_Spire 521; Zerg_Building_Overlord 59; Zerg_Defiler_Mound 0; 
Zerg_Hive 733; Zerg_Opening Lurker; Zerg_Spawning_Pool 122; Zerg_Extractor 138; Zerg_Creep_Colony 718; Zerg_Evolution_Chamber 630; Zerg_Queens_Nest 690; Zerg_Sunken_Colony 742; Zerg_Spore_Colony 0; Zerg_Expansion 101; Zerg_Hydralisk_Den 240; Zerg_Greater_Spire 868; Zerg_Expansion2 446; Zerg_Lair 194; Zerg_Ultralisk_Cavern 0; Zerg_Spire 471; Zerg_Building_Overlord 57; Zerg_Defiler_Mound 0; 
Zerg_Hive 665; Zerg_Opening HydraMass; Zerg_Spawning_Pool 125; Zerg_Extractor 142; Zerg_Creep_Colony 188; Zerg_Evolution_Chamber 535; Zerg_Queens_Nest 617; Zerg_Sunken_Colony 214; Zerg_Spore_Colony 0; Zerg_Expansion 108; Zerg_Hydralisk_Den 296; Zerg_Greater_Spire 0; Zerg_Expansion2 209; Zerg_Lair 265; Zerg_Ultralisk_Cavern 1023; Zerg_Spire 331; Zerg_Building_Overlord 58; Zerg_Defiler_Mound 748; 
Zerg_Hive 670; Zerg_Opening ThreeHatchMuta; Zerg_Spawning_Pool 136; Zerg_Extractor 205; Zerg_Creep_Colony 286; Zerg_Evolution_Chamber 460; Zerg_Queens_Nest 576; Zerg_Sunken_Colony 312; Zerg_Spore_Colony 0; Zerg_Expansion 114; Zerg_Hydralisk_Den 441; Zerg_Greater_Spire 0; Zerg_Expansion2 184; Zerg_Lair 271; Zerg_Ultralisk_Cavern 951; Zerg_Spire 351; Zerg_Building_Overlord 59; Zerg_Defiler_Mound 754; 
Zerg_Hive 0; Zerg_Opening Lurker; Zerg_Spawning_Pool 132; Zerg_Extractor 40; Zerg_Creep_Colony 546; Zerg_Evolution_Chamber 318; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 563; Zerg_Spore_Colony 0; Zerg_Expansion 206; Zerg_Hydralisk_Den 249; Zerg_Greater_Spire 0; Zerg_Expansion2 446; Zerg_Lair 186; Zerg_Ultralisk_Cavern 0; Zerg_Spire 290; Zerg_Building_Overlord 81; Zerg_Defiler_Mound 0; 
Zerg_Hive 994; Zerg_Opening Lurker; Zerg_Spawning_Pool 126; Zerg_Extractor 147; Zerg_Creep_Colony 193; Zerg_Evolution_Chamber 807; Zerg_Queens_Nest 910; Zerg_Sunken_Colony 212; Zerg_Spore_Colony 0; Zerg_Expansion 106; Zerg_Hydralisk_Den 263; Zerg_Greater_Spire 0; Zerg_Expansion2 383; Zerg_Lair 206; Zerg_Ultralisk_Cavern 0; Zerg_Spire 650; Zerg_Building_Overlord 57; Zerg_Defiler_Mound 0; 
Zerg_Hive 906; Zerg_Opening Lurker; Zerg_Spawning_Pool 132; Zerg_Extractor 169; Zerg_Creep_Colony 178; Zerg_Evolution_Chamber 647; Zerg_Queens_Nest 849; Zerg_Sunken_Colony 195; Zerg_Spore_Colony 0; Zerg_Expansion 91; Zerg_Hydralisk_Den 278; Zerg_Greater_Spire 985; Zerg_Expansion2 477; Zerg_Lair 228; Zerg_Ultralisk_Cavern 989; Zerg_Spire 847; Zerg_Building_Overlord 58; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening HydraMass; Zerg_Spawning_Pool 131; Zerg_Extractor 224; Zerg_Creep_Colony 294; Zerg_Evolution_Chamber 841; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 311; Zerg_Spore_Colony 0; Zerg_Expansion 105; Zerg_Hydralisk_Den 378; Zerg_Greater_Spire 0; Zerg_Expansion2 199; Zerg_Lair 306; Zerg_Ultralisk_Cavern 0; Zerg_Spire 0; Zerg_Building_Overlord 59; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening Lurker; Zerg_Spawning_Pool 123; Zerg_Extractor 164; Zerg_Creep_Colony 203; Zerg_Evolution_Chamber 0; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 221; Zerg_Spore_Colony 0; Zerg_Expansion 103; Zerg_Hydralisk_Den 265; Zerg_Greater_Spire 0; Zerg_Expansion2 0; Zerg_Lair 235; Zerg_Ultralisk_Cavern 0; Zerg_Spire 0; Zerg_Building_Overlord 57; Zerg_Defiler_Mound 0; 
Zerg_Hive 796; Zerg_Opening HydraMass; Zerg_Spawning_Pool 127; Zerg_Extractor 65; Zerg_Creep_Colony 235; Zerg_Evolution_Chamber 610; Zerg_Queens_Nest 722; Zerg_Sunken_Colony 252; Zerg_Spore_Colony 0; Zerg_Expansion 110; Zerg_Hydralisk_Den 365; Zerg_Greater_Spire 0; Zerg_Expansion2 176; Zerg_Lair 322; Zerg_Ultralisk_Cavern 0; Zerg_Spire 426; Zerg_Building_Overlord 58; Zerg_Defiler_Mound 877; 
Zerg_Hive 565; Zerg_Opening TwoHatchMuta; Zerg_Spawning_Pool 127; Zerg_Extractor 149; Zerg_Creep_Colony 222; Zerg_Evolution_Chamber 0; Zerg_Queens_Nest 522; Zerg_Sunken_Colony 238; Zerg_Spore_Colony 0; Zerg_Expansion 109; Zerg_Hydralisk_Den 362; Zerg_Greater_Spire 651; Zerg_Expansion2 421; Zerg_Lair 203; Zerg_Ultralisk_Cavern 0; Zerg_Spire 267; Zerg_Building_Overlord 57; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening ThreeHatchMuta; Zerg_Spawning_Pool 95; Zerg_Extractor 195; Zerg_Creep_Colony 269; Zerg_Evolution_Chamber 0; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 404; Zerg_Spore_Colony 0; Zerg_Expansion 130; Zerg_Hydralisk_Den 0; Zerg_Greater_Spire 0; Zerg_Expansion2 175; Zerg_Lair 259; Zerg_Ultralisk_Cavern 0; Zerg_Spire 330; Zerg_Building_Overlord 56; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening Lurker; Zerg_Spawning_Pool 128; Zerg_Extractor 68; Zerg_Creep_Colony 199; Zerg_Evolution_Chamber 413; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 257; Zerg_Spore_Colony 444; Zerg_Expansion 102; Zerg_Hydralisk_Den 246; Zerg_Greater_Spire 0; Zerg_Expansion2 403; Zerg_Lair 209; Zerg_Ultralisk_Cavern 0; Zerg_Spire 0; Zerg_Building_Overlord 60; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening Lurker; Zerg_Spawning_Pool 103; Zerg_Extractor 66; Zerg_Creep_Colony 888; Zerg_Evolution_Chamber 474; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 909; Zerg_Spore_Colony 0; Zerg_Expansion 274; Zerg_Hydralisk_Den 193; Zerg_Greater_Spire 0; Zerg_Expansion2 361; Zerg_Lair 156; Zerg_Ultralisk_Cavern 0; Zerg_Spire 404; Zerg_Building_Overlord 58; Zerg_Defiler_Mound 0; 
Zerg_Hive 936; Zerg_Opening Lurker; Zerg_Spawning_Pool 128; Zerg_Extractor 132; Zerg_Creep_Colony 202; Zerg_Evolution_Chamber 669; Zerg_Queens_Nest 880; Zerg_Sunken_Colony 231; Zerg_Spore_Colony 0; Zerg_Expansion 109; Zerg_Hydralisk_Den 226; Zerg_Greater_Spire 1018; Zerg_Expansion2 370; Zerg_Lair 185; Zerg_Ultralisk_Cavern 0; Zerg_Spire 397; Zerg_Building_Overlord 60; Zerg_Defiler_Mound 1068; 
Zerg_Hive 723; Zerg_Opening TwoHatchMuta; Zerg_Spawning_Pool 133; Zerg_Extractor 159; Zerg_Creep_Colony 247; Zerg_Evolution_Chamber 875; Zerg_Queens_Nest 653; Zerg_Sunken_Colony 279; Zerg_Spore_Colony 0; Zerg_Expansion 114; Zerg_Hydralisk_Den 363; Zerg_Greater_Spire 800; Zerg_Expansion2 445; Zerg_Lair 215; Zerg_Ultralisk_Cavern 935; Zerg_Spire 278; Zerg_Building_Overlord 59; Zerg_Defiler_Mound 0; 
Zerg_Hive 636; Zerg_Opening TwoHatchMuta; Zerg_Spawning_Pool 127; Zerg_Extractor 155; Zerg_Creep_Colony 191; Zerg_Evolution_Chamber 381; Zerg_Queens_Nest 580; Zerg_Sunken_Colony 206; Zerg_Spore_Colony 0; Zerg_Expansion 110; Zerg_Hydralisk_Den 394; Zerg_Greater_Spire 726; Zerg_Expansion2 351; Zerg_Lair 214; Zerg_Ultralisk_Cavern 0; Zerg_Spire 284; Zerg_Building_Overlord 56; Zerg_Defiler_Mound 0; 
Zerg_Hive 487; Zerg_Opening TwoHatchMuta; Zerg_Spawning_Pool 96; Zerg_Extractor 98; Zerg_Creep_Colony 646; Zerg_Evolution_Chamber 664; Zerg_Queens_Nest 432; Zerg_Sunken_Colony 675; Zerg_Spore_Colony 0; Zerg_Expansion 143; Zerg_Hydralisk_Den 513; Zerg_Greater_Spire 577; Zerg_Expansion2 373; Zerg_Lair 153; Zerg_Ultralisk_Cavern 0; Zerg_Spire 219; Zerg_Building_Overlord 55; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening Lurker; Zerg_Spawning_Pool 133; Zerg_Extractor 64; Zerg_Creep_Colony 187; Zerg_Evolution_Chamber 487; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 216; Zerg_Spore_Colony 0; Zerg_Expansion 99; Zerg_Hydralisk_Den 251; Zerg_Greater_Spire 0; Zerg_Expansion2 443; Zerg_Lair 232; Zerg_Ultralisk_Cavern 0; Zerg_Spire 491; Zerg_Building_Overlord 57; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening Lurker; Zerg_Spawning_Pool 112; Zerg_Extractor 138; Zerg_Creep_Colony 210; Zerg_Evolution_Chamber 0; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 301; Zerg_Spore_Colony 0; Zerg_Expansion 84; Zerg_Hydralisk_Den 269; Zerg_Greater_Spire 0; Zerg_Expansion2 511; Zerg_Lair 227; Zerg_Ultralisk_Cavern 0; Zerg_Spire 465; Zerg_Building_Overlord 132; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening Lurker; Zerg_Spawning_Pool 72; Zerg_Extractor 81; Zerg_Creep_Colony 0; Zerg_Evolution_Chamber 0; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 0; Zerg_Spore_Colony 0; Zerg_Expansion 494; Zerg_Hydralisk_Den 185; Zerg_Greater_Spire 0; Zerg_Expansion2 766; Zerg_Lair 142; Zerg_Ultralisk_Cavern 0; Zerg_Spire 0; Zerg_Building_Overlord 93; Zerg_Defiler_Mound 0; 
Zerg_Hive 530; Zerg_Opening ThreeHatchMuta; Zerg_Spawning_Pool 124; Zerg_Extractor 176; Zerg_Creep_Colony 344; Zerg_Evolution_Chamber 447; Zerg_Queens_Nest 481; Zerg_Sunken_Colony 563; Zerg_Spore_Colony 899; Zerg_Expansion 105; Zerg_Hydralisk_Den 405; Zerg_Greater_Spire 0; Zerg_Expansion2 165; Zerg_Lair 235; Zerg_Ultralisk_Cavern 803; Zerg_Spire 300; Zerg_Building_Overlord 59; Zerg_Defiler_Mound 610; 
Zerg_Hive 0; Zerg_Opening HydraMass; Zerg_Spawning_Pool 122; Zerg_Extractor 70; Zerg_Creep_Colony 218; Zerg_Evolution_Chamber 0; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 238; Zerg_Spore_Colony 0; Zerg_Expansion 101; Zerg_Hydralisk_Den 292; Zerg_Greater_Spire 0; Zerg_Expansion2 197; Zerg_Lair 362; Zerg_Ultralisk_Cavern 0; Zerg_Spire 0; Zerg_Building_Overlord 56; Zerg_Defiler_Mound 0; 
