Terran_Control_Tower 410; Terran_Comsat_Station 223; Terran_Barracks 114; Terran_Expansion 566; Terran_Refinery 86; Terran_Barracks2 230; Terran_Missile_Turret 333; Terran_Supply_Depot 61; Terran_Engineering_Bay 136; Terran_Science_Facility 386; Terran_Machine_Shop -1; Terran_Armory -1; Terran_Starport 329; Terran_Opening unknown; Terran_Academy 167; Terran_Bunker 0; Terran_Factory 267; 
Terran_Control_Tower 318; Terran_Comsat_Station 390; Terran_Barracks 107; Terran_Expansion 562; Terran_Refinery 81; Terran_Barracks2 325; Terran_Missile_Turret 487; Terran_Supply_Depot 58; Terran_Engineering_Bay 376; Terran_Science_Facility 429; Terran_Machine_Shop 544; Terran_Armory -1; Terran_Starport 229; Terran_Opening bio; Terran_Academy 324; Terran_Bunker 389; Terran_Factory 173; 
Terran_Control_Tower 337; Terran_Comsat_Station 333; Terran_Barracks 85; Terran_Expansion 576; Terran_Refinery 108; Terran_Barracks2 318; Terran_Missile_Turret 357; Terran_Supply_Depot 58; Terran_Engineering_Bay 163; Terran_Science_Facility 329; Terran_Machine_Shop 476; Terran_Armory 0; Terran_Starport 249; Terran_Opening bio; Terran_Academy 275; Terran_Bunker 584; Terran_Factory 194; 
Terran_Control_Tower 270; Terran_Comsat_Station 443; Terran_Barracks 93; Terran_Expansion 581; Terran_Refinery 107; Terran_Barracks2 153; Terran_Missile_Turret 748; Terran_Supply_Depot 63; Terran_Engineering_Bay 658; Terran_Science_Facility 425; Terran_Machine_Shop 423; Terran_Armory -1; Terran_Starport 222; Terran_Opening bio; Terran_Academy 391; Terran_Bunker 1002; Terran_Factory 164; 
Terran_Control_Tower -1; Terran_Comsat_Station 287; Terran_Barracks 83; Terran_Expansion 523; Terran_Refinery 165; Terran_Barracks2 110; Terran_Missile_Turret 427; Terran_Supply_Depot 57; Terran_Engineering_Bay 360; Terran_Science_Facility -1; Terran_Machine_Shop 318; Terran_Armory -1; Terran_Starport 526; Terran_Opening ; Terran_Academy 231; Terran_Bunker -1; Terran_Factory 265; 
Terran_Control_Tower 352; Terran_Comsat_Station 360; Terran_Barracks 98; Terran_Expansion 575; Terran_Refinery 116; Terran_Barracks2 153; Terran_Missile_Turret 498; Terran_Supply_Depot 63; Terran_Engineering_Bay 448; Terran_Science_Facility 551; Terran_Machine_Shop 407; Terran_Armory -1; Terran_Starport 229; Terran_Opening bio; Terran_Academy 293; Terran_Bunker 487; Terran_Factory 175; 
Terran_Control_Tower 576; Terran_Comsat_Station 365; Terran_Barracks 86; Terran_Expansion 250; Terran_Refinery 252; Terran_Barracks2 111; Terran_Missile_Turret 410; Terran_Supply_Depot 57; Terran_Engineering_Bay 312; Terran_Science_Facility 579; Terran_Machine_Shop 511; Terran_Armory 0; Terran_Starport 513; Terran_Opening two_facto; Terran_Academy 271; Terran_Bunker 405; Terran_Factory 441; 
Terran_Control_Tower -1; Terran_Comsat_Station 329; Terran_Barracks 84; Terran_Expansion -1; Terran_Refinery 157; Terran_Barracks2 111; Terran_Missile_Turret 396; Terran_Supply_Depot 58; Terran_Engineering_Bay 354; Terran_Science_Facility -1; Terran_Machine_Shop 272; Terran_Armory -1; Terran_Starport -1; Terran_Opening ; Terran_Academy 235; Terran_Bunker -1; Terran_Factory 212; 
Terran_Control_Tower -1; Terran_Comsat_Station 350; Terran_Barracks 83; Terran_Expansion 557; Terran_Refinery 164; Terran_Barracks2 111; Terran_Missile_Turret 476; Terran_Supply_Depot 57; Terran_Engineering_Bay 402; Terran_Science_Facility -1; Terran_Machine_Shop 307; Terran_Armory -1; Terran_Starport 575; Terran_Opening ; Terran_Academy 280; Terran_Bunker -1; Terran_Factory 241; 
Terran_Control_Tower -1; Terran_Comsat_Station 256; Terran_Barracks 85; Terran_Expansion -1; Terran_Refinery 165; Terran_Barracks2 111; Terran_Missile_Turret -1; Terran_Supply_Depot 60; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop -1; Terran_Armory -1; Terran_Starport -1; Terran_Opening ; Terran_Academy 190; Terran_Bunker -1; Terran_Factory -1; 
Terran_Control_Tower 333; Terran_Comsat_Station 335; Terran_Barracks 88; Terran_Expansion -1; Terran_Refinery 162; Terran_Barracks2 118; Terran_Missile_Turret 427; Terran_Supply_Depot 59; Terran_Engineering_Bay 377; Terran_Science_Facility 479; Terran_Machine_Shop -1; Terran_Armory -1; Terran_Starport 286; Terran_Opening drop; Terran_Academy 269; Terran_Bunker -1; Terran_Factory 225; 
Terran_Control_Tower -1; Terran_Comsat_Station 317; Terran_Barracks 87; Terran_Expansion -1; Terran_Refinery 157; Terran_Barracks2 113; Terran_Missile_Turret -1; Terran_Supply_Depot 60; Terran_Engineering_Bay 478; Terran_Science_Facility -1; Terran_Machine_Shop 273; Terran_Armory -1; Terran_Starport -1; Terran_Opening ; Terran_Academy 241; Terran_Bunker -1; Terran_Factory 220; 
Terran_Control_Tower -1; Terran_Comsat_Station 275; Terran_Barracks 85; Terran_Expansion -1; Terran_Refinery 172; Terran_Barracks2 114; Terran_Missile_Turret 377; Terran_Supply_Depot 60; Terran_Engineering_Bay 290; Terran_Science_Facility -1; Terran_Machine_Shop -1; Terran_Armory -1; Terran_Starport 454; Terran_Opening ; Terran_Academy 209; Terran_Bunker 351; Terran_Factory 398; 
Terran_Control_Tower -1; Terran_Comsat_Station 266; Terran_Barracks 83; Terran_Expansion -1; Terran_Refinery 191; Terran_Barracks2 110; Terran_Missile_Turret -1; Terran_Supply_Depot 57; Terran_Engineering_Bay 252; Terran_Science_Facility -1; Terran_Machine_Shop -1; Terran_Armory -1; Terran_Starport -1; Terran_Opening ; Terran_Academy 201; Terran_Bunker -1; Terran_Factory -1; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 82; Terran_Expansion -1; Terran_Refinery -1; Terran_Barracks2 117; Terran_Missile_Turret -1; Terran_Supply_Depot 54; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop -1; Terran_Armory -1; Terran_Starport -1; Terran_Opening ; Terran_Academy -1; Terran_Bunker -1; Terran_Factory -1; 
Terran_Control_Tower 319; Terran_Comsat_Station 316; Terran_Barracks 81; Terran_Expansion 447; Terran_Refinery 154; Terran_Barracks2 110; Terran_Missile_Turret 458; Terran_Supply_Depot 56; Terran_Engineering_Bay 389; Terran_Science_Facility 494; Terran_Machine_Shop 623; Terran_Armory -1; Terran_Starport 273; Terran_Opening drop; Terran_Academy 247; Terran_Bunker 665; Terran_Factory 214; 
Terran_Control_Tower 362; Terran_Comsat_Station 426; Terran_Barracks 89; Terran_Expansion 566; Terran_Refinery 107; Terran_Barracks2 429; Terran_Missile_Turret 381; Terran_Supply_Depot 60; Terran_Engineering_Bay 310; Terran_Science_Facility 452; Terran_Machine_Shop 231; Terran_Armory -1; Terran_Starport 228; Terran_Opening bio; Terran_Academy 365; Terran_Bunker 434; Terran_Factory 176; 
Terran_Control_Tower 709; Terran_Comsat_Station 260; Terran_Barracks 90; Terran_Expansion 785; Terran_Refinery 141; Terran_Barracks2 148; Terran_Missile_Turret 378; Terran_Supply_Depot 61; Terran_Engineering_Bay 329; Terran_Science_Facility 710; Terran_Machine_Shop 680; Terran_Armory -1; Terran_Starport 658; Terran_Opening bio; Terran_Academy 192; Terran_Bunker 1034; Terran_Factory 327; 
Terran_Control_Tower 348; Terran_Comsat_Station 380; Terran_Barracks 87; Terran_Expansion 583; Terran_Refinery 111; Terran_Barracks2 142; Terran_Missile_Turret 335; Terran_Supply_Depot 60; Terran_Engineering_Bay 294; Terran_Science_Facility 282; Terran_Machine_Shop 601; Terran_Armory -1; Terran_Starport 216; Terran_Opening bio; Terran_Academy 322; Terran_Bunker 605; Terran_Factory 161; 
Terran_Control_Tower 544; Terran_Comsat_Station 269; Terran_Barracks 68; Terran_Expansion 546; Terran_Refinery 182; Terran_Barracks2 155; Terran_Missile_Turret 447; Terran_Supply_Depot 98; Terran_Engineering_Bay 326; Terran_Science_Facility 543; Terran_Machine_Shop 591; Terran_Armory -1; Terran_Starport 476; Terran_Opening bio; Terran_Academy 192; Terran_Bunker 352; Terran_Factory 415; 
Terran_Control_Tower 514; Terran_Comsat_Station 254; Terran_Barracks 85; Terran_Expansion 691; Terran_Refinery 158; Terran_Barracks2 113; Terran_Missile_Turret 387; Terran_Supply_Depot 60; Terran_Engineering_Bay 346; Terran_Science_Facility 516; Terran_Machine_Shop 378; Terran_Armory -1; Terran_Starport 465; Terran_Opening ; Terran_Academy 193; Terran_Bunker 302; Terran_Factory 318; 
Terran_Control_Tower 679; Terran_Comsat_Station 349; Terran_Barracks 92; Terran_Expansion 261; Terran_Refinery 266; Terran_Barracks2 119; Terran_Missile_Turret 436; Terran_Supply_Depot 58; Terran_Engineering_Bay 386; Terran_Science_Facility 715; Terran_Machine_Shop 579; Terran_Armory -1; Terran_Starport 609; Terran_Opening two_facto; Terran_Academy 293; Terran_Bunker 392; Terran_Factory 514; 
Terran_Control_Tower -1; Terran_Comsat_Station 427; Terran_Barracks 84; Terran_Expansion -1; Terran_Refinery 352; Terran_Barracks2 120; Terran_Missile_Turret 421; Terran_Supply_Depot 60; Terran_Engineering_Bay 377; Terran_Science_Facility -1; Terran_Machine_Shop -1; Terran_Armory -1; Terran_Starport -1; Terran_Opening ; Terran_Academy 370; Terran_Bunker 448; Terran_Factory -1; 
Terran_Control_Tower 345; Terran_Comsat_Station 269; Terran_Barracks 85; Terran_Expansion -1; Terran_Refinery 104; Terran_Barracks2 -1; Terran_Missile_Turret 372; Terran_Supply_Depot 60; Terran_Engineering_Bay 319; Terran_Science_Facility 340; Terran_Machine_Shop 222; Terran_Armory -1; Terran_Starport 289; Terran_Opening ; Terran_Academy 214; Terran_Bunker 297; Terran_Factory 168; 
Terran_Control_Tower 649; Terran_Comsat_Station 278; Terran_Barracks 85; Terran_Expansion 454; Terran_Refinery 106; Terran_Barracks2 458; Terran_Missile_Turret 452; Terran_Supply_Depot 60; Terran_Engineering_Bay 383; Terran_Science_Facility 647; Terran_Machine_Shop 223; Terran_Armory -1; Terran_Starport 521; Terran_Opening bio; Terran_Academy 219; Terran_Bunker 368; Terran_Factory 170; 
Terran_Control_Tower -1; Terran_Comsat_Station 306; Terran_Barracks 90; Terran_Expansion 671; Terran_Refinery 82; Terran_Barracks2 151; Terran_Missile_Turret 415; Terran_Supply_Depot 57; Terran_Engineering_Bay 372; Terran_Science_Facility -1; Terran_Machine_Shop 245; Terran_Armory 257; Terran_Starport -1; Terran_Opening bio; Terran_Academy 249; Terran_Bunker 696; Terran_Factory 167; 
Terran_Control_Tower 292; Terran_Comsat_Station 308; Terran_Barracks 86; Terran_Expansion 797; Terran_Refinery 106; Terran_Barracks2 346; Terran_Missile_Turret 575; Terran_Supply_Depot 61; Terran_Engineering_Bay 458; Terran_Science_Facility 427; Terran_Machine_Shop 342; Terran_Armory -1; Terran_Starport 246; Terran_Opening unknown; Terran_Academy 250; Terran_Bunker 381; Terran_Factory 186; 
Terran_Control_Tower 0; Terran_Comsat_Station 334; Terran_Barracks 93; Terran_Expansion 668; Terran_Refinery 111; Terran_Barracks2 254; Terran_Missile_Turret 568; Terran_Supply_Depot 63; Terran_Engineering_Bay 497; Terran_Science_Facility 0; Terran_Machine_Shop 246; Terran_Armory 463; Terran_Starport 842; Terran_Opening bio; Terran_Academy 266; Terran_Bunker -1; Terran_Factory 189; 
Terran_Control_Tower 357; Terran_Comsat_Station 369; Terran_Barracks 90; Terran_Expansion 797; Terran_Refinery 180; Terran_Barracks2 114; Terran_Missile_Turret 491; Terran_Supply_Depot 60; Terran_Engineering_Bay 376; Terran_Science_Facility 511; Terran_Machine_Shop 875; Terran_Armory -1; Terran_Starport 294; Terran_Opening drop; Terran_Academy 272; Terran_Bunker 591; Terran_Factory 240; 
Terran_Control_Tower 466; Terran_Comsat_Station 299; Terran_Barracks 86; Terran_Expansion 635; Terran_Refinery 136; Terran_Barracks2 115; Terran_Missile_Turret -1; Terran_Supply_Depot 60; Terran_Engineering_Bay 506; Terran_Science_Facility 464; Terran_Machine_Shop 522; Terran_Armory -1; Terran_Starport 413; Terran_Opening ; Terran_Academy 226; Terran_Bunker 867; Terran_Factory 328; 
Terran_Control_Tower 292; Terran_Comsat_Station 308; Terran_Barracks 86; Terran_Expansion 797; Terran_Refinery 106; Terran_Barracks2 346; Terran_Missile_Turret 575; Terran_Supply_Depot 61; Terran_Engineering_Bay 458; Terran_Science_Facility 427; Terran_Machine_Shop 342; Terran_Armory -1; Terran_Starport 246; Terran_Opening unknown; Terran_Academy 250; Terran_Bunker 381; Terran_Factory 186; 
Terran_Control_Tower 305; Terran_Comsat_Station 384; Terran_Barracks 92; Terran_Expansion 562; Terran_Refinery 109; Terran_Barracks2 157; Terran_Missile_Turret 539; Terran_Supply_Depot 59; Terran_Engineering_Bay 487; Terran_Science_Facility 495; Terran_Machine_Shop 346; Terran_Armory -1; Terran_Starport 221; Terran_Opening bio; Terran_Academy 325; Terran_Bunker -1; Terran_Factory 162; 
Terran_Control_Tower 375; Terran_Comsat_Station 308; Terran_Barracks 92; Terran_Expansion -1; Terran_Refinery 108; Terran_Barracks2 198; Terran_Missile_Turret 324; Terran_Supply_Depot 60; Terran_Engineering_Bay 166; Terran_Science_Facility 349; Terran_Machine_Shop -1; Terran_Armory -1; Terran_Starport 291; Terran_Opening bio; Terran_Academy 254; Terran_Bunker 360; Terran_Factory 228; 
Terran_Control_Tower -1; Terran_Comsat_Station 346; Terran_Barracks 86; Terran_Expansion 466; Terran_Refinery 158; Terran_Barracks2 109; Terran_Missile_Turret 785; Terran_Supply_Depot 56; Terran_Engineering_Bay 218; Terran_Science_Facility -1; Terran_Machine_Shop 582; Terran_Armory -1; Terran_Starport -1; Terran_Opening two_facto; Terran_Academy 269; Terran_Bunker 698; Terran_Factory 519; 
Terran_Control_Tower -1; Terran_Comsat_Station 346; Terran_Barracks 86; Terran_Expansion 466; Terran_Refinery 158; Terran_Barracks2 109; Terran_Missile_Turret 785; Terran_Supply_Depot 56; Terran_Engineering_Bay 218; Terran_Science_Facility -1; Terran_Machine_Shop 582; Terran_Armory -1; Terran_Starport -1; Terran_Opening two_facto; Terran_Academy 269; Terran_Bunker 698; Terran_Factory 519; 
Terran_Control_Tower 401; Terran_Comsat_Station 322; Terran_Barracks 83; Terran_Expansion 769; Terran_Refinery 227; Terran_Barracks2 112; Terran_Missile_Turret 538; Terran_Supply_Depot 61; Terran_Engineering_Bay 492; Terran_Science_Facility 549; Terran_Machine_Shop 466; Terran_Armory -1; Terran_Starport 353; Terran_Opening drop; Terran_Academy 269; Terran_Bunker 178; Terran_Factory 295; 
Terran_Control_Tower 401; Terran_Comsat_Station 322; Terran_Barracks 83; Terran_Expansion 769; Terran_Refinery 227; Terran_Barracks2 112; Terran_Missile_Turret 538; Terran_Supply_Depot 61; Terran_Engineering_Bay 492; Terran_Science_Facility 549; Terran_Machine_Shop 466; Terran_Armory -1; Terran_Starport 353; Terran_Opening drop; Terran_Academy 269; Terran_Bunker 178; Terran_Factory 295; 
Terran_Control_Tower 290; Terran_Comsat_Station 327; Terran_Barracks 86; Terran_Expansion 652; Terran_Refinery 111; Terran_Barracks2 361; Terran_Missile_Turret 513; Terran_Supply_Depot 60; Terran_Engineering_Bay 463; Terran_Science_Facility 371; Terran_Machine_Shop 468; Terran_Armory 950; Terran_Starport 238; Terran_Opening drop; Terran_Academy 267; Terran_Bunker 342; Terran_Factory 175; 
Terran_Control_Tower 540; Terran_Comsat_Station 358; Terran_Barracks 90; Terran_Expansion 241; Terran_Refinery 262; Terran_Barracks2 116; Terran_Missile_Turret 420; Terran_Supply_Depot 59; Terran_Engineering_Bay 376; Terran_Science_Facility 541; Terran_Machine_Shop 443; Terran_Armory -1; Terran_Starport 466; Terran_Opening drop; Terran_Academy 306; Terran_Bunker 161; Terran_Factory 333; 
Terran_Control_Tower 415; Terran_Comsat_Station 461; Terran_Barracks 85; Terran_Expansion 639; Terran_Refinery 197; Terran_Barracks2 113; Terran_Missile_Turret 546; Terran_Supply_Depot 58; Terran_Engineering_Bay 292; Terran_Science_Facility 379; Terran_Machine_Shop 636; Terran_Armory -1; Terran_Starport 302; Terran_Opening two_facto; Terran_Academy 402; Terran_Bunker 168; Terran_Factory 249; 
