Terran_Control_Tower 14946; Terran_Comsat_Station 15992; Terran_Barracks 2012; Terran_Expansion 9034; Terran_Refinery 2806; Terran_Barracks2 12262; Terran_Missile_Turret 10486; Terran_Supply_Depot 1398; Terran_Engineering_Bay 7218; Terran_Science_Facility 0; Terran_Machine_Shop 5492; Terran_Armory 0; Terran_Starport 13160; Terran_Opening TwoFactory; Terran_Academy 14170; Terran_Bunker 6212; Terran_Factory 4052; 
Terran_Control_Tower 11155; Terran_Comsat_Station 11280; Terran_Barracks 2240; Terran_Expansion 15395; Terran_Refinery 2630; Terran_Barracks2 8730; Terran_Missile_Turret 8090; Terran_Supply_Depot 1355; Terran_Engineering_Bay 7040; Terran_Science_Facility 0; Terran_Machine_Shop 5220; Terran_Armory 14410; Terran_Starport 9300; Terran_Opening TwoFactory; Terran_Academy 9395; Terran_Bunker 0; Terran_Factory 3875; 
Terran_Control_Tower 6250; Terran_Comsat_Station 14235; Terran_Barracks 2230; Terran_Expansion 8295; Terran_Refinery 2650; Terran_Barracks2 0; Terran_Missile_Turret 9795; Terran_Supply_Depot 1470; Terran_Engineering_Bay 8720; Terran_Science_Facility 32185; Terran_Machine_Shop 5130; Terran_Armory 25425; Terran_Starport 5145; Terran_Opening FastDropship; Terran_Academy 12910; Terran_Bunker 0; Terran_Factory 3855; 
Terran_Control_Tower 0; Terran_Comsat_Station 14495; Terran_Barracks 2150; Terran_Expansion 9115; Terran_Refinery 2505; Terran_Barracks2 7545; Terran_Missile_Turret 10240; Terran_Supply_Depot 1435; Terran_Engineering_Bay 9250; Terran_Science_Facility 0; Terran_Machine_Shop 5095; Terran_Armory 19265; Terran_Starport 0; Terran_Opening TwoFactory; Terran_Academy 13155; Terran_Bunker 0; Terran_Factory 3820; 
Terran_Control_Tower 0; Terran_Comsat_Station 0; Terran_Barracks 2030; Terran_Expansion 0; Terran_Refinery 2575; Terran_Barracks2 0; Terran_Missile_Turret 0; Terran_Supply_Depot 1435; Terran_Engineering_Bay 0; Terran_Science_Facility 0; Terran_Machine_Shop 5345; Terran_Armory 0; Terran_Starport 0; Terran_Opening TwoFactory; Terran_Academy 0; Terran_Bunker 0; Terran_Factory 4085; 
Terran_Control_Tower 9785; Terran_Comsat_Station 13230; Terran_Barracks 2180; Terran_Expansion 8225; Terran_Refinery 2500; Terran_Barracks2 7410; Terran_Missile_Turret 7510; Terran_Supply_Depot 1535; Terran_Engineering_Bay 6120; Terran_Science_Facility 0; Terran_Machine_Shop 5135; Terran_Armory 25625; Terran_Starport 7905; Terran_Opening TwoFactory; Terran_Academy 10235; Terran_Bunker 8610; Terran_Factory 3720; 
Terran_Control_Tower 16720; Terran_Comsat_Station 13160; Terran_Barracks 2145; Terran_Expansion 7165; Terran_Refinery 2410; Terran_Barracks2 7320; Terran_Missile_Turret 10110; Terran_Supply_Depot 1410; Terran_Engineering_Bay 9080; Terran_Science_Facility 0; Terran_Machine_Shop 4990; Terran_Armory 16295; Terran_Starport 8845; Terran_Opening SiegeExpand; Terran_Academy 11505; Terran_Bunker 0; Terran_Factory 3720; 
Terran_Control_Tower 6290; Terran_Comsat_Station 13500; Terran_Barracks 2160; Terran_Expansion 8600; Terran_Refinery 2570; Terran_Barracks2 9485; Terran_Missile_Turret 9350; Terran_Supply_Depot 1445; Terran_Engineering_Bay 7580; Terran_Science_Facility 0; Terran_Machine_Shop 5085; Terran_Armory 16470; Terran_Starport 5120; Terran_Opening FastDropship; Terran_Academy 12125; Terran_Bunker 8740; Terran_Factory 3765; 
Terran_Control_Tower 11365; Terran_Comsat_Station 20055; Terran_Barracks 1990; Terran_Expansion 13495; Terran_Refinery 2490; Terran_Barracks2 17165; Terran_Missile_Turret 22850; Terran_Supply_Depot 1385; Terran_Engineering_Bay 20435; Terran_Science_Facility 0; Terran_Machine_Shop 5225; Terran_Armory 20625; Terran_Starport 10200; Terran_Opening TwoFactory; Terran_Academy 17130; Terran_Bunker 0; Terran_Factory 3730; 
Terran_Control_Tower 24038; Terran_Comsat_Station 20452; Terran_Barracks 2128; Terran_Expansion 6590; Terran_Refinery 2534; Terran_Barracks2 4568; Terran_Missile_Turret 8502; Terran_Supply_Depot 1402; Terran_Engineering_Bay 7540; Terran_Science_Facility 0; Terran_Machine_Shop 5052; Terran_Armory 23116; Terran_Starport 19506; Terran_Opening SiegeExpand; Terran_Academy 16824; Terran_Bunker 0; Terran_Factory 3772; 
Terran_Control_Tower 0; Terran_Comsat_Station 0; Terran_Barracks 2165; Terran_Expansion 8760; Terran_Refinery 2550; Terran_Barracks2 0; Terran_Missile_Turret 0; Terran_Supply_Depot 1510; Terran_Engineering_Bay 0; Terran_Science_Facility 0; Terran_Machine_Shop 5030; Terran_Armory 0; Terran_Starport 0; Terran_Opening TwoFactory; Terran_Academy 0; Terran_Bunker 0; Terran_Factory 3785; 
Terran_Control_Tower 6295; Terran_Comsat_Station 18280; Terran_Barracks 2165; Terran_Expansion 5735; Terran_Refinery 2450; Terran_Barracks2 4640; Terran_Missile_Turret 8675; Terran_Supply_Depot 1445; Terran_Engineering_Bay 7555; Terran_Science_Facility 0; Terran_Machine_Shop 4870; Terran_Armory 0; Terran_Starport 4900; Terran_Opening FastDropship; Terran_Academy 16410; Terran_Bunker 10840; Terran_Factory 3635; 
Terran_Control_Tower 0; Terran_Comsat_Station 22530; Terran_Barracks 2405; Terran_Expansion 14935; Terran_Refinery 2480; Terran_Barracks2 19975; Terran_Missile_Turret 12225; Terran_Supply_Depot 1455; Terran_Engineering_Bay 7250; Terran_Science_Facility 0; Terran_Machine_Shop 7515; Terran_Armory 21160; Terran_Starport 0; Terran_Opening TwoFactory; Terran_Academy 21225; Terran_Bunker 0; Terran_Factory 3815; 
Terran_Control_Tower 9310; Terran_Comsat_Station 6220; Terran_Barracks 3340; Terran_Expansion 2790; Terran_Refinery 3640; Terran_Barracks2 4705; Terran_Missile_Turret 9780; Terran_Supply_Depot 1365; Terran_Engineering_Bay 8750; Terran_Science_Facility 21230; Terran_Machine_Shop 6125; Terran_Armory 16260; Terran_Starport 8230; Terran_Opening Bio; Terran_Academy 4855; Terran_Bunker 7680; Terran_Factory 4815; 
Terran_Control_Tower 6315; Terran_Comsat_Station 18145; Terran_Barracks 2160; Terran_Expansion 10015; Terran_Refinery 2430; Terran_Barracks2 8725; Terran_Missile_Turret 9330; Terran_Supply_Depot 1440; Terran_Engineering_Bay 8175; Terran_Science_Facility 0; Terran_Machine_Shop 4930; Terran_Armory 15965; Terran_Starport 5140; Terran_Opening FastDropship; Terran_Academy 15290; Terran_Bunker 0; Terran_Factory 3655; 
Terran_Control_Tower 0; Terran_Comsat_Station 12025; Terran_Barracks 2385; Terran_Expansion 5785; Terran_Refinery 2760; Terran_Barracks2 0; Terran_Missile_Turret 13235; Terran_Supply_Depot 1425; Terran_Engineering_Bay 11580; Terran_Science_Facility 0; Terran_Machine_Shop 5545; Terran_Armory 0; Terran_Starport 0; Terran_Opening SiegeExpand; Terran_Academy 10510; Terran_Bunker 8745; Terran_Factory 4205; 
Terran_Control_Tower 11365; Terran_Comsat_Station 20055; Terran_Barracks 1990; Terran_Expansion 13495; Terran_Refinery 2490; Terran_Barracks2 17165; Terran_Missile_Turret 22850; Terran_Supply_Depot 1385; Terran_Engineering_Bay 20435; Terran_Science_Facility 0; Terran_Machine_Shop 5225; Terran_Armory 20625; Terran_Starport 10200; Terran_Opening TwoFactory; Terran_Academy 17130; Terran_Bunker 0; Terran_Factory 3730; 
Terran_Control_Tower 0; Terran_Comsat_Station 0; Terran_Barracks 2045; Terran_Expansion 8725; Terran_Refinery 2530; Terran_Barracks2 0; Terran_Missile_Turret 0; Terran_Supply_Depot 1430; Terran_Engineering_Bay 0; Terran_Science_Facility 0; Terran_Machine_Shop 5140; Terran_Armory 0; Terran_Starport 0; Terran_Opening TwoFactory; Terran_Academy 0; Terran_Bunker 0; Terran_Factory 3880; 
Terran_Control_Tower 0; Terran_Comsat_Station 6320; Terran_Barracks 1510; Terran_Expansion 0; Terran_Refinery 3780; Terran_Barracks2 2600; Terran_Missile_Turret 0; Terran_Supply_Depot 1985; Terran_Engineering_Bay 0; Terran_Science_Facility 0; Terran_Machine_Shop 0; Terran_Armory 0; Terran_Starport 0; Terran_Opening Bio; Terran_Academy 3845; Terran_Bunker 0; Terran_Factory 0; 
Terran_Control_Tower 30865; Terran_Comsat_Station 12705; Terran_Barracks 2195; Terran_Expansion 6815; Terran_Refinery 2680; Terran_Barracks2 3955; Terran_Missile_Turret 12360; Terran_Supply_Depot 1540; Terran_Engineering_Bay 8320; Terran_Science_Facility 0; Terran_Machine_Shop 5205; Terran_Armory 0; Terran_Starport 29245; Terran_Opening SiegeExpand; Terran_Academy 11260; Terran_Bunker 9130; Terran_Factory 3870; 
Terran_Control_Tower 7435; Terran_Comsat_Station 17580; Terran_Barracks 2185; Terran_Expansion 10790; Terran_Refinery 2475; Terran_Barracks2 3450; Terran_Missile_Turret 9450; Terran_Supply_Depot 1465; Terran_Engineering_Bay 8285; Terran_Science_Facility 26560; Terran_Machine_Shop 5085; Terran_Armory 21255; Terran_Starport 6145; Terran_Opening Bio; Terran_Academy 14795; Terran_Bunker 0; Terran_Factory 3820; 
Terran_Control_Tower 5974; Terran_Comsat_Station 0; Terran_Barracks 1980; Terran_Expansion 0; Terran_Refinery 2326; Terran_Barracks2 7310; Terran_Missile_Turret 7410; Terran_Supply_Depot 1374; Terran_Engineering_Bay 6348; Terran_Science_Facility 0; Terran_Machine_Shop 4840; Terran_Armory 0; Terran_Starport 4858; Terran_Opening FastDropship; Terran_Academy 0; Terran_Bunker 8118; Terran_Factory 3596; 
Terran_Control_Tower 5974; Terran_Comsat_Station 0; Terran_Barracks 1980; Terran_Expansion 0; Terran_Refinery 2326; Terran_Barracks2 7310; Terran_Missile_Turret 7410; Terran_Supply_Depot 1374; Terran_Engineering_Bay 6348; Terran_Science_Facility 0; Terran_Machine_Shop 4840; Terran_Armory 0; Terran_Starport 4858; Terran_Opening FastDropship; Terran_Academy 0; Terran_Bunker 8118; Terran_Factory 3596; 
Terran_Control_Tower 8826; Terran_Comsat_Station 0; Terran_Barracks 2164; Terran_Expansion 0; Terran_Refinery 2474; Terran_Barracks2 3442; Terran_Missile_Turret 11192; Terran_Supply_Depot 1488; Terran_Engineering_Bay 9154; Terran_Science_Facility 0; Terran_Machine_Shop 4882; Terran_Armory 0; Terran_Starport 7014; Terran_Opening Bio; Terran_Academy 0; Terran_Bunker 0; Terran_Factory 3650; 
Terran_Control_Tower 6492; Terran_Comsat_Station 14886; Terran_Barracks 2106; Terran_Expansion 8944; Terran_Refinery 2476; Terran_Barracks2 3386; Terran_Missile_Turret 9170; Terran_Supply_Depot 1366; Terran_Engineering_Bay 6606; Terran_Science_Facility 32300; Terran_Machine_Shop 4946; Terran_Armory 18212; Terran_Starport 4930; Terran_Opening Bio; Terran_Academy 13148; Terran_Bunker 8598; Terran_Factory 3664; 
Terran_Control_Tower 6196; Terran_Comsat_Station 13134; Terran_Barracks 2150; Terran_Expansion 10044; Terran_Refinery 2518; Terran_Barracks2 3424; Terran_Missile_Turret 8004; Terran_Supply_Depot 1434; Terran_Engineering_Bay 6978; Terran_Science_Facility 0; Terran_Machine_Shop 5030; Terran_Armory 0; Terran_Starport 5044; Terran_Opening Bio; Terran_Academy 11794; Terran_Bunker 20228; Terran_Factory 3772; 
Terran_Control_Tower 24915; Terran_Comsat_Station 25630; Terran_Barracks 2215; Terran_Expansion 20250; Terran_Refinery 2610; Terran_Barracks2 14415; Terran_Missile_Turret 12895; Terran_Supply_Depot 1465; Terran_Engineering_Bay 11845; Terran_Science_Facility 54795; Terran_Machine_Shop 9565; Terran_Armory 18730; Terran_Starport 23730; Terran_Opening VultureHarass; Terran_Academy 23675; Terran_Bunker 4390; Terran_Factory 4215; 
Terran_Control_Tower 13954; Terran_Comsat_Station 21540; Terran_Barracks 2136; Terran_Expansion 11890; Terran_Refinery 2516; Terran_Barracks2 6862; Terran_Missile_Turret 9486; Terran_Supply_Depot 1386; Terran_Engineering_Bay 8404; Terran_Science_Facility 29562; Terran_Machine_Shop 4970; Terran_Armory 13652; Terran_Starport 11620; Terran_Opening TwoFactory; Terran_Academy 19846; Terran_Bunker 0; Terran_Factory 3710; 
Terran_Control_Tower 0; Terran_Comsat_Station 0; Terran_Barracks 2160; Terran_Expansion 14445; Terran_Refinery 2450; Terran_Barracks2 11455; Terran_Missile_Turret 14750; Terran_Supply_Depot 1475; Terran_Engineering_Bay 13780; Terran_Science_Facility 0; Terran_Machine_Shop 5010; Terran_Armory 7890; Terran_Starport 7475; Terran_Opening TwoFactory; Terran_Academy 0; Terran_Bunker 0; Terran_Factory 3730; 
Terran_Control_Tower 12555; Terran_Comsat_Station 14625; Terran_Barracks 2015; Terran_Expansion 10815; Terran_Refinery 2545; Terran_Barracks2 0; Terran_Missile_Turret 7875; Terran_Supply_Depot 1475; Terran_Engineering_Bay 6770; Terran_Science_Facility 0; Terran_Machine_Shop 5430; Terran_Armory 16635; Terran_Starport 11320; Terran_Opening TwoFactory; Terran_Academy 12635; Terran_Bunker 7480; Terran_Factory 4060; 
Terran_Control_Tower 24915; Terran_Comsat_Station 25630; Terran_Barracks 2215; Terran_Expansion 20250; Terran_Refinery 2610; Terran_Barracks2 14415; Terran_Missile_Turret 12895; Terran_Supply_Depot 1465; Terran_Engineering_Bay 11845; Terran_Science_Facility 54795; Terran_Machine_Shop 9565; Terran_Armory 18730; Terran_Starport 23730; Terran_Opening VultureHarass; Terran_Academy 23675; Terran_Bunker 4390; Terran_Factory 4215; 
