Protoss_Pylon2 131; Protoss_Pylon 55; Protoss_Opening two_gates; Protoss_Assimilator 216; Protoss_Gateway 78; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 336; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 398; Protoss_Fleet_Beacon 0; Protoss_Stargate 403; Protoss_Citadel_of_Adun 532; Protoss_Gateway2 104; Protoss_Forge 459; Protoss_Templar_Archives 685; Protoss_Photon_Cannon 489; Protoss_Cybernetics_Core 351; 
Protoss_Pylon2 108; Protoss_Pylon 49; Protoss_Opening corsair; Protoss_Assimilator 93; Protoss_Gateway 81; Protoss_Robotics_Support_Bay 286; Protoss_Expansion 473; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 208; Protoss_Fleet_Beacon -1; Protoss_Stargate 177; Protoss_Citadel_of_Adun 588; Protoss_Gateway2 583; Protoss_Forge 242; Protoss_Templar_Archives 748; Protoss_Photon_Cannon 367; Protoss_Cybernetics_Core 136; 
Protoss_Pylon2 163; Protoss_Pylon 56; Protoss_Opening corsair; Protoss_Assimilator 83; Protoss_Gateway 108; Protoss_Robotics_Support_Bay 300; Protoss_Expansion 441; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 208; Protoss_Fleet_Beacon 0; Protoss_Stargate 191; Protoss_Citadel_of_Adun 564; Protoss_Gateway2 612; Protoss_Forge 337; Protoss_Templar_Archives 610; Protoss_Photon_Cannon 407; Protoss_Cybernetics_Core 150; 
Protoss_Pylon2 155; Protoss_Pylon 48; Protoss_Opening ; Protoss_Assimilator -1; Protoss_Gateway 142; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 126; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility -1; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 171; Protoss_Forge -1; Protoss_Templar_Archives -1; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core -1; 
Protoss_Pylon2 105; Protoss_Pylon 53; Protoss_Opening unknown; Protoss_Assimilator 303; Protoss_Gateway 77; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 190; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 513; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 408; Protoss_Gateway2 475; Protoss_Forge 198; Protoss_Templar_Archives 492; Protoss_Photon_Cannon 232; Protoss_Cybernetics_Core 343; 
Protoss_Pylon2 136; Protoss_Pylon 54; Protoss_Opening two_gates; Protoss_Assimilator 213; Protoss_Gateway 86; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 420; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 542; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 369; Protoss_Gateway2 111; Protoss_Forge 260; Protoss_Templar_Archives 432; Protoss_Photon_Cannon 380; Protoss_Cybernetics_Core 325; 
Protoss_Pylon2 128; Protoss_Pylon 51; Protoss_Opening two_gates; Protoss_Assimilator 165; Protoss_Gateway 76; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 607; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 749; Protoss_Fleet_Beacon -1; Protoss_Stargate 0; Protoss_Citadel_of_Adun 393; Protoss_Gateway2 101; Protoss_Forge 270; Protoss_Templar_Archives 440; Protoss_Photon_Cannon 318; Protoss_Cybernetics_Core 345; 
Protoss_Pylon2 97; Protoss_Pylon 47; Protoss_Opening fast_dt; Protoss_Assimilator 127; Protoss_Gateway 72; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 740; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 411; Protoss_Fleet_Beacon -1; Protoss_Stargate 1049; Protoss_Citadel_of_Adun 297; Protoss_Gateway2 399; Protoss_Forge 183; Protoss_Templar_Archives 349; Protoss_Photon_Cannon 309; Protoss_Cybernetics_Core 248; 
Protoss_Pylon2 138; Protoss_Pylon 51; Protoss_Opening templar; Protoss_Assimilator 92; Protoss_Gateway 76; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 401; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 495; Protoss_Fleet_Beacon -1; Protoss_Stargate 804; Protoss_Citadel_of_Adun 259; Protoss_Gateway2 252; Protoss_Forge 116; Protoss_Templar_Archives 306; Protoss_Photon_Cannon 213; Protoss_Cybernetics_Core 217; 
Protoss_Pylon2 130; Protoss_Pylon 49; Protoss_Opening two_gates; Protoss_Assimilator 194; Protoss_Gateway 81; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 564; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 443; Protoss_Fleet_Beacon -1; Protoss_Stargate 348; Protoss_Citadel_of_Adun 470; Protoss_Gateway2 108; Protoss_Forge 370; Protoss_Templar_Archives 517; Protoss_Photon_Cannon 408; Protoss_Cybernetics_Core 298; 
Protoss_Pylon2 121; Protoss_Pylon 42; Protoss_Opening corsair; Protoss_Assimilator 152; Protoss_Gateway 67; Protoss_Robotics_Support_Bay 617; Protoss_Expansion -1; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 552; Protoss_Fleet_Beacon -1; Protoss_Stargate 277; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 399; Protoss_Forge 411; Protoss_Templar_Archives -1; Protoss_Photon_Cannon 445; Protoss_Cybernetics_Core 224; 
Protoss_Pylon2 142; Protoss_Pylon 36; Protoss_Opening unknown; Protoss_Assimilator 163; Protoss_Gateway 75; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 385; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 556; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 287; Protoss_Gateway2 578; Protoss_Forge 133; Protoss_Templar_Archives 343; Protoss_Photon_Cannon 177; Protoss_Cybernetics_Core 231; 
Protoss_Pylon2 126; Protoss_Pylon 49; Protoss_Opening two_gates; Protoss_Assimilator 194; Protoss_Gateway 74; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 474; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility -1; Protoss_Fleet_Beacon -1; Protoss_Stargate 300; Protoss_Citadel_of_Adun 326; Protoss_Gateway2 96; Protoss_Forge 429; Protoss_Templar_Archives 369; Protoss_Photon_Cannon 508; Protoss_Cybernetics_Core 253; 
Protoss_Pylon2 138; Protoss_Pylon 53; Protoss_Opening two_gates; Protoss_Assimilator 237; Protoss_Gateway 84; Protoss_Robotics_Support_Bay 624; Protoss_Expansion 345; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 558; Protoss_Fleet_Beacon -1; Protoss_Stargate 960; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 111; Protoss_Forge 244; Protoss_Templar_Archives -1; Protoss_Photon_Cannon 277; Protoss_Cybernetics_Core 366; 
Protoss_Pylon2 129; Protoss_Pylon 47; Protoss_Opening two_gates; Protoss_Assimilator 181; Protoss_Gateway 79; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 448; Protoss_Arbiter_Tribunal 745; Protoss_Robotics_Facility 628; Protoss_Fleet_Beacon -1; Protoss_Stargate 403; Protoss_Citadel_of_Adun 300; Protoss_Gateway2 107; Protoss_Forge 212; Protoss_Templar_Archives 425; Protoss_Photon_Cannon 465; Protoss_Cybernetics_Core 254; 
Protoss_Pylon2 129; Protoss_Pylon 50; Protoss_Opening two_gates; Protoss_Assimilator 190; Protoss_Gateway 81; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 460; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 704; Protoss_Fleet_Beacon -1; Protoss_Stargate 272; Protoss_Citadel_of_Adun 339; Protoss_Gateway2 103; Protoss_Forge 431; Protoss_Templar_Archives 390; Protoss_Photon_Cannon 530; Protoss_Cybernetics_Core 219; 
Protoss_Pylon2 196; Protoss_Pylon 50; Protoss_Opening corsair; Protoss_Assimilator 186; Protoss_Gateway 172; Protoss_Robotics_Support_Bay 984; Protoss_Expansion 135; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 477; Protoss_Fleet_Beacon -1; Protoss_Stargate 274; Protoss_Citadel_of_Adun 282; Protoss_Gateway2 404; Protoss_Forge 109; Protoss_Templar_Archives 346; Protoss_Photon_Cannon 147; Protoss_Cybernetics_Core 226; 
Protoss_Pylon2 135; Protoss_Pylon 42; Protoss_Opening two_gates; Protoss_Assimilator 276; Protoss_Gateway 85; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 371; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 523; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 457; Protoss_Gateway2 113; Protoss_Forge 356; Protoss_Templar_Archives 542; Protoss_Photon_Cannon 406; Protoss_Cybernetics_Core 327; 
Protoss_Pylon2 131; Protoss_Pylon 52; Protoss_Opening corsair; Protoss_Assimilator 106; Protoss_Gateway 86; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 373; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 481; Protoss_Fleet_Beacon -1; Protoss_Stargate 231; Protoss_Citadel_of_Adun 258; Protoss_Gateway2 493; Protoss_Forge 302; Protoss_Templar_Archives 302; Protoss_Photon_Cannon 351; Protoss_Cybernetics_Core 184; 
Protoss_Pylon2 153; Protoss_Pylon 54; Protoss_Opening ; Protoss_Assimilator 236; Protoss_Gateway 247; Protoss_Robotics_Support_Bay 884; Protoss_Expansion 207; Protoss_Arbiter_Tribunal 1005; Protoss_Robotics_Facility 606; Protoss_Fleet_Beacon -1; Protoss_Stargate 491; Protoss_Citadel_of_Adun 512; Protoss_Gateway2 293; Protoss_Forge 95; Protoss_Templar_Archives 644; Protoss_Photon_Cannon 125; Protoss_Cybernetics_Core 440; 
Protoss_Pylon2 168; Protoss_Pylon 52; Protoss_Opening templar; Protoss_Assimilator 209; Protoss_Gateway 187; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 145; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 577; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 313; Protoss_Gateway2 392; Protoss_Forge 89; Protoss_Templar_Archives 373; Protoss_Photon_Cannon 156; Protoss_Cybernetics_Core 264; 
Protoss_Pylon2 186; Protoss_Pylon 52; Protoss_Opening corsair; Protoss_Assimilator 197; Protoss_Gateway 164; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 126; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 377; Protoss_Fleet_Beacon -1; Protoss_Stargate 266; Protoss_Citadel_of_Adun 289; Protoss_Gateway2 357; Protoss_Forge 93; Protoss_Templar_Archives 347; Protoss_Photon_Cannon 174; Protoss_Cybernetics_Core 222; 
Protoss_Pylon2 124; Protoss_Pylon 53; Protoss_Opening ; Protoss_Assimilator -1; Protoss_Gateway 75; Protoss_Robotics_Support_Bay -1; Protoss_Expansion -1; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility -1; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 -1; Protoss_Forge -1; Protoss_Templar_Archives -1; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core -1; 
Protoss_Pylon2 204; Protoss_Pylon 52; Protoss_Opening corsair; Protoss_Assimilator 90; Protoss_Gateway 223; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 175; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility -1; Protoss_Fleet_Beacon -1; Protoss_Stargate 315; Protoss_Citadel_of_Adun 395; Protoss_Gateway2 -1; Protoss_Forge 102; Protoss_Templar_Archives -1; Protoss_Photon_Cannon 133; Protoss_Cybernetics_Core 269; 
Protoss_Pylon2 144; Protoss_Pylon 48; Protoss_Opening unknown; Protoss_Assimilator 155; Protoss_Gateway 131; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 113; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 674; Protoss_Fleet_Beacon -1; Protoss_Stargate 0; Protoss_Citadel_of_Adun 277; Protoss_Gateway2 302; Protoss_Forge 170; Protoss_Templar_Archives 322; Protoss_Photon_Cannon 208; Protoss_Cybernetics_Core 225; 
Protoss_Pylon2 217; Protoss_Pylon 52; Protoss_Opening corsair; Protoss_Assimilator 194; Protoss_Gateway 171; Protoss_Robotics_Support_Bay 384; Protoss_Expansion 162; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 324; Protoss_Fleet_Beacon 787; Protoss_Stargate 286; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 -1; Protoss_Forge 82; Protoss_Templar_Archives -1; Protoss_Photon_Cannon 122; Protoss_Cybernetics_Core 242; 
Protoss_Pylon2 147; Protoss_Pylon 53; Protoss_Opening corsair; Protoss_Assimilator 244; Protoss_Gateway 80; Protoss_Robotics_Support_Bay 522; Protoss_Expansion 237; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 461; Protoss_Fleet_Beacon -1; Protoss_Stargate 327; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 795; Protoss_Forge 128; Protoss_Templar_Archives -1; Protoss_Photon_Cannon 162; Protoss_Cybernetics_Core 273; 
Protoss_Pylon2 128; Protoss_Pylon 50; Protoss_Opening two_gates; Protoss_Assimilator 351; Protoss_Gateway 78; Protoss_Robotics_Support_Bay 557; Protoss_Expansion 803; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 493; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 874; Protoss_Gateway2 100; Protoss_Forge 451; Protoss_Templar_Archives 916; Protoss_Photon_Cannon 492; Protoss_Cybernetics_Core 398; 
Protoss_Pylon2 129; Protoss_Pylon 50; Protoss_Opening two_gates; Protoss_Assimilator 190; Protoss_Gateway 81; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 460; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 704; Protoss_Fleet_Beacon -1; Protoss_Stargate 272; Protoss_Citadel_of_Adun 339; Protoss_Gateway2 103; Protoss_Forge 431; Protoss_Templar_Archives 390; Protoss_Photon_Cannon 530; Protoss_Cybernetics_Core 219; 
Protoss_Pylon2 148; Protoss_Pylon 49; Protoss_Opening corsair; Protoss_Assimilator 104; Protoss_Gateway 81; Protoss_Robotics_Support_Bay 353; Protoss_Expansion -1; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 251; Protoss_Fleet_Beacon -1; Protoss_Stargate 180; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 367; Protoss_Forge 467; Protoss_Templar_Archives -1; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core 128; 
Protoss_Pylon2 154; Protoss_Pylon 51; Protoss_Opening speedzeal; Protoss_Assimilator 108; Protoss_Gateway 83; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 577; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 617; Protoss_Fleet_Beacon -1; Protoss_Stargate 176; Protoss_Citadel_of_Adun 284; Protoss_Gateway2 293; Protoss_Forge 251; Protoss_Templar_Archives 419; Protoss_Photon_Cannon 636; Protoss_Cybernetics_Core 133; 
Protoss_Pylon2 140; Protoss_Pylon 53; Protoss_Opening corsair; Protoss_Assimilator 96; Protoss_Gateway 80; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 477; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility -1; Protoss_Fleet_Beacon -1; Protoss_Stargate 266; Protoss_Citadel_of_Adun 288; Protoss_Gateway2 306; Protoss_Forge 130; Protoss_Templar_Archives 359; Protoss_Photon_Cannon 162; Protoss_Cybernetics_Core 223; 
Protoss_Pylon2 174; Protoss_Pylon 48; Protoss_Opening unknown; Protoss_Assimilator 167; Protoss_Gateway 160; Protoss_Robotics_Support_Bay 720; Protoss_Expansion 119; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 529; Protoss_Fleet_Beacon -1; Protoss_Stargate 254; Protoss_Citadel_of_Adun 293; Protoss_Gateway2 375; Protoss_Forge 135; Protoss_Templar_Archives 336; Protoss_Photon_Cannon 224; Protoss_Cybernetics_Core 212; 
Protoss_Pylon2 163; Protoss_Pylon 49; Protoss_Opening corsair; Protoss_Assimilator 188; Protoss_Gateway 157; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 120; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility -1; Protoss_Fleet_Beacon -1; Protoss_Stargate 263; Protoss_Citadel_of_Adun 288; Protoss_Gateway2 371; Protoss_Forge 143; Protoss_Templar_Archives 369; Protoss_Photon_Cannon 176; Protoss_Cybernetics_Core 217; 
Protoss_Pylon2 111; Protoss_Pylon 52; Protoss_Opening two_gates; Protoss_Assimilator -1; Protoss_Gateway 76; Protoss_Robotics_Support_Bay -1; Protoss_Expansion -1; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility -1; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 95; Protoss_Forge 261; Protoss_Templar_Archives -1; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core -1; 
Protoss_Pylon2 128; Protoss_Pylon 49; Protoss_Opening corsair; Protoss_Assimilator 103; Protoss_Gateway 78; Protoss_Robotics_Support_Bay -1; Protoss_Expansion -1; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility -1; Protoss_Fleet_Beacon -1; Protoss_Stargate 236; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 296; Protoss_Forge 241; Protoss_Templar_Archives -1; Protoss_Photon_Cannon 274; Protoss_Cybernetics_Core 181; 
Protoss_Pylon2 129; Protoss_Pylon 50; Protoss_Opening two_gates; Protoss_Assimilator -1; Protoss_Gateway 75; Protoss_Robotics_Support_Bay -1; Protoss_Expansion -1; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility -1; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 98; Protoss_Forge 186; Protoss_Templar_Archives -1; Protoss_Photon_Cannon 225; Protoss_Cybernetics_Core -1; 
Protoss_Pylon2 191; Protoss_Pylon 48; Protoss_Opening unknown; Protoss_Assimilator 168; Protoss_Gateway 153; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 131; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 462; Protoss_Fleet_Beacon -1; Protoss_Stargate 265; Protoss_Citadel_of_Adun 285; Protoss_Gateway2 341; Protoss_Forge 80; Protoss_Templar_Archives 380; Protoss_Photon_Cannon 178; Protoss_Cybernetics_Core 221; 
Protoss_Pylon2 170; Protoss_Pylon 51; Protoss_Opening nony; Protoss_Assimilator 192; Protoss_Gateway 155; Protoss_Robotics_Support_Bay 364; Protoss_Expansion 134; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 303; Protoss_Fleet_Beacon -1; Protoss_Stargate 311; Protoss_Citadel_of_Adun 461; Protoss_Gateway2 454; Protoss_Forge 80; Protoss_Templar_Archives 517; Protoss_Photon_Cannon 181; Protoss_Cybernetics_Core 222; 
Protoss_Pylon2 201; Protoss_Pylon 53; Protoss_Opening unknown; Protoss_Assimilator 190; Protoss_Gateway 178; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 166; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 461; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 280; Protoss_Gateway2 295; Protoss_Forge 87; Protoss_Templar_Archives 365; Protoss_Photon_Cannon 120; Protoss_Cybernetics_Core 230; 
Protoss_Pylon2 -1; Protoss_Pylon 55; Protoss_Opening ; Protoss_Assimilator -1; Protoss_Gateway -1; Protoss_Robotics_Support_Bay -1; Protoss_Expansion -1; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility -1; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 -1; Protoss_Forge -1; Protoss_Templar_Archives -1; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core -1; 
Protoss_Pylon2 220; Protoss_Pylon 55; Protoss_Opening unknown; Protoss_Assimilator 238; Protoss_Gateway 203; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 171; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 728; Protoss_Fleet_Beacon -1; Protoss_Stargate 387; Protoss_Citadel_of_Adun 402; Protoss_Gateway2 438; Protoss_Forge 94; Protoss_Templar_Archives 474; Protoss_Photon_Cannon 129; Protoss_Cybernetics_Core 306; 
Protoss_Pylon2 -1; Protoss_Pylon 0; Protoss_Opening ; Protoss_Assimilator -1; Protoss_Gateway -1; Protoss_Robotics_Support_Bay -1; Protoss_Expansion -1; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility -1; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 -1; Protoss_Forge -1; Protoss_Templar_Archives -1; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core -1; 
Protoss_Pylon2 -1; Protoss_Pylon 0; Protoss_Opening ; Protoss_Assimilator -1; Protoss_Gateway -1; Protoss_Robotics_Support_Bay -1; Protoss_Expansion -1; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility -1; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 -1; Protoss_Forge -1; Protoss_Templar_Archives -1; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core -1; 
Protoss_Pylon2 213; Protoss_Pylon 50; Protoss_Opening corsair; Protoss_Assimilator 220; Protoss_Gateway 192; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 163; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility -1; Protoss_Fleet_Beacon -1; Protoss_Stargate 294; Protoss_Citadel_of_Adun 465; Protoss_Gateway2 506; Protoss_Forge 89; Protoss_Templar_Archives -1; Protoss_Photon_Cannon 119; Protoss_Cybernetics_Core 251; 
