Protoss_Pylon2 162; Protoss_Pylon 54; Protoss_Opening Unknown; Protoss_Assimilator 134; Protoss_Gateway 88; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 320; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 314; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 253; Protoss_Gateway2 347; Protoss_Forge 115; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 148; Protoss_Cybernetics_Core 188; 
Protoss_Pylon2 119; Protoss_Pylon 47; Protoss_Opening Carrier; Protoss_Assimilator 246; Protoss_Gateway 72; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 736; Protoss_Fleet_Beacon 0; Protoss_Stargate 322; Protoss_Citadel_of_Adun 379; Protoss_Gateway2 92; Protoss_Forge 297; Protoss_Templar_Archives 691; Protoss_Photon_Cannon 331; Protoss_Cybernetics_Core 267; 
Protoss_Pylon2 126; Protoss_Pylon 48; Protoss_Opening Carrier; Protoss_Assimilator 237; Protoss_Gateway 74; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 449; Protoss_Fleet_Beacon 0; Protoss_Stargate 373; Protoss_Citadel_of_Adun 432; Protoss_Gateway2 97; Protoss_Forge 268; Protoss_Templar_Archives 545; Protoss_Photon_Cannon 343; Protoss_Cybernetics_Core 330; 
Protoss_Pylon2 155; Protoss_Pylon 52; Protoss_Opening Carrier; Protoss_Assimilator 109; Protoss_Gateway 91; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 331; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 0; Protoss_Fleet_Beacon 0; Protoss_Stargate 189; Protoss_Citadel_of_Adun 263; Protoss_Gateway2 456; Protoss_Forge 282; Protoss_Templar_Archives 307; Protoss_Photon_Cannon 341; Protoss_Cybernetics_Core 139; 
Protoss_Pylon2 159; Protoss_Pylon 53; Protoss_Opening Carrier; Protoss_Assimilator 79; Protoss_Gateway 105; Protoss_Robotics_Support_Bay 351; Protoss_Expansion 327; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 201; Protoss_Fleet_Beacon 635; Protoss_Stargate 190; Protoss_Citadel_of_Adun 0; Protoss_Gateway2 0; Protoss_Forge 287; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 368; Protoss_Cybernetics_Core 148; 
Protoss_Pylon2 127; Protoss_Pylon 48; Protoss_Opening FastLegs; Protoss_Assimilator 263; Protoss_Gateway 74; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 0; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 326; Protoss_Gateway2 99; Protoss_Forge 373; Protoss_Templar_Archives 400; Protoss_Photon_Cannon 432; Protoss_Cybernetics_Core 284; 
Protoss_Pylon2 140; Protoss_Pylon 41; Protoss_Opening FastLegs; Protoss_Assimilator 237; Protoss_Gateway 85; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 516; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 0; Protoss_Fleet_Beacon 0; Protoss_Stargate 383; Protoss_Citadel_of_Adun 371; Protoss_Gateway2 113; Protoss_Forge 279; Protoss_Templar_Archives 531; Protoss_Photon_Cannon 342; Protoss_Cybernetics_Core 320; 
Protoss_Pylon2 125; Protoss_Pylon 50; Protoss_Opening FastExpand; Protoss_Assimilator 304; Protoss_Gateway 75; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 535; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 615; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 590; Protoss_Gateway2 97; Protoss_Forge 401; Protoss_Templar_Archives 635; Protoss_Photon_Cannon 555; Protoss_Cybernetics_Core 329; 
Protoss_Pylon2 122; Protoss_Pylon 50; Protoss_Opening Unknown; Protoss_Assimilator 0; Protoss_Gateway 74; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 0; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 0; Protoss_Gateway2 95; Protoss_Forge 0; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 0; 
Protoss_Pylon2 138; Protoss_Pylon 53; Protoss_Opening Carrier; Protoss_Assimilator 133; Protoss_Gateway 82; Protoss_Robotics_Support_Bay 366; Protoss_Expansion 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 306; Protoss_Fleet_Beacon 0; Protoss_Stargate 220; Protoss_Citadel_of_Adun 0; Protoss_Gateway2 110; Protoss_Forge 520; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 555; Protoss_Cybernetics_Core 178; 
Protoss_Pylon2 123; Protoss_Pylon 49; Protoss_Opening FastDT; Protoss_Assimilator 198; Protoss_Gateway 76; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 505; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 621; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 357; Protoss_Gateway2 98; Protoss_Forge 425; Protoss_Templar_Archives 400; Protoss_Photon_Cannon 529; Protoss_Cybernetics_Core 311; 
Protoss_Pylon2 139; Protoss_Pylon 49; Protoss_Opening FastDT; Protoss_Assimilator 102; Protoss_Gateway 80; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 702; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 432; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 226; Protoss_Gateway2 253; Protoss_Forge 126; Protoss_Templar_Archives 273; Protoss_Photon_Cannon 165; Protoss_Cybernetics_Core 180; 
Protoss_Pylon2 97; Protoss_Pylon 47; Protoss_Opening FastDT; Protoss_Assimilator 127; Protoss_Gateway 72; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 740; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 411; Protoss_Fleet_Beacon 0; Protoss_Stargate 1049; Protoss_Citadel_of_Adun 297; Protoss_Gateway2 399; Protoss_Forge 183; Protoss_Templar_Archives 349; Protoss_Photon_Cannon 309; Protoss_Cybernetics_Core 248; 
Protoss_Pylon2 152; Protoss_Pylon 53; Protoss_Opening Carrier; Protoss_Assimilator 86; Protoss_Gateway 96; Protoss_Robotics_Support_Bay 322; Protoss_Expansion 540; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 244; Protoss_Fleet_Beacon 852; Protoss_Stargate 180; Protoss_Citadel_of_Adun 976; Protoss_Gateway2 950; Protoss_Forge 268; Protoss_Templar_Archives 1051; Protoss_Photon_Cannon 299; Protoss_Cybernetics_Core 139; 
Protoss_Pylon2 122; Protoss_Pylon 43; Protoss_Opening Carrier; Protoss_Assimilator 163; Protoss_Gateway 67; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 411; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 0; Protoss_Fleet_Beacon 0; Protoss_Stargate 253; Protoss_Citadel_of_Adun 277; Protoss_Gateway2 493; Protoss_Forge 307; Protoss_Templar_Archives 322; Protoss_Photon_Cannon 361; Protoss_Cybernetics_Core 197; 
Protoss_Pylon2 142; Protoss_Pylon 36; Protoss_Opening FastLegs; Protoss_Assimilator 163; Protoss_Gateway 75; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 385; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 556; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 287; Protoss_Gateway2 578; Protoss_Forge 133; Protoss_Templar_Archives 343; Protoss_Photon_Cannon 177; Protoss_Cybernetics_Core 231; 
Protoss_Pylon2 128; Protoss_Pylon 50; Protoss_Opening FastLegs; Protoss_Assimilator 146; Protoss_Gateway 87; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 658; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 733; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 392; Protoss_Gateway2 104; Protoss_Forge 394; Protoss_Templar_Archives 503; Protoss_Photon_Cannon 496; Protoss_Cybernetics_Core 324; 
Protoss_Pylon2 185; Protoss_Pylon 50; Protoss_Opening FastExpand; Protoss_Assimilator 205; Protoss_Gateway 168; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 125; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 373; Protoss_Fleet_Beacon 0; Protoss_Stargate 466; Protoss_Citadel_of_Adun 351; Protoss_Gateway2 293; Protoss_Forge 152; Protoss_Templar_Archives 485; Protoss_Photon_Cannon 181; Protoss_Cybernetics_Core 259; 
Protoss_Pylon2 158; Protoss_Pylon 51; Protoss_Opening FastExpand; Protoss_Assimilator 240; Protoss_Gateway 212; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 118; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 442; Protoss_Fleet_Beacon 0; Protoss_Stargate 597; Protoss_Citadel_of_Adun 366; Protoss_Gateway2 227; Protoss_Forge 145; Protoss_Templar_Archives 485; Protoss_Photon_Cannon 182; Protoss_Cybernetics_Core 303; 
Protoss_Pylon2 137; Protoss_Pylon 52; Protoss_Opening FastDT; Protoss_Assimilator 193; Protoss_Gateway 85; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 481; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 710; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 379; Protoss_Gateway2 115; Protoss_Forge 231; Protoss_Templar_Archives 422; Protoss_Photon_Cannon 261; Protoss_Cybernetics_Core 337; 
Protoss_Pylon2 148; Protoss_Pylon 54; Protoss_Opening ReaverDrop; Protoss_Assimilator 90; Protoss_Gateway 79; Protoss_Robotics_Support_Bay 253; Protoss_Expansion 777; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 187; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 846; Protoss_Gateway2 0; Protoss_Forge 383; Protoss_Templar_Archives 906; Protoss_Photon_Cannon 535; Protoss_Cybernetics_Core 124; 
Protoss_Pylon2 133; Protoss_Pylon 49; Protoss_Opening FastExpand; Protoss_Assimilator 193; Protoss_Gateway 201; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 188; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 0; Protoss_Fleet_Beacon 632; Protoss_Stargate 285; Protoss_Citadel_of_Adun 346; Protoss_Gateway2 446; Protoss_Forge 83; Protoss_Templar_Archives 403; Protoss_Photon_Cannon 115; Protoss_Cybernetics_Core 243; 
Protoss_Pylon2 176; Protoss_Pylon 52; Protoss_Opening FastExpand; Protoss_Assimilator 214; Protoss_Gateway 188; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 146; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 647; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 294; Protoss_Gateway2 302; Protoss_Forge 82; Protoss_Templar_Archives 358; Protoss_Photon_Cannon 161; Protoss_Cybernetics_Core 235; 
Protoss_Pylon2 144; Protoss_Pylon 51; Protoss_Opening Carrier; Protoss_Assimilator 103; Protoss_Gateway 80; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 0; Protoss_Fleet_Beacon 0; Protoss_Stargate 169; Protoss_Citadel_of_Adun 206; Protoss_Gateway2 215; Protoss_Forge 300; Protoss_Templar_Archives 250; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 126; 
Protoss_Pylon2 150; Protoss_Pylon 52; Protoss_Opening FastExpand; Protoss_Assimilator 207; Protoss_Gateway 195; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 172; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 0; Protoss_Fleet_Beacon 0; Protoss_Stargate 292; Protoss_Citadel_of_Adun 400; Protoss_Gateway2 316; Protoss_Forge 91; Protoss_Templar_Archives 506; Protoss_Photon_Cannon 134; Protoss_Cybernetics_Core 241; 
Protoss_Pylon2 97; Protoss_Pylon 47; Protoss_Opening FastExpand; Protoss_Assimilator 164; Protoss_Gateway 70; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 156; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 591; Protoss_Fleet_Beacon 0; Protoss_Stargate 249; Protoss_Citadel_of_Adun 279; Protoss_Gateway2 419; Protoss_Forge 314; Protoss_Templar_Archives 327; Protoss_Photon_Cannon 347; Protoss_Cybernetics_Core 204; 
Protoss_Pylon2 124; Protoss_Pylon 53; Protoss_Opening Unknown; Protoss_Assimilator 0; Protoss_Gateway 75; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 0; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 0; Protoss_Gateway2 0; Protoss_Forge 0; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 0; 
Protoss_Pylon2 110; Protoss_Pylon 53; Protoss_Opening FastExpand; Protoss_Assimilator 196; Protoss_Gateway 174; Protoss_Robotics_Support_Bay 845; Protoss_Expansion 131; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 406; Protoss_Fleet_Beacon 0; Protoss_Stargate 272; Protoss_Citadel_of_Adun 284; Protoss_Gateway2 322; Protoss_Forge 148; Protoss_Templar_Archives 326; Protoss_Photon_Cannon 181; Protoss_Cybernetics_Core 227; 
Protoss_Pylon2 210; Protoss_Pylon 51; Protoss_Opening FastExpand; Protoss_Assimilator 219; Protoss_Gateway 191; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 145; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 0; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 0; Protoss_Gateway2 0; Protoss_Forge 107; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 150; Protoss_Cybernetics_Core 0; 
Protoss_Pylon2 273; Protoss_Pylon 49; Protoss_Opening FastExpand; Protoss_Assimilator 193; Protoss_Gateway 175; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 129; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 601; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 323; Protoss_Gateway2 308; Protoss_Forge 88; Protoss_Templar_Archives 396; Protoss_Photon_Cannon 139; Protoss_Cybernetics_Core 222; 
Protoss_Pylon2 220; Protoss_Pylon 54; Protoss_Opening FastExpand; Protoss_Assimilator 205; Protoss_Gateway 174; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 143; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 429; Protoss_Fleet_Beacon 0; Protoss_Stargate 726; Protoss_Citadel_of_Adun 303; Protoss_Gateway2 289; Protoss_Forge 91; Protoss_Templar_Archives 367; Protoss_Photon_Cannon 156; Protoss_Cybernetics_Core 252; 
Protoss_Pylon2 189; Protoss_Pylon 49; Protoss_Opening FastExpand; Protoss_Assimilator 203; Protoss_Gateway 167; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 160; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 467; Protoss_Fleet_Beacon 0; Protoss_Stargate 268; Protoss_Citadel_of_Adun 307; Protoss_Gateway2 403; Protoss_Forge 104; Protoss_Templar_Archives 351; Protoss_Photon_Cannon 134; Protoss_Cybernetics_Core 215; 
Protoss_Pylon2 141; Protoss_Pylon 49; Protoss_Opening Carrier; Protoss_Assimilator 92; Protoss_Gateway 77; Protoss_Robotics_Support_Bay 1012; Protoss_Expansion 313; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 459; Protoss_Fleet_Beacon 0; Protoss_Stargate 178; Protoss_Citadel_of_Adun 238; Protoss_Gateway2 495; Protoss_Forge 353; Protoss_Templar_Archives 279; Protoss_Photon_Cannon 387; Protoss_Cybernetics_Core 130; 
Protoss_Pylon2 128; Protoss_Pylon 48; Protoss_Opening Unknown; Protoss_Assimilator 0; Protoss_Gateway 73; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 0; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 0; Protoss_Gateway2 78; Protoss_Forge 0; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 0; 
Protoss_Pylon2 162; Protoss_Pylon 59; Protoss_Opening FastExpand; Protoss_Assimilator 231; Protoss_Gateway 224; Protoss_Robotics_Support_Bay 410; Protoss_Expansion 124; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 346; Protoss_Fleet_Beacon 0; Protoss_Stargate 363; Protoss_Citadel_of_Adun 0; Protoss_Gateway2 281; Protoss_Forge 155; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 192; Protoss_Cybernetics_Core 276; 
Protoss_Pylon2 135; Protoss_Pylon 54; Protoss_Opening FastDT; Protoss_Assimilator 165; Protoss_Gateway 78; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 678; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 595; Protoss_Gateway2 98; Protoss_Forge 283; Protoss_Templar_Archives 666; Protoss_Photon_Cannon 326; Protoss_Cybernetics_Core 247; 
Protoss_Pylon2 196; Protoss_Pylon 50; Protoss_Opening FastExpand; Protoss_Assimilator 204; Protoss_Gateway 185; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 174; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 0; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 0; Protoss_Gateway2 0; Protoss_Forge 89; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 124; Protoss_Cybernetics_Core 0; 
Protoss_Pylon2 182; Protoss_Pylon 55; Protoss_Opening FastExpand; Protoss_Assimilator 185; Protoss_Gateway 198; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 164; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 455; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 301; Protoss_Gateway2 222; Protoss_Forge 83; Protoss_Templar_Archives 360; Protoss_Photon_Cannon 119; Protoss_Cybernetics_Core 254; 
Protoss_Pylon2 171; Protoss_Pylon 54; Protoss_Opening FastExpand; Protoss_Assimilator 207; Protoss_Gateway 140; Protoss_Robotics_Support_Bay 376; Protoss_Expansion 123; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 312; Protoss_Fleet_Beacon 1072; Protoss_Stargate 285; Protoss_Citadel_of_Adun 358; Protoss_Gateway2 465; Protoss_Forge 156; Protoss_Templar_Archives 418; Protoss_Photon_Cannon 190; Protoss_Cybernetics_Core 243; 
Protoss_Pylon2 364; Protoss_Pylon 48; Protoss_Opening FastExpand; Protoss_Assimilator 358; Protoss_Gateway 211; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 111; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 0; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 433; Protoss_Gateway2 396; Protoss_Forge 125; Protoss_Templar_Archives 501; Protoss_Photon_Cannon 156; Protoss_Cybernetics_Core 332; 
Protoss_Pylon2 143; Protoss_Pylon 52; Protoss_Opening Unknown; Protoss_Assimilator 0; Protoss_Gateway 78; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 0; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 0; Protoss_Gateway2 214; Protoss_Forge 0; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 0; 
Protoss_Pylon2 128; Protoss_Pylon 49; Protoss_Opening Carrier; Protoss_Assimilator 103; Protoss_Gateway 78; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 0; Protoss_Fleet_Beacon 0; Protoss_Stargate 236; Protoss_Citadel_of_Adun 0; Protoss_Gateway2 296; Protoss_Forge 241; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 274; Protoss_Cybernetics_Core 181; 
Protoss_Pylon2 120; Protoss_Pylon 48; Protoss_Opening Carrier; Protoss_Assimilator 152; Protoss_Gateway 74; Protoss_Robotics_Support_Bay 1010; Protoss_Expansion 397; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 488; Protoss_Fleet_Beacon 0; Protoss_Stargate 228; Protoss_Citadel_of_Adun 262; Protoss_Gateway2 412; Protoss_Forge 254; Protoss_Templar_Archives 308; Protoss_Photon_Cannon 325; Protoss_Cybernetics_Core 165; 
Protoss_Pylon2 201; Protoss_Pylon 53; Protoss_Opening FastExpand; Protoss_Assimilator 188; Protoss_Gateway 178; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 136; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 505; Protoss_Fleet_Beacon 0; Protoss_Stargate 331; Protoss_Citadel_of_Adun 362; Protoss_Gateway2 465; Protoss_Forge 80; Protoss_Templar_Archives 481; Protoss_Photon_Cannon 147; Protoss_Cybernetics_Core 283; 
