Terran_Control_Tower 277; Terran_Comsat_Station 665; Terran_Barracks 86; Terran_Expansion 464; Terran_Refinery 111; Terran_Barracks2 -1; Terran_Missile_Turret 393; Terran_Supply_Depot 60; Terran_Engineering_Bay 311; Terran_Science_Facility -1; Terran_Machine_Shop 230; Terran_Armory -1; Terran_Starport 229; Terran_Opening drop; Terran_Academy 561; Terran_Bunker 420; Terran_Factory 175; 
Terran_Control_Tower 509; Terran_Comsat_Station 541; Terran_Barracks 92; Terran_Expansion 289; Terran_Refinery 105; Terran_Barracks2 242; Terran_Missile_Turret 349; Terran_Supply_Depot 61; Terran_Engineering_Bay 304; Terran_Science_Facility 912; Terran_Machine_Shop 217; Terran_Armory 659; Terran_Starport 455; Terran_Opening rax_fe; Terran_Academy 483; Terran_Bunker -1; Terran_Factory 162; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 87; Terran_Expansion 478; Terran_Refinery 175; Terran_Barracks2 172; Terran_Missile_Turret 313; Terran_Supply_Depot 60; Terran_Engineering_Bay 270; Terran_Science_Facility -1; Terran_Machine_Shop 282; Terran_Armory -1; Terran_Starport -1; Terran_Opening bio; Terran_Academy 773; Terran_Bunker 197; Terran_Factory 228; 
Terran_Control_Tower -1; Terran_Comsat_Station 569; Terran_Barracks 93; Terran_Expansion 277; Terran_Refinery 117; Terran_Barracks2 178; Terran_Missile_Turret 343; Terran_Supply_Depot 63; Terran_Engineering_Bay 300; Terran_Science_Facility -1; Terran_Machine_Shop 224; Terran_Armory 869; Terran_Starport -1; Terran_Opening rax_fe; Terran_Academy 477; Terran_Bunker -1; Terran_Factory 172; 
Terran_Control_Tower 418; Terran_Comsat_Station 677; Terran_Barracks 86; Terran_Expansion 333; Terran_Refinery 104; Terran_Barracks2 305; Terran_Missile_Turret 431; Terran_Supply_Depot 60; Terran_Engineering_Bay 385; Terran_Science_Facility 858; Terran_Machine_Shop 213; Terran_Armory 657; Terran_Starport 354; Terran_Opening rax_fe; Terran_Academy 595; Terran_Bunker 294; Terran_Factory 160; 
Terran_Control_Tower -1; Terran_Comsat_Station 285; Terran_Barracks 89; Terran_Expansion 517; Terran_Refinery 116; Terran_Barracks2 240; Terran_Missile_Turret -1; Terran_Supply_Depot 60; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop 221; Terran_Armory -1; Terran_Starport -1; Terran_Opening rax_fe; Terran_Academy 225; Terran_Bunker -1; Terran_Factory 168; 
Terran_Control_Tower 294; Terran_Comsat_Station 587; Terran_Barracks 87; Terran_Expansion 440; Terran_Refinery 104; Terran_Barracks2 344; Terran_Missile_Turret 514; Terran_Supply_Depot 59; Terran_Engineering_Bay 470; Terran_Science_Facility -1; Terran_Machine_Shop 242; Terran_Armory -1; Terran_Starport 240; Terran_Opening drop; Terran_Academy 525; Terran_Bunker 635; Terran_Factory 187; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 83; Terran_Expansion -1; Terran_Refinery 108; Terran_Barracks2 157; Terran_Missile_Turret -1; Terran_Supply_Depot 50; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop 259; Terran_Armory -1; Terran_Starport -1; Terran_Opening bio; Terran_Academy -1; Terran_Bunker 210; Terran_Factory 176; 
Terran_Control_Tower 865; Terran_Comsat_Station 0; Terran_Barracks 95; Terran_Expansion 407; Terran_Refinery 111; Terran_Barracks2 215; Terran_Missile_Turret 336; Terran_Supply_Depot 61; Terran_Engineering_Bay 286; Terran_Science_Facility 0; Terran_Machine_Shop 218; Terran_Armory 984; Terran_Starport 791; Terran_Opening two_facto; Terran_Academy 0; Terran_Bunker 507; Terran_Factory 165; 
Terran_Control_Tower 509; Terran_Comsat_Station 677; Terran_Barracks 85; Terran_Expansion 382; Terran_Refinery 103; Terran_Barracks2 149; Terran_Missile_Turret 431; Terran_Supply_Depot 56; Terran_Engineering_Bay 313; Terran_Science_Facility 0; Terran_Machine_Shop 213; Terran_Armory 756; Terran_Starport 460; Terran_Opening two_facto; Terran_Academy 613; Terran_Bunker -1; Terran_Factory 156; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks -1; Terran_Expansion -1; Terran_Refinery -1; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 0; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop -1; Terran_Armory -1; Terran_Starport -1; Terran_Opening ; Terran_Academy -1; Terran_Bunker -1; Terran_Factory -1; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 96; Terran_Expansion -1; Terran_Refinery 101; Terran_Barracks2 -1; Terran_Missile_Turret 403; Terran_Supply_Depot 57; Terran_Engineering_Bay 357; Terran_Science_Facility -1; Terran_Machine_Shop 203; Terran_Armory -1; Terran_Starport -1; Terran_Opening two_facto; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 151; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 101; Terran_Expansion -1; Terran_Refinery 106; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 59; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop -1; Terran_Armory -1; Terran_Starport -1; Terran_Opening ; Terran_Academy -1; Terran_Bunker -1; Terran_Factory -1; 
Terran_Control_Tower 981; Terran_Comsat_Station 963; Terran_Barracks 82; Terran_Expansion 319; Terran_Refinery 102; Terran_Barracks2 0; Terran_Missile_Turret 498; Terran_Supply_Depot 56; Terran_Engineering_Bay 335; Terran_Science_Facility 979; Terran_Machine_Shop 207; Terran_Armory 677; Terran_Starport 924; Terran_Opening vultures; Terran_Academy 883; Terran_Bunker -1; Terran_Factory 155; 
Terran_Control_Tower 0; Terran_Comsat_Station 683; Terran_Barracks 89; Terran_Expansion 455; Terran_Refinery 107; Terran_Barracks2 174; Terran_Missile_Turret 405; Terran_Supply_Depot 54; Terran_Engineering_Bay 336; Terran_Science_Facility -1; Terran_Machine_Shop 231; Terran_Armory 0; Terran_Starport 0; Terran_Opening bio; Terran_Academy 581; Terran_Bunker -1; Terran_Factory 177; 
Terran_Control_Tower 0; Terran_Comsat_Station 489; Terran_Barracks 92; Terran_Expansion 285; Terran_Refinery 103; Terran_Barracks2 310; Terran_Missile_Turret 357; Terran_Supply_Depot 63; Terran_Engineering_Bay 314; Terran_Science_Facility 0; Terran_Machine_Shop 234; Terran_Armory 522; Terran_Starport 1038; Terran_Opening rax_fe; Terran_Academy 423; Terran_Bunker 607; Terran_Factory 161; 
Terran_Control_Tower 272; Terran_Comsat_Station 693; Terran_Barracks 90; Terran_Expansion 444; Terran_Refinery 108; Terran_Barracks2 353; Terran_Missile_Turret 369; Terran_Supply_Depot 62; Terran_Engineering_Bay 326; Terran_Science_Facility 0; Terran_Machine_Shop 223; Terran_Armory 909; Terran_Starport 222; Terran_Opening drop; Terran_Academy 596; Terran_Bunker -1; Terran_Factory 165; 
Terran_Control_Tower 788; Terran_Comsat_Station 501; Terran_Barracks 90; Terran_Expansion 387; Terran_Refinery 114; Terran_Barracks2 154; Terran_Missile_Turret 318; Terran_Supply_Depot 60; Terran_Engineering_Bay 274; Terran_Science_Facility -1; Terran_Machine_Shop 224; Terran_Armory 725; Terran_Starport 737; Terran_Opening two_facto; Terran_Academy 423; Terran_Bunker 483; Terran_Factory 167; 
Terran_Control_Tower 717; Terran_Comsat_Station 667; Terran_Barracks 94; Terran_Expansion 410; Terran_Refinery 115; Terran_Barracks2 -1; Terran_Missile_Turret 380; Terran_Supply_Depot 64; Terran_Engineering_Bay 312; Terran_Science_Facility -1; Terran_Machine_Shop 218; Terran_Armory 558; Terran_Starport 636; Terran_Opening two_facto; Terran_Academy 614; Terran_Bunker 346; Terran_Factory 165; 
Terran_Control_Tower 462; Terran_Comsat_Station 358; Terran_Barracks 92; Terran_Expansion 231; Terran_Refinery 207; Terran_Barracks2 249; Terran_Missile_Turret 331; Terran_Supply_Depot 59; Terran_Engineering_Bay 276; Terran_Science_Facility 1005; Terran_Machine_Shop 312; Terran_Armory 497; Terran_Starport 409; Terran_Opening rax_fe; Terran_Academy 297; Terran_Bunker 215; Terran_Factory 260; 
Terran_Control_Tower -1; Terran_Comsat_Station 380; Terran_Barracks 89; Terran_Expansion 283; Terran_Refinery 104; Terran_Barracks2 146; Terran_Missile_Turret 547; Terran_Supply_Depot 60; Terran_Engineering_Bay 473; Terran_Science_Facility -1; Terran_Machine_Shop 209; Terran_Armory 423; Terran_Starport -1; Terran_Opening unknown; Terran_Academy 301; Terran_Bunker -1; Terran_Factory 157; 
Terran_Control_Tower 835; Terran_Comsat_Station 531; Terran_Barracks 93; Terran_Expansion 206; Terran_Refinery 99; Terran_Barracks2 362; Terran_Missile_Turret 371; Terran_Supply_Depot 64; Terran_Engineering_Bay 328; Terran_Science_Facility 712; Terran_Machine_Shop 218; Terran_Armory 539; Terran_Starport 658; Terran_Opening rax_fe; Terran_Academy 460; Terran_Bunker -1; Terran_Factory 160; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 99; Terran_Expansion 265; Terran_Refinery 101; Terran_Barracks2 -1; Terran_Missile_Turret 448; Terran_Supply_Depot 57; Terran_Engineering_Bay 399; Terran_Science_Facility -1; Terran_Machine_Shop 239; Terran_Armory -1; Terran_Starport -1; Terran_Opening rax_fe; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 158; 
Terran_Control_Tower -1; Terran_Comsat_Station 497; Terran_Barracks 88; Terran_Expansion 261; Terran_Refinery 103; Terran_Barracks2 175; Terran_Missile_Turret 345; Terran_Supply_Depot 59; Terran_Engineering_Bay 286; Terran_Science_Facility -1; Terran_Machine_Shop 215; Terran_Armory 427; Terran_Starport -1; Terran_Opening unknown; Terran_Academy 429; Terran_Bunker -1; Terran_Factory 162; 
Terran_Control_Tower 563; Terran_Comsat_Station 401; Terran_Barracks 99; Terran_Expansion 310; Terran_Refinery 103; Terran_Barracks2 -1; Terran_Missile_Turret 449; Terran_Supply_Depot 59; Terran_Engineering_Bay 396; Terran_Science_Facility 828; Terran_Machine_Shop 221; Terran_Armory 569; Terran_Starport 489; Terran_Opening vultures; Terran_Academy 345; Terran_Bunker -1; Terran_Factory 163; 
Terran_Control_Tower 286; Terran_Comsat_Station 534; Terran_Barracks 99; Terran_Expansion 398; Terran_Refinery 103; Terran_Barracks2 0; Terran_Missile_Turret 460; Terran_Supply_Depot 59; Terran_Engineering_Bay 304; Terran_Science_Facility 843; Terran_Machine_Shop 236; Terran_Armory 563; Terran_Starport 237; Terran_Opening rax_fe; Terran_Academy 477; Terran_Bunker -1; Terran_Factory 155; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 85; Terran_Expansion 420; Terran_Refinery 113; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 57; Terran_Engineering_Bay 460; Terran_Science_Facility -1; Terran_Machine_Shop 220; Terran_Armory -1; Terran_Starport -1; Terran_Opening rax_fe; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 168; 
Terran_Control_Tower -1; Terran_Comsat_Station 482; Terran_Barracks 100; Terran_Expansion 268; Terran_Refinery 103; Terran_Barracks2 -1; Terran_Missile_Turret 316; Terran_Supply_Depot 60; Terran_Engineering_Bay 276; Terran_Science_Facility -1; Terran_Machine_Shop 208; Terran_Armory 544; Terran_Starport -1; Terran_Opening rax_fe; Terran_Academy 415; Terran_Bunker -1; Terran_Factory 155; 
Terran_Control_Tower -1; Terran_Comsat_Station 551; Terran_Barracks 97; Terran_Expansion 564; Terran_Refinery 102; Terran_Barracks2 -1; Terran_Missile_Turret 402; Terran_Supply_Depot 56; Terran_Engineering_Bay 346; Terran_Science_Facility -1; Terran_Machine_Shop 210; Terran_Armory -1; Terran_Starport -1; Terran_Opening two_facto; Terran_Academy 494; Terran_Bunker -1; Terran_Factory 157; 
Terran_Control_Tower -1; Terran_Comsat_Station 571; Terran_Barracks 97; Terran_Expansion 418; Terran_Refinery 102; Terran_Barracks2 598; Terran_Missile_Turret 471; Terran_Supply_Depot 57; Terran_Engineering_Bay 377; Terran_Science_Facility 726; Terran_Machine_Shop 220; Terran_Armory 515; Terran_Starport 646; Terran_Opening rax_fe; Terran_Academy 516; Terran_Bunker -1; Terran_Factory 166; 
Terran_Control_Tower 811; Terran_Comsat_Station 329; Terran_Barracks 96; Terran_Expansion 407; Terran_Refinery 101; Terran_Barracks2 116; Terran_Missile_Turret 403; Terran_Supply_Depot 55; Terran_Engineering_Bay 358; Terran_Science_Facility 813; Terran_Machine_Shop 413; Terran_Armory 757; Terran_Starport 754; Terran_Opening unknown; Terran_Academy 255; Terran_Bunker 584; Terran_Factory 253; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks -1; Terran_Expansion -1; Terran_Refinery -1; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 0; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop -1; Terran_Armory -1; Terran_Starport -1; Terran_Opening ; Terran_Academy -1; Terran_Bunker -1; Terran_Factory -1; 
Terran_Control_Tower -1; Terran_Comsat_Station 388; Terran_Barracks 103; Terran_Expansion 286; Terran_Refinery 105; Terran_Barracks2 1039; Terran_Missile_Turret 635; Terran_Supply_Depot 60; Terran_Engineering_Bay 565; Terran_Science_Facility 554; Terran_Machine_Shop 210; Terran_Armory 334; Terran_Starport 499; Terran_Opening vultures; Terran_Academy 332; Terran_Bunker -1; Terran_Factory 156; 
Terran_Control_Tower -1; Terran_Comsat_Station 546; Terran_Barracks 107; Terran_Expansion 291; Terran_Refinery 84; Terran_Barracks2 -1; Terran_Missile_Turret 486; Terran_Supply_Depot 57; Terran_Engineering_Bay 367; Terran_Science_Facility 682; Terran_Machine_Shop 272; Terran_Armory 501; Terran_Starport 629; Terran_Opening ; Terran_Academy 483; Terran_Bunker 164; Terran_Factory 193; 
Terran_Control_Tower 974; Terran_Comsat_Station 446; Terran_Barracks 89; Terran_Expansion 277; Terran_Refinery 101; Terran_Barracks2 312; Terran_Missile_Turret 359; Terran_Supply_Depot 61; Terran_Engineering_Bay 317; Terran_Science_Facility 609; Terran_Machine_Shop 206; Terran_Armory 389; Terran_Starport 532; Terran_Opening rax_fe; Terran_Academy 390; Terran_Bunker -1; Terran_Factory 152; 
Terran_Control_Tower -1; Terran_Comsat_Station 345; Terran_Barracks 114; Terran_Expansion 263; Terran_Refinery 82; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 60; Terran_Engineering_Bay -1; Terran_Science_Facility 555; Terran_Machine_Shop 250; Terran_Armory 367; Terran_Starport 506; Terran_Opening vultures; Terran_Academy 288; Terran_Bunker -1; Terran_Factory 170; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 87; Terran_Expansion 282; Terran_Refinery 96; Terran_Barracks2 193; Terran_Missile_Turret 334; Terran_Supply_Depot 57; Terran_Engineering_Bay 289; Terran_Science_Facility -1; Terran_Machine_Shop 198; Terran_Armory -1; Terran_Starport -1; Terran_Opening unknown; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 146; 
Terran_Control_Tower -1; Terran_Comsat_Station 626; Terran_Barracks 87; Terran_Expansion 369; Terran_Refinery 103; Terran_Barracks2 -1; Terran_Missile_Turret 610; Terran_Supply_Depot 59; Terran_Engineering_Bay 504; Terran_Science_Facility -1; Terran_Machine_Shop 207; Terran_Armory -1; Terran_Starport -1; Terran_Opening two_facto; Terran_Academy 528; Terran_Bunker -1; Terran_Factory 154; 
Terran_Control_Tower 695; Terran_Comsat_Station 628; Terran_Barracks 101; Terran_Expansion 337; Terran_Refinery 104; Terran_Barracks2 -1; Terran_Missile_Turret 391; Terran_Supply_Depot 60; Terran_Engineering_Bay 339; Terran_Science_Facility -1; Terran_Machine_Shop 255; Terran_Armory 716; Terran_Starport 627; Terran_Opening rax_fe; Terran_Academy 541; Terran_Bunker 277; Terran_Factory 174; 
Terran_Control_Tower 841; Terran_Comsat_Station 639; Terran_Barracks 81; Terran_Expansion 378; Terran_Refinery 107; Terran_Barracks2 568; Terran_Missile_Turret 449; Terran_Supply_Depot 59; Terran_Engineering_Bay 405; Terran_Science_Facility 0; Terran_Machine_Shop 352; Terran_Armory 820; Terran_Starport 510; Terran_Opening rax_fe; Terran_Academy 576; Terran_Bunker 206; Terran_Factory 167; 
Terran_Control_Tower 744; Terran_Comsat_Station 654; Terran_Barracks 83; Terran_Expansion 388; Terran_Refinery 109; Terran_Barracks2 0; Terran_Missile_Turret 478; Terran_Supply_Depot 58; Terran_Engineering_Bay 433; Terran_Science_Facility 745; Terran_Machine_Shop 236; Terran_Armory 632; Terran_Starport 692; Terran_Opening vultures; Terran_Academy 599; Terran_Bunker 196; Terran_Factory 183; 
Terran_Control_Tower 635; Terran_Comsat_Station 600; Terran_Barracks 101; Terran_Expansion 396; Terran_Refinery 105; Terran_Barracks2 434; Terran_Missile_Turret 506; Terran_Supply_Depot 60; Terran_Engineering_Bay 461; Terran_Science_Facility -1; Terran_Machine_Shop 223; Terran_Armory 664; Terran_Starport 584; Terran_Opening vultures; Terran_Academy 541; Terran_Bunker -1; Terran_Factory 160; 
Terran_Control_Tower -1; Terran_Comsat_Station 379; Terran_Barracks 98; Terran_Expansion 274; Terran_Refinery 103; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 57; Terran_Engineering_Bay 686; Terran_Science_Facility 581; Terran_Machine_Shop 256; Terran_Armory 362; Terran_Starport 524; Terran_Opening rax_fe; Terran_Academy 321; Terran_Bunker -1; Terran_Factory 162; 
Terran_Control_Tower 621; Terran_Comsat_Station 668; Terran_Barracks 89; Terran_Expansion 445; Terran_Refinery 105; Terran_Barracks2 244; Terran_Missile_Turret 470; Terran_Supply_Depot 59; Terran_Engineering_Bay 405; Terran_Science_Facility -1; Terran_Machine_Shop 208; Terran_Armory 655; Terran_Starport 507; Terran_Opening two_facto; Terran_Academy 612; Terran_Bunker -1; Terran_Factory 155; 
Terran_Control_Tower 653; Terran_Comsat_Station 639; Terran_Barracks 87; Terran_Expansion 440; Terran_Refinery 103; Terran_Barracks2 181; Terran_Missile_Turret 542; Terran_Supply_Depot 57; Terran_Engineering_Bay 438; Terran_Science_Facility 895; Terran_Machine_Shop 204; Terran_Armory 693; Terran_Starport 594; Terran_Opening two_facto; Terran_Academy 584; Terran_Bunker -1; Terran_Factory 152; 
