Terran_Control_Tower 274; Terran_Comsat_Station 1043; Terran_Barracks 108; Terran_Expansion 596; Terran_Refinery 80; Terran_Barracks2 170; Terran_Missile_Turret 388; Terran_Supply_Depot 59; Terran_Engineering_Bay 331; Terran_Science_Facility -1; Terran_Machine_Shop 220; Terran_Armory 818; Terran_Starport 220; Terran_Opening two_facto; Terran_Academy 910; Terran_Bunker -1; Terran_Factory 168; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 83; Terran_Expansion -1; Terran_Refinery 99; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 57; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop 226; Terran_Armory -1; Terran_Starport -1; Terran_Opening two_facto; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 153; 
Terran_Control_Tower 255; Terran_Comsat_Station 430; Terran_Barracks 86; Terran_Expansion 348; Terran_Refinery 102; Terran_Barracks2 389; Terran_Missile_Turret 471; Terran_Supply_Depot 60; Terran_Engineering_Bay 423; Terran_Science_Facility 0; Terran_Machine_Shop 247; Terran_Armory 990; Terran_Starport 207; Terran_Opening rax_fe; Terran_Academy 369; Terran_Bunker -1; Terran_Factory 154; 
Terran_Control_Tower 282; Terran_Comsat_Station 779; Terran_Barracks 92; Terran_Expansion 405; Terran_Refinery 108; Terran_Barracks2 358; Terran_Missile_Turret 586; Terran_Supply_Depot 61; Terran_Engineering_Bay 521; Terran_Science_Facility 861; Terran_Machine_Shop 249; Terran_Armory 221; Terran_Starport 230; Terran_Opening rax_fe; Terran_Academy 682; Terran_Bunker -1; Terran_Factory 162; 
Terran_Control_Tower 343; Terran_Comsat_Station 670; Terran_Barracks 91; Terran_Expansion 261; Terran_Refinery 106; Terran_Barracks2 146; Terran_Missile_Turret 422; Terran_Supply_Depot 57; Terran_Engineering_Bay 370; Terran_Science_Facility 0; Terran_Machine_Shop 237; Terran_Armory 241; Terran_Starport 295; Terran_Opening rax_fe; Terran_Academy 616; Terran_Bunker -1; Terran_Factory 162; 
Terran_Control_Tower 390; Terran_Comsat_Station 365; Terran_Barracks 90; Terran_Expansion 242; Terran_Refinery 103; Terran_Barracks2 213; Terran_Missile_Turret -1; Terran_Supply_Depot 59; Terran_Engineering_Bay -1; Terran_Science_Facility 703; Terran_Machine_Shop 224; Terran_Armory 285; Terran_Starport 344; Terran_Opening rax_fe; Terran_Academy 312; Terran_Bunker -1; Terran_Factory 152; 
Terran_Control_Tower 636; Terran_Comsat_Station 619; Terran_Barracks 89; Terran_Expansion 216; Terran_Refinery 103; Terran_Barracks2 970; Terran_Missile_Turret 809; Terran_Supply_Depot 57; Terran_Engineering_Bay 766; Terran_Science_Facility 808; Terran_Machine_Shop 211; Terran_Armory 311; Terran_Starport 559; Terran_Opening rax_fe; Terran_Academy 558; Terran_Bunker -1; Terran_Factory 157; 
Terran_Control_Tower 282; Terran_Comsat_Station 779; Terran_Barracks 92; Terran_Expansion 405; Terran_Refinery 108; Terran_Barracks2 358; Terran_Missile_Turret 586; Terran_Supply_Depot 61; Terran_Engineering_Bay 521; Terran_Science_Facility 861; Terran_Machine_Shop 249; Terran_Armory 221; Terran_Starport 230; Terran_Opening rax_fe; Terran_Academy 682; Terran_Bunker -1; Terran_Factory 162; 
Terran_Control_Tower 611; Terran_Comsat_Station 512; Terran_Barracks 97; Terran_Expansion 216; Terran_Refinery 104; Terran_Barracks2 -1; Terran_Missile_Turret 993; Terran_Supply_Depot 56; Terran_Engineering_Bay 953; Terran_Science_Facility 905; Terran_Machine_Shop 242; Terran_Armory 622; Terran_Starport 560; Terran_Opening rax_fe; Terran_Academy 458; Terran_Bunker 435; Terran_Factory 167; 
Terran_Control_Tower 375; Terran_Comsat_Station 608; Terran_Barracks 100; Terran_Expansion 368; Terran_Refinery 99; Terran_Barracks2 481; Terran_Missile_Turret 726; Terran_Supply_Depot 57; Terran_Engineering_Bay 641; Terran_Science_Facility 0; Terran_Machine_Shop 211; Terran_Armory 593; Terran_Starport 308; Terran_Opening two_facto; Terran_Academy 546; Terran_Bunker -1; Terran_Factory 153; 
Terran_Control_Tower 338; Terran_Comsat_Station 387; Terran_Barracks 97; Terran_Expansion 343; Terran_Refinery 103; Terran_Barracks2 -1; Terran_Missile_Turret 440; Terran_Supply_Depot 56; Terran_Engineering_Bay 393; Terran_Science_Facility -1; Terran_Machine_Shop 207; Terran_Armory 378; Terran_Starport 212; Terran_Opening rax_fe; Terran_Academy 311; Terran_Bunker -1; Terran_Factory 154; 
Terran_Control_Tower -1; Terran_Comsat_Station 418; Terran_Barracks 88; Terran_Expansion 313; Terran_Refinery 105; Terran_Barracks2 348; Terran_Missile_Turret -1; Terran_Supply_Depot 55; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop 256; Terran_Armory -1; Terran_Starport 207; Terran_Opening rax_fe; Terran_Academy 339; Terran_Bunker -1; Terran_Factory 154; 
Terran_Control_Tower 484; Terran_Comsat_Station 460; Terran_Barracks 92; Terran_Expansion 237; Terran_Refinery 95; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 58; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop 216; Terran_Armory 305; Terran_Starport 430; Terran_Opening rax_fe; Terran_Academy 405; Terran_Bunker -1; Terran_Factory 163; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks -1; Terran_Expansion -1; Terran_Refinery -1; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 0; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop -1; Terran_Armory -1; Terran_Starport -1; Terran_Opening ; Terran_Academy -1; Terran_Bunker -1; Terran_Factory -1; 
Terran_Control_Tower 677; Terran_Comsat_Station 654; Terran_Barracks 99; Terran_Expansion 236; Terran_Refinery 106; Terran_Barracks2 534; Terran_Missile_Turret -1; Terran_Supply_Depot 59; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop 274; Terran_Armory 425; Terran_Starport 575; Terran_Opening rax_fe; Terran_Academy 595; Terran_Bunker -1; Terran_Factory 161; 
Terran_Control_Tower 440; Terran_Comsat_Station 498; Terran_Barracks 100; Terran_Expansion 236; Terran_Refinery 102; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 57; Terran_Engineering_Bay 550; Terran_Science_Facility -1; Terran_Machine_Shop 258; Terran_Armory 416; Terran_Starport 387; Terran_Opening rax_fe; Terran_Academy 439; Terran_Bunker -1; Terran_Factory 162; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 68; Terran_Expansion -1; Terran_Refinery -1; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 95; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop -1; Terran_Armory -1; Terran_Starport -1; Terran_Opening ; Terran_Academy -1; Terran_Bunker 149; Terran_Factory -1; 
Terran_Control_Tower 261; Terran_Comsat_Station 346; Terran_Barracks 95; Terran_Expansion 428; Terran_Refinery 102; Terran_Barracks2 247; Terran_Missile_Turret 444; Terran_Supply_Depot 57; Terran_Engineering_Bay 379; Terran_Science_Facility -1; Terran_Machine_Shop 205; Terran_Armory 497; Terran_Starport 211; Terran_Opening rax_fe; Terran_Academy 283; Terran_Bunker -1; Terran_Factory 153; 
Terran_Control_Tower 264; Terran_Comsat_Station 410; Terran_Barracks 98; Terran_Expansion 400; Terran_Refinery 97; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 56; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop 234; Terran_Armory 583; Terran_Starport 214; Terran_Opening rax_fe; Terran_Academy 351; Terran_Bunker 258; Terran_Factory 159; 
Terran_Control_Tower 520; Terran_Comsat_Station 408; Terran_Barracks 84; Terran_Expansion 203; Terran_Refinery 100; Terran_Barracks2 459; Terran_Missile_Turret 644; Terran_Supply_Depot 55; Terran_Engineering_Bay 573; Terran_Science_Facility 617; Terran_Machine_Shop 206; Terran_Armory 264; Terran_Starport 460; Terran_Opening rax_fe; Terran_Academy 350; Terran_Bunker -1; Terran_Factory 154; 
Terran_Control_Tower 268; Terran_Comsat_Station 399; Terran_Barracks 95; Terran_Expansion 466; Terran_Refinery 98; Terran_Barracks2 -1; Terran_Missile_Turret 508; Terran_Supply_Depot 52; Terran_Engineering_Bay 429; Terran_Science_Facility -1; Terran_Machine_Shop 379; Terran_Armory 598; Terran_Starport 215; Terran_Opening rax_fe; Terran_Academy 346; Terran_Bunker -1; Terran_Factory 159; 
Terran_Control_Tower 385; Terran_Comsat_Station 476; Terran_Barracks 85; Terran_Expansion 236; Terran_Refinery 104; Terran_Barracks2 361; Terran_Missile_Turret 714; Terran_Supply_Depot 58; Terran_Engineering_Bay 646; Terran_Science_Facility 0; Terran_Machine_Shop 240; Terran_Armory 269; Terran_Starport 324; Terran_Opening rax_fe; Terran_Academy 286; Terran_Bunker -1; Terran_Factory 164; 
Terran_Control_Tower 545; Terran_Comsat_Station 378; Terran_Barracks 100; Terran_Expansion 267; Terran_Refinery 103; Terran_Barracks2 570; Terran_Missile_Turret 724; Terran_Supply_Depot 58; Terran_Engineering_Bay 579; Terran_Science_Facility 862; Terran_Machine_Shop 228; Terran_Armory 309; Terran_Starport 488; Terran_Opening rax_fe; Terran_Academy 323; Terran_Bunker 288; Terran_Factory 154; 
Terran_Control_Tower 366; Terran_Comsat_Station 491; Terran_Barracks 84; Terran_Expansion 446; Terran_Refinery 110; Terran_Barracks2 525; Terran_Missile_Turret 625; Terran_Supply_Depot 56; Terran_Engineering_Bay 582; Terran_Science_Facility 1000; Terran_Machine_Shop 408; Terran_Armory 260; Terran_Starport 308; Terran_Opening rax_fe; Terran_Academy 402; Terran_Bunker 192; Terran_Factory 168; 
Terran_Control_Tower 437; Terran_Comsat_Station 354; Terran_Barracks 99; Terran_Expansion 232; Terran_Refinery 103; Terran_Barracks2 401; Terran_Missile_Turret 640; Terran_Supply_Depot 57; Terran_Engineering_Bay 491; Terran_Science_Facility -1; Terran_Machine_Shop 231; Terran_Armory 275; Terran_Starport 380; Terran_Opening rax_fe; Terran_Academy 286; Terran_Bunker 344; Terran_Factory 155; 
Terran_Control_Tower -1; Terran_Comsat_Station 557; Terran_Barracks 97; Terran_Expansion 382; Terran_Refinery 104; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 55; Terran_Engineering_Bay 635; Terran_Science_Facility -1; Terran_Machine_Shop 208; Terran_Armory 410; Terran_Starport -1; Terran_Opening rax_fe; Terran_Academy 491; Terran_Bunker -1; Terran_Factory 155; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 99; Terran_Expansion 221; Terran_Refinery 102; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 57; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop 255; Terran_Armory -1; Terran_Starport -1; Terran_Opening rax_fe; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 158; 
Terran_Control_Tower 677; Terran_Comsat_Station 654; Terran_Barracks 99; Terran_Expansion 236; Terran_Refinery 106; Terran_Barracks2 534; Terran_Missile_Turret -1; Terran_Supply_Depot 59; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop 274; Terran_Armory 425; Terran_Starport 575; Terran_Opening rax_fe; Terran_Academy 595; Terran_Bunker -1; Terran_Factory 161; 
Terran_Control_Tower -1; Terran_Comsat_Station 570; Terran_Barracks 97; Terran_Expansion 231; Terran_Refinery 101; Terran_Barracks2 -1; Terran_Missile_Turret 953; Terran_Supply_Depot 58; Terran_Engineering_Bay 850; Terran_Science_Facility -1; Terran_Machine_Shop 264; Terran_Armory 278; Terran_Starport -1; Terran_Opening rax_fe; Terran_Academy 517; Terran_Bunker -1; Terran_Factory 154; 
Terran_Control_Tower 270; Terran_Comsat_Station -1; Terran_Barracks 96; Terran_Expansion 424; Terran_Refinery 103; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 57; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop 244; Terran_Armory -1; Terran_Starport 224; Terran_Opening rax_fe; Terran_Academy 481; Terran_Bunker 249; Terran_Factory 153; 
Terran_Control_Tower 347; Terran_Comsat_Station 595; Terran_Barracks 90; Terran_Expansion 334; Terran_Refinery 109; Terran_Barracks2 256; Terran_Missile_Turret 733; Terran_Supply_Depot 57; Terran_Engineering_Bay 688; Terran_Science_Facility 658; Terran_Machine_Shop 239; Terran_Armory 532; Terran_Starport 223; Terran_Opening unknown; Terran_Academy 535; Terran_Bunker -1; Terran_Factory 167; 
Terran_Control_Tower 584; Terran_Comsat_Station 452; Terran_Barracks 99; Terran_Expansion 223; Terran_Refinery 103; Terran_Barracks2 264; Terran_Missile_Turret 335; Terran_Supply_Depot 58; Terran_Engineering_Bay 294; Terran_Science_Facility -1; Terran_Machine_Shop 218; Terran_Armory 327; Terran_Starport 518; Terran_Opening rax_fe; Terran_Academy 389; Terran_Bunker -1; Terran_Factory 165; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 87; Terran_Expansion 204; Terran_Refinery 101; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 55; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop 232; Terran_Armory 621; Terran_Starport -1; Terran_Opening rax_fe; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 153; 
Terran_Control_Tower 267; Terran_Comsat_Station 453; Terran_Barracks 97; Terran_Expansion 291; Terran_Refinery 101; Terran_Barracks2 -1; Terran_Missile_Turret 419; Terran_Supply_Depot 57; Terran_Engineering_Bay 374; Terran_Science_Facility -1; Terran_Machine_Shop 227; Terran_Armory -1; Terran_Starport 216; Terran_Opening rax_fe; Terran_Academy 376; Terran_Bunker -1; Terran_Factory 153; 
Terran_Control_Tower 256; Terran_Comsat_Station 417; Terran_Barracks 102; Terran_Expansion 377; Terran_Refinery 104; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 60; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop 234; Terran_Armory -1; Terran_Starport 209; Terran_Opening rax_fe; Terran_Academy 362; Terran_Bunker -1; Terran_Factory 156; 
Terran_Control_Tower 489; Terran_Comsat_Station 550; Terran_Barracks 100; Terran_Expansion 365; Terran_Refinery 83; Terran_Barracks2 672; Terran_Missile_Turret 329; Terran_Supply_Depot 58; Terran_Engineering_Bay 286; Terran_Science_Facility 0; Terran_Machine_Shop 214; Terran_Armory 475; Terran_Starport 379; Terran_Opening rax_fe; Terran_Academy 477; Terran_Bunker -1; Terran_Factory 162; 
Terran_Control_Tower 522; Terran_Comsat_Station 626; Terran_Barracks 85; Terran_Expansion 375; Terran_Refinery 102; Terran_Barracks2 -1; Terran_Missile_Turret 331; Terran_Supply_Depot 58; Terran_Engineering_Bay 291; Terran_Science_Facility -1; Terran_Machine_Shop 210; Terran_Armory 263; Terran_Starport 391; Terran_Opening rax_fe; Terran_Academy 562; Terran_Bunker -1; Terran_Factory 153; 
Terran_Control_Tower 808; Terran_Comsat_Station 639; Terran_Barracks 90; Terran_Expansion 495; Terran_Refinery 105; Terran_Barracks2 426; Terran_Missile_Turret 654; Terran_Supply_Depot 53; Terran_Engineering_Bay 568; Terran_Science_Facility -1; Terran_Machine_Shop 340; Terran_Armory 231; Terran_Starport 703; Terran_Opening two_facto; Terran_Academy 491; Terran_Bunker -1; Terran_Factory 165; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 97; Terran_Expansion -1; Terran_Refinery 118; Terran_Barracks2 295; Terran_Missile_Turret 384; Terran_Supply_Depot 59; Terran_Engineering_Bay 325; Terran_Science_Facility -1; Terran_Machine_Shop 307; Terran_Armory 306; Terran_Starport -1; Terran_Opening two_facto; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 189; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 90; Terran_Expansion -1; Terran_Refinery 120; Terran_Barracks2 200; Terran_Missile_Turret -1; Terran_Supply_Depot 61; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop -1; Terran_Armory -1; Terran_Starport -1; Terran_Opening ; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 182; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 91; Terran_Expansion -1; Terran_Refinery 119; Terran_Barracks2 199; Terran_Missile_Turret -1; Terran_Supply_Depot 60; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop -1; Terran_Armory -1; Terran_Starport -1; Terran_Opening bio; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 173; 
Terran_Control_Tower 582; Terran_Comsat_Station -1; Terran_Barracks 91; Terran_Expansion 556; Terran_Refinery 102; Terran_Barracks2 588; Terran_Missile_Turret -1; Terran_Supply_Depot 61; Terran_Engineering_Bay 601; Terran_Science_Facility -1; Terran_Machine_Shop 210; Terran_Armory -1; Terran_Starport 224; Terran_Opening two_facto; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 158; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 89; Terran_Expansion -1; Terran_Refinery 98; Terran_Barracks2 309; Terran_Missile_Turret -1; Terran_Supply_Depot 57; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop 203; Terran_Armory -1; Terran_Starport -1; Terran_Opening two_facto; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 151; 
Terran_Control_Tower 283; Terran_Comsat_Station 330; Terran_Barracks 90; Terran_Expansion 434; Terran_Refinery 107; Terran_Barracks2 169; Terran_Missile_Turret 1018; Terran_Supply_Depot 59; Terran_Engineering_Bay 471; Terran_Science_Facility -1; Terran_Machine_Shop 309; Terran_Armory -1; Terran_Starport 226; Terran_Opening rax_fe; Terran_Academy 274; Terran_Bunker -1; Terran_Factory 171; 
