Zerg_Hive -1; Zerg_Opening lurkers; Zerg_Spawning_Pool 130; Zerg_Extractor 139; Zerg_Creep_Colony -1; Zerg_Evolution_Chamber 792; Zerg_Queens_Nest 0; Zerg_Sunken_Colony -1; Zerg_Spore_Colony -1; Zerg_Expansion 110; Zerg_Hydralisk_Den 331; Zerg_Greater_Spire -1; Zerg_Expansion2 662; Zerg_Lair 191; Zerg_Ultralisk_Cavern -1; Zerg_Spire 521; Zerg_Building_Overlord 59; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening lurkers; Zerg_Spawning_Pool 71; Zerg_Extractor 77; Zerg_Creep_Colony -1; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony -1; Zerg_Spore_Colony -1; Zerg_Expansion 353; Zerg_Hydralisk_Den 195; Zerg_Greater_Spire -1; Zerg_Expansion2 497; Zerg_Lair 153; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 96; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening mutas; Zerg_Spawning_Pool 125; Zerg_Extractor 207; Zerg_Creep_Colony 247; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 269; Zerg_Spore_Colony -1; Zerg_Expansion 107; Zerg_Hydralisk_Den 455; Zerg_Greater_Spire -1; Zerg_Expansion2 177; Zerg_Lair 284; Zerg_Ultralisk_Cavern -1; Zerg_Spire 351; Zerg_Building_Overlord 57; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening ; Zerg_Spawning_Pool 135; Zerg_Extractor 67; Zerg_Creep_Colony 218; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 235; Zerg_Spore_Colony -1; Zerg_Expansion 100; Zerg_Hydralisk_Den -1; Zerg_Greater_Spire -1; Zerg_Expansion2 -1; Zerg_Lair 211; Zerg_Ultralisk_Cavern -1; Zerg_Spire 277; Zerg_Building_Overlord 60; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening lurkers; Zerg_Spawning_Pool 67; Zerg_Extractor 83; Zerg_Creep_Colony 303; Zerg_Evolution_Chamber 631; Zerg_Queens_Nest 754; Zerg_Sunken_Colony 330; Zerg_Spore_Colony -1; Zerg_Expansion 152; Zerg_Hydralisk_Den 511; Zerg_Greater_Spire -1; Zerg_Expansion2 159; Zerg_Lair 342; Zerg_Ultralisk_Cavern -1; Zerg_Spire 465; Zerg_Building_Overlord 93; Zerg_Defiler_Mound -1; 
Zerg_Hive 644; Zerg_Opening mutas; Zerg_Spawning_Pool 67; Zerg_Extractor 84; Zerg_Creep_Colony 247; Zerg_Evolution_Chamber 469; Zerg_Queens_Nest 583; Zerg_Sunken_Colony 262; Zerg_Spore_Colony -1; Zerg_Expansion 149; Zerg_Hydralisk_Den 371; Zerg_Greater_Spire 746; Zerg_Expansion2 210; Zerg_Lair 266; Zerg_Ultralisk_Cavern 0; Zerg_Spire 333; Zerg_Building_Overlord 93; Zerg_Defiler_Mound 901; 
Zerg_Hive -1; Zerg_Opening ; Zerg_Spawning_Pool 116; Zerg_Extractor 66; Zerg_Creep_Colony 346; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 375; Zerg_Spore_Colony -1; Zerg_Expansion 194; Zerg_Hydralisk_Den 825; Zerg_Greater_Spire -1; Zerg_Expansion2 480; Zerg_Lair 169; Zerg_Ultralisk_Cavern -1; Zerg_Spire 233; Zerg_Building_Overlord 59; Zerg_Defiler_Mound -1; 
Zerg_Hive 918; Zerg_Opening hydras; Zerg_Spawning_Pool 130; Zerg_Extractor 190; Zerg_Creep_Colony 233; Zerg_Evolution_Chamber 395; Zerg_Queens_Nest 862; Zerg_Sunken_Colony 302; Zerg_Spore_Colony -1; Zerg_Expansion 108; Zerg_Hydralisk_Den 299; Zerg_Greater_Spire -1; Zerg_Expansion2 191; Zerg_Lair 253; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 49; Zerg_Defiler_Mound 1002; 
Zerg_Hive -1; Zerg_Opening ; Zerg_Spawning_Pool 91; Zerg_Extractor 105; Zerg_Creep_Colony 282; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 348; Zerg_Spore_Colony -1; Zerg_Expansion 184; Zerg_Hydralisk_Den 505; Zerg_Greater_Spire -1; Zerg_Expansion2 -1; Zerg_Lair 165; Zerg_Ultralisk_Cavern -1; Zerg_Spire 290; Zerg_Building_Overlord 58; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening fast_mutas; Zerg_Spawning_Pool 126; Zerg_Extractor 175; Zerg_Creep_Colony 238; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 268; Zerg_Spore_Colony -1; Zerg_Expansion 117; Zerg_Hydralisk_Den -1; Zerg_Greater_Spire -1; Zerg_Expansion2 147; Zerg_Lair 230; Zerg_Ultralisk_Cavern -1; Zerg_Spire 300; Zerg_Building_Overlord 57; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening hydras; Zerg_Spawning_Pool 103; Zerg_Extractor 171; Zerg_Creep_Colony 306; Zerg_Evolution_Chamber 453; Zerg_Queens_Nest 951; Zerg_Sunken_Colony 322; Zerg_Spore_Colony -1; Zerg_Expansion 174; Zerg_Hydralisk_Den 444; Zerg_Greater_Spire -1; Zerg_Expansion2 461; Zerg_Lair 278; Zerg_Ultralisk_Cavern -1; Zerg_Spire 369; Zerg_Building_Overlord 56; Zerg_Defiler_Mound -1; 
Zerg_Hive 728; Zerg_Opening hydras; Zerg_Spawning_Pool 136; Zerg_Extractor 152; Zerg_Creep_Colony 316; Zerg_Evolution_Chamber 491; Zerg_Queens_Nest 681; Zerg_Sunken_Colony 377; Zerg_Spore_Colony 0; Zerg_Expansion 109; Zerg_Hydralisk_Den 320; Zerg_Greater_Spire 0; Zerg_Expansion2 179; Zerg_Lair 284; Zerg_Ultralisk_Cavern 0; Zerg_Spire 0; Zerg_Building_Overlord 58; Zerg_Defiler_Mound 828; 
Zerg_Hive 1015; Zerg_Opening lurkers; Zerg_Spawning_Pool 98; Zerg_Extractor 196; Zerg_Creep_Colony 228; Zerg_Evolution_Chamber 661; Zerg_Queens_Nest 957; Zerg_Sunken_Colony 253; Zerg_Spore_Colony -1; Zerg_Expansion 140; Zerg_Hydralisk_Den 330; Zerg_Greater_Spire -1; Zerg_Expansion2 189; Zerg_Lair 269; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 50; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening lurkers; Zerg_Spawning_Pool 135; Zerg_Extractor 129; Zerg_Creep_Colony 193; Zerg_Evolution_Chamber 630; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 313; Zerg_Spore_Colony -1; Zerg_Expansion 105; Zerg_Hydralisk_Den 242; Zerg_Greater_Spire -1; Zerg_Expansion2 376; Zerg_Lair 199; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 59; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening hydras; Zerg_Spawning_Pool 133; Zerg_Extractor 154; Zerg_Creep_Colony 238; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 280; Zerg_Spore_Colony -1; Zerg_Expansion 110; Zerg_Hydralisk_Den 248; Zerg_Greater_Spire -1; Zerg_Expansion2 319; Zerg_Lair 211; Zerg_Ultralisk_Cavern -1; Zerg_Spire 277; Zerg_Building_Overlord 58; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening ; Zerg_Spawning_Pool 63; Zerg_Extractor 188; Zerg_Creep_Colony -1; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony -1; Zerg_Spore_Colony -1; Zerg_Expansion 154; Zerg_Hydralisk_Den -1; Zerg_Greater_Spire -1; Zerg_Expansion2 226; Zerg_Lair -1; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 88; Zerg_Defiler_Mound -1; 
Zerg_Hive 681; Zerg_Opening lurkers; Zerg_Spawning_Pool 133; Zerg_Extractor 166; Zerg_Creep_Colony 217; Zerg_Evolution_Chamber 1054; Zerg_Queens_Nest 618; Zerg_Sunken_Colony 235; Zerg_Spore_Colony -1; Zerg_Expansion 104; Zerg_Hydralisk_Den 295; Zerg_Greater_Spire 982; Zerg_Expansion2 183; Zerg_Lair 255; Zerg_Ultralisk_Cavern 794; Zerg_Spire 832; Zerg_Building_Overlord 60; Zerg_Defiler_Mound -1; 
Zerg_Hive 1025; Zerg_Opening lurkers; Zerg_Spawning_Pool 136; Zerg_Extractor 163; Zerg_Creep_Colony 208; Zerg_Evolution_Chamber 680; Zerg_Queens_Nest 970; Zerg_Sunken_Colony 228; Zerg_Spore_Colony 0; Zerg_Expansion 113; Zerg_Hydralisk_Den 276; Zerg_Greater_Spire 0; Zerg_Expansion2 405; Zerg_Lair 235; Zerg_Ultralisk_Cavern 0; Zerg_Spire 625; Zerg_Building_Overlord 58; Zerg_Defiler_Mound 0; 
Zerg_Hive 890; Zerg_Opening lurkers; Zerg_Spawning_Pool 68; Zerg_Extractor 96; Zerg_Creep_Colony 231; Zerg_Evolution_Chamber 820; Zerg_Queens_Nest 819; Zerg_Sunken_Colony 259; Zerg_Spore_Colony -1; Zerg_Expansion 141; Zerg_Hydralisk_Den 242; Zerg_Greater_Spire -1; Zerg_Expansion2 418; Zerg_Lair 210; Zerg_Ultralisk_Cavern -1; Zerg_Spire 566; Zerg_Building_Overlord 86; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening hydras; Zerg_Spawning_Pool 132; Zerg_Extractor 150; Zerg_Creep_Colony 532; Zerg_Evolution_Chamber 742; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 558; Zerg_Spore_Colony -1; Zerg_Expansion 112; Zerg_Hydralisk_Den 429; Zerg_Greater_Spire -1; Zerg_Expansion2 118; Zerg_Lair 384; Zerg_Ultralisk_Cavern -1; Zerg_Spire 1018; Zerg_Building_Overlord 57; Zerg_Defiler_Mound -1; 
Zerg_Hive 652; Zerg_Opening lurkers; Zerg_Spawning_Pool 128; Zerg_Extractor 138; Zerg_Creep_Colony 292; Zerg_Evolution_Chamber 558; Zerg_Queens_Nest 599; Zerg_Sunken_Colony 316; Zerg_Spore_Colony -1; Zerg_Expansion 110; Zerg_Hydralisk_Den 232; Zerg_Greater_Spire 731; Zerg_Expansion2 341; Zerg_Lair 200; Zerg_Ultralisk_Cavern 861; Zerg_Spire 414; Zerg_Building_Overlord 57; Zerg_Defiler_Mound -1; 
Zerg_Hive 885; Zerg_Opening fast_mutas; Zerg_Spawning_Pool 126; Zerg_Extractor 146; Zerg_Creep_Colony 203; Zerg_Evolution_Chamber 739; Zerg_Queens_Nest 834; Zerg_Sunken_Colony 221; Zerg_Spore_Colony -1; Zerg_Expansion 108; Zerg_Hydralisk_Den 595; Zerg_Greater_Spire -1; Zerg_Expansion2 344; Zerg_Lair 213; Zerg_Ultralisk_Cavern -1; Zerg_Spire 282; Zerg_Building_Overlord 58; Zerg_Defiler_Mound 968; 
Zerg_Hive -1; Zerg_Opening ; Zerg_Spawning_Pool 70; Zerg_Extractor 83; Zerg_Creep_Colony -1; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony -1; Zerg_Spore_Colony -1; Zerg_Expansion -1; Zerg_Hydralisk_Den 181; Zerg_Greater_Spire -1; Zerg_Expansion2 -1; Zerg_Lair 147; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 96; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening lurkers; Zerg_Spawning_Pool 126; Zerg_Extractor 147; Zerg_Creep_Colony 622; Zerg_Evolution_Chamber 561; Zerg_Queens_Nest 759; Zerg_Sunken_Colony 639; Zerg_Spore_Colony -1; Zerg_Expansion 107; Zerg_Hydralisk_Den 233; Zerg_Greater_Spire -1; Zerg_Expansion2 464; Zerg_Lair 198; Zerg_Ultralisk_Cavern -1; Zerg_Spire 333; Zerg_Building_Overlord 59; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening ; Zerg_Spawning_Pool 70; Zerg_Extractor 83; Zerg_Creep_Colony -1; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony -1; Zerg_Spore_Colony -1; Zerg_Expansion -1; Zerg_Hydralisk_Den 181; Zerg_Greater_Spire -1; Zerg_Expansion2 -1; Zerg_Lair 147; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 96; Zerg_Defiler_Mound -1; 
Zerg_Hive 726; Zerg_Opening lurkers; Zerg_Spawning_Pool 123; Zerg_Extractor 133; Zerg_Creep_Colony 450; Zerg_Evolution_Chamber 456; Zerg_Queens_Nest 652; Zerg_Sunken_Colony 489; Zerg_Spore_Colony -1; Zerg_Expansion 106; Zerg_Hydralisk_Den 229; Zerg_Greater_Spire -1; Zerg_Expansion2 331; Zerg_Lair 194; Zerg_Ultralisk_Cavern 963; Zerg_Spire 304; Zerg_Building_Overlord 56; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening lurkers; Zerg_Spawning_Pool 123; Zerg_Extractor 164; Zerg_Creep_Colony 203; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 221; Zerg_Spore_Colony -1; Zerg_Expansion 103; Zerg_Hydralisk_Den 265; Zerg_Greater_Spire -1; Zerg_Expansion2 -1; Zerg_Lair 235; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 57; Zerg_Defiler_Mound -1; 
Zerg_Hive 0; Zerg_Opening hydras; Zerg_Spawning_Pool 130; Zerg_Extractor 187; Zerg_Creep_Colony 192; Zerg_Evolution_Chamber 492; Zerg_Queens_Nest 1074; Zerg_Sunken_Colony 219; Zerg_Spore_Colony -1; Zerg_Expansion 110; Zerg_Hydralisk_Den 312; Zerg_Greater_Spire 0; Zerg_Expansion2 512; Zerg_Lair 279; Zerg_Ultralisk_Cavern -1; Zerg_Spire 641; Zerg_Building_Overlord 50; Zerg_Defiler_Mound 0; 
Zerg_Hive -1; Zerg_Opening lurkers; Zerg_Spawning_Pool 105; Zerg_Extractor 101; Zerg_Creep_Colony 336; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony -1; Zerg_Spore_Colony -1; Zerg_Expansion -1; Zerg_Hydralisk_Den 208; Zerg_Greater_Spire -1; Zerg_Expansion2 -1; Zerg_Lair 158; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 59; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening ; Zerg_Spawning_Pool 129; Zerg_Extractor 314; Zerg_Creep_Colony 195; Zerg_Evolution_Chamber 298; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 211; Zerg_Spore_Colony -1; Zerg_Expansion 114; Zerg_Hydralisk_Den 561; Zerg_Greater_Spire -1; Zerg_Expansion2 224; Zerg_Lair 556; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 58; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening fast_mutas; Zerg_Spawning_Pool 131; Zerg_Extractor 137; Zerg_Creep_Colony 224; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony -1; Zerg_Spore_Colony -1; Zerg_Expansion 93; Zerg_Hydralisk_Den 356; Zerg_Greater_Spire -1; Zerg_Expansion2 410; Zerg_Lair 192; Zerg_Ultralisk_Cavern -1; Zerg_Spire 265; Zerg_Building_Overlord 59; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening lurkers; Zerg_Spawning_Pool 127; Zerg_Extractor 61; Zerg_Creep_Colony 303; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 324; Zerg_Spore_Colony -1; Zerg_Expansion 107; Zerg_Hydralisk_Den 260; Zerg_Greater_Spire -1; Zerg_Expansion2 192; Zerg_Lair 369; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 55; Zerg_Defiler_Mound -1; 
Zerg_Hive 723; Zerg_Opening lurkers; Zerg_Spawning_Pool 133; Zerg_Extractor 159; Zerg_Creep_Colony 247; Zerg_Evolution_Chamber 875; Zerg_Queens_Nest 653; Zerg_Sunken_Colony 279; Zerg_Spore_Colony -1; Zerg_Expansion 114; Zerg_Hydralisk_Den 363; Zerg_Greater_Spire 800; Zerg_Expansion2 445; Zerg_Lair 215; Zerg_Ultralisk_Cavern 935; Zerg_Spire 278; Zerg_Building_Overlord 59; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening lurkers; Zerg_Spawning_Pool 125; Zerg_Extractor 152; Zerg_Creep_Colony 283; Zerg_Evolution_Chamber 708; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 305; Zerg_Spore_Colony -1; Zerg_Expansion 106; Zerg_Hydralisk_Den 241; Zerg_Greater_Spire -1; Zerg_Expansion2 278; Zerg_Lair 211; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 57; Zerg_Defiler_Mound -1; 
Zerg_Hive 956; Zerg_Opening hydras; Zerg_Spawning_Pool 71; Zerg_Extractor 102; Zerg_Creep_Colony 392; Zerg_Evolution_Chamber 713; Zerg_Queens_Nest 901; Zerg_Sunken_Colony 414; Zerg_Spore_Colony -1; Zerg_Expansion 172; Zerg_Hydralisk_Den 469; Zerg_Greater_Spire -1; Zerg_Expansion2 209; Zerg_Lair 433; Zerg_Ultralisk_Cavern -1; Zerg_Spire 587; Zerg_Building_Overlord 90; Zerg_Defiler_Mound -1; 
Zerg_Hive 676; Zerg_Opening lurkers; Zerg_Spawning_Pool 136; Zerg_Extractor 241; Zerg_Creep_Colony 198; Zerg_Evolution_Chamber 460; Zerg_Queens_Nest 628; Zerg_Sunken_Colony 217; Zerg_Spore_Colony -1; Zerg_Expansion 118; Zerg_Hydralisk_Den 346; Zerg_Greater_Spire 757; Zerg_Expansion2 410; Zerg_Lair 297; Zerg_Ultralisk_Cavern -1; Zerg_Spire 577; Zerg_Building_Overlord 60; Zerg_Defiler_Mound 775; 
Zerg_Hive -1; Zerg_Opening lurkers; Zerg_Spawning_Pool 45; Zerg_Extractor 138; Zerg_Creep_Colony -1; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony -1; Zerg_Spore_Colony -1; Zerg_Expansion 285; Zerg_Hydralisk_Den 475; Zerg_Greater_Spire -1; Zerg_Expansion2 696; Zerg_Lair 416; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 143; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening ; Zerg_Spawning_Pool 106; Zerg_Extractor 59; Zerg_Creep_Colony -1; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony -1; Zerg_Spore_Colony -1; Zerg_Expansion 86; Zerg_Hydralisk_Den -1; Zerg_Greater_Spire -1; Zerg_Expansion2 -1; Zerg_Lair -1; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 133; Zerg_Defiler_Mound -1; 
Zerg_Hive 0; Zerg_Opening mutas; Zerg_Spawning_Pool 129; Zerg_Extractor 185; Zerg_Creep_Colony 206; Zerg_Evolution_Chamber 611; Zerg_Queens_Nest 1076; Zerg_Sunken_Colony 236; Zerg_Spore_Colony -1; Zerg_Expansion 109; Zerg_Hydralisk_Den 485; Zerg_Greater_Spire 0; Zerg_Expansion2 179; Zerg_Lair 254; Zerg_Ultralisk_Cavern 0; Zerg_Spire 319; Zerg_Building_Overlord 59; Zerg_Defiler_Mound 0; 
Zerg_Hive 470; Zerg_Opening mutas; Zerg_Spawning_Pool 92; Zerg_Extractor 99; Zerg_Creep_Colony 304; Zerg_Evolution_Chamber 495; Zerg_Queens_Nest 425; Zerg_Sunken_Colony 325; Zerg_Spore_Colony -1; Zerg_Expansion 133; Zerg_Hydralisk_Den 424; Zerg_Greater_Spire -1; Zerg_Expansion2 205; Zerg_Lair 253; Zerg_Ultralisk_Cavern -1; Zerg_Spire 324; Zerg_Building_Overlord 57; Zerg_Defiler_Mound 565; 
Zerg_Hive 705; Zerg_Opening mutas; Zerg_Spawning_Pool 66; Zerg_Extractor 80; Zerg_Creep_Colony 349; Zerg_Evolution_Chamber 515; Zerg_Queens_Nest 661; Zerg_Sunken_Colony 371; Zerg_Spore_Colony -1; Zerg_Expansion 176; Zerg_Hydralisk_Den 459; Zerg_Greater_Spire -1; Zerg_Expansion2 223; Zerg_Lair 302; Zerg_Ultralisk_Cavern 0; Zerg_Spire 366; Zerg_Building_Overlord 90; Zerg_Defiler_Mound 783; 
Zerg_Hive 599; Zerg_Opening fast_mutas; Zerg_Spawning_Pool 135; Zerg_Extractor 113; Zerg_Creep_Colony 260; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest 558; Zerg_Sunken_Colony 278; Zerg_Spore_Colony -1; Zerg_Expansion 103; Zerg_Hydralisk_Den -1; Zerg_Greater_Spire 676; Zerg_Expansion2 719; Zerg_Lair 189; Zerg_Ultralisk_Cavern -1; Zerg_Spire 262; Zerg_Building_Overlord 56; Zerg_Defiler_Mound -1; 
