Terran_Control_Tower 296; Terran_Comsat_Station 596; Terran_Barracks 89; Terran_Expansion 347; Terran_Refinery 107; Terran_Barracks2 459; Terran_Missile_Turret 446; Terran_Supply_Depot 58; Terran_Engineering_Bay 396; Terran_Science_Facility 0; Terran_Machine_Shop 339; Terran_Armory 223; Terran_Starport 242; Terran_Opening TwoFactory; Terran_Academy 531; Terran_Bunker 0; Terran_Factory 166; 
Terran_Control_Tower 0; Terran_Comsat_Station 352; Terran_Barracks 93; Terran_Expansion 336; Terran_Refinery 126; Terran_Barracks2 248; Terran_Missile_Turret 419; Terran_Supply_Depot 60; Terran_Engineering_Bay 371; Terran_Science_Facility 0; Terran_Machine_Shop 333; Terran_Armory 231; Terran_Starport 0; Terran_Opening TwoFactory; Terran_Academy 274; Terran_Bunker 0; Terran_Factory 178; 
Terran_Control_Tower 0; Terran_Comsat_Station 0; Terran_Barracks 93; Terran_Expansion 245; Terran_Refinery 98; Terran_Barracks2 0; Terran_Missile_Turret 0; Terran_Supply_Depot 57; Terran_Engineering_Bay 0; Terran_Science_Facility 0; Terran_Machine_Shop 218; Terran_Armory 0; Terran_Starport 0; Terran_Opening VultureHarass; Terran_Academy 0; Terran_Bunker 257; Terran_Factory 147; 
Terran_Control_Tower 0; Terran_Comsat_Station 0; Terran_Barracks 89; Terran_Expansion 0; Terran_Refinery 167; Terran_Barracks2 116; Terran_Missile_Turret 0; Terran_Supply_Depot 58; Terran_Engineering_Bay 0; Terran_Science_Facility 0; Terran_Machine_Shop 0; Terran_Armory 0; Terran_Starport 0; Terran_Opening Bio; Terran_Academy 189; Terran_Bunker 0; Terran_Factory 0; 
Terran_Control_Tower 751; Terran_Comsat_Station 519; Terran_Barracks 81; Terran_Expansion 214; Terran_Refinery 103; Terran_Barracks2 0; Terran_Missile_Turret 823; Terran_Supply_Depot 56; Terran_Engineering_Bay 769; Terran_Science_Facility 739; Terran_Machine_Shop 250; Terran_Armory 333; Terran_Starport 601; Terran_Opening VultureHarass; Terran_Academy 452; Terran_Bunker 0; Terran_Factory 157; 
Terran_Control_Tower 564; Terran_Comsat_Station 614; Terran_Barracks 106; Terran_Expansion 289; Terran_Refinery 104; Terran_Barracks2 164; Terran_Missile_Turret 402; Terran_Supply_Depot 72; Terran_Engineering_Bay 320; Terran_Science_Facility 567; Terran_Machine_Shop 235; Terran_Armory 215; Terran_Starport 516; Terran_Opening VultureHarass; Terran_Academy 522; Terran_Bunker 0; Terran_Factory 163; 
Terran_Control_Tower 374; Terran_Comsat_Station 898; Terran_Barracks 86; Terran_Expansion 363; Terran_Refinery 99; Terran_Barracks2 331; Terran_Missile_Turret 561; Terran_Supply_Depot 58; Terran_Engineering_Bay 483; Terran_Science_Facility 0; Terran_Machine_Shop 206; Terran_Armory 933; Terran_Starport 213; Terran_Opening VultureHarass; Terran_Academy 831; Terran_Bunker 713; Terran_Factory 153; 
Terran_Control_Tower 553; Terran_Comsat_Station 435; Terran_Barracks 85; Terran_Expansion 412; Terran_Refinery 98; Terran_Barracks2 297; Terran_Missile_Turret 488; Terran_Supply_Depot 56; Terran_Engineering_Bay 445; Terran_Science_Facility 0; Terran_Machine_Shop 210; Terran_Armory 206; Terran_Starport 492; Terran_Opening TwoFactory; Terran_Academy 359; Terran_Bunker 0; Terran_Factory 154; 
Terran_Control_Tower 490; Terran_Comsat_Station 533; Terran_Barracks 90; Terran_Expansion 246; Terran_Refinery 115; Terran_Barracks2 150; Terran_Missile_Turret 391; Terran_Supply_Depot 61; Terran_Engineering_Bay 329; Terran_Science_Facility 666; Terran_Machine_Shop 250; Terran_Armory 289; Terran_Starport 434; Terran_Opening Bio; Terran_Academy 445; Terran_Bunker 0; Terran_Factory 176; 
Terran_Control_Tower 0; Terran_Comsat_Station 396; Terran_Barracks 101; Terran_Expansion 239; Terran_Refinery 105; Terran_Barracks2 161; Terran_Missile_Turret 0; Terran_Supply_Depot 60; Terran_Engineering_Bay 386; Terran_Science_Facility 0; Terran_Machine_Shop 269; Terran_Armory 291; Terran_Starport 0; Terran_Opening VultureHarass; Terran_Academy 325; Terran_Bunker 0; Terran_Factory 157; 
Terran_Control_Tower 261; Terran_Comsat_Station 0; Terran_Barracks 90; Terran_Expansion 325; Terran_Refinery 103; Terran_Barracks2 0; Terran_Missile_Turret 0; Terran_Supply_Depot 55; Terran_Engineering_Bay 0; Terran_Science_Facility 0; Terran_Machine_Shop 266; Terran_Armory 0; Terran_Starport 214; Terran_Opening FastDropship; Terran_Academy 420; Terran_Bunker 0; Terran_Factory 159; 
Terran_Control_Tower 523; Terran_Comsat_Station 410; Terran_Barracks 100; Terran_Expansion 325; Terran_Refinery 106; Terran_Barracks2 581; Terran_Missile_Turret 768; Terran_Supply_Depot 57; Terran_Engineering_Bay 672; Terran_Science_Facility 946; Terran_Machine_Shop 214; Terran_Armory 369; Terran_Starport 473; Terran_Opening SiegeExpand; Terran_Academy 352; Terran_Bunker 277; Terran_Factory 160; 
Terran_Control_Tower 428; Terran_Comsat_Station 872; Terran_Barracks 66; Terran_Expansion 251; Terran_Refinery 196; Terran_Barracks2 353; Terran_Missile_Turret 945; Terran_Supply_Depot 85; Terran_Engineering_Bay 875; Terran_Science_Facility 0; Terran_Machine_Shop 545; Terran_Armory 426; Terran_Starport 338; Terran_Opening FastDropship; Terran_Academy 788; Terran_Bunker 161; Terran_Factory 282; 
Terran_Control_Tower 319; Terran_Comsat_Station 628; Terran_Barracks 97; Terran_Expansion 217; Terran_Refinery 101; Terran_Barracks2 724; Terran_Missile_Turret 0; Terran_Supply_Depot 55; Terran_Engineering_Bay 0; Terran_Science_Facility 0; Terran_Machine_Shop 227; Terran_Armory 262; Terran_Starport 269; Terran_Opening VultureHarass; Terran_Academy 558; Terran_Bunker 0; Terran_Factory 153; 
Terran_Control_Tower 677; Terran_Comsat_Station 654; Terran_Barracks 99; Terran_Expansion 236; Terran_Refinery 106; Terran_Barracks2 534; Terran_Missile_Turret 0; Terran_Supply_Depot 59; Terran_Engineering_Bay 0; Terran_Science_Facility 0; Terran_Machine_Shop 274; Terran_Armory 425; Terran_Starport 575; Terran_Opening VultureHarass; Terran_Academy 595; Terran_Bunker 0; Terran_Factory 161; 
Terran_Control_Tower 684; Terran_Comsat_Station 766; Terran_Barracks 99; Terran_Expansion 280; Terran_Refinery 100; Terran_Barracks2 0; Terran_Missile_Turret 770; Terran_Supply_Depot 57; Terran_Engineering_Bay 607; Terran_Science_Facility 837; Terran_Machine_Shop 256; Terran_Armory 558; Terran_Starport 628; Terran_Opening VultureHarass; Terran_Academy 664; Terran_Bunker 0; Terran_Factory 162; 
Terran_Control_Tower 584; Terran_Comsat_Station 452; Terran_Barracks 99; Terran_Expansion 223; Terran_Refinery 103; Terran_Barracks2 264; Terran_Missile_Turret 335; Terran_Supply_Depot 58; Terran_Engineering_Bay 294; Terran_Science_Facility 0; Terran_Machine_Shop 218; Terran_Armory 327; Terran_Starport 518; Terran_Opening SiegeExpand; Terran_Academy 389; Terran_Bunker 0; Terran_Factory 165; 
Terran_Control_Tower 520; Terran_Comsat_Station 408; Terran_Barracks 84; Terran_Expansion 203; Terran_Refinery 100; Terran_Barracks2 459; Terran_Missile_Turret 644; Terran_Supply_Depot 55; Terran_Engineering_Bay 573; Terran_Science_Facility 617; Terran_Machine_Shop 206; Terran_Armory 264; Terran_Starport 460; Terran_Opening VultureHarass; Terran_Academy 350; Terran_Bunker 0; Terran_Factory 154; 
Terran_Control_Tower 734; Terran_Comsat_Station 553; Terran_Barracks 87; Terran_Expansion 329; Terran_Refinery 102; Terran_Barracks2 559; Terran_Missile_Turret 518; Terran_Supply_Depot 55; Terran_Engineering_Bay 475; Terran_Science_Facility 1042; Terran_Machine_Shop 354; Terran_Armory 384; Terran_Starport 675; Terran_Opening VultureHarass; Terran_Academy 489; Terran_Bunker 0; Terran_Factory 252; 
Terran_Control_Tower 0; Terran_Comsat_Station 0; Terran_Barracks 96; Terran_Expansion 342; Terran_Refinery 99; Terran_Barracks2 674; Terran_Missile_Turret 0; Terran_Supply_Depot 56; Terran_Engineering_Bay 0; Terran_Science_Facility 0; Terran_Machine_Shop 752; Terran_Armory 486; Terran_Starport 673; Terran_Opening VultureHarass; Terran_Academy 0; Terran_Bunker 158; Terran_Factory 175; 
Terran_Control_Tower 0; Terran_Comsat_Station 0; Terran_Barracks 0; Terran_Expansion 0; Terran_Refinery 0; Terran_Barracks2 0; Terran_Missile_Turret 0; Terran_Supply_Depot 0; Terran_Engineering_Bay 0; Terran_Science_Facility 0; Terran_Machine_Shop 0; Terran_Armory 0; Terran_Starport 0; Terran_Opening Unknown; Terran_Academy 0; Terran_Bunker 0; Terran_Factory 0; 
Terran_Control_Tower 482; Terran_Comsat_Station 390; Terran_Barracks 98; Terran_Expansion 197; Terran_Refinery 100; Terran_Barracks2 163; Terran_Missile_Turret 672; Terran_Supply_Depot 56; Terran_Engineering_Bay 627; Terran_Science_Facility 753; Terran_Machine_Shop 264; Terran_Armory 256; Terran_Starport 404; Terran_Opening VultureHarass; Terran_Academy 316; Terran_Bunker 0; Terran_Factory 152; 
Terran_Control_Tower 0; Terran_Comsat_Station 418; Terran_Barracks 88; Terran_Expansion 313; Terran_Refinery 105; Terran_Barracks2 348; Terran_Missile_Turret 0; Terran_Supply_Depot 55; Terran_Engineering_Bay 0; Terran_Science_Facility 0; Terran_Machine_Shop 256; Terran_Armory 0; Terran_Starport 207; Terran_Opening FastDropship; Terran_Academy 339; Terran_Bunker 0; Terran_Factory 154; 
Terran_Control_Tower 428; Terran_Comsat_Station 872; Terran_Barracks 66; Terran_Expansion 251; Terran_Refinery 196; Terran_Barracks2 353; Terran_Missile_Turret 945; Terran_Supply_Depot 85; Terran_Engineering_Bay 875; Terran_Science_Facility 0; Terran_Machine_Shop 545; Terran_Armory 426; Terran_Starport 338; Terran_Opening FastDropship; Terran_Academy 788; Terran_Bunker 161; Terran_Factory 282; 
Terran_Control_Tower 677; Terran_Comsat_Station 654; Terran_Barracks 99; Terran_Expansion 236; Terran_Refinery 106; Terran_Barracks2 534; Terran_Missile_Turret 0; Terran_Supply_Depot 59; Terran_Engineering_Bay 0; Terran_Science_Facility 0; Terran_Machine_Shop 274; Terran_Armory 425; Terran_Starport 575; Terran_Opening VultureHarass; Terran_Academy 595; Terran_Bunker 0; Terran_Factory 161; 
Terran_Control_Tower 0; Terran_Comsat_Station 479; Terran_Barracks 85; Terran_Expansion 216; Terran_Refinery 111; Terran_Barracks2 327; Terran_Missile_Turret 641; Terran_Supply_Depot 58; Terran_Engineering_Bay 578; Terran_Science_Facility 0; Terran_Machine_Shop 241; Terran_Armory 446; Terran_Starport 497; Terran_Opening VultureHarass; Terran_Academy 396; Terran_Bunker 0; Terran_Factory 167; 
Terran_Control_Tower 270; Terran_Comsat_Station 0; Terran_Barracks 101; Terran_Expansion 0; Terran_Refinery 100; Terran_Barracks2 0; Terran_Missile_Turret 0; Terran_Supply_Depot 57; Terran_Engineering_Bay 0; Terran_Science_Facility 0; Terran_Machine_Shop 243; Terran_Armory 0; Terran_Starport 214; Terran_Opening FastDropship; Terran_Academy 0; Terran_Bunker 0; Terran_Factory 158; 
Terran_Control_Tower 403; Terran_Comsat_Station 505; Terran_Barracks 99; Terran_Expansion 242; Terran_Refinery 98; Terran_Barracks2 601; Terran_Missile_Turret 624; Terran_Supply_Depot 55; Terran_Engineering_Bay 579; Terran_Science_Facility 697; Terran_Machine_Shop 247; Terran_Armory 301; Terran_Starport 332; Terran_Opening VultureHarass; Terran_Academy 370; Terran_Bunker 0; Terran_Factory 151; 
Terran_Control_Tower 0; Terran_Comsat_Station 0; Terran_Barracks 83; Terran_Expansion 0; Terran_Refinery 101; Terran_Barracks2 0; Terran_Missile_Turret 0; Terran_Supply_Depot 58; Terran_Engineering_Bay 0; Terran_Science_Facility 0; Terran_Machine_Shop 0; Terran_Armory 285; Terran_Starport 0; Terran_Opening TwoFactory; Terran_Academy 0; Terran_Bunker 0; Terran_Factory 186; 
Terran_Control_Tower 0; Terran_Comsat_Station 621; Terran_Barracks 91; Terran_Expansion 355; Terran_Refinery 102; Terran_Barracks2 0; Terran_Missile_Turret 443; Terran_Supply_Depot 58; Terran_Engineering_Bay 373; Terran_Science_Facility 0; Terran_Machine_Shop 230; Terran_Armory 946; Terran_Starport 0; Terran_Opening TwoFactory; Terran_Academy 532; Terran_Bunker 0; Terran_Factory 156; 
Terran_Control_Tower 994; Terran_Comsat_Station 777; Terran_Barracks 84; Terran_Expansion 369; Terran_Refinery 107; Terran_Barracks2 0; Terran_Missile_Turret 607; Terran_Supply_Depot 60; Terran_Engineering_Bay 542; Terran_Science_Facility 0; Terran_Machine_Shop 214; Terran_Armory 247; Terran_Starport 748; Terran_Opening TwoFactory; Terran_Academy 714; Terran_Bunker 0; Terran_Factory 162; 
Terran_Control_Tower 681; Terran_Comsat_Station 944; Terran_Barracks 88; Terran_Expansion 391; Terran_Refinery 105; Terran_Barracks2 461; Terran_Missile_Turret 836; Terran_Supply_Depot 58; Terran_Engineering_Bay 637; Terran_Science_Facility 0; Terran_Machine_Shop 255; Terran_Armory 217; Terran_Starport 531; Terran_Opening TwoFactory; Terran_Academy 856; Terran_Bunker 0; Terran_Factory 163; 
Terran_Control_Tower 417; Terran_Comsat_Station 581; Terran_Barracks 91; Terran_Expansion 580; Terran_Refinery 100; Terran_Barracks2 391; Terran_Missile_Turret 0; Terran_Supply_Depot 60; Terran_Engineering_Bay 0; Terran_Science_Facility 0; Terran_Machine_Shop 203; Terran_Armory 258; Terran_Starport 359; Terran_Opening TwoFactory; Terran_Academy 445; Terran_Bunker 0; Terran_Factory 150; 
Terran_Control_Tower 257; Terran_Comsat_Station 0; Terran_Barracks 102; Terran_Expansion 0; Terran_Refinery 77; Terran_Barracks2 0; Terran_Missile_Turret 0; Terran_Supply_Depot 58; Terran_Engineering_Bay 0; Terran_Science_Facility 0; Terran_Machine_Shop 229; Terran_Armory 0; Terran_Starport 208; Terran_Opening VultureHarass; Terran_Academy 0; Terran_Bunker 0; Terran_Factory 153; 
Terran_Control_Tower 313; Terran_Comsat_Station 527; Terran_Barracks 82; Terran_Expansion 445; Terran_Refinery 99; Terran_Barracks2 221; Terran_Missile_Turret 584; Terran_Supply_Depot 59; Terran_Engineering_Bay 519; Terran_Science_Facility 0; Terran_Machine_Shop 205; Terran_Armory 574; Terran_Starport 207; Terran_Opening TwoFactory; Terran_Academy 471; Terran_Bunker 0; Terran_Factory 152; 
