Zerg_Hive 816; Zerg_Opening ; Zerg_Spawning_Pool 118; Zerg_Extractor 66; Zerg_Creep_Colony 483; Zerg_Evolution_Chamber 977; Zerg_Queens_Nest 733; Zerg_Sunken_Colony 501; Zerg_Spore_Colony -1; Zerg_Expansion 203; Zerg_Hydralisk_Den 1070; Zerg_Greater_Spire 893; Zerg_Expansion2 377; Zerg_Lair 170; Zerg_Ultralisk_Cavern 900; Zerg_Spire 244; Zerg_Building_Overlord 60; Zerg_Defiler_Mound 1068; 
Zerg_Hive 1075; Zerg_Opening hydras; Zerg_Spawning_Pool 128; Zerg_Extractor 260; Zerg_Creep_Colony 250; Zerg_Evolution_Chamber 852; Zerg_Queens_Nest 1020; Zerg_Sunken_Colony 267; Zerg_Spore_Colony -1; Zerg_Expansion 108; Zerg_Hydralisk_Den 364; Zerg_Greater_Spire -1; Zerg_Expansion2 526; Zerg_Lair 322; Zerg_Ultralisk_Cavern 0; Zerg_Spire 571; Zerg_Building_Overlord 56; Zerg_Defiler_Mound -1; 
Zerg_Hive 815; Zerg_Opening hydras; Zerg_Spawning_Pool 135; Zerg_Extractor 217; Zerg_Creep_Colony 221; Zerg_Evolution_Chamber 577; Zerg_Queens_Nest 769; Zerg_Sunken_Colony 237; Zerg_Spore_Colony -1; Zerg_Expansion 111; Zerg_Hydralisk_Den 302; Zerg_Greater_Spire -1; Zerg_Expansion2 197; Zerg_Lair 280; Zerg_Ultralisk_Cavern 897; Zerg_Spire 412; Zerg_Building_Overlord 57; Zerg_Defiler_Mound -1; 
Zerg_Hive 780; Zerg_Opening hydras; Zerg_Spawning_Pool 131; Zerg_Extractor 150; Zerg_Creep_Colony 219; Zerg_Evolution_Chamber 492; Zerg_Queens_Nest 732; Zerg_Sunken_Colony 238; Zerg_Spore_Colony -1; Zerg_Expansion 91; Zerg_Hydralisk_Den 246; Zerg_Greater_Spire 911; Zerg_Expansion2 324; Zerg_Lair 213; Zerg_Ultralisk_Cavern 0; Zerg_Spire 582; Zerg_Building_Overlord 58; Zerg_Defiler_Mound 860; 
Zerg_Hive 981; Zerg_Opening hydras; Zerg_Spawning_Pool 128; Zerg_Extractor 182; Zerg_Creep_Colony 230; Zerg_Evolution_Chamber 488; Zerg_Queens_Nest 903; Zerg_Sunken_Colony 261; Zerg_Spore_Colony -1; Zerg_Expansion 110; Zerg_Hydralisk_Den 258; Zerg_Greater_Spire 0; Zerg_Expansion2 177; Zerg_Lair 646; Zerg_Ultralisk_Cavern -1; Zerg_Spire 0; Zerg_Building_Overlord 56; Zerg_Defiler_Mound 0; 
Zerg_Hive -1; Zerg_Opening mutas; Zerg_Spawning_Pool 139; Zerg_Extractor 195; Zerg_Creep_Colony 213; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 228; Zerg_Spore_Colony -1; Zerg_Expansion 114; Zerg_Hydralisk_Den -1; Zerg_Greater_Spire -1; Zerg_Expansion2 175; Zerg_Lair 250; Zerg_Ultralisk_Cavern -1; Zerg_Spire 315; Zerg_Building_Overlord 55; Zerg_Defiler_Mound -1; 
Zerg_Hive 935; Zerg_Opening hydras; Zerg_Spawning_Pool 118; Zerg_Extractor 71; Zerg_Creep_Colony 573; Zerg_Evolution_Chamber 686; Zerg_Queens_Nest 848; Zerg_Sunken_Colony 593; Zerg_Spore_Colony -1; Zerg_Expansion 206; Zerg_Hydralisk_Den 227; Zerg_Greater_Spire -1; Zerg_Expansion2 427; Zerg_Lair 171; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 60; Zerg_Defiler_Mound -1; 
Zerg_Hive 982; Zerg_Opening hydras; Zerg_Spawning_Pool 128; Zerg_Extractor 172; Zerg_Creep_Colony 173; Zerg_Evolution_Chamber 541; Zerg_Queens_Nest 887; Zerg_Sunken_Colony 188; Zerg_Spore_Colony -1; Zerg_Expansion 90; Zerg_Hydralisk_Den 257; Zerg_Greater_Spire 1071; Zerg_Expansion2 290; Zerg_Lair 226; Zerg_Ultralisk_Cavern 0; Zerg_Spire 378; Zerg_Building_Overlord 58; Zerg_Defiler_Mound 1073; 
Zerg_Hive 0; Zerg_Opening hydras; Zerg_Spawning_Pool 130; Zerg_Extractor 151; Zerg_Creep_Colony 211; Zerg_Evolution_Chamber 639; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 229; Zerg_Spore_Colony -1; Zerg_Expansion 94; Zerg_Hydralisk_Den 243; Zerg_Greater_Spire 0; Zerg_Expansion2 351; Zerg_Lair 207; Zerg_Ultralisk_Cavern -1; Zerg_Spire 911; Zerg_Building_Overlord 59; Zerg_Defiler_Mound 0; 
Zerg_Hive -1; Zerg_Opening lurkers; Zerg_Spawning_Pool 144; Zerg_Extractor 89; Zerg_Creep_Colony 195; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 212; Zerg_Spore_Colony -1; Zerg_Expansion 110; Zerg_Hydralisk_Den 489; Zerg_Greater_Spire -1; Zerg_Expansion2 424; Zerg_Lair 198; Zerg_Ultralisk_Cavern -1; Zerg_Spire 263; Zerg_Building_Overlord 58; Zerg_Defiler_Mound -1; 
Zerg_Hive 744; Zerg_Opening fast_mutas; Zerg_Spawning_Pool 128; Zerg_Extractor 154; Zerg_Creep_Colony 239; Zerg_Evolution_Chamber 617; Zerg_Queens_Nest 698; Zerg_Sunken_Colony 255; Zerg_Spore_Colony -1; Zerg_Expansion 109; Zerg_Hydralisk_Den 399; Zerg_Greater_Spire -1; Zerg_Expansion2 296; Zerg_Lair 212; Zerg_Ultralisk_Cavern 0; Zerg_Spire 275; Zerg_Building_Overlord 57; Zerg_Defiler_Mound 821; 
Zerg_Hive 893; Zerg_Opening hydras; Zerg_Spawning_Pool 130; Zerg_Extractor 159; Zerg_Creep_Colony 616; Zerg_Evolution_Chamber 474; Zerg_Queens_Nest 846; Zerg_Sunken_Colony 832; Zerg_Spore_Colony 635; Zerg_Expansion 92; Zerg_Hydralisk_Den 251; Zerg_Greater_Spire 0; Zerg_Expansion2 373; Zerg_Lair 215; Zerg_Ultralisk_Cavern 0; Zerg_Spire 662; Zerg_Building_Overlord 60; Zerg_Defiler_Mound -1; 
Zerg_Hive 981; Zerg_Opening hydras; Zerg_Spawning_Pool 128; Zerg_Extractor 182; Zerg_Creep_Colony 230; Zerg_Evolution_Chamber 488; Zerg_Queens_Nest 903; Zerg_Sunken_Colony 261; Zerg_Spore_Colony -1; Zerg_Expansion 110; Zerg_Hydralisk_Den 258; Zerg_Greater_Spire 0; Zerg_Expansion2 177; Zerg_Lair 646; Zerg_Ultralisk_Cavern -1; Zerg_Spire 0; Zerg_Building_Overlord 56; Zerg_Defiler_Mound 0; 
Zerg_Hive -1; Zerg_Opening mutas; Zerg_Spawning_Pool 139; Zerg_Extractor 195; Zerg_Creep_Colony 213; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 228; Zerg_Spore_Colony -1; Zerg_Expansion 114; Zerg_Hydralisk_Den -1; Zerg_Greater_Spire -1; Zerg_Expansion2 175; Zerg_Lair 250; Zerg_Ultralisk_Cavern -1; Zerg_Spire 315; Zerg_Building_Overlord 55; Zerg_Defiler_Mound -1; 
Zerg_Hive 935; Zerg_Opening hydras; Zerg_Spawning_Pool 118; Zerg_Extractor 71; Zerg_Creep_Colony 573; Zerg_Evolution_Chamber 686; Zerg_Queens_Nest 848; Zerg_Sunken_Colony 593; Zerg_Spore_Colony -1; Zerg_Expansion 206; Zerg_Hydralisk_Den 227; Zerg_Greater_Spire -1; Zerg_Expansion2 427; Zerg_Lair 171; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 60; Zerg_Defiler_Mound -1; 
Zerg_Hive 982; Zerg_Opening hydras; Zerg_Spawning_Pool 128; Zerg_Extractor 172; Zerg_Creep_Colony 173; Zerg_Evolution_Chamber 541; Zerg_Queens_Nest 887; Zerg_Sunken_Colony 188; Zerg_Spore_Colony -1; Zerg_Expansion 90; Zerg_Hydralisk_Den 257; Zerg_Greater_Spire 1071; Zerg_Expansion2 290; Zerg_Lair 226; Zerg_Ultralisk_Cavern 0; Zerg_Spire 378; Zerg_Building_Overlord 58; Zerg_Defiler_Mound 1073; 
Zerg_Hive 0; Zerg_Opening hydras; Zerg_Spawning_Pool 130; Zerg_Extractor 151; Zerg_Creep_Colony 211; Zerg_Evolution_Chamber 639; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 229; Zerg_Spore_Colony -1; Zerg_Expansion 94; Zerg_Hydralisk_Den 243; Zerg_Greater_Spire 0; Zerg_Expansion2 351; Zerg_Lair 207; Zerg_Ultralisk_Cavern -1; Zerg_Spire 911; Zerg_Building_Overlord 59; Zerg_Defiler_Mound 0; 
Zerg_Hive -1; Zerg_Opening lurkers; Zerg_Spawning_Pool 144; Zerg_Extractor 89; Zerg_Creep_Colony 195; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 212; Zerg_Spore_Colony -1; Zerg_Expansion 110; Zerg_Hydralisk_Den 489; Zerg_Greater_Spire -1; Zerg_Expansion2 424; Zerg_Lair 198; Zerg_Ultralisk_Cavern -1; Zerg_Spire 263; Zerg_Building_Overlord 58; Zerg_Defiler_Mound -1; 
Zerg_Hive 744; Zerg_Opening fast_mutas; Zerg_Spawning_Pool 128; Zerg_Extractor 154; Zerg_Creep_Colony 239; Zerg_Evolution_Chamber 617; Zerg_Queens_Nest 698; Zerg_Sunken_Colony 255; Zerg_Spore_Colony -1; Zerg_Expansion 109; Zerg_Hydralisk_Den 399; Zerg_Greater_Spire -1; Zerg_Expansion2 296; Zerg_Lair 212; Zerg_Ultralisk_Cavern 0; Zerg_Spire 275; Zerg_Building_Overlord 57; Zerg_Defiler_Mound 821; 
Zerg_Hive 893; Zerg_Opening hydras; Zerg_Spawning_Pool 130; Zerg_Extractor 159; Zerg_Creep_Colony 616; Zerg_Evolution_Chamber 474; Zerg_Queens_Nest 846; Zerg_Sunken_Colony 832; Zerg_Spore_Colony 635; Zerg_Expansion 92; Zerg_Hydralisk_Den 251; Zerg_Greater_Spire 0; Zerg_Expansion2 373; Zerg_Lair 215; Zerg_Ultralisk_Cavern 0; Zerg_Spire 662; Zerg_Building_Overlord 60; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening lurkers; Zerg_Spawning_Pool 132; Zerg_Extractor 146; Zerg_Creep_Colony 196; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 212; Zerg_Spore_Colony -1; Zerg_Expansion 108; Zerg_Hydralisk_Den 280; Zerg_Greater_Spire -1; Zerg_Expansion2 400; Zerg_Lair 247; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 57; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening hydras; Zerg_Spawning_Pool 129; Zerg_Extractor 198; Zerg_Creep_Colony 232; Zerg_Evolution_Chamber 387; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 252; Zerg_Spore_Colony 457; Zerg_Expansion 110; Zerg_Hydralisk_Den 284; Zerg_Greater_Spire -1; Zerg_Expansion2 205; Zerg_Lair 254; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 60; Zerg_Defiler_Mound -1; 
Zerg_Hive 696; Zerg_Opening hydras; Zerg_Spawning_Pool 98; Zerg_Extractor 176; Zerg_Creep_Colony 214; Zerg_Evolution_Chamber 638; Zerg_Queens_Nest 639; Zerg_Sunken_Colony 234; Zerg_Spore_Colony 0; Zerg_Expansion 131; Zerg_Hydralisk_Den 304; Zerg_Greater_Spire 862; Zerg_Expansion2 502; Zerg_Lair 250; Zerg_Ultralisk_Cavern -1; Zerg_Spire 781; Zerg_Building_Overlord 58; Zerg_Defiler_Mound 0; 
Zerg_Hive -1; Zerg_Opening speedlings; Zerg_Spawning_Pool 129; Zerg_Extractor 152; Zerg_Creep_Colony 210; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 353; Zerg_Spore_Colony -1; Zerg_Expansion 111; Zerg_Hydralisk_Den -1; Zerg_Greater_Spire -1; Zerg_Expansion2 497; Zerg_Lair 207; Zerg_Ultralisk_Cavern -1; Zerg_Spire 281; Zerg_Building_Overlord 57; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening speedlings; Zerg_Spawning_Pool 135; Zerg_Extractor 127; Zerg_Creep_Colony 215; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 231; Zerg_Spore_Colony -1; Zerg_Expansion 110; Zerg_Hydralisk_Den -1; Zerg_Greater_Spire -1; Zerg_Expansion2 518; Zerg_Lair 216; Zerg_Ultralisk_Cavern -1; Zerg_Spire 365; Zerg_Building_Overlord 58; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening speedlings; Zerg_Spawning_Pool 71; Zerg_Extractor 93; Zerg_Creep_Colony 310; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 326; Zerg_Spore_Colony -1; Zerg_Expansion 152; Zerg_Hydralisk_Den -1; Zerg_Greater_Spire -1; Zerg_Expansion2 175; Zerg_Lair 276; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 86; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening speedlings; Zerg_Spawning_Pool 134; Zerg_Extractor 223; Zerg_Creep_Colony 217; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 233; Zerg_Spore_Colony -1; Zerg_Expansion 114; Zerg_Hydralisk_Den -1; Zerg_Greater_Spire -1; Zerg_Expansion2 196; Zerg_Lair 277; Zerg_Ultralisk_Cavern -1; Zerg_Spire 342; Zerg_Building_Overlord 60; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening speedlings; Zerg_Spawning_Pool 100; Zerg_Extractor 110; Zerg_Creep_Colony -1; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony -1; Zerg_Spore_Colony -1; Zerg_Expansion 148; Zerg_Hydralisk_Den 213; Zerg_Greater_Spire -1; Zerg_Expansion2 -1; Zerg_Lair 178; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 57; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening lurkers; Zerg_Spawning_Pool 87; Zerg_Extractor 91; Zerg_Creep_Colony 302; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 317; Zerg_Spore_Colony -1; Zerg_Expansion -1; Zerg_Hydralisk_Den 189; Zerg_Greater_Spire -1; Zerg_Expansion2 -1; Zerg_Lair 152; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 58; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening ; Zerg_Spawning_Pool 129; Zerg_Extractor -1; Zerg_Creep_Colony -1; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony -1; Zerg_Spore_Colony -1; Zerg_Expansion 106; Zerg_Hydralisk_Den -1; Zerg_Greater_Spire -1; Zerg_Expansion2 -1; Zerg_Lair -1; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 54; Zerg_Defiler_Mound -1; 
Zerg_Hive 653; Zerg_Opening hydras; Zerg_Spawning_Pool 131; Zerg_Extractor 64; Zerg_Creep_Colony 238; Zerg_Evolution_Chamber 267; Zerg_Queens_Nest 606; Zerg_Sunken_Colony 743; Zerg_Spore_Colony 308; Zerg_Expansion 97; Zerg_Hydralisk_Den 421; Zerg_Greater_Spire 734; Zerg_Expansion2 501; Zerg_Lair 213; Zerg_Ultralisk_Cavern -1; Zerg_Spire 282; Zerg_Building_Overlord 56; Zerg_Defiler_Mound 929; 
Zerg_Hive 794; Zerg_Opening speedlings; Zerg_Spawning_Pool 108; Zerg_Extractor 122; Zerg_Creep_Colony 279; Zerg_Evolution_Chamber 547; Zerg_Queens_Nest 734; Zerg_Sunken_Colony 294; Zerg_Spore_Colony -1; Zerg_Expansion 170; Zerg_Hydralisk_Den 236; Zerg_Greater_Spire 876; Zerg_Expansion2 423; Zerg_Lair 201; Zerg_Ultralisk_Cavern -1; Zerg_Spire 458; Zerg_Building_Overlord 59; Zerg_Defiler_Mound -1; 
Zerg_Hive 820; Zerg_Opening unknown; Zerg_Spawning_Pool 132; Zerg_Extractor 141; Zerg_Creep_Colony 197; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest 696; Zerg_Sunken_Colony 285; Zerg_Spore_Colony -1; Zerg_Expansion 112; Zerg_Hydralisk_Den 252; Zerg_Greater_Spire 989; Zerg_Expansion2 462; Zerg_Lair 212; Zerg_Ultralisk_Cavern -1; Zerg_Spire 850; Zerg_Building_Overlord 60; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening ; Zerg_Spawning_Pool 155; Zerg_Extractor 133; Zerg_Creep_Colony 201; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 461; Zerg_Spore_Colony -1; Zerg_Expansion 97; Zerg_Hydralisk_Den -1; Zerg_Greater_Spire -1; Zerg_Expansion2 -1; Zerg_Lair 366; Zerg_Ultralisk_Cavern -1; Zerg_Spire 438; Zerg_Building_Overlord 61; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening fast_mutas; Zerg_Spawning_Pool 134; Zerg_Extractor 140; Zerg_Creep_Colony 215; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 278; Zerg_Spore_Colony -1; Zerg_Expansion 117; Zerg_Hydralisk_Den 422; Zerg_Greater_Spire -1; Zerg_Expansion2 -1; Zerg_Lair 206; Zerg_Ultralisk_Cavern -1; Zerg_Spire 275; Zerg_Building_Overlord 61; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening speedlings; Zerg_Spawning_Pool 135; Zerg_Extractor 143; Zerg_Creep_Colony 327; Zerg_Evolution_Chamber 631; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 343; Zerg_Spore_Colony -1; Zerg_Expansion 106; Zerg_Hydralisk_Den 504; Zerg_Greater_Spire -1; Zerg_Expansion2 228; Zerg_Lair 196; Zerg_Ultralisk_Cavern -1; Zerg_Spire 266; Zerg_Building_Overlord 52; Zerg_Defiler_Mound -1; 
Zerg_Hive 0; Zerg_Opening hydras; Zerg_Spawning_Pool 126; Zerg_Extractor 159; Zerg_Creep_Colony 238; Zerg_Evolution_Chamber 740; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 255; Zerg_Spore_Colony -1; Zerg_Expansion 106; Zerg_Hydralisk_Den 252; Zerg_Greater_Spire -1; Zerg_Expansion2 580; Zerg_Lair 215; Zerg_Ultralisk_Cavern -1; Zerg_Spire 978; Zerg_Building_Overlord 52; Zerg_Defiler_Mound 0; 
Zerg_Hive -1; Zerg_Opening speedlings; Zerg_Spawning_Pool 68; Zerg_Extractor 199; Zerg_Creep_Colony 1000; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony -1; Zerg_Spore_Colony -1; Zerg_Expansion 218; Zerg_Hydralisk_Den 965; Zerg_Greater_Spire -1; Zerg_Expansion2 395; Zerg_Lair 255; Zerg_Ultralisk_Cavern -1; Zerg_Spire 319; Zerg_Building_Overlord 92; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening speedlings; Zerg_Spawning_Pool 99; Zerg_Extractor 66; Zerg_Creep_Colony 229; Zerg_Evolution_Chamber 868; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 248; Zerg_Spore_Colony -1; Zerg_Expansion 136; Zerg_Hydralisk_Den 683; Zerg_Greater_Spire -1; Zerg_Expansion2 189; Zerg_Lair 321; Zerg_Ultralisk_Cavern -1; Zerg_Spire 385; Zerg_Building_Overlord 61; Zerg_Defiler_Mound -1; 
Zerg_Hive 585; Zerg_Opening hydras; Zerg_Spawning_Pool 139; Zerg_Extractor 150; Zerg_Creep_Colony 291; Zerg_Evolution_Chamber 625; Zerg_Queens_Nest 524; Zerg_Sunken_Colony -1; Zerg_Spore_Colony -1; Zerg_Expansion 120; Zerg_Hydralisk_Den 241; Zerg_Greater_Spire 662; Zerg_Expansion2 370; Zerg_Lair 205; Zerg_Ultralisk_Cavern -1; Zerg_Spire 312; Zerg_Building_Overlord 43; Zerg_Defiler_Mound -1; 
Zerg_Hive 948; Zerg_Opening hydras; Zerg_Spawning_Pool 130; Zerg_Extractor 146; Zerg_Creep_Colony 265; Zerg_Evolution_Chamber 418; Zerg_Queens_Nest 875; Zerg_Sunken_Colony 282; Zerg_Spore_Colony -1; Zerg_Expansion 106; Zerg_Hydralisk_Den 312; Zerg_Greater_Spire -1; Zerg_Expansion2 175; Zerg_Lair 413; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 49; Zerg_Defiler_Mound 1042; 
Zerg_Hive 948; Zerg_Opening hydras; Zerg_Spawning_Pool 130; Zerg_Extractor 146; Zerg_Creep_Colony 265; Zerg_Evolution_Chamber 418; Zerg_Queens_Nest 875; Zerg_Sunken_Colony 282; Zerg_Spore_Colony -1; Zerg_Expansion 106; Zerg_Hydralisk_Den 312; Zerg_Greater_Spire -1; Zerg_Expansion2 175; Zerg_Lair 413; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 49; Zerg_Defiler_Mound 1042; 
