Terran_Control_Tower 353; Terran_Comsat_Station 465; Terran_Barracks 93; Terran_Expansion 637; Terran_Refinery 115; Terran_Barracks2 261; Terran_Missile_Turret 472; Terran_Supply_Depot 53; Terran_Engineering_Bay 427; Terran_Science_Facility 877; Terran_Machine_Shop 355; Terran_Armory -1; Terran_Starport 224; Terran_Opening bio; Terran_Academy 403; Terran_Bunker 662; Terran_Factory 171; 
Terran_Control_Tower 501; Terran_Comsat_Station 257; Terran_Barracks 85; Terran_Expansion 544; Terran_Refinery 136; Terran_Barracks2 119; Terran_Missile_Turret 484; Terran_Supply_Depot 59; Terran_Engineering_Bay 371; Terran_Science_Facility 503; Terran_Machine_Shop 548; Terran_Armory -1; Terran_Starport 408; Terran_Opening ; Terran_Academy 193; Terran_Bunker 470; Terran_Factory 348; 
Terran_Control_Tower 623; Terran_Comsat_Station 241; Terran_Barracks 91; Terran_Expansion 650; Terran_Refinery 158; Terran_Barracks2 112; Terran_Missile_Turret 992; Terran_Supply_Depot 59; Terran_Engineering_Bay 379; Terran_Science_Facility 760; Terran_Machine_Shop 558; Terran_Armory -1; Terran_Starport 559; Terran_Opening two_facto; Terran_Academy 187; Terran_Bunker 832; Terran_Factory 484; 
Terran_Control_Tower 351; Terran_Comsat_Station 287; Terran_Barracks 88; Terran_Expansion 541; Terran_Refinery 170; Terran_Barracks2 120; Terran_Missile_Turret 600; Terran_Supply_Depot 58; Terran_Engineering_Bay 275; Terran_Science_Facility 552; Terran_Machine_Shop 426; Terran_Armory -1; Terran_Starport 304; Terran_Opening drop; Terran_Academy 227; Terran_Bunker 429; Terran_Factory 245; 
Terran_Control_Tower 553; Terran_Comsat_Station 315; Terran_Barracks 89; Terran_Expansion 212; Terran_Refinery 139; Terran_Barracks2 118; Terran_Missile_Turret 525; Terran_Supply_Depot 58; Terran_Engineering_Bay 249; Terran_Science_Facility 552; Terran_Machine_Shop 533; Terran_Armory -1; Terran_Starport 499; Terran_Opening rax_fe; Terran_Academy 258; Terran_Bunker 512; Terran_Factory 440; 
Terran_Control_Tower 580; Terran_Comsat_Station 265; Terran_Barracks 87; Terran_Expansion 824; Terran_Refinery 154; Terran_Barracks2 115; Terran_Missile_Turret 419; Terran_Supply_Depot 59; Terran_Engineering_Bay 260; Terran_Science_Facility 585; Terran_Machine_Shop 404; Terran_Armory -1; Terran_Starport 518; Terran_Opening two_facto; Terran_Academy 201; Terran_Bunker 311; Terran_Factory 339; 
Terran_Control_Tower 307; Terran_Comsat_Station 282; Terran_Barracks 90; Terran_Expansion 339; Terran_Refinery 151; Terran_Barracks2 115; Terran_Missile_Turret 655; Terran_Supply_Depot 59; Terran_Engineering_Bay 610; Terran_Science_Facility 306; Terran_Machine_Shop -1; Terran_Armory -1; Terran_Starport 259; Terran_Opening two_facto; Terran_Academy 169; Terran_Bunker 617; Terran_Factory 204; 
Terran_Control_Tower 418; Terran_Comsat_Station 275; Terran_Barracks 83; Terran_Expansion 708; Terran_Refinery 174; Terran_Barracks2 122; Terran_Missile_Turret 571; Terran_Supply_Depot 58; Terran_Engineering_Bay 389; Terran_Science_Facility 587; Terran_Machine_Shop 312; Terran_Armory -1; Terran_Starport 331; Terran_Opening drop; Terran_Academy 217; Terran_Bunker 662; Terran_Factory 256; 
Terran_Control_Tower 397; Terran_Comsat_Station 266; Terran_Barracks 87; Terran_Expansion 519; Terran_Refinery 165; Terran_Barracks2 112; Terran_Missile_Turret 431; Terran_Supply_Depot 60; Terran_Engineering_Bay 375; Terran_Science_Facility 398; Terran_Machine_Shop 506; Terran_Armory -1; Terran_Starport 350; Terran_Opening ; Terran_Academy 190; Terran_Bunker 413; Terran_Factory 288; 
Terran_Control_Tower 485; Terran_Comsat_Station 299; Terran_Barracks 95; Terran_Expansion 226; Terran_Refinery 238; Terran_Barracks2 121; Terran_Missile_Turret 455; Terran_Supply_Depot 58; Terran_Engineering_Bay 355; Terran_Science_Facility 491; Terran_Machine_Shop 532; Terran_Armory -1; Terran_Starport 420; Terran_Opening rax_fe; Terran_Academy 245; Terran_Bunker 452; Terran_Factory 362; 
Terran_Control_Tower 550; Terran_Comsat_Station 310; Terran_Barracks 85; Terran_Expansion 513; Terran_Refinery 230; Terran_Barracks2 121; Terran_Missile_Turret 605; Terran_Supply_Depot 58; Terran_Engineering_Bay 426; Terran_Science_Facility 551; Terran_Machine_Shop 425; Terran_Armory -1; Terran_Starport 494; Terran_Opening drop; Terran_Academy 251; Terran_Bunker 178; Terran_Factory 371; 
Terran_Control_Tower 287; Terran_Comsat_Station 259; Terran_Barracks 83; Terran_Expansion 593; Terran_Refinery 136; Terran_Barracks2 112; Terran_Missile_Turret 530; Terran_Supply_Depot 58; Terran_Engineering_Bay 479; Terran_Science_Facility 376; Terran_Machine_Shop 265; Terran_Armory -1; Terran_Starport 241; Terran_Opening drop; Terran_Academy 206; Terran_Bunker 379; Terran_Factory 188; 
Terran_Control_Tower 606; Terran_Comsat_Station 333; Terran_Barracks 92; Terran_Expansion 382; Terran_Refinery 239; Terran_Barracks2 119; Terran_Missile_Turret 505; Terran_Supply_Depot 61; Terran_Engineering_Bay 436; Terran_Science_Facility 605; Terran_Machine_Shop 556; Terran_Armory -1; Terran_Starport 554; Terran_Opening two_facto; Terran_Academy 274; Terran_Bunker 468; Terran_Factory 500; 
Terran_Control_Tower 520; Terran_Comsat_Station 272; Terran_Barracks 86; Terran_Expansion 666; Terran_Refinery 191; Terran_Barracks2 115; Terran_Missile_Turret 493; Terran_Supply_Depot 62; Terran_Engineering_Bay 232; Terran_Science_Facility 517; Terran_Machine_Shop 461; Terran_Armory -1; Terran_Starport 462; Terran_Opening two_facto; Terran_Academy 178; Terran_Bunker 419; Terran_Factory 402; 
Terran_Control_Tower 314; Terran_Comsat_Station 293; Terran_Barracks 82; Terran_Expansion 496; Terran_Refinery 160; Terran_Barracks2 109; Terran_Missile_Turret 563; Terran_Supply_Depot 59; Terran_Engineering_Bay 385; Terran_Science_Facility 445; Terran_Machine_Shop 368; Terran_Armory -1; Terran_Starport 266; Terran_Opening unknown; Terran_Academy 240; Terran_Bunker 540; Terran_Factory 212; 
Terran_Control_Tower 655; Terran_Comsat_Station 331; Terran_Barracks 93; Terran_Expansion 293; Terran_Refinery 204; Terran_Barracks2 119; Terran_Missile_Turret 658; Terran_Supply_Depot 60; Terran_Engineering_Bay 373; Terran_Science_Facility 669; Terran_Machine_Shop 471; Terran_Armory 0; Terran_Starport 438; Terran_Opening two_facto; Terran_Academy 246; Terran_Bunker 452; Terran_Factory 375; 
Terran_Control_Tower 318; Terran_Comsat_Station 305; Terran_Barracks 59; Terran_Expansion -1; Terran_Refinery 163; Terran_Barracks2 263; Terran_Missile_Turret 600; Terran_Supply_Depot 78; Terran_Engineering_Bay 427; Terran_Science_Facility 524; Terran_Machine_Shop 522; Terran_Armory -1; Terran_Starport 270; Terran_Opening bio; Terran_Academy 243; Terran_Bunker -1; Terran_Factory 217; 
Terran_Control_Tower 416; Terran_Comsat_Station 270; Terran_Barracks 94; Terran_Expansion 835; Terran_Refinery 158; Terran_Barracks2 122; Terran_Missile_Turret 459; Terran_Supply_Depot 54; Terran_Engineering_Bay 407; Terran_Science_Facility 560; Terran_Machine_Shop 396; Terran_Armory -1; Terran_Starport 367; Terran_Opening drop; Terran_Academy 217; Terran_Bunker 441; Terran_Factory 305; 
Terran_Control_Tower 462; Terran_Comsat_Station 271; Terran_Barracks 85; Terran_Expansion 631; Terran_Refinery 177; Terran_Barracks2 114; Terran_Missile_Turret 505; Terran_Supply_Depot 59; Terran_Engineering_Bay 388; Terran_Science_Facility 422; Terran_Machine_Shop 358; Terran_Armory -1; Terran_Starport 358; Terran_Opening ; Terran_Academy 212; Terran_Bunker 355; Terran_Factory 304; 
Terran_Control_Tower 407; Terran_Comsat_Station 279; Terran_Barracks 89; Terran_Expansion 562; Terran_Refinery 161; Terran_Barracks2 117; Terran_Missile_Turret 429; Terran_Supply_Depot 61; Terran_Engineering_Bay 384; Terran_Science_Facility 405; Terran_Machine_Shop 534; Terran_Armory -1; Terran_Starport 357; Terran_Opening two_facto; Terran_Academy 224; Terran_Bunker 558; Terran_Factory 297; 
Terran_Control_Tower 669; Terran_Comsat_Station 315; Terran_Barracks 150; Terran_Expansion 132; Terran_Refinery 238; Terran_Barracks2 176; Terran_Missile_Turret 368; Terran_Supply_Depot 58; Terran_Engineering_Bay 305; Terran_Science_Facility 669; Terran_Machine_Shop 470; Terran_Armory -1; Terran_Starport 605; Terran_Opening rax_fe; Terran_Academy 262; Terran_Bunker 379; Terran_Factory 407; 
Terran_Control_Tower 662; Terran_Comsat_Station 352; Terran_Barracks 81; Terran_Expansion 246; Terran_Refinery 269; Terran_Barracks2 113; Terran_Missile_Turret 376; Terran_Supply_Depot 56; Terran_Engineering_Bay 308; Terran_Science_Facility 663; Terran_Machine_Shop 492; Terran_Armory 0; Terran_Starport 577; Terran_Opening two_facto; Terran_Academy 258; Terran_Bunker 594; Terran_Factory 424; 
Terran_Control_Tower 601; Terran_Comsat_Station 355; Terran_Barracks 88; Terran_Expansion 237; Terran_Refinery 266; Terran_Barracks2 127; Terran_Missile_Turret 548; Terran_Supply_Depot 59; Terran_Engineering_Bay 505; Terran_Science_Facility 602; Terran_Machine_Shop 427; Terran_Armory -1; Terran_Starport 535; Terran_Opening two_facto; Terran_Academy 276; Terran_Bunker 324; Terran_Factory 372; 
Terran_Control_Tower -1; Terran_Comsat_Station 405; Terran_Barracks 97; Terran_Expansion 326; Terran_Refinery 174; Terran_Barracks2 123; Terran_Missile_Turret -1; Terran_Supply_Depot 66; Terran_Engineering_Bay 466; Terran_Science_Facility -1; Terran_Machine_Shop 499; Terran_Armory -1; Terran_Starport -1; Terran_Opening ; Terran_Academy 350; Terran_Bunker 470; Terran_Factory 441; 
Terran_Control_Tower 565; Terran_Comsat_Station 323; Terran_Barracks 66; Terran_Expansion 232; Terran_Refinery 242; Terran_Barracks2 327; Terran_Missile_Turret 519; Terran_Supply_Depot 75; Terran_Engineering_Bay 287; Terran_Science_Facility 562; Terran_Machine_Shop 454; Terran_Armory -1; Terran_Starport 516; Terran_Opening rax_fe; Terran_Academy 257; Terran_Bunker 403; Terran_Factory 384; 
Terran_Control_Tower 484; Terran_Comsat_Station 296; Terran_Barracks 92; Terran_Expansion 173; Terran_Refinery 197; Terran_Barracks2 243; Terran_Missile_Turret 477; Terran_Supply_Depot 62; Terran_Engineering_Bay 392; Terran_Science_Facility 486; Terran_Machine_Shop 436; Terran_Armory -1; Terran_Starport 437; Terran_Opening rax_fe; Terran_Academy 228; Terran_Bunker 194; Terran_Factory 370; 
Terran_Control_Tower 367; Terran_Comsat_Station 408; Terran_Barracks 96; Terran_Expansion 489; Terran_Refinery 151; Terran_Barracks2 283; Terran_Missile_Turret 410; Terran_Supply_Depot 60; Terran_Engineering_Bay 267; Terran_Science_Facility 337; Terran_Machine_Shop 297; Terran_Armory -1; Terran_Starport 278; Terran_Opening two_facto; Terran_Academy 354; Terran_Bunker 184; Terran_Factory 222; 
Terran_Control_Tower 592; Terran_Comsat_Station 366; Terran_Barracks 92; Terran_Expansion 404; Terran_Refinery 116; Terran_Barracks2 545; Terran_Missile_Turret -1; Terran_Supply_Depot 57; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop 277; Terran_Armory 264; Terran_Starport 242; Terran_Opening bio; Terran_Academy 230; Terran_Bunker 558; Terran_Factory 185; 
Terran_Control_Tower 500; Terran_Comsat_Station 287; Terran_Barracks 88; Terran_Expansion 166; Terran_Refinery 194; Terran_Barracks2 209; Terran_Missile_Turret -1; Terran_Supply_Depot 56; Terran_Engineering_Bay 304; Terran_Science_Facility 483; Terran_Machine_Shop 433; Terran_Armory -1; Terran_Starport 432; Terran_Opening rax_fe; Terran_Academy 183; Terran_Bunker 569; Terran_Factory 369; 
Terran_Control_Tower 523; Terran_Comsat_Station 263; Terran_Barracks 83; Terran_Expansion 300; Terran_Refinery 164; Terran_Barracks2 162; Terran_Missile_Turret 426; Terran_Supply_Depot 58; Terran_Engineering_Bay 312; Terran_Science_Facility 523; Terran_Machine_Shop 432; Terran_Armory -1; Terran_Starport 474; Terran_Opening bio; Terran_Academy 167; Terran_Bunker 608; Terran_Factory 371; 
Terran_Control_Tower 551; Terran_Comsat_Station 322; Terran_Barracks 86; Terran_Expansion 168; Terran_Refinery 205; Terran_Barracks2 257; Terran_Missile_Turret 406; Terran_Supply_Depot 55; Terran_Engineering_Bay 314; Terran_Science_Facility 551; Terran_Machine_Shop 446; Terran_Armory 0; Terran_Starport 449; Terran_Opening rax_fe; Terran_Academy 223; Terran_Bunker 495; Terran_Factory 388; 
Terran_Control_Tower 501; Terran_Comsat_Station 328; Terran_Barracks 86; Terran_Expansion 168; Terran_Refinery 221; Terran_Barracks2 254; Terran_Missile_Turret 486; Terran_Supply_Depot 55; Terran_Engineering_Bay 322; Terran_Science_Facility 503; Terran_Machine_Shop 451; Terran_Armory -1; Terran_Starport 453; Terran_Opening rax_fe; Terran_Academy 241; Terran_Bunker 215; Terran_Factory 389; 
Terran_Control_Tower 354; Terran_Comsat_Station 286; Terran_Barracks 58; Terran_Expansion 553; Terran_Refinery 187; Terran_Barracks2 391; Terran_Missile_Turret 508; Terran_Supply_Depot 79; Terran_Engineering_Bay 430; Terran_Science_Facility 491; Terran_Machine_Shop 472; Terran_Armory -1; Terran_Starport 306; Terran_Opening bio; Terran_Academy 230; Terran_Bunker 146; Terran_Factory 253; 
Terran_Control_Tower 426; Terran_Comsat_Station 252; Terran_Barracks 87; Terran_Expansion 603; Terran_Refinery 165; Terran_Barracks2 128; Terran_Missile_Turret 617; Terran_Supply_Depot 60; Terran_Engineering_Bay 405; Terran_Science_Facility 493; Terran_Machine_Shop 390; Terran_Armory -1; Terran_Starport 376; Terran_Opening drop; Terran_Academy 185; Terran_Bunker 425; Terran_Factory 309; 
Terran_Control_Tower 415; Terran_Comsat_Station 243; Terran_Barracks 83; Terran_Expansion 611; Terran_Refinery 161; Terran_Barracks2 115; Terran_Missile_Turret 542; Terran_Supply_Depot 58; Terran_Engineering_Bay 304; Terran_Science_Facility 404; Terran_Machine_Shop 415; Terran_Armory -1; Terran_Starport 355; Terran_Opening drop; Terran_Academy 176; Terran_Bunker 463; Terran_Factory 289; 
Terran_Control_Tower 530; Terran_Comsat_Station 287; Terran_Barracks 91; Terran_Expansion 715; Terran_Refinery 107; Terran_Barracks2 159; Terran_Missile_Turret 580; Terran_Supply_Depot 59; Terran_Engineering_Bay 517; Terran_Science_Facility 531; Terran_Machine_Shop 260; Terran_Armory -1; Terran_Starport 482; Terran_Opening bio; Terran_Academy 234; Terran_Bunker -1; Terran_Factory 202; 
Terran_Control_Tower 405; Terran_Comsat_Station 330; Terran_Barracks 157; Terran_Expansion 133; Terran_Refinery 226; Terran_Barracks2 191; Terran_Missile_Turret -1; Terran_Supply_Depot 62; Terran_Engineering_Bay 345; Terran_Science_Facility 403; Terran_Machine_Shop 368; Terran_Armory -1; Terran_Starport 347; Terran_Opening rax_fe; Terran_Academy 274; Terran_Bunker 410; Terran_Factory 288; 
Terran_Control_Tower -1; Terran_Comsat_Station 307; Terran_Barracks 86; Terran_Expansion 168; Terran_Refinery 195; Terran_Barracks2 301; Terran_Missile_Turret 418; Terran_Supply_Depot 58; Terran_Engineering_Bay 235; Terran_Science_Facility 497; Terran_Machine_Shop -1; Terran_Armory -1; Terran_Starport 442; Terran_Opening rax_fe; Terran_Academy 248; Terran_Bunker 208; Terran_Factory 352; 
Terran_Control_Tower 499; Terran_Comsat_Station 328; Terran_Barracks 88; Terran_Expansion 177; Terran_Refinery 188; Terran_Barracks2 308; Terran_Missile_Turret 337; Terran_Supply_Depot 59; Terran_Engineering_Bay 236; Terran_Science_Facility 501; Terran_Machine_Shop 461; Terran_Armory -1; Terran_Starport 451; Terran_Opening rax_fe; Terran_Academy 274; Terran_Bunker 202; Terran_Factory 397; 
Terran_Control_Tower 800; Terran_Comsat_Station 297; Terran_Barracks 93; Terran_Expansion 471; Terran_Refinery 166; Terran_Barracks2 131; Terran_Missile_Turret 501; Terran_Supply_Depot 62; Terran_Engineering_Bay 197; Terran_Science_Facility 783; Terran_Machine_Shop 539; Terran_Armory -1; Terran_Starport 676; Terran_Opening ; Terran_Academy 230; Terran_Bunker 538; Terran_Factory 468; 
Terran_Control_Tower 545; Terran_Comsat_Station 360; Terran_Barracks 141; Terran_Expansion 119; Terran_Refinery 229; Terran_Barracks2 159; Terran_Missile_Turret 412; Terran_Supply_Depot 57; Terran_Engineering_Bay 247; Terran_Science_Facility 546; Terran_Machine_Shop 580; Terran_Armory -1; Terran_Starport 464; Terran_Opening rax_fe; Terran_Academy 279; Terran_Bunker 197; Terran_Factory 401; 
Terran_Control_Tower -1; Terran_Comsat_Station 297; Terran_Barracks 85; Terran_Expansion 154; Terran_Refinery 185; Terran_Barracks2 260; Terran_Missile_Turret 393; Terran_Supply_Depot 55; Terran_Engineering_Bay 296; Terran_Science_Facility -1; Terran_Machine_Shop -1; Terran_Armory -1; Terran_Starport -1; Terran_Opening rax_fe; Terran_Academy 220; Terran_Bunker 201; Terran_Factory 352; 
Terran_Control_Tower 473; Terran_Comsat_Station 309; Terran_Barracks 87; Terran_Expansion 172; Terran_Refinery 202; Terran_Barracks2 269; Terran_Missile_Turret 389; Terran_Supply_Depot 57; Terran_Engineering_Bay 308; Terran_Science_Facility 473; Terran_Machine_Shop 417; Terran_Armory 987; Terran_Starport 419; Terran_Opening rax_fe; Terran_Academy 233; Terran_Bunker 193; Terran_Factory 359; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks -1; Terran_Expansion -1; Terran_Refinery -1; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 0; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop -1; Terran_Armory -1; Terran_Starport -1; Terran_Opening ; Terran_Academy -1; Terran_Bunker -1; Terran_Factory -1; 
Terran_Control_Tower 588; Terran_Comsat_Station 271; Terran_Barracks 89; Terran_Expansion 180; Terran_Refinery 202; Terran_Barracks2 252; Terran_Missile_Turret 351; Terran_Supply_Depot 56; Terran_Engineering_Bay 292; Terran_Science_Facility 589; Terran_Machine_Shop 519; Terran_Armory -1; Terran_Starport 525; Terran_Opening rax_fe; Terran_Academy 216; Terran_Bunker -1; Terran_Factory 447; 
Terran_Control_Tower 568; Terran_Comsat_Station 366; Terran_Barracks 87; Terran_Expansion 171; Terran_Refinery 261; Terran_Barracks2 220; Terran_Missile_Turret 0; Terran_Supply_Depot 55; Terran_Engineering_Bay 336; Terran_Science_Facility 568; Terran_Machine_Shop 505; Terran_Armory -1; Terran_Starport 505; Terran_Opening rax_fe; Terran_Academy 308; Terran_Bunker 434; Terran_Factory 435; 
Terran_Control_Tower -1; Terran_Comsat_Station 257; Terran_Barracks 87; Terran_Expansion -1; Terran_Refinery 164; Terran_Barracks2 152; Terran_Missile_Turret -1; Terran_Supply_Depot 57; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop -1; Terran_Armory -1; Terran_Starport -1; Terran_Opening ; Terran_Academy 177; Terran_Bunker -1; Terran_Factory -1; 
Terran_Control_Tower 698; Terran_Comsat_Station 411; Terran_Barracks 92; Terran_Expansion 203; Terran_Refinery 239; Terran_Barracks2 167; Terran_Missile_Turret 448; Terran_Supply_Depot 57; Terran_Engineering_Bay 351; Terran_Science_Facility 699; Terran_Machine_Shop 628; Terran_Armory -1; Terran_Starport 632; Terran_Opening rax_fe; Terran_Academy 260; Terran_Bunker 609; Terran_Factory 567; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 69; Terran_Expansion -1; Terran_Refinery 464; Terran_Barracks2 249; Terran_Missile_Turret -1; Terran_Supply_Depot 96; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop -1; Terran_Armory -1; Terran_Starport -1; Terran_Opening ; Terran_Academy 502; Terran_Bunker -1; Terran_Factory -1; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks -1; Terran_Expansion -1; Terran_Refinery -1; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 0; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop -1; Terran_Armory -1; Terran_Starport -1; Terran_Opening ; Terran_Academy -1; Terran_Bunker -1; Terran_Factory -1; 
Terran_Control_Tower -1; Terran_Comsat_Station 283; Terran_Barracks 81; Terran_Expansion 193; Terran_Refinery 204; Terran_Barracks2 246; Terran_Missile_Turret 349; Terran_Supply_Depot 57; Terran_Engineering_Bay 268; Terran_Science_Facility -1; Terran_Machine_Shop -1; Terran_Armory -1; Terran_Starport -1; Terran_Opening rax_fe; Terran_Academy 218; Terran_Bunker -1; Terran_Factory -1; 
Terran_Control_Tower -1; Terran_Comsat_Station 376; Terran_Barracks 67; Terran_Expansion -1; Terran_Refinery 281; Terran_Barracks2 506; Terran_Missile_Turret 604; Terran_Supply_Depot 98; Terran_Engineering_Bay 561; Terran_Science_Facility -1; Terran_Machine_Shop -1; Terran_Armory -1; Terran_Starport -1; Terran_Opening bio; Terran_Academy 317; Terran_Bunker 165; Terran_Factory 887; 
Terran_Control_Tower 494; Terran_Comsat_Station 285; Terran_Barracks 84; Terran_Expansion 176; Terran_Refinery 209; Terran_Barracks2 282; Terran_Missile_Turret 407; Terran_Supply_Depot 61; Terran_Engineering_Bay 266; Terran_Science_Facility 495; Terran_Machine_Shop 530; Terran_Armory -1; Terran_Starport 436; Terran_Opening rax_fe; Terran_Academy 224; Terran_Bunker 361; Terran_Factory 377; 
Terran_Control_Tower 503; Terran_Comsat_Station 248; Terran_Barracks 83; Terran_Expansion 531; Terran_Refinery 175; Terran_Barracks2 218; Terran_Missile_Turret 320; Terran_Supply_Depot 57; Terran_Engineering_Bay 228; Terran_Science_Facility 507; Terran_Machine_Shop 598; Terran_Armory -1; Terran_Starport 448; Terran_Opening bio; Terran_Academy 183; Terran_Bunker 488; Terran_Factory 392; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks -1; Terran_Expansion -1; Terran_Refinery -1; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 0; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop -1; Terran_Armory -1; Terran_Starport -1; Terran_Opening ; Terran_Academy -1; Terran_Bunker -1; Terran_Factory -1; 
Terran_Control_Tower -1; Terran_Comsat_Station 391; Terran_Barracks 65; Terran_Expansion -1; Terran_Refinery 300; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 95; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop -1; Terran_Armory -1; Terran_Starport -1; Terran_Opening ; Terran_Academy 331; Terran_Bunker 186; Terran_Factory -1; 
