Zerg_Hive -1; Zerg_Opening lurkers; Zerg_Spawning_Pool 68; Zerg_Extractor 91; Zerg_Creep_Colony 451; Zerg_Evolution_Chamber 776; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 480; Zerg_Spore_Colony -1; Zerg_Expansion 195; Zerg_Hydralisk_Den 308; Zerg_Greater_Spire -1; Zerg_Expansion2 993; Zerg_Lair 373; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 85; Zerg_Defiler_Mound -1; 
Zerg_Hive 0; Zerg_Opening lurkers; Zerg_Spawning_Pool 127; Zerg_Extractor 143; Zerg_Creep_Colony 238; Zerg_Evolution_Chamber 828; Zerg_Queens_Nest 831; Zerg_Sunken_Colony 255; Zerg_Spore_Colony -1; Zerg_Expansion 107; Zerg_Hydralisk_Den 399; Zerg_Greater_Spire -1; Zerg_Expansion2 309; Zerg_Lair 364; Zerg_Ultralisk_Cavern -1; Zerg_Spire 0; Zerg_Building_Overlord 58; Zerg_Defiler_Mound 0; 
Zerg_Hive -1; Zerg_Opening ; Zerg_Spawning_Pool 127; Zerg_Extractor 250; Zerg_Creep_Colony 226; Zerg_Evolution_Chamber 490; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 245; Zerg_Spore_Colony 523; Zerg_Expansion 108; Zerg_Hydralisk_Den 487; Zerg_Greater_Spire -1; Zerg_Expansion2 493; Zerg_Lair 873; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 50; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening ; Zerg_Spawning_Pool 111; Zerg_Extractor 63; Zerg_Creep_Colony -1; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony -1; Zerg_Spore_Colony -1; Zerg_Expansion 187; Zerg_Hydralisk_Den 211; Zerg_Greater_Spire -1; Zerg_Expansion2 486; Zerg_Lair 163; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 56; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening fast_mutas; Zerg_Spawning_Pool 111; Zerg_Extractor 67; Zerg_Creep_Colony 587; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony -1; Zerg_Spore_Colony -1; Zerg_Expansion 218; Zerg_Hydralisk_Den 405; Zerg_Greater_Spire -1; Zerg_Expansion2 354; Zerg_Lair 164; Zerg_Ultralisk_Cavern -1; Zerg_Spire 229; Zerg_Building_Overlord 60; Zerg_Defiler_Mound -1; 
Zerg_Hive 733; Zerg_Opening lurkers; Zerg_Spawning_Pool 128; Zerg_Extractor 276; Zerg_Creep_Colony 215; Zerg_Evolution_Chamber 719; Zerg_Queens_Nest 631; Zerg_Sunken_Colony 247; Zerg_Spore_Colony -1; Zerg_Expansion 113; Zerg_Hydralisk_Den 337; Zerg_Greater_Spire -1; Zerg_Expansion2 177; Zerg_Lair 383; Zerg_Ultralisk_Cavern 0; Zerg_Spire -1; Zerg_Building_Overlord 53; Zerg_Defiler_Mound -1; 
Zerg_Hive 0; Zerg_Opening mutas; Zerg_Spawning_Pool 141; Zerg_Extractor 68; Zerg_Creep_Colony 204; Zerg_Evolution_Chamber 939; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 220; Zerg_Spore_Colony -1; Zerg_Expansion 120; Zerg_Hydralisk_Den 569; Zerg_Greater_Spire -1; Zerg_Expansion2 258; Zerg_Lair 361; Zerg_Ultralisk_Cavern -1; Zerg_Spire 426; Zerg_Building_Overlord 60; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening lurkers; Zerg_Spawning_Pool 123; Zerg_Extractor 185; Zerg_Creep_Colony -1; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony -1; Zerg_Spore_Colony -1; Zerg_Expansion 105; Zerg_Hydralisk_Den 287; Zerg_Greater_Spire -1; Zerg_Expansion2 170; Zerg_Lair 247; Zerg_Ultralisk_Cavern -1; Zerg_Spire 487; Zerg_Building_Overlord 56; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening fast_mutas; Zerg_Spawning_Pool 136; Zerg_Extractor 122; Zerg_Creep_Colony 191; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony -1; Zerg_Spore_Colony -1; Zerg_Expansion 111; Zerg_Hydralisk_Den 262; Zerg_Greater_Spire -1; Zerg_Expansion2 395; Zerg_Lair 203; Zerg_Ultralisk_Cavern -1; Zerg_Spire 353; Zerg_Building_Overlord 58; Zerg_Defiler_Mound -1; 
Zerg_Hive 1049; Zerg_Opening lurkers; Zerg_Spawning_Pool 130; Zerg_Extractor 192; Zerg_Creep_Colony 231; Zerg_Evolution_Chamber 775; Zerg_Queens_Nest 998; Zerg_Sunken_Colony 255; Zerg_Spore_Colony 0; Zerg_Expansion 108; Zerg_Hydralisk_Den 385; Zerg_Greater_Spire -1; Zerg_Expansion2 176; Zerg_Lair 334; Zerg_Ultralisk_Cavern 0; Zerg_Spire 642; Zerg_Building_Overlord 60; Zerg_Defiler_Mound 0; 
Zerg_Hive 1069; Zerg_Opening hydras; Zerg_Spawning_Pool 119; Zerg_Extractor 238; Zerg_Creep_Colony 352; Zerg_Evolution_Chamber 582; Zerg_Queens_Nest 1027; Zerg_Sunken_Colony 373; Zerg_Spore_Colony -1; Zerg_Expansion 102; Zerg_Hydralisk_Den 408; Zerg_Greater_Spire -1; Zerg_Expansion2 188; Zerg_Lair 446; Zerg_Ultralisk_Cavern 0; Zerg_Spire -1; Zerg_Building_Overlord 54; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening fast_mutas; Zerg_Spawning_Pool 110; Zerg_Extractor 114; Zerg_Creep_Colony 146; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 221; Zerg_Spore_Colony -1; Zerg_Expansion 205; Zerg_Hydralisk_Den -1; Zerg_Greater_Spire -1; Zerg_Expansion2 384; Zerg_Lair 215; Zerg_Ultralisk_Cavern -1; Zerg_Spire 287; Zerg_Building_Overlord 61; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening hydras; Zerg_Spawning_Pool 127; Zerg_Extractor 141; Zerg_Creep_Colony 642; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 667; Zerg_Spore_Colony -1; Zerg_Expansion 106; Zerg_Hydralisk_Den 198; Zerg_Greater_Spire -1; Zerg_Expansion2 497; Zerg_Lair 341; Zerg_Ultralisk_Cavern -1; Zerg_Spire 639; Zerg_Building_Overlord 56; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening hydras; Zerg_Spawning_Pool 125; Zerg_Extractor 215; Zerg_Creep_Colony 294; Zerg_Evolution_Chamber 611; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 314; Zerg_Spore_Colony -1; Zerg_Expansion 106; Zerg_Hydralisk_Den 286; Zerg_Greater_Spire -1; Zerg_Expansion2 185; Zerg_Lair 321; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 57; Zerg_Defiler_Mound -1; 
Zerg_Hive 987; Zerg_Opening ; Zerg_Spawning_Pool 124; Zerg_Extractor 317; Zerg_Creep_Colony 534; Zerg_Evolution_Chamber 970; Zerg_Queens_Nest 943; Zerg_Sunken_Colony 561; Zerg_Spore_Colony -1; Zerg_Expansion 104; Zerg_Hydralisk_Den 470; Zerg_Greater_Spire 0; Zerg_Expansion2 231; Zerg_Lair 553; Zerg_Ultralisk_Cavern 0; Zerg_Spire 813; Zerg_Building_Overlord 56; Zerg_Defiler_Mound 0; 
Zerg_Hive -1; Zerg_Opening ; Zerg_Spawning_Pool 92; Zerg_Extractor 156; Zerg_Creep_Colony 255; Zerg_Evolution_Chamber 484; Zerg_Queens_Nest 620; Zerg_Sunken_Colony 527; Zerg_Spore_Colony -1; Zerg_Expansion 136; Zerg_Hydralisk_Den 622; Zerg_Greater_Spire -1; Zerg_Expansion2 273; Zerg_Lair 555; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 55; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening fast_mutas; Zerg_Spawning_Pool 126; Zerg_Extractor 147; Zerg_Creep_Colony 215; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 235; Zerg_Spore_Colony -1; Zerg_Expansion 108; Zerg_Hydralisk_Den -1; Zerg_Greater_Spire -1; Zerg_Expansion2 186; Zerg_Lair 253; Zerg_Ultralisk_Cavern -1; Zerg_Spire 652; Zerg_Building_Overlord 57; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening hydras; Zerg_Spawning_Pool 134; Zerg_Extractor 143; Zerg_Creep_Colony -1; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony -1; Zerg_Spore_Colony -1; Zerg_Expansion 108; Zerg_Hydralisk_Den 202; Zerg_Greater_Spire -1; Zerg_Expansion2 933; Zerg_Lair 531; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 59; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening ; Zerg_Spawning_Pool 124; Zerg_Extractor 148; Zerg_Creep_Colony 192; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 207; Zerg_Spore_Colony -1; Zerg_Expansion 104; Zerg_Hydralisk_Den -1; Zerg_Greater_Spire -1; Zerg_Expansion2 -1; Zerg_Lair -1; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 59; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening lurkers; Zerg_Spawning_Pool 126; Zerg_Extractor 226; Zerg_Creep_Colony 238; Zerg_Evolution_Chamber 491; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 259; Zerg_Spore_Colony -1; Zerg_Expansion 108; Zerg_Hydralisk_Den 313; Zerg_Greater_Spire -1; Zerg_Expansion2 201; Zerg_Lair 312; Zerg_Ultralisk_Cavern -1; Zerg_Spire 535; Zerg_Building_Overlord 57; Zerg_Defiler_Mound -1; 
Zerg_Hive 715; Zerg_Opening fast_mutas; Zerg_Spawning_Pool 77; Zerg_Extractor 282; Zerg_Creep_Colony 316; Zerg_Evolution_Chamber 385; Zerg_Queens_Nest 670; Zerg_Sunken_Colony 333; Zerg_Spore_Colony 470; Zerg_Expansion 144; Zerg_Hydralisk_Den 372; Zerg_Greater_Spire 846; Zerg_Expansion2 176; Zerg_Lair 338; Zerg_Ultralisk_Cavern -1; Zerg_Spire 504; Zerg_Building_Overlord 55; Zerg_Defiler_Mound 0; 
Zerg_Hive -1; Zerg_Opening hydras; Zerg_Spawning_Pool 86; Zerg_Extractor 224; Zerg_Creep_Colony 326; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 341; Zerg_Spore_Colony -1; Zerg_Expansion 125; Zerg_Hydralisk_Den 303; Zerg_Greater_Spire -1; Zerg_Expansion2 162; Zerg_Lair 282; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 55; Zerg_Defiler_Mound -1; 
Zerg_Hive 560; Zerg_Opening mutas; Zerg_Spawning_Pool 89; Zerg_Extractor 192; Zerg_Creep_Colony 217; Zerg_Evolution_Chamber 661; Zerg_Queens_Nest 511; Zerg_Sunken_Colony 240; Zerg_Spore_Colony 864; Zerg_Expansion 126; Zerg_Hydralisk_Den 535; Zerg_Greater_Spire 638; Zerg_Expansion2 170; Zerg_Lair 331; Zerg_Ultralisk_Cavern 806; Zerg_Spire 416; Zerg_Building_Overlord 57; Zerg_Defiler_Mound -1; 
Zerg_Hive 769; Zerg_Opening hydras; Zerg_Spawning_Pool 76; Zerg_Extractor 181; Zerg_Creep_Colony 408; Zerg_Evolution_Chamber 642; Zerg_Queens_Nest 723; Zerg_Sunken_Colony 428; Zerg_Spore_Colony -1; Zerg_Expansion 126; Zerg_Hydralisk_Den 387; Zerg_Greater_Spire -1; Zerg_Expansion2 167; Zerg_Lair 235; Zerg_Ultralisk_Cavern -1; Zerg_Spire 302; Zerg_Building_Overlord 54; Zerg_Defiler_Mound 957; 
Zerg_Hive -1; Zerg_Opening lurkers; Zerg_Spawning_Pool 78; Zerg_Extractor 106; Zerg_Creep_Colony 283; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 298; Zerg_Spore_Colony -1; Zerg_Expansion 161; Zerg_Hydralisk_Den 258; Zerg_Greater_Spire -1; Zerg_Expansion2 375; Zerg_Lair 195; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 55; Zerg_Defiler_Mound -1; 
Zerg_Hive 684; Zerg_Opening lurkers; Zerg_Spawning_Pool 82; Zerg_Extractor 91; Zerg_Creep_Colony 350; Zerg_Evolution_Chamber 368; Zerg_Queens_Nest 621; Zerg_Sunken_Colony 371; Zerg_Spore_Colony 0; Zerg_Expansion 192; Zerg_Hydralisk_Den 480; Zerg_Greater_Spire -1; Zerg_Expansion2 207; Zerg_Lair 428; Zerg_Ultralisk_Cavern 821; Zerg_Spire 567; Zerg_Building_Overlord 57; Zerg_Defiler_Mound 823; 
Zerg_Hive -1; Zerg_Opening ; Zerg_Spawning_Pool 143; Zerg_Extractor 154; Zerg_Creep_Colony -1; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony -1; Zerg_Spore_Colony -1; Zerg_Expansion 127; Zerg_Hydralisk_Den -1; Zerg_Greater_Spire -1; Zerg_Expansion2 230; Zerg_Lair -1; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 58; Zerg_Defiler_Mound -1; 
Zerg_Hive 758; Zerg_Opening hydras; Zerg_Spawning_Pool 82; Zerg_Extractor 250; Zerg_Creep_Colony 385; Zerg_Evolution_Chamber 271; Zerg_Queens_Nest 699; Zerg_Sunken_Colony 405; Zerg_Spore_Colony 446; Zerg_Expansion 123; Zerg_Hydralisk_Den 375; Zerg_Greater_Spire -1; Zerg_Expansion2 178; Zerg_Lair 340; Zerg_Ultralisk_Cavern 859; Zerg_Spire 479; Zerg_Building_Overlord 56; Zerg_Defiler_Mound -1; 
Zerg_Hive 879; Zerg_Opening hydras; Zerg_Spawning_Pool 125; Zerg_Extractor 198; Zerg_Creep_Colony 322; Zerg_Evolution_Chamber 261; Zerg_Queens_Nest 836; Zerg_Sunken_Colony 342; Zerg_Spore_Colony 397; Zerg_Expansion 109; Zerg_Hydralisk_Den 418; Zerg_Greater_Spire -1; Zerg_Expansion2 166; Zerg_Lair 396; Zerg_Ultralisk_Cavern 976; Zerg_Spire 565; Zerg_Building_Overlord 55; Zerg_Defiler_Mound 1055; 
Zerg_Hive 536; Zerg_Opening lurkers; Zerg_Spawning_Pool 124; Zerg_Extractor 187; Zerg_Creep_Colony 256; Zerg_Evolution_Chamber 368; Zerg_Queens_Nest 481; Zerg_Sunken_Colony 299; Zerg_Spore_Colony 550; Zerg_Expansion 105; Zerg_Hydralisk_Den 285; Zerg_Greater_Spire 0; Zerg_Expansion2 178; Zerg_Lair 248; Zerg_Ultralisk_Cavern 613; Zerg_Spire 390; Zerg_Building_Overlord 57; Zerg_Defiler_Mound 616; 
Zerg_Hive -1; Zerg_Opening ; Zerg_Spawning_Pool 81; Zerg_Extractor -1; Zerg_Creep_Colony 232; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony -1; Zerg_Spore_Colony -1; Zerg_Expansion 139; Zerg_Hydralisk_Den -1; Zerg_Greater_Spire -1; Zerg_Expansion2 180; Zerg_Lair -1; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 58; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening ; Zerg_Spawning_Pool 78; Zerg_Extractor 114; Zerg_Creep_Colony -1; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony -1; Zerg_Spore_Colony -1; Zerg_Expansion 145; Zerg_Hydralisk_Den -1; Zerg_Greater_Spire -1; Zerg_Expansion2 155; Zerg_Lair -1; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 56; Zerg_Defiler_Mound -1; 
Zerg_Hive 755; Zerg_Opening hydras; Zerg_Spawning_Pool 116; Zerg_Extractor 190; Zerg_Creep_Colony 327; Zerg_Evolution_Chamber 518; Zerg_Queens_Nest 709; Zerg_Sunken_Colony 346; Zerg_Spore_Colony 0; Zerg_Expansion 108; Zerg_Hydralisk_Den 408; Zerg_Greater_Spire -1; Zerg_Expansion2 138; Zerg_Lair 243; Zerg_Ultralisk_Cavern 970; Zerg_Spire 308; Zerg_Building_Overlord 58; Zerg_Defiler_Mound 874; 
Zerg_Hive 692; Zerg_Opening lurkers; Zerg_Spawning_Pool 126; Zerg_Extractor 226; Zerg_Creep_Colony 414; Zerg_Evolution_Chamber 453; Zerg_Queens_Nest 634; Zerg_Sunken_Colony 429; Zerg_Spore_Colony -1; Zerg_Expansion 110; Zerg_Hydralisk_Den 298; Zerg_Greater_Spire -1; Zerg_Expansion2 176; Zerg_Lair 286; Zerg_Ultralisk_Cavern 1047; Zerg_Spire 412; Zerg_Building_Overlord 56; Zerg_Defiler_Mound 840; 
