Protoss_Pylon2 142; Protoss_Pylon 49; Protoss_Opening nony; Protoss_Assimilator 100; Protoss_Gateway 78; Protoss_Robotics_Support_Bay 795; Protoss_Expansion 402; Protoss_Arbiter_Tribunal 771; Protoss_Robotics_Facility 274; Protoss_Fleet_Beacon 0; Protoss_Stargate 694; Protoss_Citadel_of_Adun 430; Protoss_Gateway2 235; Protoss_Forge 721; Protoss_Templar_Archives 571; Protoss_Photon_Cannon 775; Protoss_Cybernetics_Core 122; 
Protoss_Pylon2 131; Protoss_Pylon 52; Protoss_Opening two_gates; Protoss_Assimilator 291; Protoss_Gateway 84; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 890; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 722; Protoss_Fleet_Beacon 545; Protoss_Stargate 491; Protoss_Citadel_of_Adun 691; Protoss_Gateway2 103; Protoss_Forge 198; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 232; Protoss_Cybernetics_Core 384; 
Protoss_Pylon2 147; Protoss_Pylon 52; Protoss_Opening templar; Protoss_Assimilator 98; Protoss_Gateway 91; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 340; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 239; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 219; Protoss_Gateway2 282; Protoss_Forge 365; Protoss_Templar_Archives 833; Protoss_Photon_Cannon 440; Protoss_Cybernetics_Core 136; 
Protoss_Pylon2 147; Protoss_Pylon 52; Protoss_Opening templar; Protoss_Assimilator 98; Protoss_Gateway 91; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 340; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 239; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 219; Protoss_Gateway2 282; Protoss_Forge 365; Protoss_Templar_Archives 833; Protoss_Photon_Cannon 440; Protoss_Cybernetics_Core 136; 
Protoss_Pylon2 151; Protoss_Pylon 53; Protoss_Opening reaver_drop; Protoss_Assimilator 107; Protoss_Gateway 82; Protoss_Robotics_Support_Bay 418; Protoss_Expansion 626; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 346; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 462; Protoss_Gateway2 140; Protoss_Forge 786; Protoss_Templar_Archives 610; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 300; 
Protoss_Pylon2 147; Protoss_Pylon 52; Protoss_Opening reaver_drop; Protoss_Assimilator 95; Protoss_Gateway 78; Protoss_Robotics_Support_Bay 284; Protoss_Expansion 336; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 172; Protoss_Fleet_Beacon 992; Protoss_Stargate 913; Protoss_Citadel_of_Adun 469; Protoss_Gateway2 257; Protoss_Forge 531; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 577; Protoss_Cybernetics_Core 123; 
Protoss_Pylon2 150; Protoss_Pylon 52; Protoss_Opening nony; Protoss_Assimilator 102; Protoss_Gateway 83; Protoss_Robotics_Support_Bay 657; Protoss_Expansion 367; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 247; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 503; Protoss_Gateway2 297; Protoss_Forge 444; Protoss_Templar_Archives 561; Protoss_Photon_Cannon 539; Protoss_Cybernetics_Core 132; 
Protoss_Pylon2 142; Protoss_Pylon 47; Protoss_Opening fast_dt; Protoss_Assimilator 101; Protoss_Gateway 85; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 366; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 399; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 183; Protoss_Gateway2 236; Protoss_Forge 409; Protoss_Templar_Archives 226; Protoss_Photon_Cannon 440; Protoss_Cybernetics_Core 128; 
Protoss_Pylon2 152; Protoss_Pylon 53; Protoss_Opening templar; Protoss_Assimilator 101; Protoss_Gateway 84; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 297; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 234; Protoss_Fleet_Beacon 910; Protoss_Stargate 849; Protoss_Citadel_of_Adun 473; Protoss_Gateway2 346; Protoss_Forge 575; Protoss_Templar_Archives 539; Protoss_Photon_Cannon 619; Protoss_Cybernetics_Core 134; 
Protoss_Pylon2 150; Protoss_Pylon 48; Protoss_Opening reaver_drop; Protoss_Assimilator 98; Protoss_Gateway 75; Protoss_Robotics_Support_Bay 251; Protoss_Expansion 388; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 179; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 472; Protoss_Gateway2 495; Protoss_Forge 915; Protoss_Templar_Archives 818; Protoss_Photon_Cannon 981; Protoss_Cybernetics_Core 131; 
Protoss_Pylon2 150; Protoss_Pylon 53; Protoss_Opening fast_dt; Protoss_Assimilator 107; Protoss_Gateway 84; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 303; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 482; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 243; Protoss_Gateway2 320; Protoss_Forge 635; Protoss_Templar_Archives 287; Protoss_Photon_Cannon 792; Protoss_Cybernetics_Core 133; 
Protoss_Pylon2 131; Protoss_Pylon 52; Protoss_Opening two_gates; Protoss_Assimilator 291; Protoss_Gateway 84; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 890; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 722; Protoss_Fleet_Beacon 545; Protoss_Stargate 491; Protoss_Citadel_of_Adun 691; Protoss_Gateway2 103; Protoss_Forge 198; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 232; Protoss_Cybernetics_Core 384; 
Protoss_Pylon2 152; Protoss_Pylon 47; Protoss_Opening templar; Protoss_Assimilator 100; Protoss_Gateway 86; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 396; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 1014; Protoss_Fleet_Beacon 0; Protoss_Stargate 240; Protoss_Citadel_of_Adun 385; Protoss_Gateway2 408; Protoss_Forge 983; Protoss_Templar_Archives 466; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 134; 
Protoss_Pylon2 150; Protoss_Pylon 53; Protoss_Opening fast_dt; Protoss_Assimilator 107; Protoss_Gateway 84; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 303; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 482; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 243; Protoss_Gateway2 320; Protoss_Forge 635; Protoss_Templar_Archives 287; Protoss_Photon_Cannon 792; Protoss_Cybernetics_Core 133; 
Protoss_Pylon2 109; Protoss_Pylon 51; Protoss_Opening templar; Protoss_Assimilator 97; Protoss_Gateway 77; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 427; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 291; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 275; Protoss_Gateway2 167; Protoss_Forge 390; Protoss_Templar_Archives 551; Protoss_Photon_Cannon 462; Protoss_Cybernetics_Core 149; 
Protoss_Pylon2 172; Protoss_Pylon 54; Protoss_Opening two_gates; Protoss_Assimilator 113; Protoss_Gateway 96; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 324; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 533; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 205; Protoss_Gateway2 304; Protoss_Forge 0; Protoss_Templar_Archives 263; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 152; 
Protoss_Pylon2 154; Protoss_Pylon 53; Protoss_Opening fast_dt; Protoss_Assimilator 99; Protoss_Gateway 83; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 365; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 531; Protoss_Fleet_Beacon 790; Protoss_Stargate 727; Protoss_Citadel_of_Adun 223; Protoss_Gateway2 298; Protoss_Forge 561; Protoss_Templar_Archives 274; Protoss_Photon_Cannon 606; Protoss_Cybernetics_Core 130; 
Protoss_Pylon2 153; Protoss_Pylon 52; Protoss_Opening nony; Protoss_Assimilator 104; Protoss_Gateway 81; Protoss_Robotics_Support_Bay 328; Protoss_Expansion 431; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 271; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 619; Protoss_Gateway2 464; Protoss_Forge 643; Protoss_Templar_Archives 844; Protoss_Photon_Cannon 732; Protoss_Cybernetics_Core 131; 
Protoss_Pylon2 152; Protoss_Pylon 55; Protoss_Opening nony; Protoss_Assimilator 101; Protoss_Gateway 82; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 439; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 250; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 510; Protoss_Gateway2 312; Protoss_Forge 0; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 130; 
Protoss_Pylon2 125; Protoss_Pylon 57; Protoss_Opening fast_dt; Protoss_Assimilator 105; Protoss_Gateway 214; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 934; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 303; Protoss_Fleet_Beacon 1034; Protoss_Stargate 872; Protoss_Citadel_of_Adun 298; Protoss_Gateway2 311; Protoss_Forge 133; Protoss_Templar_Archives 341; Protoss_Photon_Cannon 189; Protoss_Cybernetics_Core 257; 
Protoss_Pylon2 147; Protoss_Pylon 52; Protoss_Opening templar; Protoss_Assimilator 98; Protoss_Gateway 91; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 340; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 239; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 219; Protoss_Gateway2 282; Protoss_Forge 365; Protoss_Templar_Archives 833; Protoss_Photon_Cannon 440; Protoss_Cybernetics_Core 136; 
Protoss_Pylon2 159; Protoss_Pylon 50; Protoss_Opening unknown; Protoss_Assimilator 107; Protoss_Gateway 90; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 357; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 239; Protoss_Fleet_Beacon 652; Protoss_Stargate 583; Protoss_Citadel_of_Adun 448; Protoss_Gateway2 273; Protoss_Forge 483; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 534; Protoss_Cybernetics_Core 149; 
Protoss_Pylon2 121; Protoss_Pylon 53; Protoss_Opening two_gates; Protoss_Assimilator 114; Protoss_Gateway 87; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 267; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 279; Protoss_Fleet_Beacon 0; Protoss_Stargate 609; Protoss_Citadel_of_Adun 488; Protoss_Gateway2 183; Protoss_Forge 0; Protoss_Templar_Archives 589; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 161; 
Protoss_Pylon2 158; Protoss_Pylon 54; Protoss_Opening nony; Protoss_Assimilator 110; Protoss_Gateway 85; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 371; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 248; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 435; Protoss_Gateway2 262; Protoss_Forge 438; Protoss_Templar_Archives 514; Protoss_Photon_Cannon 895; Protoss_Cybernetics_Core 137; 
Protoss_Pylon2 150; Protoss_Pylon 52; Protoss_Opening nony; Protoss_Assimilator 102; Protoss_Gateway 83; Protoss_Robotics_Support_Bay 657; Protoss_Expansion 367; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 247; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 503; Protoss_Gateway2 297; Protoss_Forge 444; Protoss_Templar_Archives 561; Protoss_Photon_Cannon 539; Protoss_Cybernetics_Core 132; 
Protoss_Pylon2 148; Protoss_Pylon 52; Protoss_Opening nony; Protoss_Assimilator 100; Protoss_Gateway 81; Protoss_Robotics_Support_Bay 328; Protoss_Expansion 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 251; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 0; Protoss_Gateway2 169; Protoss_Forge 0; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 136; 
Protoss_Pylon2 147; Protoss_Pylon 48; Protoss_Opening templar; Protoss_Assimilator 100; Protoss_Gateway 81; Protoss_Robotics_Support_Bay 610; Protoss_Expansion 408; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 192; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 390; Protoss_Gateway2 217; Protoss_Forge 517; Protoss_Templar_Archives 464; Protoss_Photon_Cannon 552; Protoss_Cybernetics_Core 132; 
Protoss_Pylon2 123; Protoss_Pylon 48; Protoss_Opening two_gates; Protoss_Assimilator 90; Protoss_Gateway 75; Protoss_Robotics_Support_Bay 309; Protoss_Expansion 381; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 198; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 403; Protoss_Gateway2 232; Protoss_Forge 547; Protoss_Templar_Archives 457; Protoss_Photon_Cannon 666; Protoss_Cybernetics_Core 149; 
Protoss_Pylon2 152; Protoss_Pylon 55; Protoss_Opening nony; Protoss_Assimilator 101; Protoss_Gateway 82; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 439; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 250; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 510; Protoss_Gateway2 312; Protoss_Forge 0; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 130; 
Protoss_Pylon2 145; Protoss_Pylon 51; Protoss_Opening speedzeal; Protoss_Assimilator 95; Protoss_Gateway 84; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 427; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 226; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 468; Protoss_Gateway2 265; Protoss_Forge 565; Protoss_Templar_Archives 838; Protoss_Photon_Cannon 681; Protoss_Cybernetics_Core 126; 
Protoss_Pylon2 147; Protoss_Pylon 52; Protoss_Opening reaver_drop; Protoss_Assimilator 95; Protoss_Gateway 78; Protoss_Robotics_Support_Bay 284; Protoss_Expansion 336; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 172; Protoss_Fleet_Beacon 992; Protoss_Stargate 913; Protoss_Citadel_of_Adun 469; Protoss_Gateway2 257; Protoss_Forge 531; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 577; Protoss_Cybernetics_Core 123; 
Protoss_Pylon2 147; Protoss_Pylon 51; Protoss_Opening ; Protoss_Assimilator 104; Protoss_Gateway 89; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 198; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 0; Protoss_Gateway2 219; Protoss_Forge 0; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 133; 
Protoss_Pylon2 142; Protoss_Pylon 50; Protoss_Opening nony; Protoss_Assimilator 101; Protoss_Gateway 80; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 383; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 413; Protoss_Fleet_Beacon 962; Protoss_Stargate 898; Protoss_Citadel_of_Adun 254; Protoss_Gateway2 216; Protoss_Forge 725; Protoss_Templar_Archives 303; Protoss_Photon_Cannon 786; Protoss_Cybernetics_Core 125; 
Protoss_Pylon2 160; Protoss_Pylon 53; Protoss_Opening ; Protoss_Assimilator 103; Protoss_Gateway 85; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 402; Protoss_Arbiter_Tribunal 310; Protoss_Robotics_Facility 0; Protoss_Fleet_Beacon 0; Protoss_Stargate 258; Protoss_Citadel_of_Adun 182; Protoss_Gateway2 281; Protoss_Forge 965; Protoss_Templar_Archives 230; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 134; 
Protoss_Pylon2 141; Protoss_Pylon 51; Protoss_Opening templar; Protoss_Assimilator 95; Protoss_Gateway 77; Protoss_Robotics_Support_Bay 343; Protoss_Expansion 305; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 172; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 309; Protoss_Gateway2 334; Protoss_Forge 428; Protoss_Templar_Archives 358; Protoss_Photon_Cannon 461; Protoss_Cybernetics_Core 127; 
Protoss_Pylon2 150; Protoss_Pylon 53; Protoss_Opening fast_dt; Protoss_Assimilator 107; Protoss_Gateway 84; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 303; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 482; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 243; Protoss_Gateway2 320; Protoss_Forge 635; Protoss_Templar_Archives 287; Protoss_Photon_Cannon 792; Protoss_Cybernetics_Core 133; 
Protoss_Pylon2 143; Protoss_Pylon 50; Protoss_Opening speedzeal; Protoss_Assimilator 96; Protoss_Gateway 80; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 367; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 209; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 372; Protoss_Gateway2 309; Protoss_Forge 539; Protoss_Templar_Archives 423; Protoss_Photon_Cannon 579; Protoss_Cybernetics_Core 123; 
Protoss_Pylon2 145; Protoss_Pylon 51; Protoss_Opening speedzeal; Protoss_Assimilator 95; Protoss_Gateway 84; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 427; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 226; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 468; Protoss_Gateway2 265; Protoss_Forge 565; Protoss_Templar_Archives 838; Protoss_Photon_Cannon 681; Protoss_Cybernetics_Core 126; 
Protoss_Pylon2 144; Protoss_Pylon 58; Protoss_Opening ; Protoss_Assimilator 97; Protoss_Gateway 84; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 358; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 202; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 373; Protoss_Gateway2 265; Protoss_Forge 0; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 128; 
Protoss_Pylon2 143; Protoss_Pylon 52; Protoss_Opening reaver_drop; Protoss_Assimilator 103; Protoss_Gateway 86; Protoss_Robotics_Support_Bay 253; Protoss_Expansion 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 191; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 0; Protoss_Gateway2 0; Protoss_Forge 0; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 131; 
Protoss_Pylon2 146; Protoss_Pylon 50; Protoss_Opening speedzeal; Protoss_Assimilator 97; Protoss_Gateway 81; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 347; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 195; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 402; Protoss_Gateway2 246; Protoss_Forge 707; Protoss_Templar_Archives 780; Protoss_Photon_Cannon 756; Protoss_Cybernetics_Core 125; 
Protoss_Pylon2 132; Protoss_Pylon 54; Protoss_Opening two_gates; Protoss_Assimilator 108; Protoss_Gateway 92; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 277; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 320; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 578; Protoss_Gateway2 346; Protoss_Forge 562; Protoss_Templar_Archives 737; Protoss_Photon_Cannon 630; Protoss_Cybernetics_Core 164; 
Protoss_Pylon2 144; Protoss_Pylon 50; Protoss_Opening ; Protoss_Assimilator 103; Protoss_Gateway 85; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 194; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 0; Protoss_Gateway2 281; Protoss_Forge 0; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 129; 
Protoss_Pylon2 144; Protoss_Pylon 50; Protoss_Opening ; Protoss_Assimilator 103; Protoss_Gateway 85; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 194; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 0; Protoss_Gateway2 281; Protoss_Forge 0; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 129; 
Protoss_Pylon2 143; Protoss_Pylon 52; Protoss_Opening ; Protoss_Assimilator 68; Protoss_Gateway 93; Protoss_Robotics_Support_Bay 316; Protoss_Expansion 418; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 177; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 377; Protoss_Gateway2 359; Protoss_Forge 0; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 136; 
