Zerg_Hive 25785; Zerg_Opening HydraMass; Zerg_Spawning_Pool 3015; Zerg_Extractor 6330; Zerg_Creep_Colony 4335; Zerg_Evolution_Chamber 12630; Zerg_Queens_Nest 20945; Zerg_Sunken_Colony 5325; Zerg_Spore_Colony 0; Zerg_Expansion 2390; Zerg_Hydralisk_Den 7410; Zerg_Greater_Spire 0; Zerg_Expansion2 6025; Zerg_Lair 14330; Zerg_Ultralisk_Cavern 0; Zerg_Spire 15900; Zerg_Building_Overlord 1215; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening Standard; Zerg_Spawning_Pool 2522; Zerg_Extractor 2244; Zerg_Creep_Colony 0; Zerg_Evolution_Chamber 0; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 0; Zerg_Spore_Colony 0; Zerg_Expansion 4572; Zerg_Hydralisk_Den 5384; Zerg_Greater_Spire 0; Zerg_Expansion2 12676; Zerg_Lair 3808; Zerg_Ultralisk_Cavern 0; Zerg_Spire 10486; Zerg_Building_Overlord 1444; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening Unknown; Zerg_Spawning_Pool 1616; Zerg_Extractor 2002; Zerg_Creep_Colony 8300; Zerg_Evolution_Chamber 7350; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 8768; Zerg_Spore_Colony 9972; Zerg_Expansion 4960; Zerg_Hydralisk_Den 0; Zerg_Greater_Spire 0; Zerg_Expansion2 5928; Zerg_Lair 0; Zerg_Ultralisk_Cavern 0; Zerg_Spire 0; Zerg_Building_Overlord 2178; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening ThreeHatchMuta; Zerg_Spawning_Pool 2218; Zerg_Extractor 7126; Zerg_Creep_Colony 5132; Zerg_Evolution_Chamber 0; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 5810; Zerg_Spore_Colony 0; Zerg_Expansion 3268; Zerg_Hydralisk_Den 16534; Zerg_Greater_Spire 0; Zerg_Expansion2 4664; Zerg_Lair 9374; Zerg_Ultralisk_Cavern 0; Zerg_Spire 10944; Zerg_Building_Overlord 1454; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening HydraMass; Zerg_Spawning_Pool 2695; Zerg_Extractor 1350; Zerg_Creep_Colony 4625; Zerg_Evolution_Chamber 15950; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 5025; Zerg_Spore_Colony 0; Zerg_Expansion 2190; Zerg_Hydralisk_Den 13365; Zerg_Greater_Spire 0; Zerg_Expansion2 6220; Zerg_Lair 11535; Zerg_Ultralisk_Cavern 0; Zerg_Spire 20975; Zerg_Building_Overlord 3330; Zerg_Defiler_Mound 0; 
Zerg_Hive 24415; Zerg_Opening HydraMass; Zerg_Spawning_Pool 2960; Zerg_Extractor 5595; Zerg_Creep_Colony 9850; Zerg_Evolution_Chamber 19035; Zerg_Queens_Nest 21740; Zerg_Sunken_Colony 10305; Zerg_Spore_Colony 0; Zerg_Expansion 2430; Zerg_Hydralisk_Den 13335; Zerg_Greater_Spire 0; Zerg_Expansion2 5100; Zerg_Lair 13525; Zerg_Ultralisk_Cavern 29870; Zerg_Spire 0; Zerg_Building_Overlord 1210; Zerg_Defiler_Mound 28140; 
Zerg_Hive 17935; Zerg_Opening ThreeHatchMuta; Zerg_Spawning_Pool 3025; Zerg_Extractor 5415; Zerg_Creep_Colony 4445; Zerg_Evolution_Chamber 6440; Zerg_Queens_Nest 16790; Zerg_Sunken_Colony 4840; Zerg_Spore_Colony 7705; Zerg_Expansion 2575; Zerg_Hydralisk_Den 9505; Zerg_Greater_Spire 0; Zerg_Expansion2 5055; Zerg_Lair 7220; Zerg_Ultralisk_Cavern 0; Zerg_Spire 8770; Zerg_Building_Overlord 1455; Zerg_Defiler_Mound 0; 
Zerg_Hive 20400; Zerg_Opening HydraMass; Zerg_Spawning_Pool 2950; Zerg_Extractor 3395; Zerg_Creep_Colony 0; Zerg_Evolution_Chamber 12280; Zerg_Queens_Nest 18625; Zerg_Sunken_Colony 0; Zerg_Spore_Colony 0; Zerg_Expansion 2605; Zerg_Hydralisk_Den 7170; Zerg_Greater_Spire 0; Zerg_Expansion2 4650; Zerg_Lair 9800; Zerg_Ultralisk_Cavern 28745; Zerg_Spire 0; Zerg_Building_Overlord 1355; Zerg_Defiler_Mound 43795; 
Zerg_Hive 23778; Zerg_Opening Standard; Zerg_Spawning_Pool 3724; Zerg_Extractor 2224; Zerg_Creep_Colony 15290; Zerg_Evolution_Chamber 0; Zerg_Queens_Nest 22770; Zerg_Sunken_Colony 15678; Zerg_Spore_Colony 0; Zerg_Expansion 3032; Zerg_Hydralisk_Den 5632; Zerg_Greater_Spire 25748; Zerg_Expansion2 11138; Zerg_Lair 4974; Zerg_Ultralisk_Cavern 0; Zerg_Spire 15534; Zerg_Building_Overlord 1446; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening TwoHatchMuta; Zerg_Spawning_Pool 2432; Zerg_Extractor 2632; Zerg_Creep_Colony 4560; Zerg_Evolution_Chamber 0; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 5068; Zerg_Spore_Colony 0; Zerg_Expansion 4200; Zerg_Hydralisk_Den 12834; Zerg_Greater_Spire 0; Zerg_Expansion2 16724; Zerg_Lair 6064; Zerg_Ultralisk_Cavern 0; Zerg_Spire 8048; Zerg_Building_Overlord 1170; Zerg_Defiler_Mound 0; 
Zerg_Hive 16144; Zerg_Opening ThreeHatchMuta; Zerg_Spawning_Pool 2568; Zerg_Extractor 3616; Zerg_Creep_Colony 4132; Zerg_Evolution_Chamber 14812; Zerg_Queens_Nest 14854; Zerg_Sunken_Colony 5904; Zerg_Spore_Colony 0; Zerg_Expansion 1928; Zerg_Hydralisk_Den 14766; Zerg_Greater_Spire 18040; Zerg_Expansion2 8708; Zerg_Lair 9722; Zerg_Ultralisk_Cavern 19178; Zerg_Spire 12498; Zerg_Building_Overlord 3914; Zerg_Defiler_Mound 0; 
Zerg_Hive 16760; Zerg_Opening TwoHatchMuta; Zerg_Spawning_Pool 2554; Zerg_Extractor 2858; Zerg_Creep_Colony 4574; Zerg_Evolution_Chamber 12190; Zerg_Queens_Nest 15658; Zerg_Sunken_Colony 5058; Zerg_Spore_Colony 0; Zerg_Expansion 1866; Zerg_Hydralisk_Den 10016; Zerg_Greater_Spire 18578; Zerg_Expansion2 8430; Zerg_Lair 6566; Zerg_Ultralisk_Cavern 22232; Zerg_Spire 8102; Zerg_Building_Overlord 3148; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening ThreeHatchMuta; Zerg_Spawning_Pool 2330; Zerg_Extractor 1550; Zerg_Creep_Colony 9190; Zerg_Evolution_Chamber 13345; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 9875; Zerg_Spore_Colony 0; Zerg_Expansion 3320; Zerg_Hydralisk_Den 10235; Zerg_Greater_Spire 0; Zerg_Expansion2 5370; Zerg_Lair 7845; Zerg_Ultralisk_Cavern 0; Zerg_Spire 9580; Zerg_Building_Overlord 1400; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening HydraMass; Zerg_Spawning_Pool 1650; Zerg_Extractor 1985; Zerg_Creep_Colony 8380; Zerg_Evolution_Chamber 0; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 10240; Zerg_Spore_Colony 0; Zerg_Expansion 4365; Zerg_Hydralisk_Den 13170; Zerg_Greater_Spire 0; Zerg_Expansion2 5355; Zerg_Lair 13110; Zerg_Ultralisk_Cavern 0; Zerg_Spire 0; Zerg_Building_Overlord 2205; Zerg_Defiler_Mound 0; 
Zerg_Hive 26130; Zerg_Opening HydraMass; Zerg_Spawning_Pool 2555; Zerg_Extractor 1635; Zerg_Creep_Colony 8175; Zerg_Evolution_Chamber 12100; Zerg_Queens_Nest 24540; Zerg_Sunken_Colony 8580; Zerg_Spore_Colony 58855; Zerg_Expansion 3435; Zerg_Hydralisk_Den 7220; Zerg_Greater_Spire 0; Zerg_Expansion2 5620; Zerg_Lair 12790; Zerg_Ultralisk_Cavern 29215; Zerg_Spire 28450; Zerg_Building_Overlord 1495; Zerg_Defiler_Mound 0; 
Zerg_Hive 15990; Zerg_Opening HydraMass; Zerg_Spawning_Pool 3110; Zerg_Extractor 3930; Zerg_Creep_Colony 7550; Zerg_Evolution_Chamber 10030; Zerg_Queens_Nest 14510; Zerg_Sunken_Colony 8200; Zerg_Spore_Colony 13375; Zerg_Expansion 2625; Zerg_Hydralisk_Den 7385; Zerg_Greater_Spire 0; Zerg_Expansion2 5250; Zerg_Lair 6130; Zerg_Ultralisk_Cavern 0; Zerg_Spire 10560; Zerg_Building_Overlord 1425; Zerg_Defiler_Mound 0; 
Zerg_Hive 18710; Zerg_Opening HydraMass; Zerg_Spawning_Pool 3050; Zerg_Extractor 6105; Zerg_Creep_Colony 4735; Zerg_Evolution_Chamber 13250; Zerg_Queens_Nest 17655; Zerg_Sunken_Colony 5115; Zerg_Spore_Colony 0; Zerg_Expansion 2685; Zerg_Hydralisk_Den 8310; Zerg_Greater_Spire 0; Zerg_Expansion2 4080; Zerg_Lair 8765; Zerg_Ultralisk_Cavern 20615; Zerg_Spire 14095; Zerg_Building_Overlord 1365; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening HydraMass; Zerg_Spawning_Pool 3195; Zerg_Extractor 1400; Zerg_Creep_Colony 10470; Zerg_Evolution_Chamber 23355; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 11310; Zerg_Spore_Colony 0; Zerg_Expansion 2690; Zerg_Hydralisk_Den 7560; Zerg_Greater_Spire 0; Zerg_Expansion2 4930; Zerg_Lair 6100; Zerg_Ultralisk_Cavern 0; Zerg_Spire 0; Zerg_Building_Overlord 1665; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening HydraMass; Zerg_Spawning_Pool 3120; Zerg_Extractor 3610; Zerg_Creep_Colony 7595; Zerg_Evolution_Chamber 17245; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 8575; Zerg_Spore_Colony 0; Zerg_Expansion 2660; Zerg_Hydralisk_Den 9365; Zerg_Greater_Spire 0; Zerg_Expansion2 5380; Zerg_Lair 13835; Zerg_Ultralisk_Cavern 0; Zerg_Spire 0; Zerg_Building_Overlord 1420; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening HydraRush; Zerg_Spawning_Pool 3105; Zerg_Extractor 3675; Zerg_Creep_Colony 0; Zerg_Evolution_Chamber 0; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 0; Zerg_Spore_Colony 0; Zerg_Expansion 2635; Zerg_Hydralisk_Den 4955; Zerg_Greater_Spire 0; Zerg_Expansion2 11275; Zerg_Lair 12230; Zerg_Ultralisk_Cavern 0; Zerg_Spire 14205; Zerg_Building_Overlord 1400; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening HydraMass; Zerg_Spawning_Pool 3210; Zerg_Extractor 3985; Zerg_Creep_Colony 4405; Zerg_Evolution_Chamber 13770; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 4815; Zerg_Spore_Colony 0; Zerg_Expansion 2730; Zerg_Hydralisk_Den 9540; Zerg_Greater_Spire 0; Zerg_Expansion2 9280; Zerg_Lair 13120; Zerg_Ultralisk_Cavern 0; Zerg_Spire 0; Zerg_Building_Overlord 1490; Zerg_Defiler_Mound 0; 
Zerg_Hive 19575; Zerg_Opening Lurker; Zerg_Spawning_Pool 3265; Zerg_Extractor 4035; Zerg_Creep_Colony 4735; Zerg_Evolution_Chamber 9615; Zerg_Queens_Nest 17570; Zerg_Sunken_Colony 5325; Zerg_Spore_Colony 0; Zerg_Expansion 2730; Zerg_Hydralisk_Den 7885; Zerg_Greater_Spire 0; Zerg_Expansion2 12595; Zerg_Lair 6635; Zerg_Ultralisk_Cavern 25195; Zerg_Spire 0; Zerg_Building_Overlord 1500; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening HydraMass; Zerg_Spawning_Pool 3114; Zerg_Extractor 3712; Zerg_Creep_Colony 9894; Zerg_Evolution_Chamber 14038; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 10312; Zerg_Spore_Colony 0; Zerg_Expansion 2624; Zerg_Hydralisk_Den 8342; Zerg_Greater_Spire 0; Zerg_Expansion2 7508; Zerg_Lair 9584; Zerg_Ultralisk_Cavern 0; Zerg_Spire 13726; Zerg_Building_Overlord 1422; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening HydraMass; Zerg_Spawning_Pool 3100; Zerg_Extractor 6040; Zerg_Creep_Colony 12870; Zerg_Evolution_Chamber 0; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 13730; Zerg_Spore_Colony 0; Zerg_Expansion 2595; Zerg_Hydralisk_Den 13370; Zerg_Greater_Spire 0; Zerg_Expansion2 5545; Zerg_Lair 0; Zerg_Ultralisk_Cavern 0; Zerg_Spire 0; Zerg_Building_Overlord 1265; Zerg_Defiler_Mound 0; 
Zerg_Hive 13570; Zerg_Opening ThreeHatchMuta; Zerg_Spawning_Pool 3065; Zerg_Extractor 1560; Zerg_Creep_Colony 6385; Zerg_Evolution_Chamber 14980; Zerg_Queens_Nest 12550; Zerg_Sunken_Colony 7120; Zerg_Spore_Colony 0; Zerg_Expansion 2770; Zerg_Hydralisk_Den 11600; Zerg_Greater_Spire 15465; Zerg_Expansion2 4855; Zerg_Lair 7320; Zerg_Ultralisk_Cavern 21760; Zerg_Spire 9400; Zerg_Building_Overlord 1400; Zerg_Defiler_Mound 0; 
Zerg_Hive 17285; Zerg_Opening ThreeHatchMuta; Zerg_Spawning_Pool 3100; Zerg_Extractor 3765; Zerg_Creep_Colony 7780; Zerg_Evolution_Chamber 22270; Zerg_Queens_Nest 15820; Zerg_Sunken_Colony 8250; Zerg_Spore_Colony 0; Zerg_Expansion 2585; Zerg_Hydralisk_Den 15770; Zerg_Greater_Spire 25350; Zerg_Expansion2 4930; Zerg_Lair 8500; Zerg_Ultralisk_Cavern 19470; Zerg_Spire 10095; Zerg_Building_Overlord 1405; Zerg_Defiler_Mound 0; 
Zerg_Hive 22515; Zerg_Opening HydraMass; Zerg_Spawning_Pool 3020; Zerg_Extractor 3650; Zerg_Creep_Colony 7425; Zerg_Evolution_Chamber 16450; Zerg_Queens_Nest 20960; Zerg_Sunken_Colony 8075; Zerg_Spore_Colony 43160; Zerg_Expansion 2580; Zerg_Hydralisk_Den 9020; Zerg_Greater_Spire 36870; Zerg_Expansion2 5965; Zerg_Lair 8255; Zerg_Ultralisk_Cavern 25440; Zerg_Spire 15745; Zerg_Building_Overlord 1340; Zerg_Defiler_Mound 0; 
Zerg_Hive 26275; Zerg_Opening HydraMass; Zerg_Spawning_Pool 3205; Zerg_Extractor 3625; Zerg_Creep_Colony 8025; Zerg_Evolution_Chamber 15505; Zerg_Queens_Nest 25245; Zerg_Sunken_Colony 8590; Zerg_Spore_Colony 0; Zerg_Expansion 2615; Zerg_Hydralisk_Den 8800; Zerg_Greater_Spire 0; Zerg_Expansion2 5955; Zerg_Lair 7680; Zerg_Ultralisk_Cavern 31305; Zerg_Spire 0; Zerg_Building_Overlord 1200; Zerg_Defiler_Mound 0; 
Zerg_Hive 0; Zerg_Opening HydraMass; Zerg_Spawning_Pool 3045; Zerg_Extractor 7480; Zerg_Creep_Colony 4860; Zerg_Evolution_Chamber 14000; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 5255; Zerg_Spore_Colony 0; Zerg_Expansion 2560; Zerg_Hydralisk_Den 10365; Zerg_Greater_Spire 0; Zerg_Expansion2 5850; Zerg_Lair 9035; Zerg_Ultralisk_Cavern 0; Zerg_Spire 21115; Zerg_Building_Overlord 1365; Zerg_Defiler_Mound 0; 
Zerg_Hive 30940; Zerg_Opening HydraMass; Zerg_Spawning_Pool 3005; Zerg_Extractor 1585; Zerg_Creep_Colony 4385; Zerg_Evolution_Chamber 21550; Zerg_Queens_Nest 29290; Zerg_Sunken_Colony 4860; Zerg_Spore_Colony 0; Zerg_Expansion 2420; Zerg_Hydralisk_Den 8035; Zerg_Greater_Spire 33855; Zerg_Expansion2 5980; Zerg_Lair 16165; Zerg_Ultralisk_Cavern 0; Zerg_Spire 22835; Zerg_Building_Overlord 1430; Zerg_Defiler_Mound 0; 
Zerg_Hive 14855; Zerg_Opening HydraMass; Zerg_Spawning_Pool 3060; Zerg_Extractor 1590; Zerg_Creep_Colony 5650; Zerg_Evolution_Chamber 10680; Zerg_Queens_Nest 12810; Zerg_Sunken_Colony 6540; Zerg_Spore_Colony 0; Zerg_Expansion 2595; Zerg_Hydralisk_Den 8480; Zerg_Greater_Spire 0; Zerg_Expansion2 4160; Zerg_Lair 7330; Zerg_Ultralisk_Cavern 0; Zerg_Spire 25190; Zerg_Building_Overlord 1410; Zerg_Defiler_Mound 0; 
Zerg_Hive 19925; Zerg_Opening HydraMass; Zerg_Spawning_Pool 3230; Zerg_Extractor 3335; Zerg_Creep_Colony 12015; Zerg_Evolution_Chamber 11815; Zerg_Queens_Nest 16740; Zerg_Sunken_Colony 13260; Zerg_Spore_Colony 12580; Zerg_Expansion 2745; Zerg_Hydralisk_Den 15920; Zerg_Greater_Spire 0; Zerg_Expansion2 9390; Zerg_Lair 14600; Zerg_Ultralisk_Cavern 37455; Zerg_Spire 16440; Zerg_Building_Overlord 1485; Zerg_Defiler_Mound 0; 
