Protoss_Pylon2 143; Protoss_Pylon 48; Protoss_Opening FastObs; Protoss_Assimilator 99; Protoss_Gateway 78; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 631; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 193; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 574; Protoss_Gateway2 299; Protoss_Forge 761; Protoss_Templar_Archives 806; Protoss_Photon_Cannon 852; Protoss_Cybernetics_Core 122; 
Protoss_Pylon2 154; Protoss_Pylon 49; Protoss_Opening FastDT; Protoss_Assimilator 97; Protoss_Gateway 79; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 379; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 0; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 247; Protoss_Gateway2 222; Protoss_Forge 649; Protoss_Templar_Archives 293; Protoss_Photon_Cannon 708; Protoss_Cybernetics_Core 135; 
Protoss_Pylon2 158; Protoss_Pylon 53; Protoss_Opening FastObs; Protoss_Assimilator 110; Protoss_Gateway 86; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 374; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 255; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 432; Protoss_Gateway2 270; Protoss_Forge 740; Protoss_Templar_Archives 521; Protoss_Photon_Cannon 782; Protoss_Cybernetics_Core 135; 
Protoss_Pylon2 155; Protoss_Pylon 53; Protoss_Opening FastObs; Protoss_Assimilator 110; Protoss_Gateway 86; Protoss_Robotics_Support_Bay 865; Protoss_Expansion 381; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 236; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 508; Protoss_Gateway2 312; Protoss_Forge 540; Protoss_Templar_Archives 555; Protoss_Photon_Cannon 609; Protoss_Cybernetics_Core 135; 
Protoss_Pylon2 133; Protoss_Pylon 49; Protoss_Opening Unknown; Protoss_Assimilator 101; Protoss_Gateway 78; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 0; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 0; Protoss_Gateway2 111; Protoss_Forge 209; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 273; Protoss_Cybernetics_Core 0; 
Protoss_Pylon2 155; Protoss_Pylon 54; Protoss_Opening ReaverDrop; Protoss_Assimilator 110; Protoss_Gateway 84; Protoss_Robotics_Support_Bay 278; Protoss_Expansion 386; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 205; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 524; Protoss_Gateway2 415; Protoss_Forge 0; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 133; 
Protoss_Pylon2 140; Protoss_Pylon 48; Protoss_Opening FastObs; Protoss_Assimilator 107; Protoss_Gateway 87; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 368; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 300; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 508; Protoss_Gateway2 260; Protoss_Forge 0; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 171; 
Protoss_Pylon2 154; Protoss_Pylon 53; Protoss_Opening FastLegs; Protoss_Assimilator 112; Protoss_Gateway 98; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 472; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 277; Protoss_Fleet_Beacon 744; Protoss_Stargate 695; Protoss_Citadel_of_Adun 245; Protoss_Gateway2 287; Protoss_Forge 0; Protoss_Templar_Archives 576; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 147; 
Protoss_Pylon2 157; Protoss_Pylon 53; Protoss_Opening FastObs; Protoss_Assimilator 108; Protoss_Gateway 91; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 541; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 202; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 409; Protoss_Gateway2 225; Protoss_Forge 670; Protoss_Templar_Archives 843; Protoss_Photon_Cannon 717; Protoss_Cybernetics_Core 136; 
Protoss_Pylon2 160; Protoss_Pylon 51; Protoss_Opening FastObs; Protoss_Assimilator 74; Protoss_Gateway 98; Protoss_Robotics_Support_Bay 527; Protoss_Expansion 380; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 187; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 510; Protoss_Gateway2 204; Protoss_Forge 406; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 438; Protoss_Cybernetics_Core 140; 
Protoss_Pylon2 162; Protoss_Pylon 53; Protoss_Opening FastObs; Protoss_Assimilator 110; Protoss_Gateway 92; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 488; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 248; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 692; Protoss_Gateway2 277; Protoss_Forge 0; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 137; 
Protoss_Pylon2 182; Protoss_Pylon 52; Protoss_Opening FastLegs; Protoss_Assimilator 103; Protoss_Gateway 116; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 570; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 349; Protoss_Gateway2 171; Protoss_Forge 581; Protoss_Templar_Archives 412; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 164; 
Protoss_Pylon2 161; Protoss_Pylon 52; Protoss_Opening FastObs; Protoss_Assimilator 105; Protoss_Gateway 86; Protoss_Robotics_Support_Bay 893; Protoss_Expansion 302; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 242; Protoss_Fleet_Beacon 769; Protoss_Stargate 711; Protoss_Citadel_of_Adun 446; Protoss_Gateway2 339; Protoss_Forge 547; Protoss_Templar_Archives 516; Protoss_Photon_Cannon 583; Protoss_Cybernetics_Core 143; 
Protoss_Pylon2 139; Protoss_Pylon 51; Protoss_Opening FastDT; Protoss_Assimilator 103; Protoss_Gateway 81; Protoss_Robotics_Support_Bay 1077; Protoss_Expansion 639; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 585; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 299; Protoss_Gateway2 255; Protoss_Forge 807; Protoss_Templar_Archives 357; Protoss_Photon_Cannon 880; Protoss_Cybernetics_Core 186; 
Protoss_Pylon2 149; Protoss_Pylon 50; Protoss_Opening ReaverDrop; Protoss_Assimilator 105; Protoss_Gateway 84; Protoss_Robotics_Support_Bay 258; Protoss_Expansion 400; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 197; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 431; Protoss_Gateway2 359; Protoss_Forge 680; Protoss_Templar_Archives 483; Protoss_Photon_Cannon 735; Protoss_Cybernetics_Core 130; 
Protoss_Pylon2 151; Protoss_Pylon 52; Protoss_Opening FastObs; Protoss_Assimilator 109; Protoss_Gateway 85; Protoss_Robotics_Support_Bay 985; Protoss_Expansion 375; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 206; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 419; Protoss_Gateway2 299; Protoss_Forge 555; Protoss_Templar_Archives 767; Protoss_Photon_Cannon 585; Protoss_Cybernetics_Core 135; 
Protoss_Pylon2 166; Protoss_Pylon 53; Protoss_Opening FastObs; Protoss_Assimilator 102; Protoss_Gateway 84; Protoss_Robotics_Support_Bay 337; Protoss_Expansion 535; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 245; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 473; Protoss_Gateway2 278; Protoss_Forge 740; Protoss_Templar_Archives 559; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 153; 
Protoss_Pylon2 152; Protoss_Pylon 52; Protoss_Opening FastObs; Protoss_Assimilator 110; Protoss_Gateway 86; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 455; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 240; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 523; Protoss_Gateway2 275; Protoss_Forge 543; Protoss_Templar_Archives 677; Protoss_Photon_Cannon 580; Protoss_Cybernetics_Core 132; 
Protoss_Pylon2 123; Protoss_Pylon 48; Protoss_Opening FastObs; Protoss_Assimilator 90; Protoss_Gateway 75; Protoss_Robotics_Support_Bay 309; Protoss_Expansion 381; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 198; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 403; Protoss_Gateway2 232; Protoss_Forge 547; Protoss_Templar_Archives 457; Protoss_Photon_Cannon 666; Protoss_Cybernetics_Core 149; 
Protoss_Pylon2 149; Protoss_Pylon 50; Protoss_Opening ReaverDrop; Protoss_Assimilator 108; Protoss_Gateway 92; Protoss_Robotics_Support_Bay 295; Protoss_Expansion 408; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 232; Protoss_Fleet_Beacon 0; Protoss_Stargate 1004; Protoss_Citadel_of_Adun 504; Protoss_Gateway2 376; Protoss_Forge 564; Protoss_Templar_Archives 551; Protoss_Photon_Cannon 598; Protoss_Cybernetics_Core 141; 
Protoss_Pylon2 140; Protoss_Pylon 50; Protoss_Opening ReaverDrop; Protoss_Assimilator 103; Protoss_Gateway 77; Protoss_Robotics_Support_Bay 281; Protoss_Expansion 593; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 211; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 0; Protoss_Gateway2 293; Protoss_Forge 0; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 126; 
Protoss_Pylon2 150; Protoss_Pylon 50; Protoss_Opening FastExpand; Protoss_Assimilator 103; Protoss_Gateway 81; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 293; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 358; Protoss_Fleet_Beacon 960; Protoss_Stargate 907; Protoss_Citadel_of_Adun 440; Protoss_Gateway2 219; Protoss_Forge 836; Protoss_Templar_Archives 878; Protoss_Photon_Cannon 979; Protoss_Cybernetics_Core 134; 
Protoss_Pylon2 165; Protoss_Pylon 56; Protoss_Opening FastObs; Protoss_Assimilator 114; Protoss_Gateway 91; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 430; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 252; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 467; Protoss_Gateway2 390; Protoss_Forge 635; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 691; Protoss_Cybernetics_Core 143; 
Protoss_Pylon2 151; Protoss_Pylon 54; Protoss_Opening ReaverDrop; Protoss_Assimilator 105; Protoss_Gateway 83; Protoss_Robotics_Support_Bay 360; Protoss_Expansion 541; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 288; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 684; Protoss_Gateway2 249; Protoss_Forge 607; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 661; Protoss_Cybernetics_Core 130; 
Protoss_Pylon2 95; Protoss_Pylon 49; Protoss_Opening Unknown; Protoss_Assimilator 124; Protoss_Gateway 76; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 0; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 0; Protoss_Gateway2 178; Protoss_Forge 0; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 143; 
Protoss_Pylon2 145; Protoss_Pylon 52; Protoss_Opening FastExpand; Protoss_Assimilator 97; Protoss_Gateway 82; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 271; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 305; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 419; Protoss_Gateway2 224; Protoss_Forge 563; Protoss_Templar_Archives 754; Protoss_Photon_Cannon 633; Protoss_Cybernetics_Core 123; 
Protoss_Pylon2 147; Protoss_Pylon 47; Protoss_Opening FastExpand; Protoss_Assimilator 97; Protoss_Gateway 78; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 401; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 581; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 667; Protoss_Gateway2 140; Protoss_Forge 822; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 853; Protoss_Cybernetics_Core 122; 
Protoss_Pylon2 150; Protoss_Pylon 48; Protoss_Opening FastLegs; Protoss_Assimilator 98; Protoss_Gateway 77; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 354; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 0; Protoss_Fleet_Beacon 475; Protoss_Stargate 426; Protoss_Citadel_of_Adun 302; Protoss_Gateway2 141; Protoss_Forge 0; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 119; 
Protoss_Pylon2 135; Protoss_Pylon 76; Protoss_Opening Unknown; Protoss_Assimilator 0; Protoss_Gateway 102; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 0; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 0; Protoss_Gateway2 0; Protoss_Forge 189; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 0; 
Protoss_Pylon2 144; Protoss_Pylon 54; Protoss_Opening FastExpand; Protoss_Assimilator 119; Protoss_Gateway 90; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 181; Protoss_Arbiter_Tribunal 597; Protoss_Robotics_Facility 422; Protoss_Fleet_Beacon 0; Protoss_Stargate 541; Protoss_Citadel_of_Adun 263; Protoss_Gateway2 229; Protoss_Forge 587; Protoss_Templar_Archives 320; Protoss_Photon_Cannon 639; Protoss_Cybernetics_Core 141; 
Protoss_Pylon2 164; Protoss_Pylon 61; Protoss_Opening FastDT; Protoss_Assimilator 78; Protoss_Gateway 88; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 458; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 478; Protoss_Fleet_Beacon 752; Protoss_Stargate 652; Protoss_Citadel_of_Adun 196; Protoss_Gateway2 269; Protoss_Forge 580; Protoss_Templar_Archives 242; Protoss_Photon_Cannon 790; Protoss_Cybernetics_Core 140; 
Protoss_Pylon2 150; Protoss_Pylon 52; Protoss_Opening FastDT; Protoss_Assimilator 106; Protoss_Gateway 82; Protoss_Robotics_Support_Bay 406; Protoss_Expansion 288; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 336; Protoss_Fleet_Beacon 867; Protoss_Stargate 813; Protoss_Citadel_of_Adun 223; Protoss_Gateway2 528; Protoss_Forge 360; Protoss_Templar_Archives 268; Protoss_Photon_Cannon 395; Protoss_Cybernetics_Core 135; 
Protoss_Pylon2 142; Protoss_Pylon 49; Protoss_Opening FastObs; Protoss_Assimilator 101; Protoss_Gateway 79; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 289; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 235; Protoss_Fleet_Beacon 553; Protoss_Stargate 504; Protoss_Citadel_of_Adun 838; Protoss_Gateway2 334; Protoss_Forge 480; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 525; Protoss_Cybernetics_Core 127; 
Protoss_Pylon2 147; Protoss_Pylon 48; Protoss_Opening FastObs; Protoss_Assimilator 100; Protoss_Gateway 81; Protoss_Robotics_Support_Bay 610; Protoss_Expansion 408; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 192; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 390; Protoss_Gateway2 217; Protoss_Forge 517; Protoss_Templar_Archives 464; Protoss_Photon_Cannon 552; Protoss_Cybernetics_Core 132; 
Protoss_Pylon2 154; Protoss_Pylon 50; Protoss_Opening FastObs; Protoss_Assimilator 114; Protoss_Gateway 85; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 477; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 198; Protoss_Fleet_Beacon 992; Protoss_Stargate 931; Protoss_Citadel_of_Adun 221; Protoss_Gateway2 259; Protoss_Forge 371; Protoss_Templar_Archives 271; Protoss_Photon_Cannon 407; Protoss_Cybernetics_Core 137; 
Protoss_Pylon2 148; Protoss_Pylon 49; Protoss_Opening Unknown; Protoss_Assimilator 92; Protoss_Gateway 77; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 0; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 0; Protoss_Gateway2 173; Protoss_Forge 0; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 123; 
Protoss_Pylon2 140; Protoss_Pylon 50; Protoss_Opening FastObs; Protoss_Assimilator 103; Protoss_Gateway 82; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 187; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 0; Protoss_Gateway2 0; Protoss_Forge 0; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 126; 
Protoss_Pylon2 140; Protoss_Pylon 48; Protoss_Opening ReaverDrop; Protoss_Assimilator 93; Protoss_Gateway 79; Protoss_Robotics_Support_Bay 263; Protoss_Expansion 340; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 206; Protoss_Fleet_Beacon 0; Protoss_Stargate 613; Protoss_Citadel_of_Adun 460; Protoss_Gateway2 195; Protoss_Forge 417; Protoss_Templar_Archives 606; Protoss_Photon_Cannon 560; Protoss_Cybernetics_Core 127; 
Protoss_Pylon2 148; Protoss_Pylon 48; Protoss_Opening FastExpand; Protoss_Assimilator 139; Protoss_Gateway 126; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 110; Protoss_Arbiter_Tribunal 711; Protoss_Robotics_Facility 351; Protoss_Fleet_Beacon 0; Protoss_Stargate 649; Protoss_Citadel_of_Adun 493; Protoss_Gateway2 212; Protoss_Forge 615; Protoss_Templar_Archives 645; Protoss_Photon_Cannon 668; Protoss_Cybernetics_Core 173; 
Protoss_Pylon2 0; Protoss_Pylon 0; Protoss_Opening Unknown; Protoss_Assimilator 0; Protoss_Gateway 0; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 0; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 0; Protoss_Gateway2 0; Protoss_Forge 0; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 0; 
Protoss_Pylon2 142; Protoss_Pylon 49; Protoss_Opening FastDT; Protoss_Assimilator 93; Protoss_Gateway 78; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 333; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 0; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 281; Protoss_Gateway2 232; Protoss_Forge 0; Protoss_Templar_Archives 327; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 121; 
Protoss_Pylon2 116; Protoss_Pylon 48; Protoss_Opening FastExpand; Protoss_Assimilator 97; Protoss_Gateway 79; Protoss_Robotics_Support_Bay 409; Protoss_Expansion 295; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 346; Protoss_Fleet_Beacon 0; Protoss_Stargate 753; Protoss_Citadel_of_Adun 504; Protoss_Gateway2 226; Protoss_Forge 616; Protoss_Templar_Archives 614; Protoss_Photon_Cannon 691; Protoss_Cybernetics_Core 146; 
