Protoss_Pylon2 127; Protoss_Pylon 54; Protoss_Opening ReaverDrop; Protoss_Assimilator 245; Protoss_Gateway 79; Protoss_Robotics_Support_Bay 525; Protoss_Expansion 636; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 460; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 0; Protoss_Gateway2 102; Protoss_Forge 662; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 248; 
Protoss_Pylon2 122; Protoss_Pylon 47; Protoss_Opening Carrier; Protoss_Assimilator 102; Protoss_Gateway 79; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 495; Protoss_Arbiter_Tribunal 791; Protoss_Robotics_Facility 372; Protoss_Fleet_Beacon 0; Protoss_Stargate 188; Protoss_Citadel_of_Adun 260; Protoss_Gateway2 459; Protoss_Forge 294; Protoss_Templar_Archives 301; Protoss_Photon_Cannon 366; Protoss_Cybernetics_Core 144; 
Protoss_Pylon2 131; Protoss_Pylon 55; Protoss_Opening FastExpand; Protoss_Assimilator 216; Protoss_Gateway 78; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 336; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 398; Protoss_Fleet_Beacon 3113; Protoss_Stargate 403; Protoss_Citadel_of_Adun 532; Protoss_Gateway2 104; Protoss_Forge 459; Protoss_Templar_Archives 685; Protoss_Photon_Cannon 489; Protoss_Cybernetics_Core 351; 
Protoss_Pylon2 135; Protoss_Pylon 54; Protoss_Opening FastDT; Protoss_Assimilator 165; Protoss_Gateway 78; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 678; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 595; Protoss_Gateway2 98; Protoss_Forge 283; Protoss_Templar_Archives 666; Protoss_Photon_Cannon 326; Protoss_Cybernetics_Core 247; 
Protoss_Pylon2 135; Protoss_Pylon 54; Protoss_Opening FastDT; Protoss_Assimilator 165; Protoss_Gateway 78; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 678; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 595; Protoss_Gateway2 98; Protoss_Forge 283; Protoss_Templar_Archives 666; Protoss_Photon_Cannon 326; Protoss_Cybernetics_Core 247; 
Protoss_Pylon2 150; Protoss_Pylon 26; Protoss_Opening Carrier; Protoss_Assimilator 138; Protoss_Gateway 60; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 460; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 595; Protoss_Fleet_Beacon 0; Protoss_Stargate 244; Protoss_Citadel_of_Adun 333; Protoss_Gateway2 474; Protoss_Forge 376; Protoss_Templar_Archives 375; Protoss_Photon_Cannon 415; Protoss_Cybernetics_Core 201; 
Protoss_Pylon2 143; Protoss_Pylon 51; Protoss_Opening FastLegs; Protoss_Assimilator 97; Protoss_Gateway 82; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 406; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 496; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 232; Protoss_Gateway2 295; Protoss_Forge 320; Protoss_Templar_Archives 300; Protoss_Photon_Cannon 360; Protoss_Cybernetics_Core 129; 
Protoss_Pylon2 129; Protoss_Pylon 51; Protoss_Opening FastLegs; Protoss_Assimilator 228; Protoss_Gateway 79; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 494; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 0; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 371; Protoss_Gateway2 108; Protoss_Forge 198; Protoss_Templar_Archives 507; Protoss_Photon_Cannon 268; Protoss_Cybernetics_Core 312; 
Protoss_Pylon2 155; Protoss_Pylon 54; Protoss_Opening Carrier; Protoss_Assimilator 76; Protoss_Gateway 100; Protoss_Robotics_Support_Bay 364; Protoss_Expansion 543; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 303; Protoss_Fleet_Beacon 0; Protoss_Stargate 185; Protoss_Citadel_of_Adun 0; Protoss_Gateway2 0; Protoss_Forge 223; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 255; Protoss_Cybernetics_Core 144; 
Protoss_Pylon2 127; Protoss_Pylon 49; Protoss_Opening Carrier; Protoss_Assimilator 208; Protoss_Gateway 75; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 0; Protoss_Fleet_Beacon 0; Protoss_Stargate 279; Protoss_Citadel_of_Adun 315; Protoss_Gateway2 103; Protoss_Forge 0; Protoss_Templar_Archives 391; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 213; 
Protoss_Pylon2 130; Protoss_Pylon 50; Protoss_Opening FastDT; Protoss_Assimilator 217; Protoss_Gateway 76; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 549; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 593; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 333; Protoss_Gateway2 103; Protoss_Forge 407; Protoss_Templar_Archives 377; Protoss_Photon_Cannon 446; Protoss_Cybernetics_Core 268; 
Protoss_Pylon2 137; Protoss_Pylon 52; Protoss_Opening FastDT; Protoss_Assimilator 202; Protoss_Gateway 83; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 591; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 0; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 312; Protoss_Gateway2 111; Protoss_Forge 377; Protoss_Templar_Archives 363; Protoss_Photon_Cannon 419; Protoss_Cybernetics_Core 270; 
Protoss_Pylon2 124; Protoss_Pylon 49; Protoss_Opening FastDT; Protoss_Assimilator 198; Protoss_Gateway 73; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 547; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 579; Protoss_Fleet_Beacon 0; Protoss_Stargate 568; Protoss_Citadel_of_Adun 360; Protoss_Gateway2 105; Protoss_Forge 370; Protoss_Templar_Archives 410; Protoss_Photon_Cannon 426; Protoss_Cybernetics_Core 297; 
Protoss_Pylon2 162; Protoss_Pylon 52; Protoss_Opening Carrier; Protoss_Assimilator 97; Protoss_Gateway 78; Protoss_Robotics_Support_Bay 345; Protoss_Expansion 714; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 281; Protoss_Fleet_Beacon 309; Protoss_Stargate 186; Protoss_Citadel_of_Adun 554; Protoss_Gateway2 445; Protoss_Forge 541; Protoss_Templar_Archives 719; Protoss_Photon_Cannon 671; Protoss_Cybernetics_Core 123; 
Protoss_Pylon2 127; Protoss_Pylon 48; Protoss_Opening FastLegs; Protoss_Assimilator 201; Protoss_Gateway 77; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 512; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 681; Protoss_Fleet_Beacon 0; Protoss_Stargate 1067; Protoss_Citadel_of_Adun 302; Protoss_Gateway2 112; Protoss_Forge 400; Protoss_Templar_Archives 385; Protoss_Photon_Cannon 462; Protoss_Cybernetics_Core 253; 
Protoss_Pylon2 155; Protoss_Pylon 50; Protoss_Opening Carrier; Protoss_Assimilator 67; Protoss_Gateway 96; Protoss_Robotics_Support_Bay 358; Protoss_Expansion 909; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 293; Protoss_Fleet_Beacon 998; Protoss_Stargate 182; Protoss_Citadel_of_Adun 0; Protoss_Gateway2 0; Protoss_Forge 248; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 375; Protoss_Cybernetics_Core 140; 
Protoss_Pylon2 139; Protoss_Pylon 53; Protoss_Opening FastLegs; Protoss_Assimilator 289; Protoss_Gateway 84; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 1019; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 720; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 675; Protoss_Gateway2 114; Protoss_Forge 528; Protoss_Templar_Archives 807; Protoss_Photon_Cannon 579; Protoss_Cybernetics_Core 351; 
Protoss_Pylon2 133; Protoss_Pylon 53; Protoss_Opening FastLegs; Protoss_Assimilator 324; Protoss_Gateway 78; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 622; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 503; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 461; Protoss_Gateway2 109; Protoss_Forge 336; Protoss_Templar_Archives 568; Protoss_Photon_Cannon 404; Protoss_Cybernetics_Core 390; 
Protoss_Pylon2 127; Protoss_Pylon 48; Protoss_Opening FastExpand; Protoss_Assimilator 249; Protoss_Gateway 75; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 462; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 673; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 516; Protoss_Gateway2 105; Protoss_Forge 300; Protoss_Templar_Archives 573; Protoss_Photon_Cannon 367; Protoss_Cybernetics_Core 267; 
Protoss_Pylon2 134; Protoss_Pylon 52; Protoss_Opening FastObs; Protoss_Assimilator 215; Protoss_Gateway 80; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 519; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 323; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 496; Protoss_Gateway2 113; Protoss_Forge 518; Protoss_Templar_Archives 553; Protoss_Photon_Cannon 555; Protoss_Cybernetics_Core 252; 
Protoss_Pylon2 159; Protoss_Pylon 54; Protoss_Opening FastExpand; Protoss_Assimilator 226; Protoss_Gateway 106; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 485; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 0; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 0; Protoss_Gateway2 198; Protoss_Forge 109; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 146; Protoss_Cybernetics_Core 452; 
Protoss_Pylon2 127; Protoss_Pylon 52; Protoss_Opening Carrier; Protoss_Assimilator 165; Protoss_Gateway 76; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 534; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 591; Protoss_Fleet_Beacon 0; Protoss_Stargate 237; Protoss_Citadel_of_Adun 281; Protoss_Gateway2 102; Protoss_Forge 394; Protoss_Templar_Archives 375; Protoss_Photon_Cannon 434; Protoss_Cybernetics_Core 190; 
Protoss_Pylon2 125; Protoss_Pylon 53; Protoss_Opening Carrier; Protoss_Assimilator 144; Protoss_Gateway 85; Protoss_Robotics_Support_Bay 448; Protoss_Expansion 832; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 383; Protoss_Fleet_Beacon 0; Protoss_Stargate 273; Protoss_Citadel_of_Adun 0; Protoss_Gateway2 112; Protoss_Forge 0; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 218; 
Protoss_Pylon2 120; Protoss_Pylon 52; Protoss_Opening FastLegs; Protoss_Assimilator 163; Protoss_Gateway 77; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 492; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 542; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 323; Protoss_Gateway2 144; Protoss_Forge 413; Protoss_Templar_Archives 388; Protoss_Photon_Cannon 447; Protoss_Cybernetics_Core 234; 
Protoss_Pylon2 168; Protoss_Pylon 59; Protoss_Opening FastExpand; Protoss_Assimilator 297; Protoss_Gateway 199; Protoss_Robotics_Support_Bay 795; Protoss_Expansion 138; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 530; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 766; Protoss_Gateway2 259; Protoss_Forge 150; Protoss_Templar_Archives 909; Protoss_Photon_Cannon 181; Protoss_Cybernetics_Core 386; 
Protoss_Pylon2 137; Protoss_Pylon 52; Protoss_Opening FastLegs; Protoss_Assimilator 201; Protoss_Gateway 84; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 592; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 490; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 312; Protoss_Gateway2 113; Protoss_Forge 342; Protoss_Templar_Archives 397; Protoss_Photon_Cannon 394; Protoss_Cybernetics_Core 261; 
Protoss_Pylon2 169; Protoss_Pylon 61; Protoss_Opening FastExpand; Protoss_Assimilator 250; Protoss_Gateway 226; Protoss_Robotics_Support_Bay 499; Protoss_Expansion 155; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 431; Protoss_Fleet_Beacon 533; Protoss_Stargate 324; Protoss_Citadel_of_Adun 556; Protoss_Gateway2 0; Protoss_Forge 94; Protoss_Templar_Archives 632; Protoss_Photon_Cannon 185; Protoss_Cybernetics_Core 278; 
Protoss_Pylon2 136; Protoss_Pylon 47; Protoss_Opening FastDT; Protoss_Assimilator 231; Protoss_Gateway 75; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 634; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 799; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 285; Protoss_Gateway2 100; Protoss_Forge 265; Protoss_Templar_Archives 346; Protoss_Photon_Cannon 304; Protoss_Cybernetics_Core 211; 
Protoss_Pylon2 142; Protoss_Pylon 50; Protoss_Opening FastDT; Protoss_Assimilator 200; Protoss_Gateway 83; Protoss_Robotics_Support_Bay 1362; Protoss_Expansion 493; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 553; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 313; Protoss_Gateway2 114; Protoss_Forge 322; Protoss_Templar_Archives 359; Protoss_Photon_Cannon 376; Protoss_Cybernetics_Core 254; 
Protoss_Pylon2 132; Protoss_Pylon 48; Protoss_Opening FastLegs; Protoss_Assimilator 195; Protoss_Gateway 78; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 476; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 624; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 275; Protoss_Gateway2 111; Protoss_Forge 338; Protoss_Templar_Archives 357; Protoss_Photon_Cannon 381; Protoss_Cybernetics_Core 233; 
Protoss_Pylon2 127; Protoss_Pylon 54; Protoss_Opening FastExpand; Protoss_Assimilator 126; Protoss_Gateway 82; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 696; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 0; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 0; Protoss_Gateway2 260; Protoss_Forge 251; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 392; Protoss_Cybernetics_Core 181; 
Protoss_Pylon2 137; Protoss_Pylon 49; Protoss_Opening FastDT; Protoss_Assimilator 204; Protoss_Gateway 83; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 414; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 687; Protoss_Fleet_Beacon 0; Protoss_Stargate 764; Protoss_Citadel_of_Adun 292; Protoss_Gateway2 110; Protoss_Forge 418; Protoss_Templar_Archives 336; Protoss_Photon_Cannon 449; Protoss_Cybernetics_Core 245; 
Protoss_Pylon2 213; Protoss_Pylon 52; Protoss_Opening FastExpand; Protoss_Assimilator 268; Protoss_Gateway 185; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 154; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 494; Protoss_Fleet_Beacon 0; Protoss_Stargate 643; Protoss_Citadel_of_Adun 366; Protoss_Gateway2 367; Protoss_Forge 85; Protoss_Templar_Archives 434; Protoss_Photon_Cannon 165; Protoss_Cybernetics_Core 318; 
Protoss_Pylon2 134; Protoss_Pylon 62; Protoss_Opening FastExpand; Protoss_Assimilator 330; Protoss_Gateway 85; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 306; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 564; Protoss_Fleet_Beacon 0; Protoss_Stargate 516; Protoss_Citadel_of_Adun 422; Protoss_Gateway2 111; Protoss_Forge 233; Protoss_Templar_Archives 933; Protoss_Photon_Cannon 267; Protoss_Cybernetics_Core 377; 
Protoss_Pylon2 140; Protoss_Pylon 51; Protoss_Opening FastLegs; Protoss_Assimilator 105; Protoss_Gateway 90; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 509; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 796; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 285; Protoss_Gateway2 183; Protoss_Forge 401; Protoss_Templar_Archives 362; Protoss_Photon_Cannon 463; Protoss_Cybernetics_Core 231; 
Protoss_Pylon2 131; Protoss_Pylon 51; Protoss_Opening Carrier; Protoss_Assimilator 235; Protoss_Gateway 78; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 387; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 722; Protoss_Fleet_Beacon 0; Protoss_Stargate 317; Protoss_Citadel_of_Adun 416; Protoss_Gateway2 115; Protoss_Forge 286; Protoss_Templar_Archives 465; Protoss_Photon_Cannon 341; Protoss_Cybernetics_Core 271; 
Protoss_Pylon2 131; Protoss_Pylon 53; Protoss_Opening FastLegs; Protoss_Assimilator 145; Protoss_Gateway 83; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 422; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 504; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 270; Protoss_Gateway2 106; Protoss_Forge 363; Protoss_Templar_Archives 327; Protoss_Photon_Cannon 441; Protoss_Cybernetics_Core 215; 
Protoss_Pylon2 143; Protoss_Pylon 51; Protoss_Opening FastLegs; Protoss_Assimilator 97; Protoss_Gateway 82; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 406; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 496; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 232; Protoss_Gateway2 295; Protoss_Forge 320; Protoss_Templar_Archives 300; Protoss_Photon_Cannon 360; Protoss_Cybernetics_Core 129; 
Protoss_Pylon2 127; Protoss_Pylon 53; Protoss_Opening Carrier; Protoss_Assimilator 264; Protoss_Gateway 78; Protoss_Robotics_Support_Bay 896; Protoss_Expansion 563; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 631; Protoss_Fleet_Beacon 0; Protoss_Stargate 401; Protoss_Citadel_of_Adun 425; Protoss_Gateway2 101; Protoss_Forge 377; Protoss_Templar_Archives 480; Protoss_Photon_Cannon 547; Protoss_Cybernetics_Core 351; 
Protoss_Pylon2 133; Protoss_Pylon 50; Protoss_Opening FastDT; Protoss_Assimilator 162; Protoss_Gateway 81; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 510; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 639; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 255; Protoss_Gateway2 103; Protoss_Forge 346; Protoss_Templar_Archives 299; Protoss_Photon_Cannon 378; Protoss_Cybernetics_Core 211; 
Protoss_Pylon2 125; Protoss_Pylon 50; Protoss_Opening FastExpand; Protoss_Assimilator 351; Protoss_Gateway 82; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 315; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 487; Protoss_Fleet_Beacon 0; Protoss_Stargate 445; Protoss_Citadel_of_Adun 527; Protoss_Gateway2 100; Protoss_Forge 372; Protoss_Templar_Archives 596; Protoss_Photon_Cannon 403; Protoss_Cybernetics_Core 392; 
Protoss_Pylon2 147; Protoss_Pylon 51; Protoss_Opening FastLegs; Protoss_Assimilator 103; Protoss_Gateway 81; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 479; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 616; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 242; Protoss_Gateway2 189; Protoss_Forge 337; Protoss_Templar_Archives 318; Protoss_Photon_Cannon 368; Protoss_Cybernetics_Core 126; 
Protoss_Pylon2 167; Protoss_Pylon 52; Protoss_Opening Carrier; Protoss_Assimilator 108; Protoss_Gateway 85; Protoss_Robotics_Support_Bay 355; Protoss_Expansion 598; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 296; Protoss_Fleet_Beacon 0; Protoss_Stargate 279; Protoss_Citadel_of_Adun 612; Protoss_Gateway2 631; Protoss_Forge 442; Protoss_Templar_Archives 824; Protoss_Photon_Cannon 476; Protoss_Cybernetics_Core 143; 
Protoss_Pylon2 152; Protoss_Pylon 52; Protoss_Opening Carrier; Protoss_Assimilator 77; Protoss_Gateway 97; Protoss_Robotics_Support_Bay 370; Protoss_Expansion 414; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 266; Protoss_Fleet_Beacon 0; Protoss_Stargate 181; Protoss_Citadel_of_Adun 0; Protoss_Gateway2 0; Protoss_Forge 302; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 331; Protoss_Cybernetics_Core 139; 
