Terran_Control_Tower 9845; Terran_Comsat_Station 5375; Terran_Barracks 2745; Terran_Expansion 13605; Terran_Refinery 2080; Terran_Barracks2 5530; Terran_Missile_Turret 8010; Terran_Supply_Depot 1470; Terran_Engineering_Bay 3280; Terran_Science_Facility 9265; Terran_Machine_Shop 0; Terran_Armory 0; Terran_Starport 7905; Terran_Opening Bio; Terran_Academy 4020; Terran_Bunker 36230; Terran_Factory 6420; 
Terran_Control_Tower 11570; Terran_Comsat_Station 6405; Terran_Barracks 2235; Terran_Expansion 11550; Terran_Refinery 3690; Terran_Barracks2 3070; Terran_Missile_Turret 16760; Terran_Supply_Depot 1445; Terran_Engineering_Bay 5745; Terran_Science_Facility 11120; Terran_Machine_Shop 9880; Terran_Armory 38300; Terran_Starport 9865; Terran_Opening Bio; Terran_Academy 4795; Terran_Bunker 14630; Terran_Factory 8150; 
Terran_Control_Tower 7644; Terran_Comsat_Station 9362; Terran_Barracks 2574; Terran_Expansion 13500; Terran_Refinery 1964; Terran_Barracks2 7814; Terran_Missile_Turret 11698; Terran_Supply_Depot 1402; Terran_Engineering_Bay 9046; Terran_Science_Facility 10308; Terran_Machine_Shop 13074; Terran_Armory 0; Terran_Starport 5500; Terran_Opening FastDropship; Terran_Academy 7778; Terran_Bunker 9344; Terran_Factory 4164; 
Terran_Control_Tower 8092; Terran_Comsat_Station 7994; Terran_Barracks 2046; Terran_Expansion 13826; Terran_Refinery 2612; Terran_Barracks2 7644; Terran_Missile_Turret 8586; Terran_Supply_Depot 1412; Terran_Engineering_Bay 3916; Terran_Science_Facility 7906; Terran_Machine_Shop 11444; Terran_Armory 30326; Terran_Starport 5976; Terran_Opening FastDropship; Terran_Academy 6602; Terran_Bunker 14018; Terran_Factory 4672; 
Terran_Control_Tower 6495; Terran_Comsat_Station 10655; Terran_Barracks 2235; Terran_Expansion 13955; Terran_Refinery 2590; Terran_Barracks2 3685; Terran_Missile_Turret 17970; Terran_Supply_Depot 1515; Terran_Engineering_Bay 15810; Terran_Science_Facility 10215; Terran_Machine_Shop 10155; Terran_Armory 0; Terran_Starport 5340; Terran_Opening Bio; Terran_Academy 9385; Terran_Bunker 24060; Terran_Factory 3940; 
Terran_Control_Tower 6786; Terran_Comsat_Station 6352; Terran_Barracks 2200; Terran_Expansion 8940; Terran_Refinery 3114; Terran_Barracks2 4574; Terran_Missile_Turret 11568; Terran_Supply_Depot 1464; Terran_Engineering_Bay 8024; Terran_Science_Facility 8402; Terran_Machine_Shop 8892; Terran_Armory 0; Terran_Starport 5652; Terran_Opening FastDropship; Terran_Academy 4910; Terran_Bunker 11162; Terran_Factory 4400; 
Terran_Control_Tower 18398; Terran_Comsat_Station 5706; Terran_Barracks 2216; Terran_Expansion 7580; Terran_Refinery 3936; Terran_Barracks2 3164; Terran_Missile_Turret 12544; Terran_Supply_Depot 1466; Terran_Engineering_Bay 10662; Terran_Science_Facility 18494; Terran_Machine_Shop 10500; Terran_Armory 0; Terran_Starport 17182; Terran_Opening Bio; Terran_Academy 4320; Terran_Bunker 9660; Terran_Factory 9144; 
Terran_Control_Tower 7688; Terran_Comsat_Station 7738; Terran_Barracks 2000; Terran_Expansion 13002; Terran_Refinery 3952; Terran_Barracks2 2632; Terran_Missile_Turret 9384; Terran_Supply_Depot 1414; Terran_Engineering_Bay 8092; Terran_Science_Facility 11816; Terran_Machine_Shop 0; Terran_Armory 0; Terran_Starport 6598; Terran_Opening Bio; Terran_Academy 6268; Terran_Bunker 0; Terran_Factory 5272; 
Terran_Control_Tower 8562; Terran_Comsat_Station 8062; Terran_Barracks 2812; Terran_Expansion 12260; Terran_Refinery 1972; Terran_Barracks2 5522; Terran_Missile_Turret 12464; Terran_Supply_Depot 1490; Terran_Engineering_Bay 4052; Terran_Science_Facility 8544; Terran_Machine_Shop 8900; Terran_Armory 0; Terran_Starport 7434; Terran_Opening Bio; Terran_Academy 6752; Terran_Bunker 10260; Terran_Factory 6046; 
Terran_Control_Tower 12548; Terran_Comsat_Station 6700; Terran_Barracks 2064; Terran_Expansion 10218; Terran_Refinery 4400; Terran_Barracks2 2666; Terran_Missile_Turret 15998; Terran_Supply_Depot 1394; Terran_Engineering_Bay 8396; Terran_Science_Facility 12032; Terran_Machine_Shop 8382; Terran_Armory 16642; Terran_Starport 10808; Terran_Opening Bio; Terran_Academy 5352; Terran_Bunker 12968; Terran_Factory 7100; 
Terran_Control_Tower 11570; Terran_Comsat_Station 6405; Terran_Barracks 2235; Terran_Expansion 11550; Terran_Refinery 3690; Terran_Barracks2 3070; Terran_Missile_Turret 16760; Terran_Supply_Depot 1445; Terran_Engineering_Bay 5745; Terran_Science_Facility 11120; Terran_Machine_Shop 9880; Terran_Armory 38300; Terran_Starport 9865; Terran_Opening Bio; Terran_Academy 4795; Terran_Bunker 14630; Terran_Factory 8150; 
Terran_Control_Tower 7644; Terran_Comsat_Station 9362; Terran_Barracks 2574; Terran_Expansion 13500; Terran_Refinery 1964; Terran_Barracks2 7814; Terran_Missile_Turret 11698; Terran_Supply_Depot 1402; Terran_Engineering_Bay 9046; Terran_Science_Facility 10308; Terran_Machine_Shop 13074; Terran_Armory 0; Terran_Starport 5500; Terran_Opening FastDropship; Terran_Academy 7778; Terran_Bunker 9344; Terran_Factory 4164; 
Terran_Control_Tower 8092; Terran_Comsat_Station 7994; Terran_Barracks 2046; Terran_Expansion 13826; Terran_Refinery 2612; Terran_Barracks2 7644; Terran_Missile_Turret 8586; Terran_Supply_Depot 1412; Terran_Engineering_Bay 3916; Terran_Science_Facility 7906; Terran_Machine_Shop 11444; Terran_Armory 30326; Terran_Starport 5976; Terran_Opening FastDropship; Terran_Academy 6602; Terran_Bunker 14018; Terran_Factory 4672; 
Terran_Control_Tower 6495; Terran_Comsat_Station 10655; Terran_Barracks 2235; Terran_Expansion 13955; Terran_Refinery 2590; Terran_Barracks2 3685; Terran_Missile_Turret 17970; Terran_Supply_Depot 1515; Terran_Engineering_Bay 15810; Terran_Science_Facility 10215; Terran_Machine_Shop 10155; Terran_Armory 0; Terran_Starport 5340; Terran_Opening Bio; Terran_Academy 9385; Terran_Bunker 24060; Terran_Factory 3940; 
Terran_Control_Tower 0; Terran_Comsat_Station 6895; Terran_Barracks 2000; Terran_Expansion 12575; Terran_Refinery 3980; Terran_Barracks2 2640; Terran_Missile_Turret 10265; Terran_Supply_Depot 1390; Terran_Engineering_Bay 8660; Terran_Science_Facility 0; Terran_Machine_Shop 7655; Terran_Armory 0; Terran_Starport 12635; Terran_Opening Bio; Terran_Academy 5565; Terran_Bunker 0; Terran_Factory 6380; 
Terran_Control_Tower 8450; Terran_Comsat_Station 8640; Terran_Barracks 2360; Terran_Expansion 13810; Terran_Refinery 2800; Terran_Barracks2 3685; Terran_Missile_Turret 11975; Terran_Supply_Depot 1525; Terran_Engineering_Bay 10760; Terran_Science_Facility 13230; Terran_Machine_Shop 9790; Terran_Armory 0; Terran_Starport 5515; Terran_Opening Bio; Terran_Academy 7035; Terran_Bunker 11700; Terran_Factory 4200; 
Terran_Control_Tower 13825; Terran_Comsat_Station 8760; Terran_Barracks 2075; Terran_Expansion 6000; Terran_Refinery 6070; Terran_Barracks2 2675; Terran_Missile_Turret 9860; Terran_Supply_Depot 1390; Terran_Engineering_Bay 7495; Terran_Science_Facility 13905; Terran_Machine_Shop 12280; Terran_Armory 27925; Terran_Starport 12325; Terran_Opening Bio; Terran_Academy 6505; Terran_Bunker 9740; Terran_Factory 10595; 
Terran_Control_Tower 0; Terran_Comsat_Station 7905; Terran_Barracks 2035; Terran_Expansion 0; Terran_Refinery 3780; Terran_Barracks2 2680; Terran_Missile_Turret 9525; Terran_Supply_Depot 1400; Terran_Engineering_Bay 8515; Terran_Science_Facility 0; Terran_Machine_Shop 6550; Terran_Armory 0; Terran_Starport 0; Terran_Opening Bio; Terran_Academy 5660; Terran_Bunker 0; Terran_Factory 5095; 
Terran_Control_Tower 0; Terran_Comsat_Station 8405; Terran_Barracks 2000; Terran_Expansion 13375; Terran_Refinery 3950; Terran_Barracks2 2685; Terran_Missile_Turret 11440; Terran_Supply_Depot 1380; Terran_Engineering_Bay 9660; Terran_Science_Facility 0; Terran_Machine_Shop 7385; Terran_Armory 0; Terran_Starport 13815; Terran_Opening Bio; Terran_Academy 6730; Terran_Bunker 0; Terran_Factory 5790; 
Terran_Control_Tower 0; Terran_Comsat_Station 6150; Terran_Barracks 2050; Terran_Expansion 0; Terran_Refinery 3975; Terran_Barracks2 2685; Terran_Missile_Turret 0; Terran_Supply_Depot 1440; Terran_Engineering_Bay 0; Terran_Science_Facility 0; Terran_Machine_Shop 0; Terran_Armory 0; Terran_Starport 0; Terran_Opening Bio; Terran_Academy 4575; Terran_Bunker 0; Terran_Factory 0; 
Terran_Control_Tower 7995; Terran_Comsat_Station 8060; Terran_Barracks 2125; Terran_Expansion 0; Terran_Refinery 3895; Terran_Barracks2 2850; Terran_Missile_Turret 10255; Terran_Supply_Depot 1430; Terran_Engineering_Bay 9070; Terran_Science_Facility 11500; Terran_Machine_Shop 0; Terran_Armory 0; Terran_Starport 6865; Terran_Opening Bio; Terran_Academy 6470; Terran_Bunker 0; Terran_Factory 5415; 
Terran_Control_Tower 0; Terran_Comsat_Station 7625; Terran_Barracks 2105; Terran_Expansion 0; Terran_Refinery 3775; Terran_Barracks2 2720; Terran_Missile_Turret 0; Terran_Supply_Depot 1440; Terran_Engineering_Bay 11475; Terran_Science_Facility 0; Terran_Machine_Shop 6575; Terran_Armory 0; Terran_Starport 0; Terran_Opening Bio; Terran_Academy 5790; Terran_Bunker 0; Terran_Factory 5295; 
Terran_Control_Tower 0; Terran_Comsat_Station 6605; Terran_Barracks 2040; Terran_Expansion 0; Terran_Refinery 4150; Terran_Barracks2 2755; Terran_Missile_Turret 9060; Terran_Supply_Depot 1455; Terran_Engineering_Bay 6960; Terran_Science_Facility 0; Terran_Machine_Shop 0; Terran_Armory 0; Terran_Starport 10910; Terran_Opening Bio; Terran_Academy 5030; Terran_Bunker 8435; Terran_Factory 9565; 
Terran_Control_Tower 0; Terran_Comsat_Station 6400; Terran_Barracks 2000; Terran_Expansion 0; Terran_Refinery 4600; Terran_Barracks2 2660; Terran_Missile_Turret 0; Terran_Supply_Depot 1375; Terran_Engineering_Bay 6050; Terran_Science_Facility 0; Terran_Machine_Shop 0; Terran_Armory 0; Terran_Starport 0; Terran_Opening Bio; Terran_Academy 4825; Terran_Bunker 0; Terran_Factory 0; 
Terran_Control_Tower 0; Terran_Comsat_Station 0; Terran_Barracks 1976; Terran_Expansion 0; Terran_Refinery 0; Terran_Barracks2 2812; Terran_Missile_Turret 0; Terran_Supply_Depot 1298; Terran_Engineering_Bay 0; Terran_Science_Facility 0; Terran_Machine_Shop 0; Terran_Armory 0; Terran_Starport 0; Terran_Opening Bio; Terran_Academy 0; Terran_Bunker 0; Terran_Factory 0; 
Terran_Control_Tower 7675; Terran_Comsat_Station 7595; Terran_Barracks 1965; Terran_Expansion 10740; Terran_Refinery 3705; Terran_Barracks2 2645; Terran_Missile_Turret 11000; Terran_Supply_Depot 1355; Terran_Engineering_Bay 9340; Terran_Science_Facility 11875; Terran_Machine_Shop 14955; Terran_Armory 0; Terran_Starport 6560; Terran_Opening Bio; Terran_Academy 5940; Terran_Bunker 15965; Terran_Factory 5140; 
Terran_Control_Tower 8705; Terran_Comsat_Station 10225; Terran_Barracks 2155; Terran_Expansion 13590; Terran_Refinery 2585; Terran_Barracks2 10300; Terran_Missile_Turret 9155; Terran_Supply_Depot 1440; Terran_Engineering_Bay 7460; Terran_Science_Facility 10865; Terran_Machine_Shop 5545; Terran_Armory 0; Terran_Starport 5485; Terran_Opening FastDropship; Terran_Academy 8765; Terran_Bunker 10430; Terran_Factory 4235; 
Terran_Control_Tower 17020; Terran_Comsat_Station 6255; Terran_Barracks 2160; Terran_Expansion 18860; Terran_Refinery 3385; Terran_Barracks2 3555; Terran_Missile_Turret 9080; Terran_Supply_Depot 1470; Terran_Engineering_Bay 7915; Terran_Science_Facility 17055; Terran_Machine_Shop 16340; Terran_Armory 0; Terran_Starport 15815; Terran_Opening Bio; Terran_Academy 4625; Terran_Bunker 24835; Terran_Factory 7860; 
Terran_Control_Tower 8365; Terran_Comsat_Station 9125; Terran_Barracks 2100; Terran_Expansion 13995; Terran_Refinery 2670; Terran_Barracks2 3425; Terran_Missile_Turret 8040; Terran_Supply_Depot 1440; Terran_Engineering_Bay 7075; Terran_Science_Facility 6785; Terran_Machine_Shop 14430; Terran_Armory 0; Terran_Starport 5200; Terran_Opening Bio; Terran_Academy 7745; Terran_Bunker 14525; Terran_Factory 3870; 
Terran_Control_Tower 13075; Terran_Comsat_Station 6460; Terran_Barracks 1655; Terran_Expansion 13125; Terran_Refinery 4390; Terran_Barracks2 3735; Terran_Missile_Turret 10750; Terran_Supply_Depot 2370; Terran_Engineering_Bay 7830; Terran_Science_Facility 13055; Terran_Machine_Shop 14190; Terran_Armory 0; Terran_Starport 11425; Terran_Opening Bio; Terran_Academy 4615; Terran_Bunker 8460; Terran_Factory 9960; 
Terran_Control_Tower 12355; Terran_Comsat_Station 6115; Terran_Barracks 2040; Terran_Expansion 16585; Terran_Refinery 3810; Terran_Barracks2 2730; Terran_Missile_Turret 9295; Terran_Supply_Depot 1440; Terran_Engineering_Bay 8310; Terran_Science_Facility 12390; Terran_Machine_Shop 9075; Terran_Armory 0; Terran_Starport 11180; Terran_Opening Bio; Terran_Academy 4645; Terran_Bunker 7260; Terran_Factory 7645; 
Terran_Control_Tower 16298; Terran_Comsat_Station 8394; Terran_Barracks 2228; Terran_Expansion 6268; Terran_Refinery 6398; Terran_Barracks2 2874; Terran_Missile_Turret 10472; Terran_Supply_Depot 1410; Terran_Engineering_Bay 9264; Terran_Science_Facility 17162; Terran_Machine_Shop 13918; Terran_Armory 0; Terran_Starport 14634; Terran_Opening Bio; Terran_Academy 7040; Terran_Bunker 9422; Terran_Factory 12344; 
Terran_Control_Tower 0; Terran_Comsat_Station 10255; Terran_Barracks 2035; Terran_Expansion 0; Terran_Refinery 8470; Terran_Barracks2 2900; Terran_Missile_Turret 10120; Terran_Supply_Depot 1450; Terran_Engineering_Bay 9050; Terran_Science_Facility 0; Terran_Machine_Shop 0; Terran_Armory 0; Terran_Starport 0; Terran_Opening Bio; Terran_Academy 8895; Terran_Bunker 10775; Terran_Factory 0; 
Terran_Control_Tower 8280; Terran_Comsat_Station 6465; Terran_Barracks 2040; Terran_Expansion 0; Terran_Refinery 2505; Terran_Barracks2 0; Terran_Missile_Turret 8935; Terran_Supply_Depot 1440; Terran_Engineering_Bay 7670; Terran_Science_Facility 8165; Terran_Machine_Shop 5335; Terran_Armory 0; Terran_Starport 6955; Terran_Opening Standard; Terran_Academy 5155; Terran_Bunker 7150; Terran_Factory 4045; 
Terran_Control_Tower 15595; Terran_Comsat_Station 6680; Terran_Barracks 2060; Terran_Expansion 10905; Terran_Refinery 2555; Terran_Barracks2 11010; Terran_Missile_Turret 10850; Terran_Supply_Depot 1450; Terran_Engineering_Bay 9210; Terran_Science_Facility 15540; Terran_Machine_Shop 5370; Terran_Armory 0; Terran_Starport 12510; Terran_Opening SiegeExpand; Terran_Academy 5275; Terran_Bunker 8845; Terran_Factory 4100; 
Terran_Control_Tower 0; Terran_Comsat_Station 7346; Terran_Barracks 2172; Terran_Expansion 16106; Terran_Refinery 1968; Terran_Barracks2 3646; Terran_Missile_Turret 9974; Terran_Supply_Depot 1390; Terran_Engineering_Bay 8936; Terran_Science_Facility 0; Terran_Machine_Shop 5882; Terran_Armory 6184; Terran_Starport 0; Terran_Opening Bio; Terran_Academy 5976; Terran_Bunker 16720; Terran_Factory 4016; 
Terran_Control_Tower 7020; Terran_Comsat_Station 7395; Terran_Barracks 2070; Terran_Expansion 19130; Terran_Refinery 2560; Terran_Barracks2 8320; Terran_Missile_Turret 13815; Terran_Supply_Depot 1485; Terran_Engineering_Bay 11005; Terran_Science_Facility 10260; Terran_Machine_Shop 8210; Terran_Armory 0; Terran_Starport 5905; Terran_Opening FastDropship; Terran_Academy 6020; Terran_Bunker 9150; Terran_Factory 4470; 
Terran_Control_Tower 34645; Terran_Comsat_Station 8020; Terran_Barracks 2235; Terran_Expansion 16040; Terran_Refinery 2665; Terran_Barracks2 6105; Terran_Missile_Turret 13650; Terran_Supply_Depot 1515; Terran_Engineering_Bay 11930; Terran_Science_Facility 32070; Terran_Machine_Shop 5915; Terran_Armory 11120; Terran_Starport 20215; Terran_Opening TwoFactory; Terran_Academy 6395; Terran_Bunker 0; Terran_Factory 4555; 
Terran_Control_Tower 8585; Terran_Comsat_Station 8860; Terran_Barracks 2175; Terran_Expansion 19150; Terran_Refinery 4340; Terran_Barracks2 2740; Terran_Missile_Turret 11800; Terran_Supply_Depot 1450; Terran_Engineering_Bay 9030; Terran_Science_Facility 12285; Terran_Machine_Shop 21020; Terran_Armory 0; Terran_Starport 7070; Terran_Opening Bio; Terran_Academy 6545; Terran_Bunker 14200; Terran_Factory 5770; 
Terran_Control_Tower 11190; Terran_Comsat_Station 7180; Terran_Barracks 2075; Terran_Expansion 15250; Terran_Refinery 3280; Terran_Barracks2 2760; Terran_Missile_Turret 0; Terran_Supply_Depot 1455; Terran_Engineering_Bay 12160; Terran_Science_Facility 11145; Terran_Machine_Shop 12540; Terran_Armory 0; Terran_Starport 9930; Terran_Opening Bio; Terran_Academy 5435; Terran_Bunker 20820; Terran_Factory 7885; 
Terran_Control_Tower 7020; Terran_Comsat_Station 7395; Terran_Barracks 2070; Terran_Expansion 19130; Terran_Refinery 2560; Terran_Barracks2 8320; Terran_Missile_Turret 13815; Terran_Supply_Depot 1485; Terran_Engineering_Bay 11005; Terran_Science_Facility 10260; Terran_Machine_Shop 8210; Terran_Armory 0; Terran_Starport 5905; Terran_Opening FastDropship; Terran_Academy 6020; Terran_Bunker 9150; Terran_Factory 4470; 
Terran_Control_Tower 7334; Terran_Comsat_Station 9224; Terran_Barracks 2210; Terran_Expansion 13504; Terran_Refinery 2634; Terran_Barracks2 3782; Terran_Missile_Turret 12948; Terran_Supply_Depot 1428; Terran_Engineering_Bay 11708; Terran_Science_Facility 11902; Terran_Machine_Shop 8314; Terran_Armory 0; Terran_Starport 5310; Terran_Opening Bio; Terran_Academy 7814; Terran_Bunker 0; Terran_Factory 3894; 
Terran_Control_Tower 9004; Terran_Comsat_Station 7392; Terran_Barracks 2212; Terran_Expansion 0; Terran_Refinery 2610; Terran_Barracks2 4770; Terran_Missile_Turret 7782; Terran_Supply_Depot 1440; Terran_Engineering_Bay 3988; Terran_Science_Facility 8384; Terran_Machine_Shop 0; Terran_Armory 0; Terran_Starport 7000; Terran_Opening Bio; Terran_Academy 6118; Terran_Bunker 8642; Terran_Factory 5488; 
Terran_Control_Tower 0; Terran_Comsat_Station 8316; Terran_Barracks 2086; Terran_Expansion 11200; Terran_Refinery 3794; Terran_Barracks2 2632; Terran_Missile_Turret 18856; Terran_Supply_Depot 1364; Terran_Engineering_Bay 5236; Terran_Science_Facility 0; Terran_Machine_Shop 13970; Terran_Armory 0; Terran_Starport 0; Terran_Opening Bio; Terran_Academy 6478; Terran_Bunker 16754; Terran_Factory 12462; 
Terran_Control_Tower 0; Terran_Comsat_Station 8316; Terran_Barracks 2086; Terran_Expansion 11200; Terran_Refinery 3794; Terran_Barracks2 2632; Terran_Missile_Turret 18856; Terran_Supply_Depot 1364; Terran_Engineering_Bay 5236; Terran_Science_Facility 0; Terran_Machine_Shop 13970; Terran_Armory 0; Terran_Starport 0; Terran_Opening Bio; Terran_Academy 6478; Terran_Bunker 16754; Terran_Factory 12462; 
