Terran_Control_Tower 622; Terran_Comsat_Station 666; Terran_Barracks 83; Terran_Expansion 376; Terran_Refinery 116; Terran_Barracks2 510; Terran_Missile_Turret 436; Terran_Supply_Depot 58; Terran_Engineering_Bay 300; Terran_Science_Facility -1; Terran_Machine_Shop 228; Terran_Armory -1; Terran_Starport 548; Terran_Opening ; Terran_Academy 590; Terran_Bunker 258; Terran_Factory 168; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 85; Terran_Expansion 363; Terran_Refinery 105; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 59; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop 214; Terran_Armory -1; Terran_Starport -1; Terran_Opening two_facto; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 161; 
Terran_Control_Tower -1; Terran_Comsat_Station 263; Terran_Barracks 62; Terran_Expansion -1; Terran_Refinery 157; Terran_Barracks2 108; Terran_Missile_Turret -1; Terran_Supply_Depot 82; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop -1; Terran_Armory -1; Terran_Starport -1; Terran_Opening ; Terran_Academy 160; Terran_Bunker -1; Terran_Factory -1; 
Terran_Control_Tower 0; Terran_Comsat_Station 529; Terran_Barracks 91; Terran_Expansion 283; Terran_Refinery 111; Terran_Barracks2 164; Terran_Missile_Turret 515; Terran_Supply_Depot 64; Terran_Engineering_Bay 346; Terran_Science_Facility -1; Terran_Machine_Shop 216; Terran_Armory -1; Terran_Starport 0; Terran_Opening ; Terran_Academy 469; Terran_Bunker 380; Terran_Factory 161; 
Terran_Control_Tower 309; Terran_Comsat_Station 732; Terran_Barracks 91; Terran_Expansion 449; Terran_Refinery 103; Terran_Barracks2 143; Terran_Missile_Turret 393; Terran_Supply_Depot 61; Terran_Engineering_Bay 345; Terran_Science_Facility 0; Terran_Machine_Shop 211; Terran_Armory 885; Terran_Starport 256; Terran_Opening air; Terran_Academy 616; Terran_Bunker -1; Terran_Factory 159; 
Terran_Control_Tower 248; Terran_Comsat_Station -1; Terran_Barracks 82; Terran_Expansion -1; Terran_Refinery 96; Terran_Barracks2 304; Terran_Missile_Turret 308; Terran_Supply_Depot 57; Terran_Engineering_Bay 264; Terran_Science_Facility -1; Terran_Machine_Shop 201; Terran_Armory -1; Terran_Starport 202; Terran_Opening air; Terran_Academy -1; Terran_Bunker 338; Terran_Factory 149; 
Terran_Control_Tower 248; Terran_Comsat_Station -1; Terran_Barracks 82; Terran_Expansion -1; Terran_Refinery 96; Terran_Barracks2 304; Terran_Missile_Turret 308; Terran_Supply_Depot 57; Terran_Engineering_Bay 264; Terran_Science_Facility -1; Terran_Machine_Shop 201; Terran_Armory -1; Terran_Starport 202; Terran_Opening air; Terran_Academy -1; Terran_Bunker 338; Terran_Factory 149; 
Terran_Control_Tower 367; Terran_Comsat_Station -1; Terran_Barracks 90; Terran_Expansion -1; Terran_Refinery 103; Terran_Barracks2 143; Terran_Missile_Turret 466; Terran_Supply_Depot 62; Terran_Engineering_Bay 381; Terran_Science_Facility -1; Terran_Machine_Shop 203; Terran_Armory -1; Terran_Starport 292; Terran_Opening unknown; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 152; 
Terran_Control_Tower 270; Terran_Comsat_Station 620; Terran_Barracks 87; Terran_Expansion 372; Terran_Refinery 103; Terran_Barracks2 141; Terran_Missile_Turret 382; Terran_Supply_Depot 56; Terran_Engineering_Bay 275; Terran_Science_Facility 0; Terran_Machine_Shop 206; Terran_Armory 758; Terran_Starport 205; Terran_Opening air; Terran_Academy 547; Terran_Bunker 358; Terran_Factory 152; 
Terran_Control_Tower 258; Terran_Comsat_Station 547; Terran_Barracks 89; Terran_Expansion 418; Terran_Refinery 104; Terran_Barracks2 142; Terran_Missile_Turret 333; Terran_Supply_Depot 59; Terran_Engineering_Bay 290; Terran_Science_Facility -1; Terran_Machine_Shop 209; Terran_Armory -1; Terran_Starport 210; Terran_Opening air; Terran_Academy 491; Terran_Bunker 842; Terran_Factory 157; 
Terran_Control_Tower 1038; Terran_Comsat_Station 1067; Terran_Barracks 92; Terran_Expansion 843; Terran_Refinery 108; Terran_Barracks2 600; Terran_Missile_Turret 537; Terran_Supply_Depot 61; Terran_Engineering_Bay 493; Terran_Science_Facility 0; Terran_Machine_Shop 398; Terran_Armory 780; Terran_Starport 988; Terran_Opening ; Terran_Academy 986; Terran_Bunker 182; Terran_Factory 175; 
Terran_Control_Tower 581; Terran_Comsat_Station 897; Terran_Barracks 89; Terran_Expansion 495; Terran_Refinery 104; Terran_Barracks2 285; Terran_Missile_Turret 395; Terran_Supply_Depot 57; Terran_Engineering_Bay 350; Terran_Science_Facility 0; Terran_Machine_Shop 207; Terran_Armory 568; Terran_Starport 484; Terran_Opening unknown; Terran_Academy 826; Terran_Bunker -1; Terran_Factory 154; 
Terran_Control_Tower 1038; Terran_Comsat_Station 1067; Terran_Barracks 92; Terran_Expansion 843; Terran_Refinery 108; Terran_Barracks2 600; Terran_Missile_Turret 537; Terran_Supply_Depot 61; Terran_Engineering_Bay 493; Terran_Science_Facility 0; Terran_Machine_Shop 398; Terran_Armory 780; Terran_Starport 988; Terran_Opening ; Terran_Academy 986; Terran_Bunker 182; Terran_Factory 175; 
Terran_Control_Tower 1038; Terran_Comsat_Station 1067; Terran_Barracks 92; Terran_Expansion 843; Terran_Refinery 108; Terran_Barracks2 600; Terran_Missile_Turret 537; Terran_Supply_Depot 61; Terran_Engineering_Bay 493; Terran_Science_Facility 0; Terran_Machine_Shop 398; Terran_Armory 780; Terran_Starport 988; Terran_Opening ; Terran_Academy 986; Terran_Bunker 182; Terran_Factory 175; 
Terran_Control_Tower 255; Terran_Comsat_Station 650; Terran_Barracks 89; Terran_Expansion 402; Terran_Refinery 102; Terran_Barracks2 330; Terran_Missile_Turret 435; Terran_Supply_Depot 60; Terran_Engineering_Bay 341; Terran_Science_Facility -1; Terran_Machine_Shop 207; Terran_Armory 605; Terran_Starport 208; Terran_Opening air; Terran_Academy 590; Terran_Bunker -1; Terran_Factory 154; 
Terran_Control_Tower 367; Terran_Comsat_Station -1; Terran_Barracks 90; Terran_Expansion -1; Terran_Refinery 103; Terran_Barracks2 143; Terran_Missile_Turret 466; Terran_Supply_Depot 62; Terran_Engineering_Bay 381; Terran_Science_Facility -1; Terran_Machine_Shop 203; Terran_Armory -1; Terran_Starport 292; Terran_Opening unknown; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 152; 
Terran_Control_Tower 262; Terran_Comsat_Station 907; Terran_Barracks 92; Terran_Expansion 312; Terran_Refinery 100; Terran_Barracks2 176; Terran_Missile_Turret 445; Terran_Supply_Depot 63; Terran_Engineering_Bay 382; Terran_Science_Facility 1015; Terran_Machine_Shop 217; Terran_Armory 604; Terran_Starport 216; Terran_Opening air; Terran_Academy 526; Terran_Bunker -1; Terran_Factory 158; 
Terran_Control_Tower 276; Terran_Comsat_Station 544; Terran_Barracks 90; Terran_Expansion 383; Terran_Refinery 120; Terran_Barracks2 147; Terran_Missile_Turret 321; Terran_Supply_Depot 69; Terran_Engineering_Bay 277; Terran_Science_Facility 861; Terran_Machine_Shop 230; Terran_Armory 676; Terran_Starport 228; Terran_Opening air; Terran_Academy 474; Terran_Bunker -1; Terran_Factory 174; 
Terran_Control_Tower 294; Terran_Comsat_Station -1; Terran_Barracks 91; Terran_Expansion 352; Terran_Refinery 102; Terran_Barracks2 147; Terran_Missile_Turret 645; Terran_Supply_Depot 51; Terran_Engineering_Bay 601; Terran_Science_Facility -1; Terran_Machine_Shop 230; Terran_Armory 534; Terran_Starport 245; Terran_Opening air; Terran_Academy -1; Terran_Bunker 472; Terran_Factory 170; 
Terran_Control_Tower 251; Terran_Comsat_Station -1; Terran_Barracks 88; Terran_Expansion 594; Terran_Refinery 100; Terran_Barracks2 303; Terran_Missile_Turret 367; Terran_Supply_Depot 59; Terran_Engineering_Bay 303; Terran_Science_Facility -1; Terran_Machine_Shop 204; Terran_Armory -1; Terran_Starport 202; Terran_Opening air; Terran_Academy 474; Terran_Bunker -1; Terran_Factory 149; 
Terran_Control_Tower 383; Terran_Comsat_Station 495; Terran_Barracks 86; Terran_Expansion 275; Terran_Refinery 102; Terran_Barracks2 0; Terran_Missile_Turret 375; Terran_Supply_Depot 60; Terran_Engineering_Bay 323; Terran_Science_Facility 747; Terran_Machine_Shop 205; Terran_Armory 707; Terran_Starport 327; Terran_Opening air; Terran_Academy 442; Terran_Bunker -1; Terran_Factory 152; 
Terran_Control_Tower 1045; Terran_Comsat_Station 676; Terran_Barracks 94; Terran_Expansion 299; Terran_Refinery 111; Terran_Barracks2 -1; Terran_Missile_Turret 374; Terran_Supply_Depot 53; Terran_Engineering_Bay 328; Terran_Science_Facility 1048; Terran_Machine_Shop 225; Terran_Armory 968; Terran_Starport 964; Terran_Opening ; Terran_Academy 613; Terran_Bunker 342; Terran_Factory 171; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 88; Terran_Expansion -1; Terran_Refinery 110; Terran_Barracks2 148; Terran_Missile_Turret -1; Terran_Supply_Depot 59; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop -1; Terran_Armory -1; Terran_Starport -1; Terran_Opening ; Terran_Academy -1; Terran_Bunker 180; Terran_Factory -1; 
Terran_Control_Tower 774; Terran_Comsat_Station 596; Terran_Barracks 91; Terran_Expansion 330; Terran_Refinery 103; Terran_Barracks2 695; Terran_Missile_Turret 277; Terran_Supply_Depot 60; Terran_Engineering_Bay 221; Terran_Science_Facility 776; Terran_Machine_Shop 216; Terran_Armory 598; Terran_Starport 686; Terran_Opening ; Terran_Academy 528; Terran_Bunker 195; Terran_Factory 156; 
Terran_Control_Tower 261; Terran_Comsat_Station 615; Terran_Barracks 92; Terran_Expansion 357; Terran_Refinery 108; Terran_Barracks2 147; Terran_Missile_Turret 381; Terran_Supply_Depot 64; Terran_Engineering_Bay 320; Terran_Science_Facility 0; Terran_Machine_Shop 212; Terran_Armory 867; Terran_Starport 213; Terran_Opening air; Terran_Academy 559; Terran_Bunker 342; Terran_Factory 160; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 94; Terran_Expansion 264; Terran_Refinery 101; Terran_Barracks2 112; Terran_Missile_Turret 344; Terran_Supply_Depot 63; Terran_Engineering_Bay 305; Terran_Science_Facility -1; Terran_Machine_Shop 226; Terran_Armory -1; Terran_Starport 589; Terran_Opening ; Terran_Academy -1; Terran_Bunker 355; Terran_Factory 173; 
Terran_Control_Tower 259; Terran_Comsat_Station 675; Terran_Barracks 89; Terran_Expansion 353; Terran_Refinery 105; Terran_Barracks2 151; Terran_Missile_Turret 300; Terran_Supply_Depot 59; Terran_Engineering_Bay 258; Terran_Science_Facility -1; Terran_Machine_Shop 213; Terran_Armory -1; Terran_Starport 212; Terran_Opening air; Terran_Academy 586; Terran_Bunker -1; Terran_Factory 158; 
